,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_parati,hash_tiktok,hash_trending,hash_viral
0,AI,7091820037807344901,1651193026,#foryou,6963791979478713350,YOUVID,,0,False,https://www.tiktok.com/@youv.id/video/7091820037807344901?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091820037807344901&source=h5_m,139651,238,1041,962,4724,7091820008250395398,7091820008250395398,72,7091820008250395398,original sound - youv.id,YOUVID,6.963791979478713e+18,YOUVID,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091820007000230662.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c7abaa223320bf5d604617d4cdf9c504.json,False,False,[],0,0,,,,,Anguilla,#foryou,0,1,0,0,0,0,0,0,0,0
1,AI,7100267860798278918,1653159938,@domerdoos13 use your eyes you dumbass,7075841922460075014,domerdoos = mid,"current fruit: 🌟
goal: 1000 followers!
kyutami#1630
Making a discord at 1000!",0,False,https://www.tiktok.com/@kyutami_gpo/video/7100267860798278918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100267860798278918&source=h5_m,834,16,0,0,16,7100269454596066054,7100269454596066054,72,7100269454596066054,original sound - kyutami_gpo,domerdoos = mid,7.075841922460075e+18,domerdoos = mid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100269476553181957.mp3,,False,False,[],0,0,,,,,Anguilla,,0,0,0,0,0,0,0,0,0,0
2,US,7098439559503531310,1652734252,#pov my bsf just got in a fïght😭 @jessicamcaninchhh,6695074796227560454,Addison James ✪,"snap-@mrak_76addison
YT-AJOfficial▶️
MAKE BREAD BELOW👇🏽❤️",0,False,https://www.tiktok.com/@addisonjamesofficial/video/7098439559503531310?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098439559503531310&source=h5_m,1562408,406,125,2350,148725,6831935671842704134,6831935671842704134,72,6831935671842704134,THE MAGIC WORD WAS LOTION laurenduer,laurenduer,6.818706265813222e+18,laurenduer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/8ab5d8da98dbb71678572092d31c3ddc.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cd10ee4cea145d59a34842182cd0aa82.json,False,False,[],0,0,,,,,Anguilla,#pov,0,0,0,0,0,0,0,0,0,0
3,US,7080689089275546926,1648601398,culinary genius,6588039936430424070,lil stinker,"23 | I LOVE U 
dumptruckjordyn@gmail.com
PO Box 301 Huntertown, IN 46748",0,False,https://www.tiktok.com/@dumptruckjordyn/video/7080689089275546926?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080689089275546926&source=h5_m,22990889,50314,127838,16966,3135927,6787142837377959937,6787142837377959937,10033,6787142837377959937,Spongebob Tomfoolery - Dante9k Remix,David Snell,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/54f7eb006fc84958923dd105c98b57b5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/ceb716b0d9f64e27b61ab7a79a9bd520,False,True,[],0,0,,,,,Anguilla,,0,0,0,0,0,0,0,0,0,0
4,US,7087185238035582254,1650113902,Cooking some Brown Stew Fish For My Boyfriend! What did you guys eat for “Good Friday”?❤️ #HPSustainableSounds #PassTheBIC #EasyRecipe #cooking,6847187184803562501,Reachel 🌺,"🌴Orlando,FL
📩rdeats22@gmail.com
Full Recipes Coming On YouTube⏳
 500k? 💫",0,False,https://www.tiktok.com/@rd_eats/video/7087185238035582254?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087185238035582254&source=h5_m,540499,487,662,1233,49651,6717870903591438337,6717870903591438337,10033,6717870903591438337,Murder She Wrote,Chaka Demus & Pliers,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d36235f8f6f042a6adfc7501ec8c1e7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bd23fa54bfc841c0a10e571a155b3a63,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '507139889', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Anguilla,#HPSustainableSounds #PassTheBIC #EasyRecipe #cooking,0,0,0,0,0,0,0,0,0,0
5,AU,7093464223363206401,1651575842, ,7005925300132348933,kenziieegordonn,"Hi 🥺
IG: @kenziieegordon
💌: kenziiieeegordonn@gmail.com",0,False,https://www.tiktok.com/@kenziieegordonn/video/7093464223363206401?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093464223363206401&source=h5_m,280451,303,152,1391,10143,7061779882975562542,7061779882975562542,72,7061779882975562542,original sound - iluvtylerokonmaa,Tyler is daddy.,6.993404622346323e+18,Tyler is daddy.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7061779902097574703.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6cdc6bf8a784cf10a204dba8bd6db7de.json,False,False,[],0,0,,,,,Anguilla,,0,0,0,0,0,0,0,0,0,0
6,US,7088784789825719594,1650486326,Her reaction😫🤣,6740372348631942150,TheRealHammyTV,The couple that everyone else copy’s😉 best on Tiktok voted 2022 🚀,0,False,https://www.tiktok.com/@therealhammytv/video/7088784789825719594?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088784789825719594&source=h5_m,7758682,1643,10040,4127,516874,6716842684704622593,6716842684704622593,10033,6716842684704622593,Before I Knew It,Mason Ramsey,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/793df502915f486e92add22c539c3f09,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d4ec9e2684284b1fb568547d28e453f2,True,True,[],0,0,,,,,Anguilla,,0,0,0,0,0,0,0,0,0,0
7,US,7070898389466057989,1646321824,🤣😂@matchabobahhh #CorollaCrossStep #babysister,6808318608525214725,Jodi Reeves,Living my best life!❤💁🏻‍♀️💍🌍,0,False,https://www.tiktok.com/@jbreeves910/video/7070898389466057989?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070898389466057989&source=h5_m,4449249,1360,28293,25489,150535,7062892372828408622,7062892372828408622,72,7062892372828408622,original sound - gabriellelynn3,Gabrielle Lynn,6963537.0,Gabrielle Lynn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7062892387013675822.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1ddd9183912e23e32f36d7876794839e.json,False,False,[],0,0,,,,,Anguilla,#CorollaCrossStep #babysister,0,0,0,0,0,0,0,0,0,0
0,AI,7088460886658026758,1650410912,"bathroom clean pt2. Any suggestions for whitening tile grout? going to try baking soda and vinegar in a next video, stay pending! #springcleaning #tiktok #organize #asmr #cleantok #fyp #organizedhome #cleaningmotivation #bridgertonscandal #bridgertonnetflix #foryourpage #momsoftiktok",7014960504590599174,Multitasking the Hart Family,"Cleaning -Organizing -Parenting
Basically the multitasking life of a working mom",0,False,https://m.tiktok.com/v/7088460886658026758.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088460886658026758&source=h5_m,2986,1,0,1,63,6746993352891189249,6746993352891189249,10033,6746993352891189249,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ea8ca7768b2142be9cafe3284d9b97fa,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bd04654513374431956fb38fa9f8db1b,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1581990211', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Anguilla,#springcleaning #tiktok #organize #asmr #cleantok #fyp #organizedhome #cleaningmotivation #bridgertonscandal #bridgertonnetflix #foryourpage #momsoftiktok,0,0,0,0,1,0,0,1,0,0
1,AI,7093322018833091845,1651542734, ,6836364557956957190,Chandinie Latchman,God is good,0,False,https://m.tiktok.com/v/7093322018833091845.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093322018833091845&source=h5_m,70600,996,3866,8199,3678,7092664255752702725,7092664255752702725,72,7092664255752702725,original sound - believe_byfaith,believe_byfaith,6.950965503054611e+18,believe_byfaith,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092664256268716806.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/917c9af5fa97d13ae8b1098f959542d5.json,False,False,[],0,0,,,,,Anguilla,,0,0,0,0,0,0,0,0,0,0
