,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_angola,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_tiktok,hash_tiktokangola,hash_truthbetold,hash_viral
0,BR,7100446295512337670,1653201487,"this is brazilian funk, this is quadradinho 💃🏻🔥 #anitta #funk #foryou #fyp #viral",6847886565169153030,Anitta,"listen ""versions of me: album""
fan acc",0,False,https://m.tiktok.com/v/7100446295512337670.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100446295512337670&source=h5_m,8169457,2084,5685,14124,1226990,7100446274092059397,7100446274092059397,72,7100446274092059397,Movimento Da Sanfoninha,Anitta,6.847886565169153e+18,Anitta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100446254513146630.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/95a207e69cc63234ffa0948e0094b4dc.json,False,False,,,,,[],0,0,Angola,#anitta #funk #foryou #fyp #viral,0,1,0,0,1,0,0,0,0,1
1,AO,7097971398378835206,1652625251,bom domingo famíliaa🫶🏽 #foryoupage #angola🇦🇴 #fypシ,6664984931738075142,_Judith de carvalho_🦋,"🇦🇴/..
Ig: judith_de_carvalho
Apenas por diversãooo",0,False,https://m.tiktok.com/v/7097971398378835206.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097971398378835206&source=h5_m,76313,77,44,356,5738,7083114963711085318,7083114963711085318,72,7083114963711085318,Kpoclè Acte 2 IVK,Ivoriankid,6.825178404297885e+18,Ivoriankid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083114943792319237.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/82858c8e4137d3537ca4d5a789300bb3.json,False,False,,,,,[],0,0,Angola,#foryoupage #angola🇦🇴 #fypシ,1,0,1,0,0,1,0,0,0,0
2,NG,7097168053284244742,1652438209,#freestyle #fyp #crazy 🔥🔥🔥🔥🔥🔥🔥,6789260968150598662,Raybekah_,Instagram :  raybekah_  follow me ❤️🙏,0,False,https://m.tiktok.com/v/7097168053284244742.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097168053284244742&source=h5_m,11977878,30403,57730,197223,1856545,7097168018307828486,7097168018307828486,72,7097168018307828486,original sound - raybekah_2,Raybekah_,6.789260968150599e+18,Raybekah_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097168002109639430.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/746ff0102bced7f1da1fdd6086cf2dd4.json,False,False,,,,,[],0,0,Angola,#freestyle #fyp #crazy,0,0,0,0,1,0,0,0,0,0
3,AO,7092846764033789189,1651432079,Vocês acham que o vencedor foi justo?😭🥲 #acasadosfs #tiktokfamil #family #quemrirseferra #tiktokangola #foryou @helmerpai @hortencia_andre15 @marlennepaula @onlyhortencio @eo.pica @djanefrancisco @hilariocapemba,7026010990388397062,A casa dos F’s,"Apenas por diversão.
“Essa família é muito unida.”
Vídeos do nosso quotidiano.♥️",0,False,https://m.tiktok.com/v/7092846764033789189.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092846764033789189&source=h5_m,7167297,13053,20134,39981,548446,7092846814449109765,7092846814449109765,72,7092846814449109765,original sound - acasadosfs,A casa dos F’s,7.026010990388397e+18,A casa dos F’s,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092846820975823622.mp3,,False,False,,,,,[],0,0,Angola,#acasadosfs #tiktokfamil #family #quemrirseferra #tiktokangola #foryou,0,1,0,0,0,0,0,1,0,0
4,AO,7073119455370300677,1646838956, ,6874288228083893253,Felisberto Félix,"“_” Meu link pra página no YouTube 

https://youtube.com/channel/UCs5e13F3GIP6KZ",0,False,https://m.tiktok.com/v/7073119455370300677.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073119455370300677&source=h5_m,93996,314,160,854,2117,7073119440686385926,7073119440686385926,72,7073119440686385926,original sound - felisberto470,Felisberto Félix,6.874288228083893e+18,Felisberto Félix,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073119431064406790.mp3,,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
5,AO,7084670720172756230,1649528445,Irritantes Ya 💔,6814162167446733830,Lapierce19,"WELCOME❤️
   🇦🇴📍",0,False,https://m.tiktok.com/v/7084670720172756230.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084670720172756230&source=h5_m,104252,36,14,127,2478,7076362710732016390,7076362710732016390,72,7076362710732016390,original sound - memes_dodavinci,Nãotenhocabeçapara_isso _Memes,6.747190244217341e+18,Nãotenhocabeçapara_isso _Memes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076362715459078917.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7ef3b8646dd31dacf7366ddf48755cdf.json,False,False,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
6,AO,7097928504351788294,1652615265, ,6991865763256042502,Videos engraçado,"meta 15k🎊
🤪",0,False,https://m.tiktok.com/v/7097928504351788294.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097928504351788294&source=h5_m,346052,405,1516,8757,27724,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Angola,,0,0,0,0,0,0,0,0,0,0
7,GT,7095986092381392133,1652163016,V late to this trend but oh well ##fyp #booty,7083169801280472070,Sa$ha,"No face slim waist whole lotta a$$ 🌎 
IG-@sashatrvlslvt
TWITTER-@trvlslvt",0,False,https://m.tiktok.com/v/7095986092381392133.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095986092381392133&source=h5_m,6968461,5251,7903,46259,598027,6861833807453096709,6861833807453096709,72,6861833807453096709,STOP MAKING THIRST TRAPS WITH MY AUDIO. (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",6.622729350369313e+18,Hi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6861833776096430854.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6aef94fbb4d508bdf859ece5f7e69936.json,False,False,Beyoncé,Rocket,STOP MAKING THIRST TRAPS WITH MY AUDIO. (Contains music from: Rocket - Beyoncé),"Contains music from: ""Rocket""",[],0,0,Angola,##fyp #booty,0,0,0,0,1,0,0,0,0,0
0,AO,7087491841876036869,1650185290,Quem tá comer não está a reclamar 😭😆#fly #fy,6918082899627754501,deo roque,Insta:deolindaroque,0,False,https://www.tiktok.com/@deoroque8/video/7087491841876036869?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087491841876036869&source=h5_m,67857,26,45,588,5853,7087491798943386374,7087491798943386374,72,7087491798943386374,original sound - deoroque8,deo roque,6.918082899627754e+18,deo roque,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087491815427410694.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b37d7ab768e5e3bab75799861ca30b60.json,False,False,,,,,[],0,0,Angola,#fly #fy,0,0,0,1,0,0,0,0,0,0
1,BR,7070247983505362181,1646170390,Gostaram do meu biquíni de fita ? ❤️😻👙,6765989448750728198,Thais Carla,"JÁ SE AMOU NO ESPELHO HOJE?
SALVADOR - SÃO PAULO 
JOB: thais.carla@mynd8.com.br",0,False,https://www.tiktok.com/@thaiscarlaa_/video/7070247983505362181?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070247983505362181&source=h5_m,134661240,178011,884664,637230,4236174,7036487457500383233,7036487457500383233,10033,7036487457500383233,Sentadona (Ai Calica),Davi Kneip & MC Frog & Dj Gabriel do Borel,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9dad1c36f37745d5af16ee0297918ac1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a3d9987d46764978a5afa1fe14c8c155,True,True,,,,,[],0,0,Angola,,0,0,0,0,0,0,0,0,0,0
