,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_aruba,hash_asmr,hash_blowthisup,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_parati,hash_storytime,hash_viral
0,AW,7097700937959099653,1652562280,Ynw melly🔥 #ynwmelly #edit #blowthisup #Viral #fyp #rap,6996136910956643333,J😈,"AuA
Rap editz💯",0,False,https://m.tiktok.com/v/7097700937959099653.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097700937959099653&source=h5_m,358462,447,482,3780,32697,7097700923421575941,7097700923421575941,72,7097700923421575941,original sound - ayeitzjay11,J😈,6.996136910956643e+18,J😈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097700929461357318.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/48e6e566437c3424c129d0ef94cb30fe.json,False,False,[],0,0,,,,,Aruba,#ynwmelly #edit #blowthisup #Viral #fyp #rap,0,0,1,0,0,1,0,0,0,1
1,AW,7078715962710609157,1648141995,"wake up, be grateful 🙏  it‘s a game changer #begrateful #grateful #morningroutine #grateful #happiness",6676835536105718790,growingannanas,"Here to inspire ☀️

FITNESS | FOOD
more on IG + Youtube",0,False,https://m.tiktok.com/v/7078715962710609157.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078715962710609157&source=h5_m,104399,49,25,46,13859,7078715939398716165,7078715939398716165,72,7078715939398716165,original sound - growingannanas,growingannanas,6.676835536105719e+18,growingannanas,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078715951763426054.mp3,,False,False,[],0,0,,,,,Aruba,#begrateful #grateful #morningroutine #grateful #happiness,0,0,0,0,0,0,0,0,0,0
2,US,7074934985735605547,1647261669,Elmo found you!!,54539481520816129,Logan Thielbert,Don’t use Elmo’s bathroom,0,False,https://m.tiktok.com/v/7074934985735605547.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074934985735605547&source=h5_m,17842215,27753,379322,51452,2596754,7074934906454854443,7074934906454854443,72,7074934906454854443,original sound - logeypump23,Logan Thielbert,5.453948152081613e+16,Logan Thielbert,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7074934954576153386.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/378d39df4ad2f793ee89d917792cb796.json,False,False,[],0,0,,,,,Aruba,,0,0,0,0,0,0,0,0,0,0
3,US,7071266891574070574,1646407623,🤢🤢🤢 #fyp #tacobell #wdfisthis #shhhhh #foryoupage #trending,6842495097423447046,Paco🎋,"Dmv🛡
TyPe sHiT🪬",0,False,https://m.tiktok.com/v/7071266891574070574.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071266891574070574&source=h5_m,23695576,45680,137213,2421,822821,6897210916509599745,6897210916509599745,10033,6897210916509599745,Oh No Oh No Oh No No No,Dubskie,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/fd168483604c4861a072b5424f450d3b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b45d94a03b284f0284f7e5e542c8e51c,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1541221359', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Aruba,#fyp #tacobell #wdfisthis #shhhhh #foryoupage #trending,0,0,0,0,1,1,0,0,0,0
4,US,7078525415484280110,1648097630,Gotta love it 👍🏽lmaooo the last one is my favorite🥴🤣 #fyp #foryou,6728202332620080133,jeromecopeland99,"Rome🦋👽 
Follow me on insta for more vibez🕺🏾
itsrome@thefuelinjector.com",0,False,https://m.tiktok.com/v/7078525415484280110.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078525415484280110&source=h5_m,25169314,12461,10546,7280,2530690,7014868732271004417,7014868732271004417,72,7014868732271004417,Kingdanzz and FingerDanceMusic Remix Bow Bow Bow,FingerDanceMusic,6.958351653893309e+18,FingerDanceMusic,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7014868738247805697.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/11f042a39eba9a0bee69019cf10979bc.json,False,False,[],0,0,,,,,Aruba,#fyp #foryou,0,0,0,1,0,1,0,0,0,0
5,US,7090648557778160939,1650920268,Eye makeup 💄 #fyp #baseball #baseballboys #Totinos425 #fypシ #viral @Isaiah Robbins,6815290852770137094,Evan,"Follow the insta
Snap: evan.lucena1344",0,False,https://m.tiktok.com/v/7090648557778160939.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090648557778160939&source=h5_m,8705091,10276,6890,3488,1719203,6729148514581891845,6729148514581891845,72,6729148514581891845,original sound - valushkaaa,Val,6.643238429680501e+18,Val,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1642858933218358.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3128f3f18d71456b777a85e76f0a5fdd.json,False,False,[],0,0,,,,,Aruba,#fyp #baseball #baseballboys #Totinos425 #fypシ #viral,0,0,0,0,0,1,1,0,0,1
6,MX,7103307356280343814,1653867627, ,21401120,Sofia,"Dm me on insta 
Snap: xophied",0,False,https://m.tiktok.com/v/7103307356280343814.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103307356280343814&source=h5_m,136509,133,52,75,28784,7069521979740834606,7069521979740834606,72,7069521979740834606,original sound - 1shaee._,Tyshae Freeman,249599.0,Tyshae Freeman,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7069522006693268270.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8e0633422682b4ebbda85439ed1ffa42.json,False,False,[],0,0,,,,,Aruba,,0,0,0,0,0,0,0,0,0,0
7,AU,7102171035268549893,1653603055,Swat teams going in … #apocalypse #bondibeach #monster #sydney #bondi,6780499123570410502,Mim 🧚🏼‍♀️,"basically the Aussie Emily in Paris 
Working at Benefit Cosmetics 💘",0,False,https://m.tiktok.com/v/7102171035268549893.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102171035268549893&source=h5_m,6220608,6628,8941,7755,531163,6933570822430837510,6933570822430837510,10036,6933570822430837510,Hoist the Colours,Colm R. McGuinness,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/cdc19d90ac5740378bc517b4fab03dd3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/532c7d3a6b904a2fb943ec23fe1a6d37,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1576307072', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Aruba,#apocalypse #bondibeach #monster #sydney #bondi,0,0,0,0,0,0,0,0,0,0
0,AW,7101033547007413510,1653338213,It's been so long without you barber,7031763697261773830,Gay Memes 🌈,The Gay Algorithm 🏳️‍🌈,0,False,https://www.tiktok.com/@gaymemestiktok/video/7101033547007413510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101033547007413510&source=h5_m,2894285,3316,3161,7282,266645,7101033536181816070,7101033536181816070,72,7101033536181816070,I miss you barber,Gay Memes 🌈,7.031763697261774e+18,Gay Memes 🌈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101033541949590277.mp3,,False,False,[],0,0,,,,,Aruba,,0,0,0,0,0,0,0,0,0,0
1,AW,7075835996515896622,1647471450,don't play with me bro😂 @Bang Energy #BangEnergy @bangenergy.ceo,14166631,GIL CROES,"making u laugh is my priority 😉
A R T 
@BangEnergy
Biz: charlie@sparkmedia.la",0,False,https://www.tiktok.com/@gilmhercroes/video/7075835996515896622?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075835996515896622&source=h5_m,2792057,829,981,2760,187641,7049922795904043822,7049922795904043822,72,7049922795904043822,original sound - josh1morris,Josh,8.488353834849485e+16,Josh,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7049922816430492462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/85a0c37c6753adf9f10498a9b4f1e27d.json,False,False,[],0,0,,,,,Aruba,#BangEnergy,0,0,0,0,0,0,0,0,0,0
