,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_azerbaycan,hash_foryou,hash_fyp,hash_fypシ,hash_kesfet,hash_kesfetteyiz,hash_kesfetteyizzzzz,hash_keşfet,hash_keşfetteyizzz,hash_tiktok
0,AZ,7103036885227867393,1653804652,taniyinne  sjsjsjsj,7027358705717756929,🥥,❤️10K,0,False,https://www.tiktok.com/@mehkso/video/7103036885227867393?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103036885227867393&source=h5_m,365070,127,474,665,21478,7098967604840139522,7098967604840139522,72,7098967604840139522,original sound - mahoo.music (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",6.908984612086613e+18,Maho Music,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098967593477851905.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c82dd363855bfb7f36774dd655a00e36.json,False,False,Elley Duhé,MIDDLE OF THE NIGHT,original sound - mahoo.music (Contains music from: MIDDLE OF THE NIGHT - Elley Duhé),"Contains music from: ""MIDDLE OF THE NIGHT""",[],0,0,Azerbaijan,,0,0,0,0,0,0,0,0,0,0
1,AZ,7095462941864119554,1652041205,#ALLAHU ƏKBƏR#namaz qılırsızmı?#,6718649203101139974,Hərbiçi oğlan ƏLHƏMDULİLLAH,Allah tekdir onun şeriki yoxdur 🕌🕋☝,0,False,https://www.tiktok.com/@kasib_heyatim22/video/7095462941864119554?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095462941864119554&source=h5_m,11963021,6508,4426,12711,325816,7017403953960848130,7017403953960848130,72,7017403953960848130,original sound - 12_imam__huseyn_official (Contains music from: Tasbihaat Zahra (Original Mix) - Mahdi Rasouli & Mahdi Rasouli),"Contains music from: ""Tasbihaat Zahra (Original Mix)""",7.010051503063598e+18,ALLAHI SEVƏN☝️❤يا حسين🏴,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7017403948365662977.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1fb313a167725e33901cd3569e6129f1.json,False,False,Mahdi Rasouli & Mahdi Rasouli,Tasbihaat Zahra (Original Mix),original sound - 12_imam__huseyn_official (Contains music from: Tasbihaat Zahra (Original Mix) - Mahdi Rasouli & Mahdi Rasouli),"Contains music from: ""Tasbihaat Zahra (Original Mix)""",[],0,0,Azerbaijan,#ALLAHU #namaz #,0,0,0,0,0,0,0,0,0,0
2,DE,7099479705157389574,1652976435,#gym #fyp #motivation #viral #bodybuilding #xyzbca #bodybuilding #xyzbca #zyzz #gymtok #greekgod #flex #workout #back,7080996585178694661,guko.x,"All way natty 
🇵🇸free Palestine
Follow my ig",0,False,https://www.tiktok.com/@guko.x/video/7099479705157389574?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099479705157389574&source=h5_m,1335026,702,634,1137,107289,6998065852155284229,6998065852155284229,10036,6998065852155284229,Plain Jane,Ilkan Gunuc & Emie,,,False,False,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f867a5894bb1494c8fdeea750b2fbd58,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e1eeddc4dc484ffb848e8533c69ea4e0,True,True,,,,,[],0,0,Azerbaijan,#gym #fyp #motivation #viral #bodybuilding #xyzbca #bodybuilding #xyzbca #zyzz #gymtok #greekgod #flex #workout #back,0,0,1,0,0,0,0,0,0,0
3,PA,7073234211796258054,1646865676, ,6535827036714308623,Rene Gonzalez Byken,"🇻🇪

Model of 👇🏻🔥",0,False,https://www.tiktok.com/@renegonzalezzy/video/7073234211796258054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073234211796258054&source=h5_m,20901235,77591,83962,50020,2064349,7069492613170072326,7069492613170072326,72,7069492613170072326,House of the Rising Sun (Contains music from: House of the Rising Sun - Remastered - The Animals),"Contains music from: ""House of the Rising Sun - Remastered""",6.909952097623983e+18,sourwing_anti_cancer,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069492609358760709.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b7c158eb1b317a3429c2b1caaa7b9500.json,False,False,The Animals,House of the Rising Sun - Remastered,House of the Rising Sun (Contains music from: House of the Rising Sun - Remastered - The Animals),"Contains music from: ""House of the Rising Sun - Remastered""",[],0,0,Azerbaijan,,0,0,0,0,0,0,0,0,0,0
4,AZ,7087776929163627777,1650251668,#takibat #fupa #birbolaiyq #tamara #kazaxstan🇰🇿 #duetet #бирболайык #👍🏻 #👏 #fupp #türkiyem🇹🇷🇹🇷🇹🇷 #ozbekiston🇺🇿 #gürcüsdan🇬🇪🇦🇿 #лайкподписка #,6913487883207099393,Leman,"Videoları ard-arda bəyənməyin ❌
 Eks halda blok olunacaqsız 🚫",0,False,https://www.tiktok.com/@__leman__12/video/7087776929163627777?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087776929163627777&source=h5_m,9937964,453,386,3348,148229,7087776915209243393,7087776915209243393,72,7087776915209243393,original sound - __leman__12 (Contains music from: Tamara - Boburbek Arapbaev),"Contains music from: ""Tamara""",6.913487883207099e+18,Leman,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087776854983133953.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d7f03ae2db7a5ff5f5ecc4fec0d3b870.json,False,False,Boburbek Arapbaev,Tamara,original sound - __leman__12 (Contains music from: Tamara - Boburbek Arapbaev),"Contains music from: ""Tamara""",[],0,0,Azerbaijan,#takibat #fupa #birbolaiyq #tamara #kazaxstan🇰🇿 #duetet #бирболайык #👍🏻 #👏 #fupp #türkiyem🇹🇷🇹🇷🇹🇷 #ozbekiston🇺🇿 #gürcüsdan🇬🇪🇦🇿 #лайкподписка #,0,0,0,0,0,0,0,0,0,0
5,TR,7079034781270314242,1648216225,#bundansonraböyleçalışmayacam #realmeWishList #fyp #kesfet,6927267814929024001,deli_mizahşör,Gülmek için takip edin 👍,0,False,https://www.tiktok.com/@deli_mizahsor/video/7079034781270314242?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079034781270314242&source=h5_m,7208756,1225,44198,1774,268016,7079034763306126081,7079034763306126081,72,7079034763306126081,original sound - deli_mizahsor,deli_mizahşör,6.927267814929024e+18,deli_mizahşör,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7079034748361771777.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1b72f6bfcb41f4ea7e8184d78515a3b.json,False,False,,,,,[],0,0,Azerbaijan,#bundansonraböyleçalışmayacam #realmeWishList #fyp #kesfet,0,0,1,0,1,0,0,0,0,0
6,AZ,7098415251980406018,1652728597,Sehfe Satlır 🖤,6781035716749034501,🔱 Sehife Satılır 🔱,"Sehife Satılır 💰💵
 🇦🇿𝐿𝑒𝑛𝑘𝑒𝑟𝑎𝑛 🇦🇿",0,False,https://www.tiktok.com/@vasif_432/video/7098415251980406018?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098415251980406018&source=h5_m,4204764,1527,4337,27980,281289,7098415263950867202,7098415263950867202,72,7098415263950867202,original sound - vasif_432 (Contains music from: Yar Bilsin - Nurlan Ordubadlı),"Contains music from: ""Yar Bilsin""",6.781035716749034e+18,🔱 Sehife Satılır 🔱,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098415259609860866.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/72ae84af7827b69e335577c62d1d3987.json,False,False,Nurlan Ordubadlı,Yar Bilsin,original sound - vasif_432 (Contains music from: Yar Bilsin - Nurlan Ordubadlı),"Contains music from: ""Yar Bilsin""",[],0,0,Azerbaijan,,0,0,0,0,0,0,0,0,0,0
7,AZ,7103189002408299778,1653840069,indi Sizin Yorumlari gozluyurem ?😂,94258218154999808,cenabulvi,Instagram: Cenabulvi,0,False,https://www.tiktok.com/@cenabulvi/video/7103189002408299778?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103189002408299778&source=h5_m,117594,345,122,252,12510,7103189006275447553,7103189006275447553,72,7103189006275447553,original sound - cenabulvi,cenabulvi,9.42582181549998e+16,cenabulvi,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103189012810074881.mp3,,False,False,,,,,[],0,0,Azerbaijan,,0,0,0,0,0,0,0,0,0,0
0,AZ,7102800920429268225,1653749711,#fyp #kesfet #prezdent,7035358757044569094,qadirovcavid,,0,False,https://www.tiktok.com/@qadirovcavid/video/7102800920429268225?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102800920429268225&source=h5_m,850662,1158,1379,193,45266,6709414254446905345,6709414254446905345,10033,6709414254446905345,Suspus,Ceza,,,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8310f7bdc60d451f91ca9fb344e9eac7,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8eceafbdbfa24edfaebf493f7be5f04a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1215788130', 'external_song_key': 'apple_song_id'}]",0,0,Azerbaijan,#fyp #kesfet #prezdent,0,0,1,0,1,0,0,0,0,0
1,AZ,7102920620245126402,1653777582, ,6931316250782499841,Zefer,,0,False,https://www.tiktok.com/@tenhadayi/video/7102920620245126402?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102920620245126402&source=h5_m,141134,256,288,32,8998,7102920606953327361,7102920606953327361,72,7102920606953327361,original sound - tenhadayi (Contains music from: انتي معلمه - عمر كمال),"Contains music from: ""انتي معلمه""",6.9313162507825e+18,Zefer,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102920549085530882.mp3,,False,False,عمر كمال,انتي معلمه,original sound - tenhadayi (Contains music from: انتي معلمه - عمر كمال),"Contains music from: ""انتي معلمه""",[],0,0,Azerbaijan,,0,0,0,0,0,0,0,0,0,0
