,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_bdtiktokofficial,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_unfrezzmyaccount,hash_video,hash_viral
0,BD,7103133961282391322,1653827252,Mention করুন আপনার সেই বন্ধুকে যে বার বার বাইক এর চাবি চায় 🤣 @Nobel Mahmud #princemamun143,6604461353082912773,🔥🤴🏻M_A_M_U_N🔥,"Public figure 
00:43 ━●━━━━━━━━━ 5:28
⇆ㅤㅤ◁ㅤㅤ❚❚ㅤㅤ▷ㅤ ↻
Like follow my FB page👇🏻",0,False,https://www.tiktok.com/@princemamun143/video/7103133961282391322?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103133961282391322&source=h5_m,3260729,1222,1519,7184,330652,7082358078561192730,7082358078561192730,72,7082358078561192730,original sound - pappu.2002,Pappu Vaiya,6.628063612932588e+18,Pappu Vaiya,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082358114019756827.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c4bcbc0bf8e972023f20ec86678a1fa0.json,False,False,,,,,[],0,0,Bangladesh,#princemamun143,0,0,0,0,0,0,0,0,0,0
1,BD,7103026689516588314,1653802276,I made this🤣🤣 #fypシ,6747500961583006725,👑ESHA🧚🏻,"💕Love to being simple😅
Wish me 12 April☺️🍰
🏘Narayangonj",0,False,https://www.tiktok.com/@myself_esha/video/7103026689516588314?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103026689516588314&source=h5_m,601337,328,122,466,43505,6964579724241455106,6964579724241455106,10033,6964579724241455106,Tigini,Kikimoteleba,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a5a6aee58ca246b9a806ae914d1d78bb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/29b0c2fc9f7e47228fd70b89dcd6338c,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1568446684', 'external_song_key': 'apple_song_id'}]",0,0,Bangladesh,#fypシ,0,0,0,0,1,0,0,0,0,0
2,US,7091218677088963882,1651053014,"My name is William and i have no split personality.but i like to act double face😊,Can you give me some encouragement?#william #fyp #sing #doubleface #visualstimulus #followers😘thanku #foryou #tiktok #fypシ @tiktok",7088601986614133802,William,Follow me for more exciting content😘,0,False,https://www.tiktok.com/@doublefaceo/video/7091218677088963882?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091218677088963882&source=h5_m,37782406,29587,48099,65735,3053152,7091218417872767790,7091218417872767790,72,7091218417872767790,original sound - doublefaceo,William,7.088601986614134e+18,William,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7091218605618039594.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/45e185bb822711bcde2e5415bffbc83e.json,False,False,,,,,[],0,0,Bangladesh,#william #fyp #sing #doubleface #visualstimulus #followers😘thanku #foryou #tiktok #fypシ,0,1,0,1,1,1,0,0,0,0
3,BD,7095688739606891802,1652093777, ,7094215062492414981,@ Akash 1234,B  l love you,0,False,https://www.tiktok.com/@akashvaiofficial04/video/7095688739606891802?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095688739606891802&source=h5_m,763654,3135,11234,2485,279251,7093768904320928538,7093768904320928538,72,7093768904320928538,original sound - rajesh63770,Hridoy,6.994696790969599e+18,Hridoy,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7093768893357247258.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a160e4e3c2a1e0b9d96180527773f906.json,False,False,,,,,[],0,0,Bangladesh,,0,0,0,0,0,0,0,0,0,0
4,PK,7103334261574339867,1653873889,please don't under review #fyp #foryou #fypシ #tiktokchaina先生让我出名我正在努力 #viralvideo #100k #xxx #xxxtentaction #por,7103202115387966491,user135094517683,,0,False,https://www.tiktok.com/@china_boxing7901/video/7103334261574339867?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103334261574339867&source=h5_m,1686,8,26,5,110,7101609922051263258,7101609922051263258,72,7101609922051263258,original sound - saraiki__status,💫𝙰𝚛𝚜𝚕𝚊𝚗 𝚂𝚊𝚛𝚒𝚖💫,6.834828922208994e+18,💫𝙰𝚛𝚜𝚕𝚊𝚗 𝚂𝚊𝚛𝚒𝚖💫,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7101609939545770778.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/47723e8f545a69e25f31b2e8f0046d07.json,False,False,,,,,[],0,0,Bangladesh,#fyp #foryou #fypシ #tiktokchaina先生让我出名我正在努力 #viralvideo #100k #xxx #xxxtentaction #por,0,1,0,1,1,0,0,0,0,0
5,BD,7102820898498956570,1653754362,#এই গানটা কার কার ভালো লাগে#foryou #sinhajara5 #unfrezzmyaccount #fpyツ #foryoupage #bttiktokofficial🤞✌️🤘,6770977873312433158,—SinHa—,"Assalamu Alaikum
-wish me On: August 21
  
Narsingdi maye",0,False,https://www.tiktok.com/@sinha..jara..5/video/7102820898498956570?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102820898498956570&source=h5_m,64305,75,626,20,4174,6851211705091951362,6851211705091951362,72,6851211705091951362,original sound - dristy_anam (Contains music from: Sawan Aaya Hai - Arijit Singh),"Contains music from: ""Sawan Aaya Hai""",3.0862889267481395e+17,𝔇𝔯𝔦𝔰𝔱𝔶_𝔄𝔫𝔞𝔪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6851211422463052545.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4bed47d0776b6acceb3ee8d39ea44275.json,False,False,Arijit Singh,Sawan Aaya Hai,original sound - dristy_anam (Contains music from: Sawan Aaya Hai - Arijit Singh),"Contains music from: ""Sawan Aaya Hai""",[],0,0,Bangladesh,#এই #foryou #sinhajara5 #unfrezzmyaccount #fpyツ #foryoupage #bttiktokofficial🤞✌️🤘,0,1,1,0,0,0,0,1,0,0
6,BD,7102039054648102171,1653572324,Reply to @rabiul1016 #capcut #ভোলার🇧🇩ছেলে #প্রিয় #mushfiqur_rahim #cricket #foryoupege #ilove_mushy_fans #ক্রিকেট_প্রেমী,6852621888892961793,🖤Mushfiq.15 Lover❤Tanvir🖤,"Big fan Of Mushfiqur Rahim.15
ID""Sh.Tanvir b🇧🇩d cricket lover ❤
Bhola Lalmohan",0,False,https://www.tiktok.com/@sh.tanvir..15/video/7102039054648102171?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102039054648102171&source=h5_m,2387279,1462,2475,442,397001,7082700030171155226,7082700030171155226,72,7082700030171155226,original sound - jeon.chnv,ভালা পুলাগো শয়তান বউ🌚,6.913030053254055e+18,ভালা পুলাগো শয়তান বউ🌚,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082700039679740698.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dbcf83ab8cf18a59921fbc25fc439c33.json,False,False,,,,,[],0,0,Bangladesh,#capcut #ভোলার🇧🇩ছেলে #প্রিয় #mushfiqur_rahim #cricket #foryoupege #ilove_mushy_fans #ক্রিকেট_প্রেমী,0,0,0,0,0,0,0,0,0,0
7,TR,7093944145328311553,1651687582,hhhhh🤣🤣🤣🤣🤣,7086051407652160513,𝐌𝐫_𝐯𝐢𝐨🖤,"my☺💫
dream💭
1m🎉♥️🎊",0,False,https://www.tiktok.com/@khaludi_0/video/7093944145328311553?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093944145328311553&source=h5_m,11102958,1180,5298,22166,260579,7084951997350251266,7084951997350251266,72,7084951997350251266,original sound - orici4 (Contains music from: Paul Aussaresses - K3t Savage),"Contains music from: ""Paul Aussaresses""",7.084321733624808e+18,orici4,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084951974914902786.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/efcdf9d32fde9c3062dc4c6a641e0b58.json,False,False,K3t Savage,Paul Aussaresses,original sound - orici4 (Contains music from: Paul Aussaresses - K3t Savage),"Contains music from: ""Paul Aussaresses""",[],0,0,Bangladesh,,0,0,0,0,0,0,0,0,0,0
0,BD,7099609567234903323,1653006666,#foryou,6956812444221719558,RSD OMOR YT,💘পাশে💘পাবেন💘লাইক💘দিলে💘লাইক পাবেন💘ফলোদিলে💘ফলো 💘বেক পাবেন🥰,0,False,https://www.tiktok.com/@__omor___on___fire/video/7099609567234903323?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099609567234903323&source=h5_m,683741,73,10708,2554,203320,7099119687514032922,7099119687514032922,72,7099119687514032922,original sound - rakib46333,rakib46333,7.087131416971085e+18,rakib46333,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7099119714160380699.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/79e301e88c28ee554781a2a638f54fc2.json,False,False,,,,,[],0,0,Bangladesh,#foryou,0,1,0,0,0,0,0,0,0,0
1,BD,7076367729191554331,1647595254,#viral #video #fypシ #😁,6584689228947849222,🏍️ Crazy🏍️ Rider🏍️,"alhamdulillah For Everything 🙂
❤️❤️SYLHETY❤️❤️
🏍️CRAZY RIDER🏍️
👉PUBG LOVR👈",0,False,https://www.tiktok.com/@sk_salauddin_ahmed/video/7076367729191554331?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076367729191554331&source=h5_m,5407601,1223,4958,30506,396791,7000380287863606042,7000380287863606042,72,7000380287863606042,original sound - aminahmed3516,আমিন আহমেদ,6.972419778728625e+18,আমিন আহমেদ,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7000380249712184091.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e98009652d5dca98f7a2af949c5f46be.json,False,False,,,,,[],0,0,Bangladesh,#viral #video #fypシ #😁,0,0,0,0,1,0,0,0,1,1
