,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_benintiktok,hash_duo,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_pourtoi,hash_tiktok,hash_trending,hash_viral
0,BJ,7095807861439188229,1652121513,Quand deux génies se rencontrent 😱 Dc: @Axel Merryl and me  🫵🫠😵‍💫❤️‍🔥,6930603810827355142,Théma YOROU,"Creator vidéo🕺
~🤘Créativité🥴.~.🥴Originalité🤘~
 🙏👇Follow me Instagram👇🙏",0,False,https://www.tiktok.com/@tmacrush_officiel/video/7095807861439188229?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095807861439188229&source=h5_m,14362520,11853,12031,33188,2412194,7069618411218684678,7069618411218684678,72,7069618411218684678,SmukDj ft Dj Panther Dance Grenade (Contains music from: Body Breaker - DJ KAYSMART),"Contains music from: ""Body Breaker""",6.928051654269175e+18,Mr NT,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069618372446866181.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/22667920d6f0bedfaa9074a906edb804.json,False,False,DJ KAYSMART,Body Breaker,SmukDj ft Dj Panther Dance Grenade (Contains music from: Body Breaker - DJ KAYSMART),"Contains music from: ""Body Breaker""",[],0,0,Benin,,0,0,0,0,0,0,0,0,0,0
1,FR,7100598020043050245,1653236809, ,6857988396750226438,Fyfy_elegance_diallo,"🇬🇳𝔾𝕠𝕕’𝕤 ℙ𝕝𝕒𝕟🇬🇳🇫🇷 
Snapchat 👻fanta_elegance",0,False,https://www.tiktok.com/@fyfy_elegance_diallo/video/7100598020043050245?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100598020043050245&source=h5_m,1142662,790,1459,586,61321,7100598016620514054,7100598016620514054,72,7100598016620514054,original sound - fyfy_elegance_diallo,Fyfy_elegance_diallo,6.857988396750226e+18,Fyfy_elegance_diallo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100598021037099781.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7580b547a2fcef409cec2328d4944d17.json,False,False,,,,,[],0,0,Benin,,0,0,0,0,0,0,0,0,0,0
2,NG,7095442922304310533,1652036544,#BUGA 🦚🦚🦚,6808546376440759301,greatvado,#Buga 🦚- Out now,0,False,https://www.tiktok.com/@greatvado/video/7095442922304310533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095442922304310533&source=h5_m,24149049,16061,66544,457247,1922905,7095442927916157701,7095442927916157701,72,7095442927916157701,original sound - greatvado (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.808546376440759e+18,greatvado,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095442917216619270.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6d7f0a027e883f2397c7cd60fb539f9b.json,False,False,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - greatvado (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",[],0,0,Benin,#BUGA,0,0,0,0,0,0,0,0,0,0
3,FR,7103109777206611205,1653821625, ,6887729946099598338,Brege,IG:unclebrege7,0,False,https://www.tiktok.com/@brege0/video/7103109777206611205?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103109777206611205&source=h5_m,367098,1491,692,34,18526,6919286566737595142,6919286566737595142,72,6919286566737595142,original sound - ocxydiamente (Contains music from: Chiwana - Dee-Jay),"Contains music from: ""Chiwana""",6.648382871596302e+18,Ocxy Diamente,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990522230501378821.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1ac1ece22f2cf971cf333c4e0ed79d4f.json,False,False,Dee-Jay,Chiwana,original sound - ocxydiamente (Contains music from: Chiwana - Dee-Jay),"Contains music from: ""Chiwana""",[],0,0,Benin,,0,0,0,0,0,0,0,0,0,0
4,FR,7072645867517250822,1646728692,#pourtoi #pourtoii #lasertattooremoval #tattooremovalspecialists,6776297272197972998,Docteur Christian Fayard,"🪄Médecin esthétique 
🇪🇺Amiens, France 🇫🇷
📲 03 22 91 61 30",0,False,https://www.tiktok.com/@dr.christian.fayard/video/7072645867517250822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072645867517250822&source=h5_m,95736462,6771,14827,17107,1775817,7072645760407620358,7072645760407620358,72,7072645760407620358,original sound - dr.christian.fayard,Docteur Christian Fayard,6.776297272197973e+18,Docteur Christian Fayard,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072645796461595397.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7dc4142ca89a0a5aff61534b78d0fbf9.json,False,False,,,,,[],0,0,Benin,#pourtoi #pourtoii #lasertattooremoval #tattooremovalspecialists,0,0,0,0,0,0,1,0,0,0
5,FR,7100221321346370822,1653149102, ,7077888346631177222,Elena,,0,False,https://www.tiktok.com/@life4046/video/7100221321346370822?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100221321346370822&source=h5_m,16849237,8137,65000,4820,1716506,6880141158211685121,6880141158211685121,72,6880141158211685121,original sound - _habibi_official_,❤habibi_official❤,6.801379700298122e+18,❤habibi_official❤,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6880141111831153410.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/230e86245ea581067b01fc6d4f91894d.json,False,False,,,,,[],0,0,Benin,,0,0,0,0,0,0,0,0,0,0
6,BJ,7084637598311927045,1649520733,That’s all,6892293838554399749,@adeherself,"IG @adeherself 
A positive mind is a positive interest 🤍🙏🏼🤍",0,False,https://www.tiktok.com/@adeherself_original/video/7084637598311927045?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084637598311927045&source=h5_m,36763,65,43,441,4351,7084637580377410310,7084637580377410310,72,7084637580377410310,original sound - adeherself_original,@adeherself,6.8922938385544e+18,@adeherself,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084637582935526149.mp3,,False,False,,,,,[],0,0,Benin,,0,0,0,0,0,0,0,0,0,0
7,NG,7094927795435867397,1651916607,Lyrics of the year🤣🤣 #fyp  #brainjotter  #funny  #viral,6810285179828945926,Chukwuebuka,All my craze are on youtube. Kindly subscribe if u laughed🙏 see link below,0,False,https://www.tiktok.com/@brainjotter/video/7094927795435867397?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094927795435867397&source=h5_m,3789033,7463,14736,178998,419141,7094927739391675142,7094927739391675142,72,7094927739391675142,original sound - brainjotter (Contains music from: Full Chicken - Brain Jotter),"Contains music from: ""Full Chicken""",6.810285179828946e+18,Chukwuebuka,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094927730923293445.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a1a6f75bd30c190132884d58bcddf2f0.json,False,False,Brain Jotter,Full Chicken,original sound - brainjotter (Contains music from: Full Chicken - Brain Jotter),"Contains music from: ""Full Chicken""",[],0,0,Benin,#fyp #brainjotter #funny #viral,0,0,0,0,1,0,0,0,0,1
0,FR,7099164066962214150,1652902941,C’est pas la classe ça ? @Khabane lame #festivaldecannes #festivaldecannes2022  #redcarpet @dypaw5r8b0bc,6907888165710873606,Gilles Kyriacos,CANNES PHØTØ ACADEMY bY GillK est un centre de formation intensive a la photo,0,False,https://m.tiktok.com/v/7099164066962214150.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099164066962214150&source=h5_m,7283677,4779,6037,2689,446825,7099164061845211909,7099164061845211909,72,7099164061845211909,original sound - cannes_photo_academy,Gilles Kyriacos,6.907888165710874e+18,Gilles Kyriacos,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099164088030939909.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/68fd3d3b90dfb142defd2f9d0d4833ac.json,False,False,,,,,[],0,0,Benin,#festivaldecannes #festivaldecannes2022 #redcarpet,0,0,0,0,0,0,0,0,0,0
1,FR,7092478491618266373,1651346334,#art #fyp #streetphotography #photography #photographer,7073204963028288517,Jean Black,"Exclusive content 
on YouTube
🔽🔽🔽",0,False,https://m.tiktok.com/v/7092478491618266373.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092478491618266373&source=h5_m,22897171,17018,7485,498,3812364,7092478498467564294,7092478498467564294,72,7092478498467564294,original sound - jinnoir,Jean Black,7.073204963028289e+18,Jean Black,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092478492788509445.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30ecee66c8923ae424b86fd9388c1cc7.json,False,False,,,,,[],0,0,Benin,#art #fyp #streetphotography #photography #photographer,0,0,0,0,1,0,0,0,0,0
