,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_trending,hash_viral,hash_xyzbca
0,VN,7100073163438034203,1653114605,I’m handsome 🤣🤣#ytietofficial #ytietofficial #iamhandsome #soytietnumbersong,6795887138875720706,Ytiet Official,Contact book page & Sing number song birthday Cameo:  📩 soytiet41@gmai.com,0,False,https://www.tiktok.com/@ytietofficial/video/7100073163438034203?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100073163438034203&source=h5_m,2986774,4834,28828,24304,245418,7100073170526325531,7100073170526325531,24,7100073170526325531,original sound - ytietofficial,Ytiet Official,6.795887138875721e+18,Ytiet Official,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7100073171627248410.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/095b76fa181e4bd6bc8d3c9bd56dd1ad.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#ytietofficial #ytietofficial #iamhandsome #soytietnumbersong,0,0,0,0,0,0,0,0,0,0
1,GB,7103263096814226693,1653857321,#duet with @akamztwenty20 I think that fire was scared too 😂,7050617080755799045,Fabio Jackson,No bio yet,0,False,https://www.tiktok.com/@theefabiojackson/video/7103263096814226693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103263096814226693&source=h5_m,677207,575,267,1781,76829,7101717929498102534,7101717929498102534,72,7101717929498102534,original sound - akamztwenty20,Akamz,7.963910428337766e+16,Akamz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101717927988251397.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd5db39a37ecf55411aa39134b486b48.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#duet,0,0,0,0,0,0,0,0,0,0
2,US,7082056272681454894,1648919721,See ya soon mom😆 inspo @Karly Kimes,26880250,Lexi Rivera,Lexi Rivera,0,False,https://www.tiktok.com/@lexibrookerivera/video/7082056272681454894?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082056272681454894&source=h5_m,13980193,3352,9620,12219,1580088,6877731382148238086,6877731382148238086,72,6877731382148238086,original sound - themillerfam (Contains music from: Sippin' the Coffee - Carnival of Soul),"Contains music from: ""Sippin' the Coffee""",6.777707296429655e+18,The Miller Fam,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6877731275591994118.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/f8e863f2bfa8a489acb29de5b33101d0.json,False,False,Carnival of Soul,Sippin' the Coffee,original sound - themillerfam (Contains music from: Sippin' the Coffee - Carnival of Soul),"Contains music from: ""Sippin' the Coffee""",[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
3,SA,7070887052916559106,1646319184,😭,6809539474466767878,💌,,0,False,https://www.tiktok.com/@theycallmelauurrenn/video/7070887052916559106?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070887052916559106&source=h5_m,15109443,43233,133209,224005,3228781,7070887037548743425,7070887037548743425,72,7070887037548743425,original sound - theycallmelauurrenn (Contains music from: I Love You So - The Walters),"Contains music from: ""I Love You So""",6.809539474466768e+18,💌,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7070887036928232194.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dd092d6925af465c84faeee02f5e053d.json,False,False,The Walters,I Love You So,original sound - theycallmelauurrenn (Contains music from: I Love You So - The Walters),"Contains music from: ""I Love You So""",[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
4,GB,7103308833358990598,1653867970,#crystals #fyp #foryou #tik_tok #trend #trending,7041465043267863558,healingcrystalstone,Crystal wholesale inChina.  US  sales 👇👇🛒 shopping 🛒👇👇,0,False,https://www.tiktok.com/@healingcrystalstone/video/7103308833358990598?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103308833358990598&source=h5_m,581,2,0,2,45,6986129844773997317,6986129844773997317,72,6986129844773997317,Extremely Lucky 12 Seconds,CleverGirl Vision,6.823349559667639e+18,CleverGirl Vision,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6999843526460852997.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bf4659c8604c9c5ed3203c07f674344a.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#crystals #fyp #foryou #tik_tok #trend #trending,0,1,0,0,1,0,0,1,0,0
5,US,7075792935987481899,1647461424,☺️ #fyp,6551734608789782533,sara,"20
WME
one woman show 
business inquiries 💌: sara@sixsevenmedia.com",0,False,https://www.tiktok.com/@saraecheagaray/video/7075792935987481899?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075792935987481899&source=h5_m,28811691,19008,17131,98550,4940933,7046359474143038213,7046359474143038213,72,7046359474143038213,original sound - speedsongswr (Contains music from: Ain't Shit - Doja Cat),"Contains music from: ""Ain't Shit""",7.03897795175796e+18,speedsongswr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7046359497543420677.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/712e2a66adb1f634a6f77a4a6149f05c.json,False,False,Doja Cat,Ain't Shit,original sound - speedsongswr (Contains music from: Ain't Shit - Doja Cat),"Contains music from: ""Ain't Shit""",[],0,0,"Bonaire, Sint Eustatius and Saba",#fyp,0,0,0,0,1,0,0,0,0,0
6,US,7075518205896265002,1647397461,#throwbackvideo #toddlermom #momoftwo #momoftwoboys,63489610357420033,Julie Pearl Cablayan,"Random Content just for fun!
Please no SPAM LIKES!",0,False,https://www.tiktok.com/@jooleemomi/video/7075518205896265002?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075518205896265002&source=h5_m,38151721,27087,148243,62207,2459798,6669359850356476678,6669359850356476678,72,6669359850356476678,original sound - whenfandomstrikes,Kels Ferguson,6.579368099388342e+18,Kels Ferguson,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1628260837615669.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/51941fc88174b08c8a1af1df15666887.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#throwbackvideo #toddlermom #momoftwo #momoftwoboys,0,0,0,0,0,0,0,0,0,0
7,BR,7083199036525776133,1649185792,RESULT ON MY PROFILE,143628855109365760,Guicapivara,"StopMotion Diy Tutorial✂️🎨
 📨guicapivara88@gmail.com📨",0,False,https://www.tiktok.com/@guicapivara_/video/7083199036525776133?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083199036525776133&source=h5_m,20619007,45185,13205,13871,1676883,7066125789452241670,7066125789452241670,72,7066125789452241670,ur dad,NR⏳🤍,7.024577694205543e+18,NR⏳🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7066126724324723461.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ee3bb86827a68d456d2a056c466d912.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
0,US,7074628474593545518,1647190302,This absolutely Shreked me,6727327145951183878,Will Smith,Same kid from West Philly.,0,False,https://www.tiktok.com/@willsmith/video/7074628474593545518?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074628474593545518&source=h5_m,93028798,130195,32700,66717,12860063,7063374534715411205,7063374534715411205,72,7063374534715411205,original sound - arshia__bk,Arshia_bokaiyan,6.926691804377941e+18,Arshia_bokaiyan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063374532832152326.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c308ecc6f5f8c04984998b59263e90e4.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",,0,0,0,0,0,0,0,0,0,0
1,MX,7103310040966204678,1653868252,You could never tbh 🥳 #xzycba #fyp,21401120,Sofia,"Dm me on insta 
Snap: xophied",0,False,https://www.tiktok.com/@xo.phiee/video/7103310040966204678?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103310040966204678&source=h5_m,419729,991,36,157,73791,7083148175143996165,7083148175143996165,72,7083148175143996165,original sound - speed.songxsss,geovanna😁,7.04618319904406e+18,geovanna😁,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083148190840670982.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9802ee835fcaea55c47b26a5730933b3.json,False,False,,,,,[],0,0,"Bonaire, Sint Eustatius and Saba",#xzycba #fyp,0,0,0,0,1,0,0,0,0,0
