,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_0324mytest,hash_bhutanesemuser,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_tiktok,hash_viral,hash_xyzbca
0,BT,7097989413615062274,1652629445,Reply to @jamaika.happy Tsersho nan😜😂#fyp #xyzbca #0324mytest #luccylife,6572490330510999557,Sonam Luccy Dorjee✅,"”Live a positive life”, coz you aren’t gonna get a second chance✅💕 Promotes BT!",0,False,https://m.tiktok.com/v/7097989413615062274.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097989413615062274&source=h5_m,122130,190,48,8,4591,7097989400788830977,7097989400788830977,72,7097989400788830977,original sound - sonamluccydorjee,Sonam Luccy Dorjee✅,6.572490330511e+18,Sonam Luccy Dorjee✅,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097989401778719489.mp3,,False,False,,,,,[],0,0,Bhutan,#fyp #xyzbca #0324mytest #luccylife,1,0,0,0,0,1,0,0,0,1
1,BT,7078972534464564482,1648201733,when english fails you 🤣#fypシ #bhutanesemuser #bhutan_tiktok #tshokeytshomo,6583532178575360006,Tsokye Tsomo Karchung,"Artist
A New Apprentice on Tiktok 👍 
Bhutan🇧🇹",0,False,https://m.tiktok.com/v/7078972534464564482.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078972534464564482&source=h5_m,58641,0,12,2,3660,6940211386614156038,6940211386614156038,72,6940211386614156038,original sound - ailaughatmyownjokes,"it's a me, Silvia :)",6.820283115253925e+18,"it's a me, Silvia :)",False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6940211754345810693.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c1a3dda7fb46348a087bb816b8eefb5e.json,False,False,,,,,[],0,0,Bhutan,#fypシ #bhutanesemuser #bhutan_tiktok #tshokeytshomo,0,1,0,0,0,0,1,0,0,0
2,TH,7084809259132783899,1649560702,Sunday Funday 🤪 #fyp #foryoupage #mynameischicky #bishopsonholiday,6778984613408277506,Cindysirinya,"Mom, Model, Actress, & Host 
👉🏼 IG @cindysirinya 
#donttellmehowtodress",0,False,https://m.tiktok.com/v/7084809259132783899.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084809259132783899&source=h5_m,53154740,18247,26566,54665,3177374,6896221138586699778,6896221138586699778,10033,6896221138586699778,My Name Is,D Billions,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a049073a52b94c868fa9ab9152c600ba,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0774abed07a545729418455962f68371,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1540589086', 'external_song_key': 'apple_song_id'}]",0,0,Bhutan,#fyp #foryoupage #mynameischicky #bishopsonholiday,0,0,0,1,0,1,0,0,0,0
3,KR,7093861395078434049,1651668315,"#behind #tutorial You're curious, right? #hellohouse",7076655704233657346,𝗛𝗲𝗹𝗹𝗼 𝗛𝗼𝘂𝘀𝗲,"ʜᴇʟʟᴏ🙋🏼‍♀️
📧 contact : soonent@soon-ent.co.kr",0,False,https://m.tiktok.com/v/7093861395078434049.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093861395078434049&source=h5_m,37681503,14155,6702,22321,3015589,7041921629911304962,7041921629911304962,10036,7041921629911304962,Say It Right - Sped Up Remix,Nelly Furtado & Speed Radio,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/5e01190004ee45df92edbc4935bec747,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0c167e45ed64462ba4294a53ca608b24,False,True,,,,,[],0,0,Bhutan,#behind #tutorial #hellohouse,0,0,0,0,0,0,0,0,0,0
4,DE,7087228208533212422,1650123907,Don't Cry Patty 😨 #fyp #patty😈🔥 #insatiable #foryou #foryoupage #fypシ #tiktok #xyzbca #debbyryan #patty,7039670974934434822,🔥🥀🔥,🔥🥺🔥Patty Bladell🔥🥺🔥,0,False,https://m.tiktok.com/v/7087228208533212422.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087228208533212422&source=h5_m,1007177,313,218,454,67960,7087228187419085574,7087228187419085574,72,7087228187419085574,original sound - patty.edit,🔥🥀🔥,7.039670974934435e+18,🔥🥀🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087228204024482565.mp3,,False,False,,,,,[],0,0,Bhutan,#fyp #patty😈🔥 #insatiable #foryou #foryoupage #fypシ #tiktok #xyzbca #debbyryan #patty,0,0,1,1,0,1,1,1,0,1
5,US,7075423455486692650,1647375398,She gone teach you something real quick @oliver6060 #SmoothLikeNitroPepsi #couplegoals #agegap #couplecomedy,6984097241485067270,King quran 🤴🏾,If you have a small business and want a s/o P.O. Box 3091 Rome ga 30164,0,False,https://m.tiktok.com/v/7075423455486692650.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075423455486692650&source=h5_m,9479478,7656,1796,3839,632123,6898246476623923970,6898246476623923970,24,6898246476623923970,original sound - feminabon,도도예♥️,6.774639445934966e+18,도도예♥️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6898246402695072513.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/3eb05e1a0dd289061b7a3fb005643888.json,False,False,,,,,[],0,0,Bhutan,#SmoothLikeNitroPepsi #couplegoals #agegap #couplecomedy,0,0,0,0,0,0,0,0,0,0
6,PH,7103070570517974298,1653812493,Chill lang ✨ #siargao #fyp #fypシ @Ricci Paolo Rivero,11844525,Andrea Brillantes,No bio yet,0,False,https://m.tiktok.com/v/7103070570517974298.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103070570517974298&source=h5_m,13531962,16080,4840,5253,1223427,6838249382299585282,6838249382299585282,24,6838249382299585282,MOONDO BY KASH KOO (Contains music from: Illusion - Echover),"Contains music from: ""Illusion""",6.517477124642128e+18,ℓσяєℓαιη͢͢͢є 💙,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6838249301982939905.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/71fbcec5908b681490aee11e0e2562f2.json,False,False,Echover,Illusion,MOONDO BY KASH KOO (Contains music from: Illusion - Echover),"Contains music from: ""Illusion""",[],0,0,Bhutan,#siargao #fyp #fypシ,0,0,0,0,0,1,1,0,0,0
7,TH,7102504673671695642,1653680737,เอาคนสวยขาคนใหม่มาอวด🥹🫶🏻 #zepeto #zepetothailand #zepetoedit #zepetodace #fypシ #fakebody,6873020431022081025,tt,"รบกวนไม่รัวใจกันนะคะ🙇🏻‍♀️
[ zpt : teezcoolkids ]",0,False,https://m.tiktok.com/v/7102504673671695642.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102504673671695642&source=h5_m,243459,2098,387,3,39023,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Bhutan,#zepeto #zepetothailand #zepetoedit #zepetodace #fypシ #fakebody,0,0,0,0,0,0,1,0,0,0
0,BT,7085290333323513090,1649672711,"Since many of you requested with heel , here you go.  Not as good as the first one.#jitshen #foryoupage #bhutanese #0324mytest #fyp #viral #catwalkchallenge",6707852336138404869,Jitshen Wangmo Dorji,"🇧🇹 
Visit my Instagram, maybe?
 Thanks for  5k!!
    Lysm❤️",0,False,https://m.tiktok.com/v/7085290333323513090.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085290333323513090&source=h5_m,124497,75,11,111,5121,6941986827163142913,6941986827163142913,24,6941986827163142913,Touch X Dougie Remix Challenge (Contains music from: Touch - Little Mix),"Contains music from: ""Touch""",6.794102846188275e+18,Joshua Mijares,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6941986782519053057.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1763110b2a1677ed11ccb7bd59f773b5.json,False,False,Little Mix,Touch,Touch X Dougie Remix Challenge (Contains music from: Touch - Little Mix),"Contains music from: ""Touch""",[],0,0,Bhutan,#jitshen #foryoupage #bhutanese #0324mytest #fyp #viral #catwalkchallenge,1,0,0,1,0,1,0,0,1,0
1,BT,7090563126126497025,1650900378,😜 shorter version of chicky #fyp #bhutanesemuser 😄,6545375010523976719,Sonam Max Choki,"✨Bhutan🇧🇹✨ 
Proud Bhutanese 😉",0,False,https://m.tiktok.com/v/7090563126126497025.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090563126126497025&source=h5_m,199832,16,9,276,8323,7090563106702674690,7090563106702674690,72,7090563106702674690,original sound - sonammaxchoki (Contains music from: My Name Is Chicki - Girano),"Contains music from: ""My Name Is Chicki""",6.545375010523977e+18,Sonam Max Choki,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7090563072678808322.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/515e7f3c7b9a3595a0bfc18b77cebdf2.json,False,False,Girano,My Name Is Chicki,original sound - sonammaxchoki (Contains music from: My Name Is Chicki - Girano),"Contains music from: ""My Name Is Chicki""",[],0,0,Bhutan,#fyp #bhutanesemuser,0,1,0,0,0,1,0,0,0,0
