,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_tiktokbotswana,hash_tiktoksouthafrica,hash_trending,hash_viral
0,BW,7094924322988379397,1651915798,Ladies and Gentlemen. My Tribe 🤍,6845278478867186694,Paalesa,"Miss Botswana 2021/22 👑 🇧🇼
🦋💙😊",0,False,https://www.tiktok.com/@paalesa/video/7094924322988379397?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094924322988379397&source=h5_m,736990,819,402,3006,131063,7073709565941925889,7073709565941925889,10033,7073709565941925889,Snatched,Big Boss Vette,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/619cbe5f8f48417eb2fb4e8a610f6be1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/113d83b5f26b4004b77e842630ba5834,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1614925186', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Botswana,,0,0,0,0,0,0,0,0,0,0
1,BW,7074969485953862917,1647269700,How it all started #williamlast_krm,6805435283918078982,William Last KRM,Funniest Guy On The Planet,0,False,https://www.tiktok.com/@williamlast_krm/video/7074969485953862917?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074969485953862917&source=h5_m,5686789,17685,55900,156544,810772,7074969458879580934,7074969458879580934,72,7074969458879580934,original sound - williamlast_krm,William Last KRM,6.805435283918079e+18,William Last KRM,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074969430337391365.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c54d1bbdafdcdf61fd5df3328c6e5c3d.json,False,False,[],0,0,,,,,Botswana,#williamlast_krm,0,0,0,0,0,0,0,0,0,0
2,ZA,7103226999467969798,1653848916,"That time, location ithi mgowoooo!!😂😂😭😭",6758894438552126469,Mabore Masipa,"•🇿🇦
       •Livin’✌🏾🥂
IG: mabore.m",0,False,https://www.tiktok.com/@pretty.pree4/video/7103226999467969798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103226999467969798&source=h5_m,205097,103,51,2195,23744,7098321761296517894,7098321761296517894,72,7098321761296517894,Message To My Ex,👑Energy Queen👑,6.818817924141532e+18,👑Energy Queen👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098644542378806021.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6f282dbea4e57d47b532c9cbee904c33.json,False,False,[],0,0,,,,,Botswana,,0,0,0,0,0,0,0,0,0,0
3,BW,7079007975087557894,1648209984,#tdjakes #christiantiktok #fyp,6719122954024666118,Coloured_Girl91,"I Rep 🇧🇼🇿🇼
God's Own👸🏾
Giving you a daily dose of much needed motivation.",0,False,https://www.tiktok.com/@poppy_amon91/video/7079007975087557894?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079007975087557894&source=h5_m,2694348,5742,90313,124779,332171,7079007948420287238,7079007948420287238,72,7079007948420287238,original sound - poppy_amon91,Coloured_Girl91,6.719122954024666e+18,Coloured_Girl91,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079007976593312517.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/181ddf1d5bf73ef45f2435555e1e41fd.json,False,False,[],0,0,,,,,Botswana,#tdjakes #christiantiktok #fyp,0,0,0,1,0,0,0,0,0,0
4,BW,7102551686891277573,1653691684,Are you the man that leaked I was gonna be here #nickiminaj,6802609518821164037,Freddie Pro,"PIANO BARBIE …
NYOBI IS OUT🔥 On Apple,Spotify &Youtube",0,False,https://www.tiktok.com/@freddiepro/video/7102551686891277573?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102551686891277573&source=h5_m,1825700,3786,1737,6244,307802,7102551656717470470,7102551656717470470,72,7102551656717470470,original sound - freddiepro,Freddie Pro,6.802609518821164e+18,Freddie Pro,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102551677471525638.mp3,,False,False,[],0,0,,,,,Botswana,#nickiminaj,0,0,0,0,0,0,0,0,0,0
5,US,7071053217819364650,1646357872,Your disappointment might be a divine appointment. #craiggroeschel #disappointment #appointment #divine #fyp,6779600710327337990,Craig Groeschel,"Husband & Dad
Pastor of Life.Church
Attend Life.Church Online ⬇️",2,False,https://www.tiktok.com/@craiggroeschel/video/7071053217819364650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071053217819364650&source=h5_m,70036,205,834,1767,9789,7071053207593552686,7071053207593552686,72,7071053207593552686,original sound - craiggroeschel,Craig Groeschel,6.779600710327338e+18,Craig Groeschel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7071053223792020266.mp3,,False,False,[],0,0,,,,,Botswana,#craiggroeschel #disappointment #appointment #divine #fyp,0,0,0,1,0,0,0,0,0,0
6,ZA,7102361348843064581,1653647368,🤭😂 my children have grown yho!,6844978114205516806,SPHUMELELO INNOCENT,"PLEASS FOLLOW ME🙌🤭
900K+ VIEWS 😭❤️❤️😭🙏
IG: abutii.general 🔌❤️
LAW STUDENT",0,False,https://www.tiktok.com/@sphu.rsa/video/7102361348843064581?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102361348843064581&source=h5_m,907992,2339,1631,13352,40000,7062635585013304069,7062635585013304069,72,7062635585013304069,original sound - alexandra__gmn,Alexandra_ Gmn_🥰,6.764380215848502e+18,Alexandra_ Gmn_🥰,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062635625983298309.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8d943ea63db556629ecd225a09d4f69b.json,False,False,[],0,0,,,,,Botswana,,0,0,0,0,0,0,0,0,0,0
7,US,7070898389466057989,1646321824,🤣😂@matchabobahhh #CorollaCrossStep #babysister,6808318608525214725,Jodi Reeves,Living my best life!❤💁🏻‍♀️💍🌍,0,False,https://www.tiktok.com/@jbreeves910/video/7070898389466057989?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070898389466057989&source=h5_m,4451645,1359,28297,25506,150604,7062892372828408622,7062892372828408622,72,7062892372828408622,original sound - gabriellelynn3,Gabrielle Lynn,6963537.0,Gabrielle Lynn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7062892387013675822.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1ddd9183912e23e32f36d7876794839e.json,False,False,[],0,0,,,,,Botswana,#CorollaCrossStep #babysister,0,0,0,0,0,0,0,0,0,0
0,ZA,7103216042218048774,1653846365,TO OUR BROTHERS 😭🙌🏾❤ #comedу #funny #funnyvideos #foryou,6693228019589743622,Just Chifhiwa ,Follow me on Instagram,0,False,https://www.tiktok.com/@just_chifhiwa/video/7103216042218048774?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103216042218048774&source=h5_m,115403,274,260,2813,7919,7103216026111773446,7103216026111773446,72,7103216026111773446,original sound - just_chifhiwa,Just Chifhiwa ,6.693228019589744e+18,Just Chifhiwa ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103216047632780037.mp3,,False,False,[],0,0,,,,,Botswana,#comedу #funny #funnyvideos #foryou,0,1,0,0,0,0,0,0,0,0
1,ZA,7100535042027425030,1653222147,Episode 281#podcastandchillwithmacg,6975179216170189825,podcastandchill,"@podcastandchillwithmacg 
Full interviews on YouTube
👇",0,False,https://www.tiktok.com/@podcastandchill/video/7100535042027425030?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100535042027425030&source=h5_m,2425001,1696,4368,40936,178372,7100535020423203590,7100535020423203590,72,7100535020423203590,original sound - podcastandchill,podcastandchill,6.97517921617019e+18,podcastandchill,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100535009911606022.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4e8bb23a6125b7c2b44bd584a7c6407e.json,False,False,[],0,0,,,,,Botswana,#podcastandchillwithmacg,0,0,0,0,0,0,0,0,0,0
