,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_belize,hash_belizean,hash_belizeantiktokers,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_trending,hash_viral
0,BZ,7100638003651005701,1653246119,#fypシ @phoxxlee7  🥺,6773988713171354630,Jamie here,thank you all for 36k🇧🇿+501 feel free to ask any questions,0,False,https://m.tiktok.com/v/7100638003651005701.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100638003651005701&source=h5_m,50721,41,25,7,4554,7084947474011540229,7084947474011540229,72,7084947474011540229,original sound - d1vine.0,★,6.917312201124824e+18,★,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084947483276610310.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8a95c18b183deb5dffe43c4dacb2a7cf.json,False,False,,,,,[],0,0,Belize,#fypシ,0,0,0,0,0,0,0,1,0,0
1,BZ,7100977991836159237,1653325278,#fyp,7045711188025508869,shamarie lamb 🇧🇿,Starting Over,0,False,https://m.tiktok.com/v/7100977991836159237.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100977991836159237&source=h5_m,66085,38,103,213,4421,7091124261821205254,7091124261821205254,72,7091124261821205254,BIG MOOD,💀,7.077681250995668e+18,💀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091124250890832646.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a7cc60fc146b66628df18d57edf32c84.json,False,False,,,,,[],0,0,Belize,#fyp,0,0,0,0,0,0,1,0,0,0
2,US,7086872101478583594,1650040994,#fyp,7010481384334656517,KAyyLee 🥰🥴,$kayylee66,0,False,https://m.tiktok.com/v/7086872101478583594.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086872101478583594&source=h5_m,16671095,12374,51670,2299,748394,7086872064967232302,7086872064967232302,72,7086872064967232302,original sound - kayleehaynes970,KAyyLee 🥰🥴,7.010481384334657e+18,KAyyLee 🥰🥴,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086872093081733934.mp3,,False,False,,,,,[],0,0,Belize,#fyp,0,0,0,0,0,0,1,0,0,0
3,FR,7081327470636453126,1648750034,"I tried, it worked 👟",6752451240984511494,Saafiir,"Surprise on my Instagram 
🇩🇿🇪🇬
Saafiirmanagement@gmail.com",0,False,https://m.tiktok.com/v/7081327470636453126.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081327470636453126&source=h5_m,139811743,84590,112368,7252,12863104,6543230635689907200,6543230635689907200,72,6543230635689907200,original sound - taytay6737 (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",6.542247767287272e+18,Tay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6882509005680331526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f7f01c450dafeb25cfa8df0a6b8751e.json,False,False,Justin Bieber,Baby,original sound - taytay6737 (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
4,CA,7091691923114642694,1651163197,“Peace. Too much fighting” — 🥺❤️ (Donation L1NK LIVE) #syria #syrian #family #baby #money #strangers #kindness #canada #Love #fyp,6740960667346404357,Zachery Dereniowski,"📧 zachery@onefluent.com
Everything You Need ⬇️",0,False,https://m.tiktok.com/v/7091691923114642694.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091691923114642694&source=h5_m,23651468,15809,13280,25560,2353768,7091691909663542022,7091691909663542022,72,7091691909663542022,original sound - mdmotivator,Zachery Dereniowski,6.740960667346404e+18,Zachery Dereniowski,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091691916828084997.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c26d552dbab81c84e7a0d6d331454fb5.json,False,False,,,,,[],0,0,Belize,#syria #syrian #family #baby #money #strangers #kindness #canada #Love #fyp,0,0,0,0,0,0,1,0,0,0
5,BZ,7070220223672225030,1646163928,#chinyone #chiny #imitation 😂 😂 😂,6672369083231880198,Cyyrus C. Murray,,0,False,https://m.tiktok.com/v/7070220223672225030.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070220223672225030&source=h5_m,2339541,3533,18313,18118,333655,7070220242957503237,7070220242957503237,72,7070220242957503237,original sound - cyyrusc.murray,Cyyrus C. Murray,6.67236908323188e+18,Cyyrus C. Murray,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070220253715892998.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8ecc1c6b4cf14176a9a73d4431849d4e.json,False,False,,,,,[],0,0,Belize,#chinyone #chiny #imitation,0,0,0,0,0,0,0,0,0,0
6,US,7077580066711964971,1647877524,You can't scare me... oh really? 🤣 #michaelmyers #halloween #fyp #horror #scared #copsoftiktok #police #jeeplife,6715240081654907909,mmyers1031,"Police Sergeant
Army Veteran 
Horror Fanatic
Red Light Horror Productions",0,False,https://m.tiktok.com/v/7077580066711964971.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077580066711964971&source=h5_m,4812322,526,3289,3915,247925,7077580037741955883,7077580037741955883,72,7077580037741955883,original sound - mmyers1031,mmyers1031,6.715240081654908e+18,mmyers1031,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7077580055966157610.mp3,,False,False,,,,,[],0,0,Belize,#michaelmyers #halloween #fyp #horror #scared #copsoftiktok #police #jeeplife,0,0,0,0,0,0,1,0,0,0
7,US,7093215894909783338,1651518026,#stitch with @chantegeyser #TimeWarpScan,6612785910785310726,Karl,Hi :],0,False,https://m.tiktok.com/v/7093215894909783338.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093215894909783338&source=h5_m,18818089,22858,2923,13101,2432065,7093215861841890094,7093215861841890094,72,7093215861841890094,original sound - karljacobs,Karl,6.612785910785311e+18,Karl,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093215892238109483.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9afd19c8e5d57e65f6e8f9027b380234.json,False,False,,,,,[],0,0,Belize,#stitch #TimeWarpScan,0,0,0,0,0,0,0,0,0,0
0,BZ,7099955927146663173,1653087310,#phoxxlee7 #fyp #viral #fypシ #fypdongggggggg @basementfox128,6912451893420278789,❌The 🦊 Phoxx❌,"Just follow me and don’t ask questions😂
Lol jk 😅 nahh I’m serious follow me😑",0,False,https://www.tiktok.com/@phoxxlee7/video/7099955927146663173?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099955927146663173&source=h5_m,58437,31,12,39,3363,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Belize,#phoxxlee7 #fyp #viral #fypシ #fypdongggggggg,0,0,0,0,0,0,1,1,0,1
1,BZ,7099922341165157637,1653079491, ,6800300715056169990,Karlie,"Love me to Inspire,Hate me I’ll Become Unstoppable!♊️💸",0,False,https://www.tiktok.com/@karliejamie20/video/7099922341165157637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099922341165157637&source=h5_m,63006,20,20,4,3513,259181015414431744,259181015414431744,72,259181015414431744,original sound - blcummings (Contains music from: Look At Me Now (feat. Lil' Wayne & Busta Rhymes) - Chris Brown),"Contains music from: ""Look At Me Now (feat. Lil' Wayne & Busta Rhymes)""",11379993.0,Brïdgët,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6882567638501870342.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/349bd4371d590a63c7683acc37bf3f29.json,False,False,Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),original sound - blcummings (Contains music from: Look At Me Now (feat. Lil' Wayne & Busta Rhymes) - Chris Brown),"Contains music from: ""Look At Me Now (feat. Lil' Wayne & Busta Rhymes)""",[],0,0,Belize,,0,0,0,0,0,0,0,0,0,0
