,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_trending,hash_viral,hash_xyzbca
0,CK,7089592012218895618,1650674274,HEAVEN ON EARTH 🌏 #aitutaki #cookislands #viral #nz #paradise,7002946346584228869,Tatiana Hirovanaa,"KIA ORANA BESTIES! 
vlog diary of our island lifestyle 🏝
IG: tatiana_fats",0,False,https://www.tiktok.com/@teefats/video/7089592012218895618?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089592012218895618&source=h5_m,5439288,5352,4892,10955,738564,7054987266346978094,7054987266346978094,72,7054987266346978094,This is heaven (Contains music from: Lovely - Sara Medin),"Contains music from: ""Lovely""",6.932954621091546e+18,Nightshade,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7054987323632667439.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a511e8a4d2ef66f299919c85c4d4ca3c.json,False,False,Sara Medin,Lovely,This is heaven (Contains music from: Lovely - Sara Medin),"Contains music from: ""Lovely""",[],0,0,Cook Islands,#aitutaki #cookislands #viral #nz #paradise,0,0,0,0,0,0,0,0,1,0
1,CK,7093235319713058050,1651522546,We hit it in Raro 🌴 @elvislopeti dc: @☁️Jade☁️ @Sam Wilson @Mayhem🚨 #fypシ #foryou,6791643192363287558,kirstendodgen,"Kirsten Dodgen 
👩🏼‍🦳",0,False,https://www.tiktok.com/@kirstendodgenn/video/7093235319713058050?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093235319713058050&source=h5_m,1400232,576,557,1587,175270,7083473887073258245,7083473887073258245,72,7083473887073258245,Jaydon Lewis kiss it better amapiano remix,_certified_loverboy_rsa 💏,7.058282480830776e+18,_certified_loverboy_rsa 💏,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083473910762621702.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8201caa3822a20d56c8f2c910dfba64.json,False,False,,,,,[],0,0,Cook Islands,#fypシ #foryou,0,1,0,0,0,1,0,0,0,0
2,US,7099930279464373550,1653081338,#stitch with @sn00py13  😂😂😂😂 tag someone like me 😂,6741930230962750470,Asuelu Pulaa,,0,False,https://www.tiktok.com/@asuelu95/video/7099930279464373550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099930279464373550&source=h5_m,290792,730,869,2,29920,7099930235617610538,7099930235617610538,72,7099930235617610538,original sound - asuelu95,Asuelu Pulaa,6.74193023096275e+18,Asuelu Pulaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099930278818269998.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/12e7a8459d9e01e417c051b864ff2503.json,False,False,,,,,[],0,0,Cook Islands,#stitch,0,0,0,0,0,0,0,0,0,0
3,US,7100362057224080641,1653181871,"Reply to @nelly.maihi I only know this one, hope this is ok 😅🤍 #tiahomaira #cover #larissalambert #uruwhetu",6696593974873129989,larissalambert,"Pixie🧚🏻‍♀️
PRESAVE my next single “Pearl” here VVV 💕",0,False,https://www.tiktok.com/@.larissalambert/video/7100362057224080641?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100362057224080641&source=h5_m,612143,4013,1588,4312,113714,7100362040434264834,7100362040434264834,72,7100362040434264834,original sound - .larissalambert,larissalambert,6.69659397487313e+18,larissalambert,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100361940798556930.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d933edc17305ea562487f1463760afbf.json,False,False,,,,,[],0,0,Cook Islands,#tiahomaira #cover #larissalambert #uruwhetu,0,0,0,0,0,0,0,0,0,0
4,AU,7102386529921748226,1653653229,“I like to see you giggle giggle 😲” @phhatlaho @'👩🏽‍🦯,7018041295441232898,ceelinee,…shit n gigs …,0,False,https://www.tiktok.com/@celinetouna.24/video/7102386529921748226?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102386529921748226&source=h5_m,141286,169,74,456,25303,6701927947952998401,6701927947952998401,10033,6701927947952998401,Juicy Fruit,Mtume,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/49f99bff290447bda3cfb0a77718164a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/77589adde2f1445c91d3fa05a9baa19b,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '192485479', 'external_song_key': 'apple_song_id'}]",0,0,Cook Islands,,0,0,0,0,0,0,0,0,0,0
5,US,7096531666268622126,1652290037,How can you not smile after hearing this #tongan jam 🇹🇴 ? Keep the suggestions coming! #siilolo #tonga #polynesia #polynesiantiktok #internationalsongs #foryou #fyp #languages #singers #duet #global,105562564314480640,Sam Tsui,"Singer/songwriter/OG Youtuber/dad!!
samtsuibusiness@gmail.com
feat. @caseybreves",0,False,https://www.tiktok.com/@thesamtsui/video/7096531666268622126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096531666268622126&source=h5_m,789063,4851,1444,3658,99990,7096531584085429038,7096531584085429038,72,7096531584085429038,original sound - thesamtsui,Sam Tsui,1.0556256431448064e+17,Sam Tsui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096531658177776427.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6bb2b4a41f979fdd83779b148f27b1ba.json,False,False,,,,,[],0,0,Cook Islands,#tongan #siilolo #tonga #polynesia #polynesiantiktok #internationalsongs #foryou #fyp #languages #singers #duet #global,1,1,0,0,1,0,0,0,0,0
6,AU,7103379029058751746,1653884315,One more… #fyp #foryoupage #fypシ #xyzbca #dance,6661869855324602374,Adrian Esmundo,"Chill, it’s just me 💝
    
   🇵🇭 👌",0,False,https://www.tiktok.com/@aaadrian16/video/7103379029058751746?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103379029058751746&source=h5_m,486163,465,116,459,73858,7092938238754622250,7092938238754622250,72,7092938238754622250,TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",7.009732940213241e+18,BarieSmackathotひ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092953250474871598.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/292ae3740cc99891172a125b93a8ab4b.json,False,False,Sway Burr,Foolish Chances Freestyle (Not Foolish),TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",[],0,0,Cook Islands,#fyp #foryoupage #fypシ #xyzbca #dance,0,0,1,0,1,1,0,0,0,1
7,US,7099240387851668779,1652920709,#fyp #pacificislander #micronesian #vibes #foryou,6635468117311963141,Cerleen Chunga,,0,False,https://www.tiktok.com/@cerleenchunga/video/7099240387851668779?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099240387851668779&source=h5_m,279680,150,80,1838,41257,6948155699897617158,6948155699897617158,72,6948155699897617158,original sound - aimz1991 (Contains music from: Shake Senora (feat. T-Pain & Sean Paul) - Pitbull),"Contains music from: ""Shake Senora (feat. T-Pain & Sean Paul)""",6.806017878099559e+18,Amy,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6993918326078589698.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/436480aab28c0b4bf041645967850a31.json,False,False,Pitbull,Shake Senora (feat. T-Pain & Sean Paul),original sound - aimz1991 (Contains music from: Shake Senora (feat. T-Pain & Sean Paul) - Pitbull),"Contains music from: ""Shake Senora (feat. T-Pain & Sean Paul)""",[],0,0,Cook Islands,#fyp #pacificislander #micronesian #vibes #foryou,0,1,0,0,1,0,0,0,0,0
0,CK,7073562610821532930,1646942136,Daily pep talks be like 🥴 #fyp #foryou #fypシ #foryoupage #lilikoibikini #cookislands,6849516121973900294,REIHANA KOTEKA-WIKI,"Founder @lilikoibikini 
IG: @reihanakw @lilikoibikini",0,False,https://www.tiktok.com/@reihanakw/video/7073562610821532930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073562610821532930&source=h5_m,567365,781,10880,7146,42813,7049208839476136750,7049208839476136750,72,7049208839476136750,original sound - youssef_twi (Contains music from: Tired - A.C.I.D.),"Contains music from: ""Tired""",6.654739300053156e+18,Youssef Soliman,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7049208885982268206.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/142bddc03ee7ff3ed3cf9cbcbc17c67d.json,False,False,A.C.I.D.,Tired,original sound - youssef_twi (Contains music from: Tired - A.C.I.D.),"Contains music from: ""Tired""",[],0,0,Cook Islands,#fyp #foryou #fypシ #foryoupage #lilikoibikini #cookislands,0,1,1,0,1,1,0,0,0,0
1,CK,7086733508055518465,1650008726,Only Saffas would get this #southafrica #Africa #slang #minime #viral,7081878242634843141,Kimbo,"👑 Island Queen 👑  
🇿🇦 🇬🇧 🇨🇰",0,False,https://www.tiktok.com/@kimboshan1/video/7086733508055518465?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086733508055518465&source=h5_m,143110,71,29,285,4174,7086733488556083970,7086733488556083970,72,7086733488556083970,original sound - kimboshan1,Kimbo,7.081878242634843e+18,Kimbo,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086733472080874242.mp3,,False,False,,,,,[],0,0,Cook Islands,#southafrica #Africa #slang #minime #viral,0,0,0,0,0,0,0,0,1,0
2,US,7088054575504084270,1650316310,#stitch with @jxrd7n,6844525330355815429,Afia,🇵🇷🇵🇷🇵🇷,0,False,https://www.tiktok.com/@aaffiaaa/video/7088054575504084270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088054575504084270&source=h5_m,515953,2138,1559,2913,104130,7088054552850615083,7088054552850615083,72,7088054552850615083,original sound - aaffiaaa,Afia,6.844525330355815e+18,Afia,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7088054566452808491.mp3,,False,False,,,,,[],0,0,Cook Islands,#stitch,0,0,0,0,0,0,0,0,0,0
3,US,7091002041295850795,1651002571,#duet with @jackfish A lil Late but oh well🤪 #duet with @anees #fyp #foryou #sunandmoon #bayloruniversity #baylorfootball #openverse #hiphop #freestyle,5486572,Jack Fish,"Big Gang$ta
   T'z🇹🇴
Baylor DL #62🐻",0,False,https://www.tiktok.com/@jackfish/video/7091002041295850795?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091002041295850795&source=h5_m,446721,1335,1104,2868,78765,7090978396943108910,7090978396943108910,72,7090978396943108910,original sound - jackfish (Contains music from: sun and moon - anees),"Contains music from: ""sun and moon""",5486572.0,Jack Fish,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7090977877050542890.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bf3aa185470b757ee497fd41391998a7.json,False,False,anees,sun and moon,original sound - jackfish (Contains music from: sun and moon - anees),"Contains music from: ""sun and moon""",[],0,0,Cook Islands,#duet #duet #fyp #foryou #sunandmoon #bayloruniversity #baylorfootball #openverse #hiphop #freestyle,2,1,0,0,1,0,0,0,0,0
