,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_colombia,hash_elecciones2022,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_tiktok,hash_viral
0,CO,7091088722741038342,1651022754,tenía q hacerlo #artistatiktok #recomendados #ñerosbogota #rosalia #motomami,24148502,anarkity,"Kei Linch
chimba de ñera",0,False,https://www.tiktok.com/@anarkity/video/7091088722741038342?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091088722741038342&source=h5_m,13746034,10220,77421,129878,798398,7091088682823797509,7091088682823797509,72,7091088682823797509,original sound - anarkity (Contains music from: Re Locos Papi - Kei Linch),"Contains music from: ""Re Locos Papi""",24148502.0,anarkity,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091088707108817670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5606e1142542c33e182d54e585a9aa68.json,False,False,Kei Linch,Re Locos Papi,original sound - anarkity (Contains music from: Re Locos Papi - Kei Linch),"Contains music from: ""Re Locos Papi""",[],0,0,Colombia,#artistatiktok #recomendados #ñerosbogota #rosalia #motomami,0,0,0,0,0,0,0,0,0,0
1,CO,7093972789048118534,1651694252,Yo hablo desde el corazón ❤️‍🩹.#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022 @caracoltv @RCN Radio Colombia @Revista Semana,6881834351354168321,Ing Rodolfo Hernández,Futuro presidente de Colombia 🇨🇴 / Empresario / Viejito pero sabroso 😎 / ⤵️👀,0,False,https://www.tiktok.com/@ingrodolfohernandez/video/7093972789048118534?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093972789048118534&source=h5_m,2002019,4504,9041,13178,155206,7093972796912798469,7093972796912798469,72,7093972796912798469,original sound - ingrodolfohernandez,Ing Rodolfo Hernández,6.881834351354168e+18,Ing Rodolfo Hernández,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093972796023294725.mp3,,False,False,,,,,[],0,0,Colombia,#RodolfoHernandez #RodolfoPresidente #LigaAnticorrupcion #Elecciones2022,0,1,0,0,0,0,0,0,0,0
2,CO,7101040580163046662,1653339850,#viral #fpyツ,6775229780302578693,Fercho morera,,0,False,https://www.tiktok.com/@ferchomoreraoficial3/video/7101040580163046662?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101040580163046662&source=h5_m,1138567,807,8044,15426,30512,7101040561414556421,7101040561414556421,72,7101040561414556421,original sound - ferchomoreraoficial3,Fercho morera,6.775229780302579e+18,Fercho morera,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101040562597399302.mp3,,False,False,,,,,[],0,0,Colombia,#viral #fpyツ,0,0,0,0,0,0,0,0,0,1
3,US,7100281715935022379,1653163163,giving 10% because this dress won’t give at all,936655,Liza Koshy,,0,False,https://www.tiktok.com/@lizzza/video/7100281715935022379?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100281715935022379&source=h5_m,20447766,10470,4174,5682,3210235,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
4,CO,7099949051671514374,1653085710,Sir Fico 😎 #FicoPresidente2022 #FicoPresidente #LaFiconeta,7089236870262227973,La Ficoneta,"🛵 ¡Móntese a la Ficoneta pues!
👉🏻 Síguenos en IG: LaFiconeta",0,False,https://www.tiktok.com/@laficoneta/video/7099949051671514374?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099949051671514374&source=h5_m,2731705,3755,14059,24447,154958,7099949043568102149,7099949043568102149,72,7099949043568102149,original sound - laficoneta,La Ficoneta,7.089236870262228e+18,La Ficoneta,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099949041655958277.mp3,,False,False,,,,,[],0,0,Colombia,#FicoPresidente2022 #FicoPresidente #LaFiconeta,0,0,0,0,0,0,0,0,0,0
5,US,7098871189430439210,1652834749,GRACIAS UN MILLÓN DE VECESSSSSSSS!!!!! ❤️,7047450743465477126,Bad Bunny,.,0,False,https://www.tiktok.com/@badbunny/video/7098871189430439210?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098871189430439210&source=h5_m,28618006,73619,58078,175721,7070060,7098871160075209514,7098871160075209514,72,7098871160075209514,original sound - badbunny,Bad Bunny,7.047450743465477e+18,Bad Bunny,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098871205662346026.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b251e86c4ea74f2004b0a2fc617e2820.json,False,False,,,,,[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
6,CO,7101313933096520965,1653403496,@lapiojita05 ♥️#rosalamusculosa #viral,7018388418317206534,ROSAPOWEROFICIAL,,0,False,https://www.tiktok.com/@rosapoweroficial/video/7101313933096520965?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101313933096520965&source=h5_m,307094,0,40,84,9822,7086477926132894470,7086477926132894470,10036,7086477926132894470,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16ed938aa03f47f99990ab584998ee21,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/32f4070dfb2a447d87c154d854ebe59a,False,True,,,,,[],0,0,Colombia,#rosalamusculosa #viral,0,0,0,0,0,0,0,0,0,1
7,US,7085863921797598466,1649806260,conversation interrupted 📱,6642278666289135622,zavali,"team@wow-media.ru
Cooperation
TRANSITION QUEEN 
I’m here
⬇️⬇️⬇️",0,False,https://www.tiktok.com/@za_vali/video/7085863921797598466?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085863921797598466&source=h5_m,27946391,15744,50309,55976,3837420,6973521888035228417,6973521888035228417,24,6973521888035228417,Wiggle Remix,2005🔥😎,6.896077193240856e+18,2005🔥😎,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6973521929785330433.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/00b5b4da70c86a560697c8e100b98067.json,False,False,,,,,[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
0,CO,7102120998169824517,1653591405,##fypシ #parati #contacto #pide #acto #CapCut #laluz100,7010816936977466374,Roger torreS,"vedma
✨stranger things✨
✨ic3peak✨",0,False,https://www.tiktok.com/@laluz100/video/7102120998169824517?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102120998169824517&source=h5_m,1152213,62,193,72,40349,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Colombia,##fypシ #parati #contacto #pide #acto #CapCut #laluz100,0,0,0,0,0,1,0,1,0,0
1,US,7100351532159225134,1653179418,Prom season 🫶🏻 Using Anacrylics products available now 💅🏼 #anacrylics #nails #prom #prom2022,6771498251486610437,🦋 ANA 🦋,"High Quality Nail Brand 💅🏼
🛍MEMORIAL DAY SALE 
20% OFF EVERYTHING 👇🏻",0,False,https://www.tiktok.com/@anacrylics/video/7100351532159225134?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100351532159225134&source=h5_m,35830882,4509,4109,22381,4799738,7083178065446045698,7083178065446045698,10033,7083178065446045698,Gogo Dance,El Alfa & Chael Produciendo,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4b3c5e3f160e4e65b438c55eecf9c5ed,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/6302af0aec1f4b06ab20656a3f19c2db,False,True,,,,,[],0,0,Colombia,#anacrylics #nails #prom #prom2022,0,0,0,0,0,0,0,0,0,0
2,GB,7103482014065528069,1653908293,I don’t thing he wanted to wear those 😂 Who wore it best 👱🏼‍♂️or🦁? #fyp #mensfashion #dogsoftiktok,6748404637454140421,Carl Cunard,"COME SAY HEY ON INSTA☝🏼
IG @carlcunard",0,False,https://www.tiktok.com/@carlcunard/video/7103482014065528069?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103482014065528069&source=h5_m,332651,188,285,310,24371,6876302000137439246,6876302000137439246,10036,6876302000137439246,Paris,斌杨Remix,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/afa6612d4efa4b029fb656f468dd6442,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/02d15d9704e34920abe2d4ec983893f9,False,True,,,,,[],0,0,Colombia,#fyp #mensfashion #dogsoftiktok,0,0,0,0,1,0,0,0,0,0
3,GB,7102816979697929478,1653753451,pretty mad tbh #acne #revenge #roaccutane #foryoupage,6940355312385786885,erin,for the lols,0,False,https://www.tiktok.com/@userr0210345/video/7102816979697929478?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102816979697929478&source=h5_m,5040335,9118,4275,5186,1190019,7099386542078102315,7099386542078102315,72,7099386542078102315,They say there are five stages of,NickLifts,7.069595957536703e+18,NickLifts,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099386676023184174.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6bdefdd21fa12d3ceaaaee06b79d99da.json,False,False,,,,,[],0,0,Colombia,#acne #revenge #roaccutane #foryoupage,0,0,0,1,0,0,0,0,0,0
4,CO,7072526761052867845,1646700959,No nos podemos pelear 😶‍🌫️ @yurielkysojeda,6830574918695486470,LERMITA,,0,False,https://www.tiktok.com/@la_lerma/video/7072526761052867845?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072526761052867845&source=h5_m,24760703,28254,69269,169321,2170993,7000022248409008902,7000022248409008902,72,7000022248409008902,original sound - pedrodazatv,pedrodazaftv,6.964519332886676e+18,pedrodazaftv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7000022363899202309.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8d154d95e67f01515ac8f8610a9afa6c.json,False,False,,,,,[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
5,FR,7098021015053225222,1652636803, ,79639104283377664,Akamz,GUYS !!!!! FOLLOW MY INSTAGRAM: AKAMZTWEENTY,0,False,https://www.tiktok.com/@akamztwenty20/video/7098021015053225222?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098021015053225222&source=h5_m,17737801,12506,14831,1354,2349926,7098021004294867718,7098021004294867718,72,7098021004294867718,original sound - akamztwenty20 (Contains music from: Wait - Beatrix Slyein),"Contains music from: ""Wait""",7.963910428337766e+16,Akamz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098021018052741894.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/746774126f7895fed15869e3ea8ff926.json,False,False,Beatrix Slyein,Wait,original sound - akamztwenty20 (Contains music from: Wait - Beatrix Slyein),"Contains music from: ""Wait""",[],0,0,Colombia,,0,0,0,0,0,0,0,0,0,0
