,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_oscarsathome,hash_trending,hash_viral,hash_xyzbca
0,US,7089041728732155178,1650546150, ,6784500846677492741,CalebGordon13,"Independent artist 
FIRST CLASS REMIX IN BIO‼️",0,False,https://www.tiktok.com/@calebgordon13/video/7089041728732155178?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089041728732155178&source=h5_m,19388832,22587,20758,37562,2471450,7086572584866761515,7086572584866761515,72,7086572584866761515,original sound - calebgordon13 (Contains music from: First Class - itsPrinceVon),"Contains music from: ""First Class""",6.784500846677493e+18,CalebGordon13,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086625946626738986.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/73ed7bac430166cc5cee70262efa3362.json,False,False,itsPrinceVon,First Class,original sound - calebgordon13 (Contains music from: First Class - itsPrinceVon),"Contains music from: ""First Class""",[],0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
1,US,7073617911830547758,1646955012,anything for abel ❤️😂,517529,De’arra Taylor,,0,False,https://www.tiktok.com/@dearra/video/7073617911830547758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073617911830547758&source=h5_m,15410655,7223,8513,166,2128707,7060984419061992198,7060984419061992198,10036,7060984419061992198,Finesse,Pheelz & BNXN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/df7202902abb430794ffae4aa4810480,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/32af760c8f614ce1afd14326d5215249,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1614660789', 'external_song_key': 'apple_song_id'}]",0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
2,AU,7097205659866877185,1652446963,W #fyp,6972901011850970114,Collo,📸🤙,0,False,https://www.tiktok.com/@max..collins/video/7097205659866877185?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097205659866877185&source=h5_m,4825821,32486,54247,41509,1127744,7097205652132563714,7097205652132563714,72,7097205652132563714,original sound - max..collins,Collo,6.97290101185097e+18,Collo,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097205646726122242.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ac41d63cae0796aa4d8c479478fcc6c1.json,False,False,,,,,[],0,0,Curaçao,#fyp,0,0,0,0,1,0,0,0,0,0
3,US,7073545798922833194,1646938222,#fyp #foryou #fy #viral #viralvideo #virall #firstimeflying,6752667275244160005,Trey,"501✈️469📍
3000?💪🏾",0,False,https://www.tiktok.com/@underated_trey/video/7073545798922833194?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073545798922833194&source=h5_m,114251,123,379,207,18722,7073545749975567150,7073545749975567150,72,7073545749975567150,original sound - underated_trey,Trey,6.75266727524416e+18,Trey,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073545780417809198.mp3,,False,False,,,,,[],0,0,Curaçao,#fyp #foryou #fy #viral #viralvideo #virall #firstimeflying,1,0,0,1,1,0,0,0,1,0
4,GB,7077688677761142022,1647902812,😂😂😂😂 🇯🇲🇬🇧🌈 #mixedbaby #blackandwhite #jamaica #uk #family #blendedfamily #babymommy #babydaddy #newborn,6658628784821911557,TheMcGawFamily,"👑
Mama to Kaizah, Ky & Shemari💙
Between 🇬🇧🇯🇲",0,False,https://www.tiktok.com/@themcgawfamily/video/7077688677761142022?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077688677761142022&source=h5_m,816142,210,102,56,23243,7056091126973352750,7056091126973352750,72,7056091126973352750,original sound - haybaby20,Haley Starr,6.598720366503199e+18,Haley Starr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7056091144408697647.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/283802e65bdcd35d2c572148ddc76dc2.json,False,False,,,,,[],0,0,Curaçao,#mixedbaby #blackandwhite #jamaica #uk #family #blendedfamily #babymommy #babydaddy #newborn,0,0,0,0,0,0,0,0,0,0
5,US,7092061933683281198,1651249346,lol was accurate/ or inaccurate ? #duet #HPSustainableSounds #fypシ゚viral #fypシ #duet #explore #newtrend #explore #foryoufyp #foru #trending #foryou,6735541559461430277,Zavi,"Inquires 

Bookaspectzavi@gmail.com",0,False,https://www.tiktok.com/@aspectzavi_/video/7092061933683281198?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092061933683281198&source=h5_m,582406,4493,1717,3056,84002,7076492436792642350,7076492436792642350,72,7076492436792642350,Soundgasm Sped up (Contains music from: Soundgasm - Rema),"Contains music from: ""Soundgasm""",6.704476993319159e+18,Christian😛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076492454786026286.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/780ddf0aa2a13f0beeffd2fdf363322e.json,False,False,Rema,Soundgasm,Soundgasm Sped up (Contains music from: Soundgasm - Rema),"Contains music from: ""Soundgasm""",[],0,0,Curaçao,#duet #HPSustainableSounds #fypシ゚viral #fypシ #duet #explore #newtrend #explore #foryoufyp #foru #trending #foryou,1,0,0,0,0,2,0,1,1,0
6,US,7101011055932951851,1653332976,THOUGHTS?🤔👇🏾 #LearnOnTikTok #tiktokpartner #healthtips #hygienetips #oralhealth #didyouknow #pregnancy #vape #vaping #braces #bracestips #teeth #crookedteeth #dentalhygienist,6798987272148452357,"JasmineRDH, BSDH MHA","Houston📍
FOLLOW MY INSTA FOR MORE TIPS!
⬇️TOOTHBRUSH STERILIZER I USE⬇️",0,False,https://www.tiktok.com/@jasminerdh/video/7101011055932951851?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101011055932951851&source=h5_m,517636,167,85,80,28495,7092938238754622250,7092938238754622250,72,7092938238754622250,TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",7.009732940213241e+18,BarieSmackathotひ,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092953250474871598.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/292ae3740cc99891172a125b93a8ab4b.json,False,False,Sway Burr,Foolish Chances Freestyle (Not Foolish),TAG ME FOR DANCE CREDS (Contains music from: Foolish Chances Freestyle (Not Foolish) - Sway Burr),"Contains music from: ""Foolish Chances Freestyle (Not Foolish)""",[],0,0,Curaçao,#LearnOnTikTok #tiktokpartner #healthtips #hygienetips #oralhealth #didyouknow #pregnancy #vape #vaping #braces #bracestips #teeth #crookedteeth #dentalhygienist,0,0,0,0,0,0,0,0,0,0
7,AU,7084083763692473602,1649391786,#fyp#foryou#foryoupage#funny#kids#viral#getthisviral#xyzcba#trend,7082987313835344897,Halle <33,"Emmy <3
Milla <3
Mills <3
Liv <3
Tysm for 20K ——-> 30K??",0,False,https://www.tiktok.com/@halemogal/video/7084083763692473602?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084083763692473602&source=h5_m,4999947,11758,9722,23432,832077,6881784054627224325,6881784054627224325,72,6881784054627224325,original sound - calebrownn (Contains music from: Drip Like ME - Kenndog),"Contains music from: ""Drip Like ME""",6.80728670138468e+18,Cale Brown,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6881784005352606469.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a9d3952939d1ed4a364e0811032c3694.json,False,False,Kenndog,Drip Like ME,original sound - calebrownn (Contains music from: Drip Like ME - Kenndog),"Contains music from: ""Drip Like ME""",[],0,0,Curaçao,#fyp#foryou#foryoupage#funny#kids#viral#getthisviral#xyzcba#trend,1,1,1,0,1,0,0,0,1,0
0,US,7076531371690315054,1647633354,just testing...would she??,6784934947200713733,tuck,super hot famous rich funny buff dude,0,False,https://www.tiktok.com/@tuckot/video/7076531371690315054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076531371690315054&source=h5_m,22269441,103345,302304,68482,2797533,7076531351066823466,7076531351066823466,72,7076531351066823466,original sound - tuckot,tuck,6.784934947200714e+18,tuck,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076531363339438894.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e021fb1bf405d76621151e23be474963.json,False,False,,,,,[],0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
1,GB,7103187317807959301,1653839677,I love my little angel🥰,6978487157972763654,😀😀,"Ok
Yes I viewed ur account…🫶🏽
sonya.xldn👻",0,False,https://www.tiktok.com/@urfavcrackie_/video/7103187317807959301?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103187317807959301&source=h5_m,848125,2497,802,1082,171660,7076262097558063914,7076262097558063914,72,7076262097558063914,XO,Basically nightcore,7.040300622462469e+18,Basically nightcore,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076262113718848302.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b059bc66418ad5dceaca18a775955b73.json,False,False,,,,,[],0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
2,US,7093605091860548907,1651608640, ,6805953424154067973,kaitlinashleybleu,yeah on my insta 🫣,0,False,https://www.tiktok.com/@badgalkate/video/7093605091860548907?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093605091860548907&source=h5_m,500200,110,132,628,27573,6815707132504148741,6815707132504148741,72,6815707132504148741,original sound - mechyfissolo,Mechy Love ❤,6.754721054545282e+18,Mechy Love ❤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663991739172885.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7b3fab68b6e17157776cc56730269b7e.json,False,False,,,,,[],0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
3,US,7077653307371703598,1647894577,AY! 😆 Just trying to distract you from those gas prices! 😱⛽️📈DC: @❤️‍🔥🔥ᒍᑌᗷI2ᖴYᗴ🔥😈  #hiphopharry #aybaybay #fyp #foryou #gasprices,6828271181768115206,Hip Hop Harry,"Entertainer, Educator, TV Icon

Check Out My Episodes
YouTube 📺 HipHopHarryTV⬇️",0,False,https://www.tiktok.com/@imhiphopharry/video/7077653307371703598?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077653307371703598&source=h5_m,1605063,3044,6860,69,164337,7036527535228193542,7036527535228193542,72,7036527535228193542,Jersey anniversary (Contains music from: Jersey Anniversary - KiaBHN),"Contains music from: ""Jersey Anniversary""",6.738838031895971e+18,Malcolm B,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7036527470014663430.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e93c8caf30315d8a0967ac18e7408083.json,False,False,KiaBHN,Jersey Anniversary,Jersey anniversary (Contains music from: Jersey Anniversary - KiaBHN),"Contains music from: ""Jersey Anniversary""",[],0,0,Curaçao,#hiphopharry #aybaybay #fyp #foryou #gasprices,1,0,0,0,1,0,0,0,0,0
4,US,7093671928661085483,1651624202,I hope this makes him stay with me❤️🌮 IB@Cookin With Megg 👩🏻‍🍳 #walkingtacos  #tacotuesday #healthymarriage #tacos #ShowYourJOWO #FORDfortheBuilders #LIKEABOMBSHELL,6790537232303899654,✨Chef texy✨,"✨I’m innocent✨
Anyone I cook for, falls in love❤️
Texykitchen@gmail.com 📧",0,False,https://www.tiktok.com/@texykitchen1/video/7093671928661085483?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093671928661085483&source=h5_m,1637094,824,568,966,94463,7082370286401702683,7082370286401702683,24,7082370286401702683,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",6.508494589473112e+18,Duckhead Dj Kasur,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7082370305552829210.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/241863689ab47c011269273c5f206d17.json,False,False,WILLOW,Wait a Minute!,Wait A Minute! (Duckhead Edit) (Contains music from: Wait a Minute! - WILLOW),"Contains music from: ""Wait a Minute!""",[],0,0,Curaçao,#walkingtacos #tacotuesday #healthymarriage #tacos #ShowYourJOWO #FORDfortheBuilders #LIKEABOMBSHELL,0,0,0,0,0,0,0,0,0,0
5,US,7096627313793699118,1652312308,Looks familiar? #NBAPlayoffs,6677567865081725957,warriors,"🏆🏆🏆🏆🏆🏆
#DubNation
#WarriorsGround",2,False,https://www.tiktok.com/@warriors/video/7096627313793699118?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096627313793699118&source=h5_m,511357,419,109,179,66355,6872479266773207809,6872479266773207809,72,6872479266773207809,EVERYTHANG EXCLOOSIVV,✨ W H A T T A A J O K E E ✨,6.803797235756811e+18,✨ W H A T T A A J O K E E ✨,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6872479136863030018.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7ff64d91e86d00f0fc249db01b0c27b4.json,False,False,,,,,[],0,0,Curaçao,#NBAPlayoffs,0,0,0,0,0,0,0,0,0,0
6,GB,7082352286231432454,1648988642,Don’t cheat just be single 🤷🏻‍♂️,6894601830488474630,AnxietyGangOfficial,,0,False,https://www.tiktok.com/@anxietygangofficial/video/7082352286231432454?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082352286231432454&source=h5_m,12680656,6091,49398,54375,1578643,7082352245345504006,7082352245345504006,72,7082352245345504006,original sound - anxietygangofficial,AnxietyGangOfficial,6.894601830488475e+18,AnxietyGangOfficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082352261086710533.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1980dfa4bd0b88a819bcbb2ae3b73418.json,False,False,,,,,[],0,0,Curaçao,,0,0,0,0,0,0,0,0,0,0
7,GB,7087480075720854789,1650182551,#stitch with @smiletilo morning 😂😂 #fypシ #sickofmyself #kayonneraquel,6806009176771773446,DA PETITE PRINCESS👑,Here for a good time not a long time🤪,0,False,https://www.tiktok.com/@kayonneraquel/video/7087480075720854789?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087480075720854789&source=h5_m,1950895,5790,5412,10464,333188,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Curaçao,#stitch #fypシ #sickofmyself #kayonneraquel,0,0,0,0,0,1,0,0,0,0
0,US,7078699142851218730,1648138079,What song are you listening to? Part 🖐🏾 #fyp #whatsongareyoulisteningto #music #school,6752987475725091846,sancenooo,not lil uzi,0,False,https://m.tiktok.com/v/7078699142851218730.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078699142851218730&source=h5_m,6443535,2623,1048,4810,907916,7078699098244664106,7078699098244664106,72,7078699098244664106,original sound - lasaantv (Contains music from: Stuck On You - Giveon),"Contains music from: ""Stuck On You""",6.752987475725092e+18,sancenooo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7078699132419902250.mp3,,False,False,Giveon,Stuck On You,original sound - lasaantv (Contains music from: Stuck On You - Giveon),"Contains music from: ""Stuck On You""",[],0,0,Curaçao,#fyp #whatsongareyoulisteningto #music #school,0,0,0,0,1,0,0,0,0,0
