,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypage,hash_fypシ,hash_protebe,hash_trend,hash_viral
0,CZ,7102449616905325829,1653667917,m i l u j u 🎮🥹 #viral #trend #fypシ゚viral #plsfyp #fypagechallenge #fypagecz #foryoupageofficiall #protebe #makemefamous #viralvideo #protebepage #gamer #fypageシ #viralvideocz #GamerGirl #protebe #fy #fypa #fyp #plsfy #loveyou,6939265602653963270,Týnos 🤩,"csgo🤩
steam:Kristýnka | ig:bozkovaaa.k | ds:bozkovaaa#2482
www.godlike.gg/tynos",0,False,https://www.tiktok.com/@tynos_ma_maly_nos/video/7102449616905325829?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102449616905325829&source=h5_m,469020,1045,290,1501,57060,7069370879574035206,7069370879574035206,72,7069370879574035206,original sound - bestspedup,sped up songs ❤️‍🩹,7.057104042099181e+18,sped up songs ❤️‍🩹,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069370862817921798.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dd051b73abb6f5e0d0f27c797dc0ea96.json,False,False,,,,,[],0,0,Czech Republic,#viral #trend #fypシ゚viral #plsfyp #fypagechallenge #fypagecz #foryoupageofficiall #protebe #makemefamous #viralvideo #protebepage #gamer #fypageシ #viralvideocz #GamerGirl #protebe #fy #fypa #fyp #plsfy #loveyou,0,0,0,1,1,0,1,2,1,2
1,GB,7092579405813402886,1651369832,#fyp #foryou #foryoupage,6929056779507221509,Raphael Aghahan,📩Contact - visualperception15@gmail.com,0,False,https://www.tiktok.com/@rafreacts/video/7092579405813402886?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092579405813402886&source=h5_m,1547423,2569,827,2905,201706,7082121892303210498,7082121892303210498,10033,7082121892303210498,Stay Baby Stay (Like a Lullaby),Peter Lake,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/39c58dd297e14446821dac545ca3b717,,False,True,,,,,[],0,0,Czech Republic,#fyp #foryou #foryoupage,1,1,0,0,1,0,0,0,0,0
2,CZ,7093206209200655621,1651515769,Yeah studying is important but don’t forget to rest. #fyp #mentalhealth #studymotivation #studyquote,7015240608122471429,study.future,"study motivation | quotes 
use code STUDYFUTURE for 10% off your pocket printer!",0,False,https://www.tiktok.com/@study.future/video/7093206209200655621?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093206209200655621&source=h5_m,106582,54,167,954,21477,7084629920055397125,7084629920055397125,72,7084629920055397125,original sound - forgentlehearts,alaska gold,6.91027337557672e+18,alaska gold,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084629926254594821.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c1f45861160a1bb528c2a62f0168e143.json,False,False,,,,,[],0,0,Czech Republic,#fyp #mentalhealth #studymotivation #studyquote,0,0,0,0,1,0,0,0,0,0
3,US,7103211866331106561,1653845392,this didn’t end well… #fyp @nataliereynoldsx,6532011134348689409,Zack and Natalie,Link in Bio :),0,False,https://www.tiktok.com/@zackandnat/video/7103211866331106561?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103211866331106561&source=h5_m,1046576,184,82,137,48091,7079848233727527723,7079848233727527723,72,7079848233727527723,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",6.41086141261865e+16,Hope Schwing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079848259551824686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bdbf6f7891913266ce1589afae9f9f0c.json,False,False,Jungleboy,Perfect,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",[],0,0,Czech Republic,#fyp,0,0,0,0,1,0,0,0,0,0
4,CZ,7097604313068883206,1652539783, ,6910188068780884998,Váša a Niky,,0,False,https://www.tiktok.com/@vasiknedved/video/7097604313068883206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097604313068883206&source=h5_m,1210668,3003,8977,11547,66662,7069861896538606342,7069861896538606342,72,7069861896538606342,original sound - honzazlesa (Contains music from: Kluci z Basy - Leo Beránek),"Contains music from: ""Kluci z Basy""",6.804344184338859e+18,Honza zlesa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069861434775194373.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/40ce16b868f24ab5dd5cbc824e9e26d1.json,False,False,Leo Beránek,Kluci z Basy,original sound - honzazlesa (Contains music from: Kluci z Basy - Leo Beránek),"Contains music from: ""Kluci z Basy""",[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
5,CZ,7093899691481419013,1651677233,Anička vysvětuje KAFU🤷‍♂️ #kafukafu @ancaa_7,25020260,Adam Kajumi 🇨🇿,"Currently in 🇨🇿
adkajumi@gmail.com 📩
Come live and get 1000 followers🙏🏽",0,False,https://www.tiktok.com/@adamkajumi/video/7093899691481419013?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093899691481419013&source=h5_m,797831,2430,1261,2305,55844,7090551709508601857,7090551709508601857,10033,7090551709508601857,Žít svůj sen,Adamkajumi,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/456b60654091447aabee75d44dce95b5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/54d8e8b1b6c043d5abcfbdd662e5919a,False,True,,,,,[],0,0,Czech Republic,#kafukafu,0,0,0,0,0,0,0,0,0,0
6,DE,7103544610730822918,1653922866,I hope you’re ready for another part or this :) but I wanna spice the next two a little bit up 🕺,6651210179881418757,Levin,"Hey y’all 🌞
levin@sesamyagency.com",0,False,https://www.tiktok.com/@levinhotho/video/7103544610730822918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103544610730822918&source=h5_m,489154,901,122,0,75299,7102561910163360517,7102561910163360517,72,7102561910163360517,running up that hill,<3,6.795897662245258e+18,<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102561934477740806.mp3,,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
7,US,7089234502953798958,1650591033,🥲,6795425317920310278,WNRS,warning: feelings may arise,0,False,https://www.tiktok.com/@werenotreallystrangers/video/7089234502953798958?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089234502953798958&source=h5_m,34827369,93667,161375,200167,6995846,6850767512397679365,6850767512397679365,72,6850767512397679365,agony,<3,6.850013393941054e+18,<3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6850767466734357253.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e8ef744a298f3363942266e28b807ec2.json,False,False,,,,,[],0,0,Czech Republic,,0,0,0,0,0,0,0,0,0,0
0,CZ,7103141549000707333,1653829021,Dělal zle😬#hrot #mrdka #stara,6930249383040975878,TeaPack,Skater a Versace role model,0,False,https://m.tiktok.com/v/7103141549000707333.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103141549000707333&source=h5_m,270120,713,280,798,22417,7103141546131901189,7103141546131901189,72,7103141546131901189,original sound - teapacktop,TeaPack,6.930249383040976e+18,TeaPack,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103141549596936965.mp3,,False,False,,,,,[],0,0,Czech Republic,#hrot #mrdka #stara,0,0,0,0,0,0,0,0,0,0
1,CZ,7098642070033763590,1652781405,@studiomooontv neodolal tanečku.🤣❤️🦋 #fyp #foryou #foryoupage #trend #icouple,189868623656562688,🧚🏼‍♀️n00dles🧚🏼‍♀️,"Vids točím pouze pro zábavu.<3
📷Ig:nudl1cka1
📩nudl1cka1spoluprace@gmail.com",0,False,https://m.tiktok.com/v/7098642070033763590.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098642070033763590&source=h5_m,859877,1333,264,1927,121913,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Czech Republic,#fyp #foryou #foryoupage #trend #icouple,1,1,0,0,1,0,0,0,1,0
