,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_elalfa,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_greenscreen,hash_parati,hash_rd,hash_tiktok,hash_viral
0,DO,7101952549464411397,1653552189,Miren quien llego montada y full de oro hoy a casa 🏠🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 felicidades titingola!,6941230470773867526,Santana barber class,"En Santo Domingo
RD somos los más completo !!!
Síguenos en YouTube",0,False,https://m.tiktok.com/v/7101952549464411397.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101952549464411397&source=h5_m,3566253,855,626,2725,296925,6928763560856127489,6928763560856127489,10033,6928763560856127489,Started From the Bottom,Drake,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/fd38b8ba8e9d446c8c93f822b9037feb,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f4cd99b2888a446cbcbc7f46d7a11116,False,True,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
1,DO,7096522160306539781,1652287824,Así 🥶😝🥰☠️,6829540735576081414,Scarlett Medina,❤️ Gracias mi dios por todo 🥺❤️🍃,0,False,https://m.tiktok.com/v/7096522160306539781.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096522160306539781&source=h5_m,6763054,3248,10898,704,582942,7083178067576752130,7083178067576752130,10033,7083178067576752130,Parra Sin Doncon,El Alfa,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3ddaaffcd0014f2eada6ea5d6b2e289b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/19da2529dfad4d259867be56846f0a21,False,True,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
2,US,7102850158475431211,1653761175, ,7026641523656999942,Raulnocturno,,0,False,https://m.tiktok.com/v/7102850158475431211.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102850158475431211&source=h5_m,666969,423,976,1594,59927,7102850120135625515,7102850120135625515,72,7102850120135625515,original sound - raulnocturno,Raulnocturno,7.026641523657e+18,Raulnocturno,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7102850155817618222.mp3,,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
3,DO,7102806685353315589,1653751054,🤭😮‍💨Kilo hazme algo breve @un.kilo síganme en mi cuenta personal 😋❤️#viral #tiktok #parati,7043902768311010309,源橱💯源橱,"✨P R I M E R O  D I O S❤️
  🛐S I G U E M E  E N  I G 👆
👇N E W  C U E N T A 💯",0,False,https://m.tiktok.com/v/7102806685353315589.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102806685353315589&source=h5_m,697410,264,504,1267,36571,7102806682874415878,7102806682874415878,72,7102806682874415878,original sound - el..kilo,源橱💯源橱,7.04390276831101e+18,源橱💯源橱,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102806689846201094.mp3,,False,False,,,,,[],0,0,Dominican Republic,#viral #tiktok #parati,0,0,0,0,0,0,1,0,1,1
4,US,7089475893818723630,1650647237,I TURNED @arrington171 INTO A BARB WE LOVE @nickiminaj ( I was trying not to laugh because of his facial expression’s) #nickiminaj,6721266433018299398,Skai Jackson 🥰,Follow my Instagram @skaijackson 💕,0,False,https://m.tiktok.com/v/7089475893818723630.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089475893818723630&source=h5_m,9621785,4305,1996,8847,1660847,7079126725686217478,7079126725686217478,72,7079126725686217478,We Go Up (Contains music from: We Go Up - Nicki Minaj),"Contains music from: ""We Go Up""",6.763773632898532e+18,biggarbie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079126735169604358.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2839cc999727fce962ad52acc9fb543f.json,False,False,Nicki Minaj,We Go Up,We Go Up (Contains music from: We Go Up - Nicki Minaj),"Contains music from: ""We Go Up""",[],0,0,Dominican Republic,#nickiminaj,0,0,0,0,0,0,0,0,0,0
5,DO,7099597527678274822,1653003865,Ya me hacia falta esto 🇩🇴😩😩😩,6967550908352349190,REAL HASTA LA MUERTE,,0,False,https://m.tiktok.com/v/7099597527678274822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099597527678274822&source=h5_m,8223002,2556,702,1096,226141,7099597506199243525,7099597506199243525,72,7099597506199243525,original sound - yailinlamasvirale,REAL HASTA LA MUERTE,6.967550908352349e+18,REAL HASTA LA MUERTE,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099597496225204997.mp3,,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
6,US,7103285671535676715,1653862576,Always 💀😭 #fyp #parati #foryou,4202870,Edwin 💅🏽,"El Real Mariscon🏳️‍🌈
Se tu y ya🪄 
Instagram • theyhatedaboy📸
My YouTube👇🏽",0,False,https://m.tiktok.com/v/7103285671535676715.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103285671535676715&source=h5_m,673690,481,1116,1620,81190,7076359950171130629,7076359950171130629,72,7076359950171130629,original sound - mel__pn,Melody,6.640634555277541e+18,Melody,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076359959935568645.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fcb4dcbd4caefcd9531217c8e527b00a.json,False,False,,,,,[],0,0,Dominican Republic,#fyp #parati #foryou,0,1,0,1,0,0,1,0,0,0
7,US,7087008807137643818,1650072823,because our team basically created this move 😂😂😂,6760111779357983749,Kya wya,"University Of Memphis💙 ‘24
Amosc: Immcookieeee
Cashapp: $kyabee",0,False,https://m.tiktok.com/v/7087008807137643818.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087008807137643818&source=h5_m,36536581,61428,82389,23071,6024278,7080378866199513899,7080378866199513899,72,7080378866199513899,original sound - cassidycondiee,Cassidy Condie,6.713732600005428e+18,Cassidy Condie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080378907681114922.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/68eeaf30337ec350f0f34e624ad7bae1.json,False,False,,,,,[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
0,DO,7103511836745551110,1653915236, ,7068259355251000325,La barby,,0,False,https://www.tiktok.com/@labarby446/video/7103511836745551110?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103511836745551110&source=h5_m,54820,123,11,40,2905,6903637076743375618,6903637076743375618,72,6903637076743375618,EL Q USE ESTE AUDIO SE LA COME XD (Contains music from: Sexo na Treta - funk - DJ KR3),"Contains music from: ""Sexo na Treta - funk""",6.80384264781349e+18,ImO🇧🇴,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6903637056426167041.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/55ca8cb569276fe55fc9757f145f6345.json,False,False,DJ KR3,Sexo na Treta - funk,EL Q USE ESTE AUDIO SE LA COME XD (Contains music from: Sexo na Treta - funk - DJ KR3),"Contains music from: ""Sexo na Treta - funk""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
1,DO,7084811089958948102,1649561128,Googotan,6976418370532180998,El Alfa,El alfaeljefe la bestia the Best 🔥,0,False,https://www.tiktok.com/@elalfa583/video/7084811089958948102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084811089958948102&source=h5_m,14938399,3254,10491,86039,1271422,7084811060825328389,7084811060825328389,72,7084811060825328389,original sound - elalfa583 (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.976418370532181e+18,El Alfa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084811076507798277.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd66a6a0006be715ad6827e9bb7d3382.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - elalfa583 (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Dominican Republic,,0,0,0,0,0,0,0,0,0,0
