,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_eesti,hash_eestitiktok,hash_estonia,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_johnnydepp,hash_viral
0,AU,7100518699483827458,1653218340,What do you call them in your language? 🤔 #japanese #estonian  #fyp,6915648814469727237,Klaara & Kyoma,"JPN🇯🇵EST🇪🇪 
📍 in Gold Coast QLD 🇦🇺",0,False,https://www.tiktok.com/@kjpnkest/video/7100518699483827458?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100518699483827458&source=h5_m,356017,452,146,241,34403,7100518733881363202,7100518733881363202,24,7100518733881363202,original sound - kjpnkest,Klaara & Kyoma,6.915648814469727e+18,Klaara & Kyoma,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100518715531234049.mp3,,False,False,,,,,[],0,0,Estonia,#japanese #estonian #fyp,0,0,0,0,0,0,1,0,0,0
1,EE,7098368259187084550,1652717652,#🇪🇪🌌,6827768115116590085,😈,,0,False,https://www.tiktok.com/@usrer4478904/video/7098368259187084550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098368259187084550&source=h5_m,511797,1325,3659,5637,61809,7098368234574924549,7098368234574924549,72,7098368234574924549,original sound - usrer4478904,😈,6.82776811511659e+18,😈,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098368246705441542.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/51ab8ce33c4b5211f3a4d97ab170634a.json,False,False,,,,,[],0,0,Estonia,#🇪🇪🌌,0,0,0,0,0,0,0,0,0,0
2,FI,7098916574370860293,1652845321,Mida soovite sellel kontol näha😸?#eesti #eestitiktok #eestivideod #eestiparimtiktokker #fypシ #estonia #trans #eestifyp #foryoupage,7098729489350837254,Sulg.Robi,"Trans🏳️‍🌈
Model✨
Makeup artist💄
👻: victoria.sulg",0,False,https://www.tiktok.com/@sulg.robi/video/7098916574370860293?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098916574370860293&source=h5_m,89087,364,1178,427,3140,7052819941526964997,7052819941526964997,72,7052819941526964997,Igavest Elu Lõppevas Öös,🇺🇦EESTI LAULUD🇺🇦,7.035943859449169e+18,🇺🇦EESTI LAULUD🇺🇦,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7052819970807565062.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/254e9f17fda25c7d1966812caf2903ea.json,False,False,,,,,[],0,0,Estonia,#eesti #eestitiktok #eestivideod #eestiparimtiktokker #fypシ #estonia #trans #eestifyp #foryoupage,1,1,1,0,1,0,0,1,0,0
3,EE,7093502984470023430,1651584868,Still can’t dance for the life of meeeee 🥲🥲🥲🥲🥲🥲 but at least i’m having fun 🥰 #dance #lizzo  #aboutdamntime dc: @jaedenraegomez,184910528694239232,Liina Ariadne Pedanik,"Estonia, 23🇪🇪
✨🖤STREAM MY SINGLE “SHOULDN’T BE FRIENDS”🖤✨",0,False,https://www.tiktok.com/@liinaariadne/video/7093502984470023430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093502984470023430&source=h5_m,55846,26,6,31,4599,7086201843973621762,7086201843973621762,10033,7086201843973621762,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2e6ee9db9c1440ec88118a965e786985,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aec693bde8934a379590f77837e0bb52,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Estonia,#dance #lizzo #aboutdamntime,0,0,0,0,0,0,0,0,0,0
4,EE,7083095518762503430,1649161690,"Naughty Boy, Sam Smith - La La La #fyp",6893861532041577474,.,🍀,0,False,https://www.tiktok.com/@coinyes/video/7083095518762503430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083095518762503430&source=h5_m,3335373,2677,2239,12703,562364,7083095482095930118,7083095482095930118,72,7083095482095930118,la la la (Contains music from: The Get Down - Tomes),"Contains music from: ""The Get Down""",6.893861532041577e+18,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083095495718996741.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4ce808aceea781dbd19b1bd719da0aee.json,False,False,Tomes,The Get Down,la la la (Contains music from: The Get Down - Tomes),"Contains music from: ""The Get Down""",[],0,0,Estonia,#fyp,0,0,0,0,0,0,1,0,0,0
5,EE,7103219471040515334,1653847163,naltsik fastersis 🍟🍔 #fyp #mstpodcast #missiintoimub #andreizevakin #robinvalting,7051544169199125505,mis siin toimub?,"andrei & robin mähivad mikritesse
ametlik “mis siin toimub” podcasti tiktok 🚫🧢",0,False,https://www.tiktok.com/@mstpodcast/video/7103219471040515334?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103219471040515334&source=h5_m,55348,11,45,45,3746,7103219469271485190,7103219469271485190,72,7103219469271485190,original sound - mstpodcast,mis siin toimub?,7.051544169199126e+18,mis siin toimub?,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103219469962824454.mp3,,False,False,,,,,[],0,0,Estonia,#fyp #mstpodcast #missiintoimub #andreizevakin #robinvalting,0,0,0,0,0,0,1,0,0,0
6,EE,7098662878483434758,1652786250, ,6818916650957849606,luisa,,0,False,https://www.tiktok.com/@luisalepik/video/7098662878483434758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098662878483434758&source=h5_m,48536,98,35,0,4031,7012679067719781126,7012679067719781126,72,7012679067719781126,original sound - _p2kapikk9,p2kapikk9,6.777149083213301e+18,p2kapikk9,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7012679125278296837.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4950663e907ffcfbd103a765fa62dc17.json,False,False,,,,,[],0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
7,US,7102943430447320363,1653782892,i don’t like myself…,6854613469657973765,mo,Sydney Sweeney lookalike,0,False,https://www.tiktok.com/@barbiedollbabe/video/7102943430447320363?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102943430447320363&source=h5_m,944966,3266,1178,88,197082,6826181954702985218,6826181954702985218,10033,6826181954702985218,Like a G6,Like a G6 Karaoke,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dee58dcadac74063bcdbe228d0e9d1d2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/339cc685342848cdb133ff9d42e1079c,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1513267536', 'external_song_key': 'apple_song_id'}]",0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
0,EE,7102077029721378054,1653581168,palun kommentaaridesse ainult nalju teie emadest….#fyp #eesti #estonia #venelane #galaxywatch4 #sinuema,6806594912784712710,Artjom Savitski,"IG: artjomsavitski - parem oleks, et follod

Artjomikute Klubi ⬇️",0,False,https://m.tiktok.com/v/7102077029721378054.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102077029721378054&source=h5_m,101053,86,194,246,8991,7102077018761612038,7102077018761612038,72,7102077018761612038,original sound - artjomsavitski,Artjom Savitski,6.806594912784713e+18,Artjom Savitski,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102077022918265605.mp3,,False,False,,,,,[],0,0,Estonia,#fyp #eesti #estonia #venelane #galaxywatch4 #sinuema,1,0,1,0,0,0,1,0,0,0
1,GB,7098709114754272517,1652797014,Will Russia Invade Estonia?! 🇪🇪 #russia #ukraine #invasion #news,7061224009891808261,Facts Weekly,On the Way to 100k! | Merch coming soon 🔥,0,False,https://m.tiktok.com/v/7098709114754272517.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098709114754272517&source=h5_m,432044,784,109,233,25435,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Estonia,#russia #ukraine #invasion #news,0,0,0,0,0,0,0,0,0,0
2,US,7074994266468076846,1647275470,too much??😂😂 @theskimaskgirl,6757817457937499141,Tooturnttony,"INSTA AND YT🎥⬆️
- LIVIN’ -
MERCH & FUN😉⬇️",0,False,https://m.tiktok.com/v/7074994266468076846.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074994266468076846&source=h5_m,40977249,13767,28404,11776,3102085,7074994227033164586,7074994227033164586,72,7074994227033164586,original sound - tooturnttony,Tooturnttony,6.757817457937499e+18,Tooturnttony,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7074994251305863982.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b95b6edb0ff2f3afc7a0682a8904a1a1.json,False,False,,,,,[],0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
3,EE,7085283881896791301,1649671209,one day you’ll say: “i made it!” ☀️ #foryou #reminder #motivation #motivationmonday,6640123184954490885,Kerli Paaslepp,,0,False,https://m.tiktok.com/v/7085283881896791301.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085283881896791301&source=h5_m,69103,71,60,128,6876,7074083710391372545,7074083710391372545,72,7074083710391372545,original sound - ipaytas,Tik Toker,7.024856510006035e+18,Tik Toker,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7074083704842357506.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/381ae5a6924b6a4fc07ea56200ea8be4.json,False,False,,,,,[],0,0,Estonia,#foryou #reminder #motivation #motivationmonday,0,0,0,1,0,0,0,0,0,0
4,EE,7080130098078256386,1648471250,oled täitsa nagu aafrikas giid nagu ve? #fyp #poissmeestepidu,81841085458554880,Andrei Zevakin,"ig: @andreizevakin
🇪🇪",0,False,https://m.tiktok.com/v/7080130098078256386.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080130098078256386&source=h5_m,100649,154,202,161,8320,7080130095872166657,7080130095872166657,72,7080130095872166657,original sound - andreizevakin,Andrei Zevakin,8.184108545855488e+16,Andrei Zevakin,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7080130070831975169.mp3,,False,False,,,,,[],0,0,Estonia,#fyp #poissmeestepidu,0,0,0,0,0,0,1,0,0,0
5,EE,7076113081545297158,1647535964,davai keda homme project x’il näebbb?🧚🏻#foryoupage #fyp #foryou #projectx,6626052151154180102,Anette Orav,"tsauki tsau🦋
18",0,False,https://m.tiktok.com/v/7076113081545297158.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076113081545297158&source=h5_m,564764,294,424,815,45087,7057739817069267759,7057739817069267759,72,7057739817069267759,toma tussi (Contains music from: Mi Gata - Standly & El Barto),"Contains music from: ""Mi Gata""",6.822375090220434e+18,key 💋,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7057739848668678958.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0142754e7b4a77df46fa045fc39c0298.json,False,False,Standly & El Barto,Mi Gata,toma tussi (Contains music from: Mi Gata - Standly & El Barto),"Contains music from: ""Mi Gata""",[],0,0,Estonia,#foryoupage #fyp #foryou #projectx,0,0,0,1,1,0,1,0,0,0
6,EE,7093869563036699910,1651670219,Talisupleja eelistab suve?! 😨,7055591036832171013,kylmjaatis,"Tartu Aparaaditehases on Külm 🥶
Leiad meid kauplustest 🌇",0,False,https://m.tiktok.com/v/7093869563036699910.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093869563036699910&source=h5_m,128007,66,58,68,8204,7093869554559929094,7093869554559929094,72,7093869554559929094,original sound - kylmjaatis,kylmjaatis,7.055591036832171e+18,kylmjaatis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093869564404058886.mp3,,False,False,,,,,[],0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
7,GB,7103572962363591942,1653929467,✨Camille Dance✨ #frever #camillevasquez #freverfamilyuk,6975995532405982213,frever_lizzie,💙 Follow for more FREVER videos 💜,0,False,https://m.tiktok.com/v/7103572962363591942.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103572962363591942&source=h5_m,119784,119,240,307,15499,7102955664032631558,7102955664032631558,72,7102955664032631558,original sound - rhyswilliamc,RhysWilliamC,6.736169077071513e+18,RhysWilliamC,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102955674488916742.mp3,,False,False,,,,,[],0,0,Estonia,#frever #camillevasquez #freverfamilyuk,0,0,0,0,0,0,0,0,0,0
0,US,7095386032404761902,1652023297,Kept it up the octave for this haunting #estonian melody originally by #HeliLääts and later #Metsatöll #estonia #fyp #foryou #estonia #estonianlanguage #internationalsongs #singers #diet #global #languages,105562564314480640,Sam Tsui,"Singer/songwriter/OG Youtuber/dad!!
samtsuibusiness@gmail.com
feat. @caseybreves",0,False,https://www.tiktok.com/@thesamtsui/video/7095386032404761902?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095386032404761902&source=h5_m,422043,2575,1019,1067,45378,7095386010611206955,7095386010611206955,72,7095386010611206955,original sound - thesamtsui,Sam Tsui,1.0556256431448064e+17,Sam Tsui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095386031406517035.mp3,,False,False,,,,,[],0,0,Estonia,#estonian #HeliLääts #Metsatöll #estonia #fyp #foryou #estonia #estonianlanguage #internationalsongs #singers #diet #global #languages,0,0,2,1,0,0,1,0,0,0
1,EE,7101287232148917510,1653397280,"Same girl, different mindset ✨ #gymtok",7101027968940672005,amanda.margaret,"You're stronger than you think 💗
🇪🇪",0,False,https://www.tiktok.com/@amanda.margaret/video/7101287232148917510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101287232148917510&source=h5_m,78581,123,92,84,4200,7095492979259820805,7095492979259820805,72,7095492979259820805,original sound - ex7stence,</3,7.043108937957672e+18,</3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095493007696775941.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bb71369bbb9323214a5d7bac6b60e49f.json,False,False,,,,,[],0,0,Estonia,#gymtok,0,0,0,0,0,0,0,0,0,0
2,EE,7092750078477225217,1651409567,🇩🇪🇪🇪🇱🇻💚,6644047931509653509,Mahavsekruto🏄‍♀️🏄‍♀️🏄‍♀️,"Ambassador @cheetos_rus
Collaboration maha@wildjam.ru
Member of dream_team_hous",0,False,https://www.tiktok.com/@mahavsekupleno/video/7092750078477225217?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092750078477225217&source=h5_m,364112,1149,145,224,33146,6955492579202960133,6955492579202960133,72,6955492579202960133,European Songs by Chris El Greco,Chris El Greco,6.716468305308091e+18,Chris El Greco,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6955492659096177414.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cd56f618df2d31da73f4806334b96e60.json,False,False,,,,,[],0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
3,AE,7101642137569185029,1653479913,💛 #motogirl,6670088562572623878,San8ra,"📸 Instagram : san8ra 🏍………👆🏼👆🏼
👠Top 0,5% OF👇🏼💙",0,False,https://www.tiktok.com/@sandraroosme/video/7101642137569185029?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101642137569185029&source=h5_m,109966,104,28,42,5879,7084242536273103618,7084242536273103618,72,7084242536273103618,Leoauf (Contains music from: Rover (feat. DTG) - S1mba),"Contains music from: ""Rover (feat. DTG)""",6.765520916803945e+18,𝑳𝑬𝑶𝑨𝑼𝑭,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084242464118606593.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f416540eb48884ce22770de2926b425d.json,False,False,S1mba,Rover (feat. DTG),Leoauf (Contains music from: Rover (feat. DTG) - S1mba),"Contains music from: ""Rover (feat. DTG)""",[],0,0,Estonia,#motogirl,0,0,0,0,0,0,0,0,0,0
4,EE,7081297088503385350,1648742959,whyyy 😭😭😭 #fyp #fakebody,6527677637286958095,your favorite double stuf oreo,"💉med.student💉
🇪🇪
20 years young
ig: @oreo.kypsis 
orinajakovlev@gmail.com💌",0,False,https://www.tiktok.com/@oreo.kypsis/video/7081297088503385350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081297088503385350&source=h5_m,49574,42,8,25,3367,6988445527943744261,6988445527943744261,72,6988445527943744261,original sound - revcngerz (Contains music from: Do Dat (Tik Tok Resume) - Semme),"Contains music from: ""Do Dat (Tik Tok Resume)""",6.638636391021543e+18,Jona,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6988445669275093766.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5f17716d117af7a05792bcb9d44883c5.json,False,False,Semme,Do Dat (Tik Tok Resume),original sound - revcngerz (Contains music from: Do Dat (Tik Tok Resume) - Semme),"Contains music from: ""Do Dat (Tik Tok Resume)""",[],0,0,Estonia,#fyp #fakebody,0,0,0,0,0,0,1,0,0,0
5,EE,7100220973621759238,1653149021, ,6995071245453935622,Musicmoooon,"Better life
Natuke meelelahutust ja natuke rohkem muusikat :)",0,False,https://www.tiktok.com/@musicmoooon/video/7100220973621759238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100220973621759238&source=h5_m,172842,187,1361,1652,21432,7100220971402988293,7100220971402988293,72,7100220971402988293,original sound - musicmoooon,Musicmoooon,6.995071245453936e+18,Musicmoooon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100220961781910277.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fd1208cb2e1745fc019b5b403a8d743e.json,False,False,,,,,[],0,0,Estonia,,0,0,0,0,0,0,0,0,0,0
