,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_explore,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
0,SA,7102750559861525762,1653737986,ههههههههههههههههههههههههههههههههههههههههههههههههههههه #حركة_اكسبلور,6594638031691661318,♡,"''ماشاءالله
وراء كُل فتاة عظيمه نفسها ثم نفسها ♛
تنوووروني سناب👇🏻❤️",0,False,https://www.tiktok.com/@allilr1/video/7102750559861525762?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102750559861525762&source=h5_m,8289908,29251,50974,1152,347267,7085394731496229633,7085394731496229633,72,7085394731496229633,original sound - z.38t,F9🦌,6.883220609212483e+18,F9🦌,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7085394711065742082.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c13bdb539851ffa09bf36e2352c6f7c3.json,False,False,,,,,[],0,0,Egypt,#حركة_اكسبلور,0,0,0,0,0,0,0,0,0,0
1,EG,7099617418212936962,1653008494, ,6673866372675748870,🛩️أباتشي مصر 🇪🇬,"من تواضع لله رفعه 🤲
300k soooon",0,False,https://www.tiktok.com/@abatshy.masr/video/7099617418212936962?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099617418212936962&source=h5_m,5506354,8374,4061,14246,201866,7099617398973631233,7099617398973631233,72,7099617398973631233,original sound - abatshy.masr,🛩️أباتشي مصر 🇪🇬,6.673866372675749e+18,🛩️أباتشي مصر 🇪🇬,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099617364958104322.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fd4955bd2caca4bf57d0708f6751acb9.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
2,EG,7102512710893554950,1653682608,هي تقصد ايه ؟ #خالد_عز @inasenasfarouk,6561454072547775488,خالد عز (مذيع الغلابه),"مذيع الغلابه
احلم ومهما كان حلمك بعيد هتوصل له💪
الله يرحمك يا أمي😔💔",0,False,https://www.tiktok.com/@khaled.ezz1/video/7102512710893554950?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102512710893554950&source=h5_m,8082954,4553,68141,4359,243531,7102512703025318661,7102512703025318661,72,7102512703025318661,original sound - khaled.ezz1,خالد عز (مذيع الغلابه),6.561454072547775e+18,خالد عز (مذيع الغلابه),False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102512703961729798.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/01483cb4cb8a617a5aecb2265c3020e0.json,False,False,,,,,[],0,0,Egypt,#خالد_عز,0,0,0,0,0,0,0,0,0,0
3,EG,7101444070299520262,1653433797,@Kirollos Sarhan,92546272791756800,Lola_emanuela,,0,False,https://www.tiktok.com/@lola_emanuelaa/video/7101444070299520262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101444070299520262&source=h5_m,1036874,404,774,1540,41517,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6451d37d7406466694e79d004d0fd20e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
4,EG,7103566831654276357,1653928040,it was such an honor being a part of @LaLiga ‘s new football launch 🤍  #fyp #laliga,100074742010830848,Tasneem Elaidy,,0,False,https://www.tiktok.com/@tasneemelaidy/video/7103566831654276357?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103566831654276357&source=h5_m,624608,715,538,1557,114099,7103566841070586629,7103566841070586629,72,7103566841070586629,original sound - tasneemelaidy (Contains music from: مين يتحدى - SFerroe),"Contains music from: ""مين يتحدى""",1.0007474201083085e+17,Tasneem Elaidy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103566834804935429.mp3,,False,False,SFerroe,مين يتحدى,original sound - tasneemelaidy (Contains music from: مين يتحدى - SFerroe),"Contains music from: ""مين يتحدى""",[],0,0,Egypt,#fyp #laliga,0,0,0,0,1,0,0,0,0,0
5,EG,7101437503416110342,1653432267,😈🗡,6788064124326577158,Hannah El Zahed,"Egyptian Actress
Instagram @hannahelzahed",0,False,https://www.tiktok.com/@hannahelzahed/video/7101437503416110342?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101437503416110342&source=h5_m,7860799,2630,2665,14937,616327,6987842287267138309,6987842287267138309,72,6987842287267138309,original sound - ablakamelvideos,Queen عبلة كامل 👸🏻,6.973803529023538e+18,Queen عبلة كامل 👸🏻,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6987842381185862405.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/00048eade44295059c2a7df3a6918bf0.json,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
6,TR,7088712725257391362,1650469548,Nerden izliyorsunuz bizi?,6876004715400102914,melekazad,İNSTAGRAMDAN TAKİP ETMEYİ UNUTMAYIN CANLAR❤️,0,False,https://www.tiktok.com/@melekazad/video/7088712725257391362?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088712725257391362&source=h5_m,51117998,38012,39784,219466,1939987,7019407022122617601,7019407022122617601,72,7019407022122617601,لحد يستخدم الصوت (Contains music from: مسيطره - Lamis Kan),"Contains music from: ""مسيطره""",6.799188410893551e+18,ENTJ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7019407039604755201.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f14516443f406bcd6ce249be305672c8.json,False,False,Lamis Kan,مسيطره,لحد يستخدم الصوت (Contains music from: مسيطره - Lamis Kan),"Contains music from: ""مسيطره""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
7,EG,7094348835937324294,1651781807,Reply to @amr5064 🤨,6771742105942934533,Nadine✨,"love you all 🤍✨
Be Kind. 
🇪🇬🇬🇷
follow my instagram 🥰",0,False,https://www.tiktok.com/@nadinekhadrr/video/7094348835937324294?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094348835937324294&source=h5_m,1302066,1128,789,1713,56786,7094348835383692038,7094348835383692038,72,7094348835383692038,original sound - nadinekhadrr,Nadine✨,6.771742105942935e+18,Nadine✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094348820347210502.mp3,,False,False,,,,,[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
0,EG,7103515014874615046,1653915976,طب اي ناخد التريند تاني😂♥️,6517273525244400655,ابو ضحكه جنان 😄🍓,تعالو انستا برد ع الكل اللينك ف البايو😂♥️,0,False,https://www.tiktok.com/@seiftarek71/video/7103515014874615046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103515014874615046&source=h5_m,1073416,446,155,959,51183,7094320275118344965,7094320275118344965,72,7094320275118344965,original sound - _nada_mohamed__ (Contains music from: Marry Me (feat. Toya Wright) - Rasheeda),"Contains music from: ""Marry Me (feat. Toya Wright)""",6.805968368929572e+18,Nada,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094320272882322181.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5b5b7e20daa6dec99055810f2563c2e0.json,False,False,Rasheeda,Marry Me (feat. Toya Wright),original sound - _nada_mohamed__ (Contains music from: Marry Me (feat. Toya Wright) - Rasheeda),"Contains music from: ""Marry Me (feat. Toya Wright)""",[],0,0,Egypt,,0,0,0,0,0,0,0,0,0,0
1,MA,7101767987757075717,1653509213,النتيجة فعلا رائعة بنات بتمنى تجربوها 🤍😌#fyp #explor #foryou #fypシ #عناية_بالقدمين #جمال #عنايه #maroc🇲🇦 #اهتمام #اهتمي_بنفسك #وصفات_طبيعية,6976744558970110982,SAlma 🇲🇦 🤍,"📧 Email:zaraseelma@gmail.com : للإعلانات
My Instagram ☝🏼✨🧚🏻",0,False,https://www.tiktok.com/@zaraseelma/video/7101767987757075717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101767987757075717&source=h5_m,10233902,3132,144497,5506,501193,7094000281934924545,7094000281934924545,72,7094000281934924545,original sound - lionheart..5 (Contains music from: Min Awel Dekika - Elissa & Saad Lamjarred),"Contains music from: ""Min Awel Dekika""",7.007064824979408e+18,𝓁𝒾𝑜𝓃𝒽𝑒𝒶𝓇𝓉..𝟧,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094000263735855873.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/693c751fa567285ee622cacf92cb2af0.json,False,False,Elissa & Saad Lamjarred,Min Awel Dekika,original sound - lionheart..5 (Contains music from: Min Awel Dekika - Elissa & Saad Lamjarred),"Contains music from: ""Min Awel Dekika""",[],0,0,Egypt,#fyp #explor #foryou #fypシ #عناية_بالقدمين #جمال #عنايه #maroc🇲🇦 #اهتمام #اهتمي_بنفسك #وصفات_طبيعية,0,0,1,0,1,1,0,0,0,0
