,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_fiji,hash_fijitiktok,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_trending,hash_viral,hash_xyzbca
0,FJ,7091195337444052226,1651047577,Dont react challenge...pass the indomie 😂😂😂 @m a l a @geeyo @tomasituidela0 #challenge  #funny #dontreactchallenge #hommies #tiktokfj #fypシ,6553006128903492623,Stu&Ala🤪,"Dancing & parenting🤪
8•23•7
   Reppin the 679 🇫🇯",0,False,https://www.tiktok.com/@stuartandalacia/video/7091195337444052226?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091195337444052226&source=h5_m,194463,186,297,60,13236,7091195314220141313,7091195314220141313,72,7091195314220141313,original sound - stuartandalacia,Stu&Ala🤪,6.553006128903493e+18,Stu&Ala🤪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7091195314434001666.mp3,,False,False,[],0,0,,,,,Fiji,#challenge #funny #dontreactchallenge #hommies #tiktokfj #fypシ,0,0,0,0,1,0,1,0,0,0
1,FJ,7102332721602530562,1653640701,Tobo i vukivuki .com😂,6969018182334907398,napsbolaca,,0,False,https://www.tiktok.com/@napsbolaca/video/7102332721602530562?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102332721602530562&source=h5_m,113045,141,35,886,12635,7096328555226794754,7096328555226794754,72,7096328555226794754,original sound - naceibulou_emm,melikynaceibulou,6.992362400188499e+18,melikynaceibulou,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096326996929710849.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/845f31b1358bb2b4def2002b29070a7d.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
2,PH,7070359073232915713,1646220599,My Spaghetti! #superparentalguardians #usethissound #fyp #foryou #foryoupage #stitchthis #duet @unkabogableviceganda  @awrabriguela,6761937820204401666,ABSstarcinema,"The official account of ABS-CBN Films, Star Cinema 💫",0,False,https://www.tiktok.com/@absstarcinema/video/7070359073232915713?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070359073232915713&source=h5_m,775735,196,448,3045,36997,7070463628759091970,7070463628759091970,24,7070463628759091970,My Spaghetti,ABSstarcinema,6.761937820204402e+18,ABSstarcinema,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7070463612040661762.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8e696093a4d2c4b237cf1fc11d2d2e47.json,False,False,[],0,0,,,,,Fiji,#superparentalguardians #usethissound #fyp #foryou #foryoupage #stitchthis #duet,0,0,1,1,0,1,0,0,0,0
3,ZA,7103279016949386501,1653861028,#lucifermorningstar #trixiemorningstar #foryou #cool #hot #foryou #bestmoments #fyyyyyyyyyyyyyyyy #lucifer #foryoupage 😈😈,7030112979195397126,LUCIFER,😈IM THE DEVEL OF MY WORD😈,0,False,https://www.tiktok.com/@lucifer_m0rningstar_1/video/7103279016949386501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103279016949386501&source=h5_m,105212,51,91,1540,9663,7103279003024640773,7103279003024640773,72,7103279003024640773,original sound - lucifer_m0rningstar_1,LUCIFER,7.030112979195397e+18,LUCIFER,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103278997022493445.mp3,,False,False,[],0,0,,,,,Fiji,#lucifermorningstar #trixiemorningstar #foryou #cool #hot #foryou #bestmoments #fyyyyyyyyyyyyyyyy #lucifer #foryoupage,0,0,2,1,0,0,0,0,0,0
4,AU,7102344253942009090,1653643385,#movieclips #movie,7102336465577952262,jessy_clip,"Hello,Welcome to watch my Movies",0,False,https://www.tiktok.com/@jessy_clip/video/7102344253942009090?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102344253942009090&source=h5_m,20318543,14418,2360,14340,1533938,6704992801559414786,6704992801559414786,10033,6704992801559414786,Infinity,Jaymes Young,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7861e9af59e04a7aa61cb096ab7a5652,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1cd7ba384ad84c2d8dd663b398df1127,True,True,[],0,0,,,,,Fiji,#movieclips #movie,0,0,0,0,0,0,0,0,0,0
5,US,7087665081466506497,1650225624,Fake kiss ❗️She wanted him to be jealous,6806648197319820294,XO Team,"XO TEAM FAMILY 
INST: @the_xo_team 
✉️ xoteam@xoagency.co
OUR REALITY 👇🏼",0,False,https://www.tiktok.com/@xoteam/video/7087665081466506497?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087665081466506497&source=h5_m,18674812,4044,8563,127587,1232148,7052263719086065666,7052263719086065666,10033,7052263719086065666,No Lie - Remix,Dylan Emanuel,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a95b346b149427b8ad14bd37c66a626,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b3dee2c1983e496f9f1587b3dd540284,False,True,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
6,FR,7100472859885112577,1653207667,Kood Vibes Only 😅 #yktv  #betteroffalonechallenge #betteroffalone #siosio @ceetam29 @wainiqolo20 @duncanpaiaaua482,9952847,Mikey Sosene-Feagai,,0,False,https://www.tiktok.com/@mikeysosenefeagai/video/7100472859885112577?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100472859885112577&source=h5_m,36675,32,20,5,2844,6822418978208483329,6822418978208483329,10033,6822418978208483329,Better Off Alone,Alice Deejay,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0221c624cac24a67a9600e9d459d5d16,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/49771106747e4cf3a54fa3b4ec5fe756,False,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1579312249', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#yktv #betteroffalonechallenge #betteroffalone #siosio,0,0,0,0,0,0,0,0,0,0
7,US,7076235802346360106,1647564537,My stupid roommate took this vid and it’s too good not to post 😢 I wash shaving for my peen appt!,6591281750101917701,Hailee Lautenbach,IT ME HAILEE 🥖💖 The “Why is she on my FYP” girl.,0,False,https://www.tiktok.com/@haileebobailee/video/7076235802346360106?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076235802346360106&source=h5_m,50173874,12855,62223,80736,1254072,7076235783002295086,7076235783002295086,72,7076235783002295086,original sound - haileebobailee,Hailee Lautenbach,6.591281750101918e+18,Hailee Lautenbach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076235797439023918.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/f3a6967ea9de627e6b5c52630e508d75.json,False,False,[],0,0,,,,,Fiji,,0,0,0,0,0,0,0,0,0,0
0,FJ,7094529874106371329,1651823959,about to head off to sleep 😂 #fyp #foryou,6735530242982069253,Diane Sovita,"21 🇫🇯
IG: @dianesovita
𝐂𝐄𝐎 𝐎𝐅 𝐃𝐀𝐍𝐂𝐈𝐍𝐆 𝐈𝐍 𝐓𝐇𝐄 𝐊𝐈𝐓𝐂𝐇𝐄𝐍",0,False,https://www.tiktok.com/@dianesovita/video/7094529874106371329?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094529874106371329&source=h5_m,73283,54,16,269,5790,7089828122854197249,7089828122854197249,10033,7089828122854197249,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/62d497a35bcf407598da8ac1d741359b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/38418ae73d084e45a86fb6cbbd0149fe,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Fiji,#fyp #foryou,0,0,1,0,0,1,0,0,0,0
1,FJ,7098480806443732225,1652743859,Stop askinnn me stuuupid questions🤡😙 #fypシ #foryou#polytiktok#fiji#tiktokaustralia#oofn#fitcheck#melanesian#fijian,6532025830812434433,Tashfiji,FIJI | AU | New Acc🥺🌺,0,False,https://www.tiktok.com/@tashfijii/video/7098480806443732225?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098480806443732225&source=h5_m,61820,243,50,189,5526,7086473019123911429,7086473019123911429,72,7086473019123911429,original sound - user_oh_1_2_1_do_1,secret.,6.967370784981616e+18,secret.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086473032982006534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0735b5b941ab70621028014413950ab1.json,False,False,[],0,0,,,,,Fiji,#fypシ #foryou#polytiktok#fiji#tiktokaustralia#oofn#fitcheck#melanesian#fijian,1,0,1,0,0,0,1,0,0,0
