,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_primehouse,hash_tiktok,hash_viral,hash_პრაიმჰაუსი,hash_ფორიუ
0,GE,7102773361205415174,1653743296,The spiderman best suit#spiderman#spidermannowayhome#fypage #fyp #foryou,7077440594419713030,Gio_wiko9,,0,False,https://www.tiktok.com/@giorgiwiklauri1/video/7102773361205415174?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102773361205415174&source=h5_m,50336,14,10,125,3439,7102773337369185030,7102773337369185030,72,7102773337369185030,original sound - giorgiwiklauri1,Gio_wiko9,7.077440594419713e+18,Gio_wiko9,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102773337159830277.mp3,,False,False,,,,,[],0,0,Georgia,#spiderman#spidermannowayhome#fypage #fyp #foryou,1,0,0,1,0,0,0,0,0,0
1,GE,7102440613626285314,1653665821,ველოდებით დუეტებს 😁 #პრაიმჰაუსი,7080152089532072961,PrimeHouse.R2,გამოგვიწერე და უყურე სიუჟეტს 1 საათით ადრე TikTok ლაივში 💜,0,False,https://www.tiktok.com/@primehouse.r2/video/7102440613626285314?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102440613626285314&source=h5_m,653578,743,133,161,16800,7102440616957184770,7102440616957184770,72,7102440616957184770,original sound - primehouse.r2,PrimeHouse.R2,7.080152089532073e+18,PrimeHouse.R2,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102440606466673410.mp3,,False,False,,,,,[],0,0,Georgia,#პრაიმჰაუსი,0,0,0,0,0,0,0,0,1,0
2,US,7090192011680304430,1650813971,Korean couples Vs Georgian Couples😅 #coupletok #Fun #bts #love,7030653045717500933,Korea On Family,"Follow share : Korea On Family🏡
Thank for all  🙏🙏",0,False,https://www.tiktok.com/@koreaonfamily/video/7090192011680304430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090192011680304430&source=h5_m,1300691,314,102,666,122553,7090191980659051307,7090191980659051307,72,7090191980659051307,original sound - koreaonfamily,Korea On Family,7.030653045717501e+18,Korea On Family,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7090192017757637418.mp3,,False,False,,,,,[],0,0,Georgia,#coupletok #Fun #bts #love,0,0,0,0,0,0,0,0,0,0
3,US,7089902960271969538,1650746671, ,6692533216942179334,Kissme,"Di 🦋
20 ❤️
Follow my Instagram: sheloveeeeeee 🚁👇",0,False,https://www.tiktok.com/@shelovee/video/7089902960271969538?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089902960271969538&source=h5_m,12625046,2461,1799,2431,968240,7079848233727527723,7079848233727527723,72,7079848233727527723,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",6.41086141261865e+16,Hope Schwing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079848259551824686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bdbf6f7891913266ce1589afae9f9f0c.json,False,False,Jungleboy,Perfect,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",[],0,0,Georgia,,0,0,0,0,0,0,0,0,0,0
4,AT,7101703141212654853,1653494115,#duet with @aneqsandra 😅😅😅😅💋 #foryou #foryourpage #viral #global #დედოფალი #ბერლინისძუკნა #საქართველო #tbilisi #foryoupage #batumi #kutaisi #yess #doit #answer #შოუთქო #duet #პასუხი #diva #queen #აჭარა #fany #comedу #haha,6963029411750790149,kristy.labadze,"""გააკეთე TAG იქ სადაც თვლი , რომ ჩემი კომენტარი აუცილებელია "" 😈🪞✊",0,False,https://www.tiktok.com/@kristy.labadze/video/7101703141212654853?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101703141212654853&source=h5_m,364914,307,144,217,5230,7095655098881149697,7095655098881149697,72,7095655098881149697,original sound - aneqsandra,👑ANEQSANDRA.YİPSHİDZE👑,6.817372525648692e+18,👑ANEQSANDRA.YİPSHİDZE👑,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095655020145756929.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9ab3f10a118f91463cd4630cbe362e7a.json,False,False,,,,,[],0,0,Georgia,#duet #foryou #foryourpage #viral #global #დედოფალი #ბერლინისძუკნა #საქართველო #tbilisi #foryoupage #batumi #kutaisi #yess #doit #answer #შოუთქო #duet #პასუხი #diva #queen #აჭარა #fany #comedу #haha,1,1,0,0,0,0,0,1,0,0
5,BR,7079829228102962437,1648401197,😥 #audiosslow #foryoupage #fy,6913900627740263430,sons,⚡️app: cap cut⚡️,0,False,https://www.tiktok.com/@_.audioscapcut._/video/7079829228102962437?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079829228102962437&source=h5_m,40060806,11611,8419,29371,3234539,7079829205323664133,7079829205323664133,72,7079829205323664133,original sound - _.audioscapcut._,sons,6.913900627740263e+18,sons,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079829212681194245.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bb23491afc71128bccdfbaeb8011e093.json,False,False,,,,,[],0,0,Georgia,#audiosslow #foryoupage #fy,0,1,1,0,0,0,0,0,0,0
6,US,7102702450057956614,1653726786,Can’t believe she married me,6916091755332092934,Benji Chaim,,0,False,https://www.tiktok.com/@benjiashvili/video/7102702450057956614?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102702450057956614&source=h5_m,242063,45,22,30,10401,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6451d37d7406466694e79d004d0fd20e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,Georgia,,0,0,0,0,0,0,0,0,0,0
7,GE,7102805478656216326,1653750773,@Barbare @kiziko @💘 wow!!!❤️💗😜,6674997098998498310,📱💃🏻🎶,insta:tekuna_tekuna1,0,False,https://www.tiktok.com/@tekuna17/video/7102805478656216326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102805478656216326&source=h5_m,187302,199,77,213,15816,7055576493233146650,7055576493233146650,24,7055576493233146650,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",6.806190479093941e+18,♡🆂🅴🆈 Y-THR3E♡,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7055576499734219546.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ed38b24bb516fc7ca2d72dd0197cb9c9.json,False,False,Mary J. Blige,Family Affair,original sound - djseyparker (Contains music from: Family Affair - Mary J. Blige),"Contains music from: ""Family Affair""",[],0,0,Georgia,,0,0,0,0,0,0,0,0,0,0
0,GE,7098060555730062597,1652646009,👼🏼❤️  @k3aypi,7077243526954402818,Cristal_Sexy_Doll,"ARTIST/MODEL 
IG @little_sexyangel",0,False,https://m.tiktok.com/v/7098060555730062597.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098060555730062597&source=h5_m,617766,828,998,1060,23675,7062043961254398726,7062043961254398726,72,7062043961254398726,original sound - o.zuxedits,o.zuxedits,6.991116116031718e+18,o.zuxedits,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062043945928690438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a3b48ef226e32a8c2ff302a821bd9371.json,False,False,,,,,[],0,0,Georgia,,0,0,0,0,0,0,0,0,0,0
1,GE,7099518541145132290,1652985473, ,7089012031848530950,Cotneus,A&R  at KINGSMEN GROUP 🎵,0,False,https://m.tiktok.com/v/7099518541145132290.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099518541145132290&source=h5_m,935330,953,10377,5550,39171,7099518538725018369,7099518538725018369,72,7099518538725018369,original sound - cotneusssssss,Cotneus,7.089012031848531e+18,Cotneus,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099518532643195649.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b8c5d11659ae3c4cab066faf8d754993.json,False,False,,,,,[],0,0,Georgia,,0,0,0,0,0,0,0,0,0,0
