,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_satisfying,hash_tiktok,hash_viral
0,GB,7087586041846074630,1650207221,Daddy Gilbert 🤤 #gilbertblythe #anneshirleycuthbert #shirlbert,6860843432798782470,<33,“Cause a two can keep a secret…” - S,0,False,https://www.tiktok.com/@.hannasgal/video/7087586041846074630?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087586041846074630&source=h5_m,12022201,10127,7892,15445,1495286,7087586027736484614,7087586027736484614,72,7087586027736484614,original sound - .hannasgal,<33,6.860843432798782e+18,<33,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087586037010369285.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4b430086a7b965ae854dfa19c41e827a.json,False,False,,,,,[],0,0,French Guiana,#gilbertblythe #anneshirleycuthbert #shirlbert,0,0,0,0,0,0,0,0,0,0
1,FR,7099433628643462406,1652965704,Enfin ptn,18210063,Lolita 🍭,"🇧🇪🇲🇦
Ici c’est tout 2nd degré",0,False,https://www.tiktok.com/@laetitiawauquier/video/7099433628643462406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099433628643462406&source=h5_m,824034,370,112,12,87801,7088097553489906438,7088097553489906438,72,7088097553489906438,original sound - lord..xp (Contains music from: Look At Me (Freestyle) - Bammbreezy Montana),"Contains music from: ""Look At Me (Freestyle)""",6.9263255066499e+18,LORD.xp,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088097541383850758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1dc2a1e2eda86a9b346b4e9884a709b0.json,False,False,Bammbreezy Montana,Look At Me (Freestyle),original sound - lord..xp (Contains music from: Look At Me (Freestyle) - Bammbreezy Montana),"Contains music from: ""Look At Me (Freestyle)""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
2,FR,7092497080752639238,1651350662, ,319574065868890112,Sloane🇲🇶,Iliana✨,0,False,https://www.tiktok.com/@sloane_iln/video/7092497080752639238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092497080752639238&source=h5_m,956453,378,128,10,136060,6807321533988621061,6807321533988621061,10036,6807321533988621061,Pegao / Me Miro y La Mire - TikTok Hit,Omega,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/99b4d340978747d2a055a415afed7e29,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/615f9836e3e049d9988caf33ed7590b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1514248229', 'external_song_key': 'apple_song_id'}]",0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
3,US,7080021220887924010,1648445900,Rachel wanted to film hot glue hacks pt 3…. This sound just worked to well🤣🤣@Rachel Ballinger,123036,JoJo Siwa,Hi TikTok!,0,False,https://www.tiktok.com/@itsjojosiwa/video/7080021220887924010?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080021220887924010&source=h5_m,46980605,13235,5790,21239,3162828,7014868732271004417,7014868732271004417,72,7014868732271004417,Kingdanzz and FingerDanceMusic Remix Bow Bow Bow,FingerDanceMusic,6.958351653893309e+18,FingerDanceMusic,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7014868738247805697.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/11f042a39eba9a0bee69019cf10979bc.json,False,False,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
4,US,7081413164474109230,1648769986,Thank you for 52 Million,21609287,Jason Derulo,"Booking Management@23-management.com
Listen to Slidin' feat. Kodak Black:",0,False,https://www.tiktok.com/@jasonderulo/video/7081413164474109230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081413164474109230&source=h5_m,14221895,28410,7807,20090,1541741,7074848375257974785,7074848375257974785,10033,7074848375257974785,Ayo Girl (Fayahh Beat) [feat. Rema],Robinson & Jason Derulo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1c3b579552534ac1bf54ff2197c71a4f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/245794114a674251b2ca7d84124f79aa,True,True,,,,,[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
5,GF,7101045191703874821,1653340924,@keyy.vuvu @cvhs.kyara les mllr ❤️😐👑,7006379950828635142,•,"💓Ouais ma part,c’est ta part…hé💓
A/G/K/M/A/T❤️💕👑
Lena la seule ❤️👑",0,False,https://www.tiktok.com/@cvhs_lana/video/7101045191703874821?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101045191703874821&source=h5_m,45116,178,17,20,4639,7101045171369888518,7101045171369888518,72,7101045171369888518,original sound - cvhs_lana (Contains music from: Naha - PNL),"Contains music from: ""Naha""",7.006379950828635e+18,•,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101045185089719045.mp3,,False,False,PNL,Naha,original sound - cvhs_lana (Contains music from: Naha - PNL),"Contains music from: ""Naha""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
6,GF,7098949951035559170,1652853089,Когда сохранился дома #сохранился #пранкер #качки #приколыдослёз,7031054070932882433,Asian Top Videos,"Добрые, смешные и искрометные видео
Подпишись это просто!",0,False,https://www.tiktok.com/@asian_top/video/7098949951035559170?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098949951035559170&source=h5_m,731066,1350,1973,76,28590,7098949995046718209,7098949995046718209,72,7098949995046718209,original sound - asian_top,Asian Top Videos,7.031054070932882e+18,Asian Top Videos,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7098949981184264962.mp3,,False,False,,,,,[],0,0,French Guiana,#сохранился #пранкер #качки #приколыдослёз,0,0,0,0,0,0,0,0,0,0
7,DE,7103486800534048006,1653909408,Look who we bumped into 😂 @noelgoescrazy #fyp #viral,6784542002723193862,YoofiandJane,"The Yoofi&Jane show🍿
For Ads/Promo DM on IG
📧:felixanyinsah@yahoo.com
🇬🇭🇷🇺",0,False,https://www.tiktok.com/@yoofiandjane/video/7103486800534048006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103486800534048006&source=h5_m,226207,165,20,20,27348,6901784069365975809,6901784069365975809,72,6901784069365975809,.....Wiii (Contains music from: Wee Meme - Chillhop Remix - kazuroff),"Contains music from: ""Wee Meme - Chillhop Remix""",6.900956758632089e+18,⚡ 𝕵𝖊𝖘𝖚𝖘⚡,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6903845589205715713.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2cd6f2048f05991f9e4ea3e90a0319c9.json,False,False,kazuroff,Wee Meme - Chillhop Remix,.....Wiii (Contains music from: Wee Meme - Chillhop Remix - kazuroff),"Contains music from: ""Wee Meme - Chillhop Remix""",[],0,0,French Guiana,#fyp #viral,0,0,0,1,0,0,0,0,0,1
0,DE,7086159216800566533,1649875012,Just a little different 🤌😍 #fy#joke#fürdich#fyp,6765594575445754885,Fabientietjen,"Insta📸 : Fabientietjen

📩 Fabien@thepeopleagency.net",0,False,https://www.tiktok.com/@fabien.tietjen/video/7086159216800566533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086159216800566533&source=h5_m,10421868,5295,13951,201,760949,6767836526366755590,6767836526366755590,72,6767836526366755590,original sound - mikajr97,Mika ♪,6.700635756916213e+18,Mika ♪,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1652304315943974.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2671aafb94e2deb66a47adfd520d4d58.json,False,False,,,,,[],0,0,French Guiana,#fy#joke#fürdich#fyp,0,0,0,1,0,0,0,0,0,0
1,US,7070623178212511019,1646257746, ,8438145,Terry 🤎,Make sure to subscribe!!!,0,False,https://www.tiktok.com/@terrymizan/video/7070623178212511019?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070623178212511019&source=h5_m,9694103,11008,20250,55440,1740228,7055323535077837574,7055323535077837574,72,7055323535077837574,omg this sound blew up xx (Contains music from: Only Love Can Hurt Like This - Paloma Faith),"Contains music from: ""Only Love Can Hurt Like This""",7.05378966807267e+18,spam facts🤭😍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7055323555625880325.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6182d91b0cad981898fbf3aa464bfdf4.json,False,False,Paloma Faith,Only Love Can Hurt Like This,omg this sound blew up xx (Contains music from: Only Love Can Hurt Like This - Paloma Faith),"Contains music from: ""Only Love Can Hurt Like This""",[],0,0,French Guiana,,0,0,0,0,0,0,0,0,0,0
