,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,fyp_location,hashtags,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_pov,hash_trend,hash_trending,hash_viral
0,GL,7070536010844622085,1646237451,#amiggularn #nikassaanequnitsilli,308064231684448256,son_nicki.🖥⌨️,👻umaarsukk👻,0,False,https://m.tiktok.com/v/7070536010844622085.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070536010844622085&source=h5_m,23081,26,194,454,789,7070535993933908741,7070535993933908741,72,7070535993933908741,original sound - nicklyberth,son_nicki.🖥⌨️,3.0806423168444826e+17,son_nicki.🖥⌨️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070535991538354949.mp3,,False,False,[],0,0,,,,,Greenland,#amiggularn #nikassaanequnitsilli,0,0,0,0,0,0,0,0,0,0
1,GL,7099387780412738822,1652955030,#hotgirlsummer🧚🏽‍♂️ #doritos #🌶 #dirtyshirtdontcare,6841113099006264326,Sara J,♊️,0,False,https://m.tiktok.com/v/7099387780412738822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099387780412738822&source=h5_m,47761,4,49,30,1325,6968844110040009477,6968844110040009477,72,6968844110040009477,original sound - zina_bee,ZiNa,6.569251561213297e+18,ZiNa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6990641612556684038.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ac888a76f199802617201fd46fcf2e33.json,False,False,[],0,0,,,,,Greenland,#hotgirlsummer🧚🏽‍♂️ #doritos #🌶 #dirtyshirtdontcare,0,0,0,0,0,0,0,0,0,0
2,CA,7079553687089073414,1648337043, ,6776463973937775622,®Jëäñïñë™,I'm a Hockey player thats all you need to know,0,False,https://m.tiktok.com/v/7079553687089073414.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079553687089073414&source=h5_m,50883,97,71,315,2580,7079553647075494661,7079553647075494661,72,7079553647075494661,original sound - lil_officer47,®Jëäñïñë™,6.776463973937776e+18,®Jëäñïñë™,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079553679270923014.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad3768c2118a7ed75555691948fbfc7c.json,False,False,[],0,0,,,,,Greenland,,0,0,0,0,0,0,0,0,0,0
3,CA,7074426075375324422,1647143178, ,6828317818753958917,Uassiushu MonicaScar,Welcome 🤗,0,False,https://m.tiktok.com/v/7074426075375324422.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074426075375324422&source=h5_m,221631,668,816,0,21092,7074426036141738758,7074426036141738758,72,7074426036141738758,original sound - uscppe,Uassiushu MonicaScar,6.828317818753959e+18,Uassiushu MonicaScar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074426015472159494.mp3,,False,False,[],0,0,,,,,Greenland,,0,0,0,0,0,0,0,0,0,0
4,CA,7095349877374258437,1652014880,#inuittiktok #nativetiktok,6729605800966718469,Shanae&Shay,,0,False,https://m.tiktok.com/v/7095349877374258437.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095349877374258437&source=h5_m,26862,40,47,97,1067,7095349859825306374,7095349859825306374,72,7095349859825306374,original sound - shaynae2020,Shanae&Shay,6.729605800966718e+18,Shanae&Shay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095349870965410565.mp3,,False,False,[],0,0,,,,,Greenland,#inuittiktok #nativetiktok,0,0,0,0,0,0,0,0,0,0
5,US,7101788057661181226,1653513885,Disappointed 🤣🤣 #memesforksi #funnyedits #ksiolajidebt #funnytiktok #prime #dank #fish,6998064827903525893,MemesForKSI,If you clicked on my profile check out my YouTube channel😁,0,False,https://m.tiktok.com/v/7101788057661181226.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101788057661181226&source=h5_m,2864680,697,1812,3676,230778,7101788027206372139,7101788027206372139,72,7101788027206372139,original sound - memesforksi,MemesForKSI,6.998064827903526e+18,MemesForKSI,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7101788061394012974.mp3,,False,False,[],0,0,,,,,Greenland,#memesforksi #funnyedits #ksiolajidebt #funnytiktok #prime #dank #fish,0,0,0,0,0,0,0,0,0,0
6,US,7097975967741725995,1652626314, ,6763517179218330630,otakoyakisoba,"Your favorite Family of EEDJIOTS.
⬇️ TRY EXPRESS VPN 7 DAYS FREE TRIAL NOW!",0,False,https://m.tiktok.com/v/7097975967741725995.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097975967741725995&source=h5_m,2186586,769,508,767,178897,7097975914461645614,7097975914461645614,72,7097975914461645614,original sound - otakoyakisoba,otakoyakisoba,6.763517179218331e+18,otakoyakisoba,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7097975952076000042.mp3,,False,False,[],0,0,,,,,Greenland,,0,0,0,0,0,0,0,0,0,0
7,US,7080527713802620206,1648563827,Nobody got hurt everything is Protected no Danger no Violation everything is Staged and Fake #fypシ #trynottolaugh #memes,6828995128557356038,Clone commando,Posts random videos and and I like to thank everyone for 28k followers,0,False,https://m.tiktok.com/v/7080527713802620206.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080527713802620206&source=h5_m,4954705,2307,4778,650,268603,7080527642101156651,7080527642101156651,72,7080527642101156651,original sound - officialecho1,Clone commando,6.828995128557356e+18,Clone commando,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080527692088544043.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cdba834dfb76974c5de2415af28a62de.json,False,False,[],0,0,,,,,Greenland,#fypシ #trynottolaugh #memes,0,0,0,0,0,1,0,0,0,0
0,GL,7098242632341638405,1652688406,Ullumikkut ulloq nutaaq,6819087621044028421,Sakiu Petersen,"Loves to entertain
Spread the smile all around
Help to reach 5K if not more",0,False,https://www.tiktok.com/@sakiu3950/video/7098242632341638405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098242632341638405&source=h5_m,18527,12,240,376,994,7098242616239606533,7098242616239606533,72,7098242616239606533,original sound - sakiu3950,Sakiu Petersen,6.819087621044028e+18,Sakiu Petersen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098242598812945158.mp3,,False,False,[],0,0,,,,,Greenland,,0,0,0,0,0,0,0,0,0,0
1,GL,7085400367629864197,1649698329,“Illinun siulliisitit unillitit pukkiffiginanga” Ataataka Nukkanilu immin Inequssuutut,6848235071129814022,Wijaa,Asiki,0,False,https://www.tiktok.com/@rappa_discobar/video/7085400367629864197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085400367629864197&source=h5_m,28645,32,214,0,820,7085400363364666117,7085400363364666117,72,7085400363364666117,original sound - rappa_discobar,Wijaa,6.848235071129814e+18,Wijaa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085400360218544901.mp3,,False,False,[],0,0,,,,,Greenland,,0,0,0,0,0,0,0,0,0,0
