,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedia,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_guatemala,hash_humor,hash_parati,hash_viral
0,US,7103598565083188522,1653935427,Frikitona @voozhydrate #VoozHydrate ad,106241438295736320,Q Park,"Follow my IG: @QPARK 🔥
QPARKBIZ@GMAIL.COM",0,False,https://www.tiktok.com/@qpark/video/7103598565083188522?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103598565083188522&source=h5_m,1939242,1132,2654,2252,227694,7103598542270286634,7103598542270286634,72,7103598542270286634,original sound - qpark (Contains music from: Me Porto Bonito - Bad Bunny & Chencho Corleone),"Contains music from: ""Me Porto Bonito""",1.0624143829573632e+17,Q Park,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103598565821451054.mp3,,False,False,Bad Bunny & Chencho Corleone,Me Porto Bonito,original sound - qpark (Contains music from: Me Porto Bonito - Bad Bunny & Chencho Corleone),"Contains music from: ""Me Porto Bonito""",[],0,0,Guatemala,#VoozHydrate,0,0,0,0,0,0,0,0,0,0
1,GT,7091124972873108741,1651031196,#mi gordo bello,7033184814191232005,margaritagutierrez48,,0,False,https://www.tiktok.com/@margaritagutierrez48/video/7091124972873108741?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091124972873108741&source=h5_m,23524726,24874,52839,52488,1601342,7091124945580722950,7091124945580722950,72,7091124945580722950,original sound - margaritagutierrez48,margaritagutierrez48,7.033184814191232e+18,margaritagutierrez48,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091124938265856773.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/61fa3f9b13638ac2820e53666c615731.json,False,False,,,,,[],0,0,Guatemala,#mi,0,0,0,0,0,0,0,0,0,0
2,MX,7103022498622557445,1653801307, ,6902957607055098885,José augusto Montes,,0,False,https://www.tiktok.com/@mostro442/video/7103022498622557445?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103022498622557445&source=h5_m,14234146,3423,8842,16971,1099507,7097003201525861125,7097003201525861125,72,7097003201525861125,original sound - avilarecordss (Contains music from: En El Radio Un Cochinero - Victor Cibrian),"Contains music from: ""En El Radio Un Cochinero""",6.96090211872329e+18,avilarecordss,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097003194336758534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fa6003109152aad1e6666ff6fd159738.json,False,False,Victor Cibrian,En El Radio Un Cochinero,original sound - avilarecordss (Contains music from: En El Radio Un Cochinero - Victor Cibrian),"Contains music from: ""En El Radio Un Cochinero""",[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
3,GT,7087647929497832709,1650221630, ,6959401131710120966,Leticia Javier,Guerrera incansable ❤🙏🏼,0,False,https://www.tiktok.com/@leticiajaviero/video/7087647929497832709?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087647929497832709&source=h5_m,43874784,93213,229781,222825,5289822,7087647919385398021,7087647919385398021,72,7087647919385398021,original sound - leticiajaviero,Leticia Javier,6.959401131710121e+18,Leticia Javier,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087647927820159750.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1346f973fdb1d613635a15af58799634.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
4,GT,7099276764794457349,1652929183,Mi mamá me va a regañar pero quería hacer el uva bombón,290418038712094720,🍒Alex🍒,"De Guatemala🇬🇹
🍒Te quiero🍒",0,False,https://www.tiktok.com/@alexmidiaz/video/7099276764794457349?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099276764794457349&source=h5_m,1472918,824,978,4571,184866,7095019005370452778,7095019005370452778,72,7095019005370452778,Tití me preguntó (Contains music from: Titi me preguntó - Aomak),"Contains music from: ""Titi me preguntó""",7.024650886308431e+18,ur/gf,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095019029886274347.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9a2fe9bb843dac6dca05b56ec529a95a.json,False,False,Aomak,Titi me preguntó,Tití me preguntó (Contains music from: Titi me preguntó - Aomak),"Contains music from: ""Titi me preguntó""",[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
5,US,7103322147166260526,1653871068,#pegar un video de @pluscannall  #guatemala,7030011798485681157,Tacuazin10,Gracias mucha Todos los que me aprecian síganme en Instagram facebook y YouTube,0,False,https://www.tiktok.com/@tacuazin77/video/7103322147166260526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103322147166260526&source=h5_m,189007,299,458,1700,16796,7103322115163654954,7103322115163654954,72,7103322115163654954,original sound - tacuazin77,Tacuazin10,7.030011798485681e+18,Tacuazin10,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7103322148139207470.mp3,,False,False,,,,,[],0,0,Guatemala,#pegar #guatemala,0,0,0,0,0,0,1,0,0,0
6,MX,7073988473824333061,1647041291, ,6774301291818402822,Martín,"Lo Mero Bueno
Más contenido y contacto 👇🏼👇🏼",0,False,https://www.tiktok.com/@munchieslab/video/7073988473824333061?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073988473824333061&source=h5_m,22947488,5721,63474,180139,2452123,7073988436339755782,7073988436339755782,72,7073988436339755782,original sound - munchieslab,Martín,6.774301291818403e+18,Martín,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073988464849521414.mp3,,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
7,MX,7099167879198772526,1652903827,@jimmyfallon made me jiggle jiggle for TikTok #FallonTonight @fallontonight,168541398546182144,Shakira,Official account / perfil oficial,0,False,https://www.tiktok.com/@shakira/video/7099167879198772526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099167879198772526&source=h5_m,45067689,18615,37301,8560,5243989,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Guatemala,#FallonTonight,0,0,0,0,0,0,0,0,0,0
0,CR,7098930336867929350,1652848525,Responder a @21_09.mia,6808222091587634181,Tatiana Gonzalez Cas,,0,False,https://m.tiktok.com/v/7098930336867929350.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098930336867929350&source=h5_m,16450028,17246,69544,74111,2226731,7010019652021537542,7010019652021537542,72,7010019652021537542,original sound - bellmari_1130,BellMari_1130,6.956776270282098e+18,BellMari_1130,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7010019725526731526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9c24fc04a65434504f69cf8bc1924da8.json,False,False,,,,,[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
1,CO,7098443684940696838,1652735214,Ya votaron por nosotras para ganar los premios? link en la bio 💙,6987931254185280518,gemelasabello2,"Colombianas 🇨🇴
Síguenos en Instagram 👇🏼",0,False,https://m.tiktok.com/v/7098443684940696838.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098443684940696838&source=h5_m,46831128,13335,111664,447177,3428197,7074231256631986950,7074231256631986950,72,7074231256631986950,original sound - federico_412 (Contains music from: La Cripta (Remix) - Cutty Ranks & El Chombo),"Contains music from: ""La Cripta (Remix)""",6.914292857407636e+18,Hola 👀💖,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074231265691552517.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c27d539b828a80f74008c315a214c09b.json,False,False,Cutty Ranks & El Chombo,La Cripta (Remix),original sound - federico_412 (Contains music from: La Cripta (Remix) - Cutty Ranks & El Chombo),"Contains music from: ""La Cripta (Remix)""",[],0,0,Guatemala,,0,0,0,0,0,0,0,0,0,0
