,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_honduras,hash_humor,hash_parati,hash_tiktok,hash_viral,hash_xyzbca
0,US,7070562305905560878,1646243574, ,6951439290073433093,EliteFam World,"NY🗽🇭🇳
Instagram: @Elitefamjay
Comedian/YouTuber‼️

*First Page Got Banned",0,False,https://www.tiktok.com/@therealelitefamworld/video/7070562305905560878?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070562305905560878&source=h5_m,881742,914,1475,1703,133470,7.070562246136466e+18,7.070562246136466e+18,72.0,7.070562246136466e+18,original sound - therealelitefamworld,EliteFam World,6.951439290073433e+18,EliteFam World,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7070562297365678890.mp3,,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
1,SV,7101169216086117637,1653369804,🤎 #fyp,6806398212888183814,Nik,🇸🇻,0,False,https://www.tiktok.com/@nicollear04/video/7101169216086117637?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101169216086117637&source=h5_m,4653162,2272,7476,765,751662,7.095019005370453e+18,7.095019005370453e+18,72.0,7.095019005370453e+18,Tití me preguntó (Contains music from: Titi me preguntó - Aomak),"Contains music from: ""Titi me preguntó""",7.024650886308431e+18,ur/gf,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7095019029886274347.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9a2fe9bb843dac6dca05b56ec529a95a.json,False,False,Aomak,Titi me preguntó,Tití me preguntó (Contains music from: Titi me preguntó - Aomak),"Contains music from: ""Titi me preguntó""",[],0.0,0,Honduras,#fyp,0,0,1,0,0,0,0,0,0,0
2,US,7072408243003198766,1646673365, ,6820077759478760453,zulma Alvarez,"C:Zulmaalvarez01
Z:2106063457",0,False,https://www.tiktok.com/@zulma_aguirre/video/7072408243003198766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072408243003198766&source=h5_m,1698563,2186,9015,14499,54602,7.072408205095128e+18,7.072408205095128e+18,72.0,7.072408205095128e+18,original sound - zulma_aguirre,zulma Alvarez,6.82007775947876e+18,zulma Alvarez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072408217841830702.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6b4482ac5112ef1ce426c99bc4d51da4.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
3,HN,7101129218712489221,1653360490,😅🤣🤣,7014636704536380421,laflakita752,una persona muy cencible,0,False,https://www.tiktok.com/@laflakita752/video/7101129218712489221?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101129218712489221&source=h5_m,194855,32,9,70,2989,6.988990730018672e+18,6.988990730018672e+18,72.0,6.988990730018672e+18,original sound - damarismelinaok,Dámaris Melina,6.812056516939449e+18,Dámaris Melina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6988992558365936389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/17a744f822e327bc8fd090c3e1d39118.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
4,MX,7079084993636486405,1648227916,El se asustó 😂,7075744691200050182,just Liana🤪,"Instagram - lianayel 💙
e-mail : lianayel@dreamteamhouse.ru ✉️
📍Mexico📍",0,False,https://www.tiktok.com/@lianaparmezana/video/7079084993636486405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079084993636486405&source=h5_m,12333139,1979,816,4129,530309,7.02849881455413e+18,7.02849881455413e+18,10033.0,7.02849881455413e+18,Envolver,Anitta,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b9da595ac92742758a78fa7efd992747,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/64d77a1ed52b41a39d8a5009811e2209,True,True,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
5,US,7079893074901617963,1648416062, ,6650140857248088069,La Hermana 504 🇭🇳✅,"No soy automática, soy estándar pero cuando vas de reversa te encanta 😋✅📍",0,False,https://www.tiktok.com/@lahermana504/video/7079893074901617963?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079893074901617963&source=h5_m,744518,1258,181,275,40507,7.079893049647762e+18,7.079893049647762e+18,72.0,7.079893049647762e+18,original sound - lahermana504,La Hermana 504 🇭🇳✅,6.650140857248088e+18,La Hermana 504 🇭🇳✅,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079893078609267499.mp3,,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
6,HN,7084445723873266949,1649476060,#Responder a @@AnDeRsOn arriba los Leo ♌️ 🔥,205666042860392448,Oscar Velasquez,"1M ? 👀🔐
CEO de la risa contagiosa🤣
✨cree en ti y conseguirás grandes éxitos✨",0,False,https://www.tiktok.com/@oscarovelasquez08/video/7084445723873266949?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084445723873266949&source=h5_m,5438056,6663,10006,17478,597799,7.084445678469926e+18,7.084445678469926e+18,72.0,7.084445678469926e+18,original sound - oscarovelasquez08,Oscar Velasquez,2.0566604286039245e+17,Oscar Velasquez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084445691740900102.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26b050537bcd2dc67c56b6aefdd413e4.json,False,False,,,,,[],0.0,0,Honduras,#Responder,0,0,0,0,0,0,0,0,0,0
7,HN,7097738413515869446,1652571006,#dúo con @challitoborrayo3 ay #lakaterin trae algo en la pantufla 🤣 #viral #fyp,189287480087605248,La Bicha catracha ✨,"HABLAMOS NUNCA🤪
Hondureño adoptado por los salvadoreños🇭🇳🇸🇻Dios Guarde Niña",0,False,https://www.tiktok.com/@fredyjrodriguez/video/7097738413515869446?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097738413515869446&source=h5_m,1687581,1734,1656,2746,128050,7.052532019716312e+18,7.052532019716312e+18,72.0,7.052532019716312e+18,original sound - josue5719,🌌toxico✨💫,6.885527873941456e+18,🌌toxico✨💫,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7052532036552149807.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f52ede732dc9b272928ddf853c3e88c2.json,False,False,,,,,[],0.0,0,Honduras,#dúo #lakaterin #viral #fyp,0,0,1,0,0,0,0,0,1,0
0,HN,7102629099507584261,1653709710, ,6916695636255851526,Majoramireztok2,Me segunda cuenta🥰,0,False,https://m.tiktok.com/v/7102629099507584261.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102629099507584261&source=h5_m,1152086,272,112,590,93285,7.098845188965813e+18,7.098845188965813e+18,72.0,7.098845188965813e+18,original sound - alesa.kinky (Contains music from: No no no Asi no Ponente En 4 Aca China - WZ Beat),"Contains music from: ""No no no Asi no Ponente En 4 Aca China""",6.897725213951116e+18,Alesa Kinky,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099098200459676422.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/240e338bd0b2891b88421570b13c4bc5.json,False,False,WZ Beat,No no no Asi no Ponente En 4 Aca China,original sound - alesa.kinky (Contains music from: No no no Asi no Ponente En 4 Aca China - WZ Beat),"Contains music from: ""No no no Asi no Ponente En 4 Aca China""",[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
1,US,7096980961732136235,1652394646,#parati 💚,6745622212071752709,Morgan Renee 🇺🇸,#𝗛𝗶𝘀𝗽𝗮𝗻𝗶𝗰𝗖𝗼𝗺𝗺𝘂𝗻𝗶𝘁𝘆 biggest fan 😼,0,False,https://m.tiktok.com/v/7096980961732136235.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096980961732136235&source=h5_m,12811795,2337,1441,5866,1604093,7.084303665602776e+18,7.084303665602776e+18,10036.0,7.084303665602776e+18,"ULTRA SOLO (Solo y coronao ¿De qué sirve? Si no estás a mi lao' Por ti paso el día conectau, pendiente al cel, pendiente a ti, pendiente si subes una story)",Polimá Westcoast & Pailita,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/4eaf8f22e4f543c08688d97f17b01b7c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/fa51ec760d654f8caff512250d732b6d,False,True,,,,,[],0.0,0,Honduras,#parati,0,0,0,0,0,0,1,0,0,0
2,MX,7091723015393725701,1651170435, ,105228084252979200,Sury Sadai,Actriz y Cantante ❤️ SÍGUEME EN INSTA ✨ surysadaiof,0,False,https://m.tiktok.com/v/7091723015393725701.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091723015393725701&source=h5_m,26160763,7868,60630,129232,2715569,7.057574736699805e+18,7.057574736699805e+18,72.0,7.057574736699805e+18,original sound - alimusicpr,Ali Berdiel,17384773.0,Ali Berdiel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7057574779418676015.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5897a1b0ec45330c87f46001fcc5bc60.json,False,False,,,,,[],0.0,0,Honduras,,0,0,0,0,0,0,0,0,0,0
