,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_balkan,hash_croatia,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_hrvatska,hash_srbija,hash_viral
0,RS,7096030811689848070,1652173427,#cc #cctv #crnicerak #ccdarkside #foryou #fyp #fypシ #foryourpage #🇷🇸 #xyzbca #viral,6785623193179177990,Trajilović🥷,"🎥 | Balkan Music Editi | 🎥
💎 |  Balkanski Kliper | 💎
⚡️ | Follow me | ⚡️",0,False,https://m.tiktok.com/v/7096030811689848070.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096030811689848070&source=h5_m,742739,354,2352,3433,49487,7096030769084238598,7096030769084238598,72,7096030769084238598,original sound - editbytrajilovic,Trajilović🥷,6.785623193179178e+18,Trajilović🥷,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096030762893429509.mp3,,False,False,,,,,[],0,0,Croatia,#cc #cctv #crnicerak #ccdarkside #foryou #fyp #fypシ #foryourpage #🇷🇸 #xyzbca #viral,0,0,1,0,0,1,1,0,0,1
1,RS,7102829035780148486,1653756258,:P #dance #fyp #fy #viral,6633482289122836486,Gavra,"ne, ja nikad nisam sarkastican, zapravo sam ozbiljan i ovde nista nije sala",0,False,https://m.tiktok.com/v/7102829035780148486.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102829035780148486&source=h5_m,851156,496,1021,3968,110023,7078096645480598277,7078096645480598277,72,7078096645480598277,Laća x Duda,Duda,6.745357468841739e+18,Duda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078097102546422534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/78bbd1095e9eed9e16723c891b8fa2fc.json,False,False,,,,,[],0,0,Croatia,#dance #fyp #fy #viral,0,0,0,0,1,1,0,0,0,1
2,NO,7092780149350862086,1651416569,camilla in the background💀,6946606300587869190,julie,"our journey towards starting a family👩‍👩‍👧🤍
post@camillalor.no",0,False,https://m.tiktok.com/v/7092780149350862086.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092780149350862086&source=h5_m,45229489,33972,127538,34090,4246476,7089803109970561798,7089803109970561798,72,7089803109970561798,Booty do not jiggle by Alex Holtti,Alexander Holtti,6.084856597080474e+16,Alexander Holtti,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089803118019480325.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6758973c393ab9355679f490af184898.json,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
3,US,7101511842551303466,1653449574,#duet with @mimiermakeup #fyp #foryoupage #xyzcba #foryou,6920237961654191110,O’Breezy,"🔥Let’s Get it Eh 🔥
😈HeHEEE😈
“Donald Trump in Tokyo Prank” at 100k",0,False,https://m.tiktok.com/v/7101511842551303466.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101511842551303466&source=h5_m,482420,75,6,5,55276,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0,Croatia,#duet #fyp #foryoupage #xyzcba #foryou,0,0,1,1,0,1,0,0,0,0
4,CA,7095896042268347654,1652142046,#stitch @Lola María de la Caridad • she's not cutting #hair,6608229780943306757,Ricky Berwick,"Your not so normal video entertainer!
For business: ricky@LFM.tv",0,False,https://m.tiktok.com/v/7095896042268347654.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095896042268347654&source=h5_m,14163988,7322,7473,5569,822887,7095896070198299398,7095896070198299398,72,7095896070198299398,original sound - therickyberwick,Ricky Berwick,6.608229780943307e+18,Ricky Berwick,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095896043790912261.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/99266081b2dc1d3e188bb3f215bdd262.json,False,False,,,,,[],0,0,Croatia,#stitch #hair,0,0,0,0,0,0,0,0,0,0
5,HR,7084974730482126085,1649599228,Bas je dragg💙#fyp #foryoupage #foryou #fypdongggggggg #viral #blowthisup #etc #actives? #xyzbca #survivor2022,7084971481825887237,Survivor🤍,,0,False,https://m.tiktok.com/v/7084974730482126085.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084974730482126085&source=h5_m,1426649,1014,889,2984,123498,7084974712878648069,7084974712878648069,72,7084974712878648069,original sound - azuaa.survivor,Survivor🤍,7.084971481825887e+18,Survivor🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084974717841132294.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f80319a994dba4a53fb513a5cc6b2fd6.json,False,False,,,,,[],0,0,Croatia,#fyp #foryoupage #foryou #fypdongggggggg #viral #blowthisup #etc #actives? #xyzbca #survivor2022,0,0,1,1,0,1,0,0,0,1
6,HR,7089802104067443974,1650723190,Pohvatali smo mi to😂@filip.d #fy #fyp #viral #trending #foryou #trend,6933963255165748230,Leon Dejanovic,"Croatia/15🇭🇷
🤸‍♂️❤
ig:@leondejanovic.2",0,False,https://m.tiktok.com/v/7089802104067443974.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089802104067443974&source=h5_m,330700,289,292805,118,28412,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Croatia,#fy #fyp #viral #trending #foryou #trend,0,0,1,0,1,1,0,0,0,1
7,IT,7094649617555410181,1651851839,which country should I do next?#countries #culturaldifference #culturetalk #foreigners #expat #languages #travels #cultureshock #croatia #croatian,6912044646576178182,Sicitalian,"CEO of Expat 🌍
📩
official@sicitalian.com
For life coaching and talk ⬇️",0,False,https://m.tiktok.com/v/7094649617555410181.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094649617555410181&source=h5_m,361535,1544,163,411,46907,7075033522712464134,7075033522712464134,72,7075033522712464134,original sound - lanasmonkeys,Liveforlana_,6.983311437565855e+18,Liveforlana_,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075033531298122502.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7eee79b2dcf4720ae2d4758bbc6ac9d0.json,False,False,,,,,[],0,0,Croatia,#countries #culturaldifference #culturetalk #foreigners #expat #languages #travels #cultureshock #croatia #croatian,0,1,0,0,0,0,0,0,0,0
0,GB,7085685932514462981,1649764818,he’s supportive dw #fyp #foru #foryou #couples,6649252540934291462,NickandAnt,Go check out the NEW Insta👇🏼👀,0,False,https://www.tiktok.com/@nickandant/video/7085685932514462981?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085685932514462981&source=h5_m,12201837,22979,15857,27334,2715836,7083555827071699717,7083555827071699717,72,7083555827071699717,use this sound if jurex_memes is the goat,‼️Daily Memes‼️,7.044645752056202e+18,‼️Daily Memes‼️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083555837322611462.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a1160314da0791b7327515751ef58e45.json,False,False,,,,,[],0,0,Croatia,#fyp #foru #foryou #couples,0,0,1,0,0,1,0,0,0,0
1,US,7089702385404316974,1650699974,TO ALL MY GREEKS🇬🇷 WHAT DID SHE SAY?!,6668025465947799557,Tayo Ricci,"Best artist in the world 💋❄️
I basically live shirtless 
All SOCIALS on IG😳",0,False,https://www.tiktok.com/@tayoricci/video/7089702385404316974?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089702385404316974&source=h5_m,4783864,10831,1442,2156,323564,7089702236464532270,7089702236464532270,72,7089702236464532270,original sound - tayoricci,Tayo Ricci,6.6680254659478e+18,Tayo Ricci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7089702369063127851.mp3,,False,False,,,,,[],0,0,Croatia,,0,0,0,0,0,0,0,0,0,0
