,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_pov,hash_trending,hash_viral,hash_xyzbca
0,US,7076200535627533611,1647556327,It’s ok🥺#kneebiter,7049621999016330287,Dixie,ShihTzu/terrier,0,False,https://www.tiktok.com/@realityrat2/video/7076200535627533611?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076200535627533611&source=h5_m,9703876,66875,65110,40835,1817956,7072947799217736494,7072947799217736494,72,7072947799217736494,original sound - randomuser0972,👾,6.96521492150087e+18,👾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072947804426996523.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e8aca695fad881ab98aaa8aaa8a7acac.json,False,False,,,,,[],0,0,Jersey,#kneebiter,0,0,0,0,0,0,0,0,0,0
1,US,7073619854984596782,1646955464,middle school sleepovers 🍕 #comedy,6609660490811998213,hannah montoya,"almost hannah montana
hannah@thenetwork-effect.com",0,False,https://www.tiktok.com/@hannah.montoya/video/7073619854984596782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073619854984596782&source=h5_m,8229777,20338,13629,11351,1877644,7073619844410772270,7073619844410772270,72,7073619844410772270,original sound - hannah.montoya,hannah montoya,6.609660490811998e+18,hannah montoya,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073619861834517291.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/1c1272c1351d09ba08cdf956a7640aed.json,False,False,,,,,[],0,0,Jersey,#comedy,1,0,0,0,0,0,0,0,0,0
2,GB,7098808526516079877,1652820161,Yep 😅,7050617080755799045,Fabio Jackson,No bio yet,0,False,https://www.tiktok.com/@theefabiojackson/video/7098808526516079877?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098808526516079877&source=h5_m,1558993,2649,524,1019,109537,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
3,AU,7097100693009452290,1652422524,#stitch with @clashyreaper,7026608313026577410,Stefano,Curry on the curry pot 🍛,0,False,https://www.tiktok.com/@jumback05/video/7097100693009452290?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097100693009452290&source=h5_m,2095402,5462,2877,6669,233219,7097100678031510273,7097100678031510273,72,7097100678031510273,Go touch some grass,Stefano,7.026608313026577e+18,Stefano,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097100670628547329.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30016fb11e5b308924bf8b90255c98a0.json,False,False,,,,,[],0,0,Jersey,#stitch,0,0,0,0,0,0,0,0,0,0
4,US,7103577687645506862,1653930566,🌟2nd @ has a crush on u😂😂#LearnOnTikTok #hygienistoftiktok #hygienist #dentalhygienist #rdh,6612726765507772422,Dental Hygienist,"📫inquires.avalener@gmail.com
😷Dental Hygienist
📍NYC
⬇️Best braces color⬇️",0,False,https://www.tiktok.com/@avalene.r/video/7103577687645506862?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103577687645506862&source=h5_m,106620,560,37,43,10385,7064884950239070977,7064884950239070977,72,7064884950239070977,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",7.042141458783487e+18,❤️‍🔥,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7064887206300666626.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8b0b64d91ba02c2dcb7c2850cc3026c2.json,False,False,Justin Bieber,Love Yourself,Love Yourself (Drill Remix) (Contains music from: Love Yourself - Justin Bieber),"Contains music from: ""Love Yourself""",[],0,0,Jersey,#LearnOnTikTok #hygienistoftiktok #hygienist #dentalhygienist #rdh,0,0,0,0,0,0,0,0,0,0
5,JE,7096438227761941765,1652268282,SHE HAD NO IDEA!!! 😂😂😂 @kristenhanby123,6972016030848173061,hanbyfamily,⬇️ ⬇️ NEW VLOG ⬇️ ⬇️,0,False,https://www.tiktok.com/@hanbyfamily/video/7096438227761941765?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096438227761941765&source=h5_m,101197,20,13,25,4543,7096438208153537285,7096438208153537285,72,7096438208153537285,original sound - hanbyfamily,hanbyfamily,6.972016030848173e+18,hanbyfamily,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096438207004297990.mp3,,False,False,,,,,[],0,0,Jersey,,0,0,0,0,0,0,0,0,0,0
6,JE,7087953360585854213,1650292745,It’s Totally Fine Now. #meme #jewish #ww3 #hashtag #ww3jewish #gas,7055392911730508805,The Meme God Of History,Aiming For 500 Followers. Lost Main Account Historicmemegod Their,0,False,https://www.tiktok.com/@memegodofhistory/video/7087953360585854213?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087953360585854213&source=h5_m,145128,131,2285,1867,9883,7087953334556117766,7087953334556117766,72,7087953334556117766,original sound - memegodofhistory,The Meme God Of History,7.055392911730509e+18,The Meme God Of History,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087953357037406981.mp3,,False,False,,,,,[],0,0,Jersey,#meme #jewish #ww3 #hashtag #ww3jewish #gas,0,0,0,0,0,0,0,0,0,0
7,GB,7103253051917569286,1653854983,#POV : 3 friends are arguing about the sudden change of one | #fyp #viral #xyzbca,6781110079338791941,Daniela Estefania 🌙,"Hi :) 
💌: destefania.camar@gmail.com
IG: dan_estefaniaa
London",0,False,https://www.tiktok.com/@daniela_estefaniaa/video/7103253051917569286?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103253051917569286&source=h5_m,580723,315,62,474,60116,7085878113229343493,7085878113229343493,72,7085878113229343493,original sound - cliptok777,ClipTok777,6.984133299539297e+18,ClipTok777,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085878121224391430.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2933d78a2d0ee9d4cb309416ba211061.json,False,False,,,,,[],0,0,Jersey,#POV #fyp #viral #xyzbca,0,0,0,0,1,0,1,0,1,1
0,GB,7103641543432572165,1653945435,Verdict tomorrow. #fyp #foryou #foryoupage #johnny #depp #johnnydepp #deppvheard #amber #amberheard #fail #amberturd #amberheardjohnnydepp #johnnydepptiktok #johnnydepptrial #memes #memestiktok #court #fypシ #justiceforjohnnydepp #joke,6939242415052948486,𝙏𝙤𝙢,"🫒
@txm.olive",0,False,https://www.tiktok.com/@txmvids1308/video/7103641543432572165?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103641543432572165&source=h5_m,94843,35,24,18,6218,7002337387237918722,7002337387237918722,10033,7002337387237918722,Frolic - Theme from Curb Your Enthusiasm,Luciano Michelini,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/c534de534ee049cc8a6c9afd7b29deb8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/951ceb992e0245cb80b061d7bc81300d,False,True,,,,,[],0,0,Jersey,#fyp #foryou #foryoupage #johnny #depp #johnnydepp #deppvheard #amber #amberheard #fail #amberturd #amberheardjohnnydepp #johnnydepptiktok #johnnydepptrial #memes #memestiktok #court #fypシ #justiceforjohnnydepp #joke,0,1,1,0,1,1,0,0,0,0
1,GB,7100953891205893381,1653319666,Yeet 😂😭 #foryoupage #foryou #fyp #lukeleprevost,6689112670489478149,Luke Le Prevost,"Follow my instagram here 👆🏼
Business: lukeleprevostbusiness@gmail.com 📧",0,False,https://www.tiktok.com/@imtherealluke/video/7100953891205893381?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100953891205893381&source=h5_m,297825,396,294,326,37869,6714208789790264069,6714208789790264069,72,6714208789790264069,"original sound - jaycedavis4 (Contains music from: I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version - Louis Prima & Phil Harris & Bruce Reitherman)","Contains music from: ""I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version""",6.699248761934693e+18,jayce,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1639210944344101.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/afe8c6d4fcc88462f1e1c6ed844acce5.json,False,False,Louis Prima & Phil Harris & Bruce Reitherman,"I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version","original sound - jaycedavis4 (Contains music from: I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version - Louis Prima & Phil Harris & Bruce Reitherman)","Contains music from: ""I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version""",[],0,0,Jersey,#foryoupage #foryou #fyp #lukeleprevost,0,1,1,0,1,0,0,0,0,0
