,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_ad,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
0,KH,7103073618057334043,1653813203,🌚❤️,7085506932181959682,biiza,ig :biiza9❤️,0,False,https://www.tiktok.com/@beebee31897/video/7103073618057334043?_r=1&u_code=0&region=US&mid=7075729123557100294&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103073618057334043&source=h5_t,82577,49,27,1,15043,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7089629090344340762,1650682905,ស្គាល់រិទ្ធិកាហេ??😹😛 @giibella @phanrongrapper @santakh_ @william_sathya,6520036436292927490,នែប ព្រំរិទ្ធិកា៚2,"IG:neb_promrithyka , I have tiktok only 2 acc. And this is my new acc☺️🦋",0,False,https://www.tiktok.com/@rithykarithyka/video/7089629090344340762?_r=1&u_code=0&region=US&mid=7089291828222626586&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089629090344340762&source=h5_t,1209438,116,372,291,167753,7089291828222626586,7089291828222626586,24,7089291828222626586,original sound - FB | Būnny_Rūos 🎶,FB | Būnny_Rūos 🎶,6.868645514566338e+18,FB | Būnny_Rūos 🎶,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7089291833460804379.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0a57baa86348adb6c5119d4e7d4847f8.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
2,US,7095843079860833582,1652129712,@☆*:.｡naezrah girl you ate this look up!!!💕 #greenscreen #fyp #viral #rainbowconcealer #🌈 #makeup #makeuptutorial #makeupartist #glam #lashes,2105702,Gabe Adams-Wheatley,"2.6 million💕
ben@cadence-talent.com📧
Amazon storefront 🛒⬇️",0,False,https://www.tiktok.com/@gabeadams/video/7095843079860833582?_r=1&u_code=0&region=US&mid=7089828122854197249&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095843079860833582&source=h5_t,12561795,13460,7132,4869,1236871,7089828122854197249,7089828122854197249,10033,7089828122854197249,About Damn Time,Lizzo,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/62d497a35bcf407598da8ac1d741359b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/38418ae73d084e45a86fb6cbbd0149fe,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1619162353', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#greenscreen #fyp #viral #rainbowconcealer #🌈 #makeup #makeuptutorial #makeupartist #glam #lashes,0,0,0,0,0,1,0,0,0,1
3,KH,7103087165462138113,1653816358,មកដល់ផ្ទះសង្សាហើយ🤓🤓,6722929493671117826,Føñg Łÿ 🇰🇭✔️,I love Cambodia 💪🇰🇭♥️ kingdom of wonder,0,False,https://www.tiktok.com/@fongly95/video/7103087165462138113?_r=1&u_code=0&region=US&mid=7097428561065249563&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103087165462138113&source=h5_t,754146,159,216,27,88763,7097428561065249563,7097428561065249563,24,7097428561065249563,original sound - SO PHEAP - ឌឿន សុភាព ❤️❤️ (Contains music from: ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ - Redking),"Contains music from: ""ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ""",6.584152453832049e+18,SO PHEAP - ឌឿន សុភាព ❤️❤️,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7097428565758577435.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f7fe2dfa1e67f8dec0cb5b276a67909e.json,False,False,Redking,ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ,original sound - SO PHEAP - ឌឿន សុភាព ❤️❤️ (Contains music from: ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ - Redking),"Contains music from: ""ប្រាប់តៗគ្នាផង ខ្ញុំនៅSingleទេ""",[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
4,US,7093917118973922603,1651681290,Reply to @614lyfe  fresh air 😁 #homemade #crushing #satisfying #asmr,6733255177765209094,Kyle Istook,"CEO of hot dogs and homemade from scratch. 👨‍🍳
✉️:kyle@grail-talent.com",0,False,https://www.tiktok.com/@kyleistook/video/7093917118973922603?_r=1&u_code=0&region=US&mid=7079433374615784238&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093917118973922603&source=h5_t,17260042,6798,2015,2458,765412,7079433374615784238,7079433374615784238,10036,7079433374615784238,In My Mind (feat. Crystal Waters),Never Dull,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/be3445afcf674618bea460a62b5256b8,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/db77e6a864b6469ea8cb411b4a35fcc2,False,True,,,,,[],0,0,Cambodia,#homemade #crushing #satisfying #asmr,0,1,0,0,0,0,0,1,0,0
5,KH,7103342455113714971,1653875797, ,6845462624806061058,Duong Salan,,0,False,https://www.tiktok.com/@duongsalan/video/7103342455113714971?_r=1&u_code=0&region=US&mid=7080381732838509339&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103342455113714971&source=h5_t,148430,8,14,28,13758,7080381732838509339,7080381732838509339,24,7080381732838509339,original sound - Hoang La775,Hoang La775,6.913145383763265e+18,Hoang La775,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7080381735321668378.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05417ceab298489fdfc514006859ef0a.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
6,GB,7090611353198562566,1650911607,Boss looking dapper!#funny #dog #fyp #foryoupage #viral,6981433692657517574,Animals of TikTok,"Follow for daily content!
Sub to my YouTube so I can create videos
DM 4 promos",0,False,https://www.tiktok.com/@animals0ft1ktok/video/7090611353198562566?_r=1&u_code=0&region=US&mid=6728562975734515713&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090611353198562566&source=h5_t,26567606,19827,290500,127502,1492319,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#funny #dog #fyp #foryoupage #viral,0,0,0,1,1,1,0,0,0,1
7,KH,7079326772558318875,1648284209,មើលមុខក្មេងខូចទុកទៅបងប្អូន 😒♥️  #chantrea #pajeteam @dara_ron2,6775731882421191682,🧸 Chan Trea 🧸,Real acc 💗 fb: Chan Trea thank you for spp 💗🧸,0,False,https://www.tiktok.com/@chantrea__pajeteam02/video/7079326772558318875?_r=1&u_code=0&region=US&mid=7075178003201805083&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079326772558318875&source=h5_t,304421,229,592,5,79479,7075178003201805083,7075178003201805083,24,7075178003201805083,original sound - RAA BaBË,RAA BaBË,7.070089180956607e+18,RAA BaBË,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075177993945385755.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b91ba7a250f67686e62e15a8a01108ff.json,False,False,,,,,[],0,0,Cambodia,#chantrea #pajeteam,0,0,0,0,0,0,0,0,0,0
0,KH,7103046521234443547,1653806894,ចូលមកឃើញចឹងៗអី😞,6803237285858051073,អូន លឹប,,0,False,https://www.tiktok.com/@jeetoch044/video/7103046521234443547?_r=1&u_code=0&region=US&mid=7093506601218329371&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103046521234443547&source=h5_t,202462,320,104,161,36203,7093506601218329371,7093506601218329371,24,7093506601218329371,original sound - ɴᴀᴛᴀ°||ʟᴀᴏʀʜᴏᴜʀs🇰🇭,ɴᴀᴛᴀ°||ʟᴀᴏʀʜᴏᴜʀs🇰🇭,7.031173199048377e+18,ɴᴀᴛᴀ°||ʟᴀᴏʀʜᴏᴜʀs🇰🇭,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7093506610810686234.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9c6846c6cd47f34c6fc7b066d8b47233.json,False,False,,,,,[],0,0,Cambodia,,0,0,0,0,0,0,0,0,0,0
1,KH,7101915128655924507,1653543471,អូនអត់ដឹងទេ #kosoma #fyp #funny,6524485713823023106,Sopheak Kosoma,Welcome to my real account,0,False,https://www.tiktok.com/@sopheakkosoma999/video/7101915128655924507?_r=1&u_code=0&region=US&mid=7021479383160457986&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101915128655924507&source=h5_t,731851,145,226,265,96659,7021479383160457986,7021479383160457986,24,7021479383160457986,original sound - March 🌈☀️,March 🌈☀️,70827133272.0,March 🌈☀️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7021479361798867713.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/be5614194e4fff199c8d9a1af726d692.json,False,False,,,,,[],0,0,Cambodia,#kosoma #fyp #funny,0,0,0,0,1,1,0,0,0,0
2,US,7102798997743553838,1653749265,My beautiful grandbaby loved her uncle Marky so much … #fyp #foryou #fypシ #loss #family,154882348289929216,Melissa Jaquez,Marky was 21 when we lost him to EPIDERMOLYSIS BULLOSA RECESSIVE DYSTROPHIC,0,False,https://www.tiktok.com/@melissa_20101/video/7102798997743553838?_r=1&u_code=0&region=US&mid=6786896889338923009&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102798997743553838&source=h5_t,2673708,2104,429,121,77914,6786896889338923009,6786896889338923009,10033,6786896889338923009,Emotional Piano for the Soul (Inspirational Background Music),Fearless Motivation Instrumentals,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/aff1f2c7616a46d38f048218d4234d37,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2036db21e2cf4a4ab78f3b8ddf29e408,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1124318653', 'external_song_key': 'apple_song_id'}]",0,0,Cambodia,#fyp #foryou #fypシ #loss #family,0,0,1,0,0,1,1,0,0,0
