,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_tiktok,hash_viral,hash_xyzbca
0,NG,7088053772873764102,1650316123, ,7056916925150462981,Sad_MFK,,0,False,https://m.tiktok.com/v/7088053772873764102.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088053772873764102&source=h5_m,2479653,189,7230,132950,215441,7088053763944712966,7088053763944712966,72,7088053763944712966,original sound - sad_mfk,Sad_MFK,7.056916925150463e+18,Sad_MFK,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088053769782479622.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/664ea6d1aec01a30f06830a9a7843dee.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
1,US,7081806010129780010,1648861451,"I’m the strong one, I’m not nervous 😤💪 Encanto is now streaming on Disney+. musicad",54393422882566144,Brian Esperon,"Dancer/Choreographer 🇬🇺
WAP Dance Creator
mgmt@odysseyentgroup.com
@bangenergy",0,False,https://m.tiktok.com/v/7081806010129780010.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081806010129780010&source=h5_m,5472418,1427,1677,23587,361124,7032019094043904001,7032019094043904001,10033,7032019094043904001,Surface Pressure,Jessica Darrow,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/947899551dae4b0ba0fea47791f26a7c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/b2aff08122bb44d79e076ca5cc25244f,False,True,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
2,US,7081063301752311083,1648688527,i say this is a success,6805640419814245381,lexie azucena,pls don’t make fun of my following to followers ratio,0,False,https://m.tiktok.com/v/7081063301752311083.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081063301752311083&source=h5_m,6358398,3541,2348,3469,732984,7061271396685056774,7061271396685056774,72,7061271396685056774,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",7.060564211961742e+18,Spe3d_up_songs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7061271416649304837.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7b182c7614667851fe872d5217f0532f.json,False,False,Justin Bieber,Baby,Baby (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
3,DE,7072832534861712645,1646772153,#pov : You’re at your girlsfriends concert and her ex tries to ruin it. #acting,6794148180339737606,Bene,"Follow me on insta: bene.sz
Germany 🇩🇪",0,False,https://m.tiktok.com/v/7072832534861712645.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072832534861712645&source=h5_m,19072737,6446,6300,7197,3605475,6995334655683644187,6995334655683644187,24,6995334655683644187,original sound - jeckwamos,Jec❤️‍🔥,6.786587227231454e+18,Jec❤️‍🔥,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/6995334577203972891.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a25f2383f05e3a5932412bcdcac81d2b.json,False,False,,,,,[],0,0,Kiribati,#pov #acting,0,0,0,0,0,0,0,0,0,0
4,NG,7088732300329962757,1650474105,🥲🤕,6764548838482609157,Lizzy 🤗,"welcome to my cult 🎃
get me to 100k ? 
insta : arylizzy  xoxo 😘 
 positivevibe",0,False,https://m.tiktok.com/v/7088732300329962757.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088732300329962757&source=h5_m,6904693,4504,20028,25473,754485,6912474372666182406,6912474372666182406,72,6912474372666182406,original sound - trellytrell1,Trelly Trell,6.768111727025735e+18,Trelly Trell,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6912474418815994629.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/40083e2b3e41610a848511f76696de48.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
5,AU,7102712390776605954,1653729099,Home 🏡🤍 @notkingsapphire,6880111432239924226,Siosifa Latu,"🇹🇴
20
Am I a simp for my gf? Yes... yes tf I am🙃
wallpapers on ig highlight🤝",0,False,https://m.tiktok.com/v/7102712390776605954.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102712390776605954&source=h5_m,76333,109,77,262,14999,7100895875358149422,7100895875358149422,72,7100895875358149422,original sound - trin10.xx,𝕭,6.857785402431374e+18,𝕭,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100895937777666859.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26c896eb9876f4df85c3c328f2614b4a.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
6,GB,7090246382392478982,1650826631,#fyp #foryou #unshadowbanme,7008539002156549125,𝒴𝒶𝓈𝒶𝓂𝒾𝓃,"22 🎀
𝖦𝗋𝖺𝗍𝖾𝖿𝗎𝗅 𝖿𝗈𝗋 𝗒𝗈𝗎 𝖺𝗅𝗅 🤍",0,False,https://m.tiktok.com/v/7090246382392478982.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090246382392478982&source=h5_m,1898452,4376,12582,49768,294495,7073261234879286017,7073261234879286017,72,7073261234879286017,original sound - kamxxeer (Contains music from: Baby Slowed - Remix - Eduardo XD & RH Music & Matt Lasong),"Contains music from: ""Baby Slowed - Remix""",6.769919540429899e+18,Dine,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7073261172492978945.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad681c7baba3d4cb9b81939f87acd9fe.json,False,False,Eduardo XD & RH Music & Matt Lasong,Baby Slowed - Remix,original sound - kamxxeer (Contains music from: Baby Slowed - Remix - Eduardo XD & RH Music & Matt Lasong),"Contains music from: ""Baby Slowed - Remix""",[],0,0,Kiribati,#fyp #foryou #unshadowbanme,0,1,0,0,1,0,0,0,0,0
7,US,7096531666268622126,1652290037,How can you not smile after hearing this #tongan jam 🇹🇴 ? Keep the suggestions coming! #siilolo #tonga #polynesia #polynesiantiktok #internationalsongs #foryou #fyp #languages #singers #duet #global,105562564314480640,Sam Tsui,"Singer/songwriter/OG Youtuber/dad!!
samtsuibusiness@gmail.com
feat. @caseybreves",0,False,https://m.tiktok.com/v/7096531666268622126.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096531666268622126&source=h5_m,791056,4856,1446,3667,100140,7096531584085429038,7096531584085429038,72,7096531584085429038,original sound - thesamtsui,Sam Tsui,1.0556256431448064e+17,Sam Tsui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7096531658177776427.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6bb2b4a41f979fdd83779b148f27b1ba.json,False,False,,,,,[],0,0,Kiribati,#tongan #siilolo #tonga #polynesia #polynesiantiktok #internationalsongs #foryou #fyp #languages #singers #duet #global,1,1,0,0,1,0,0,0,0,0
0,TH,7103453979861994779,1653901763,ฉันจะทำทุกอย่างตามที่คุณสั่ง ❤️,6716956890888897538,Natty🌙,ครีมสระผม เครื่องสำอาง แอดไลน์👇🏻,0,False,https://m.tiktok.com/v/7103453979861994779.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103453979861994779&source=h5_m,1544638,389,401,723,162757,6859447951941831430,6859447951941831430,72,6859447951941831430,cook clean plot twist tyananana,tyana,6.627263811551265e+18,tyana,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6922159119919024901.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c04cdd5ac3fe2cb4f1e6713629fb09ac.json,False,False,,,,,[],0,0,Kiribati,,0,0,0,0,0,0,0,0,0,0
1,NG,7080657104796667141,1648593952,#bopdaddy #fyp #dance #korizon_099,7066730496416138245,velodans,"ALIGHTMOTION
16 🇳🇬🏳️‍🌈
SPAM=BLOCK
PLS FOLLOW MY IG⬆️⬆️",0,False,https://m.tiktok.com/v/7080657104796667141.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080657104796667141&source=h5_m,257087,489,231,6595,24227,7009271088412707585,7009271088412707585,10036,7009271088412707585,Bop Daddy,Falz & Ms Banks,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3550ade7ca8d46218ebdb0b3cee62d84,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/22857ceeddbd4b0a9610a4cb5c2bc967,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1501145520', 'external_song_key': 'apple_song_id'}]",0,0,Kiribati,#bopdaddy #fyp #dance #korizon_099,0,0,0,0,1,0,0,0,0,0
