,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,fyp_location,hashtags,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
0,GB,7103181343323901190,1653838286,i potentially could be yeah,6786433972152894469,caress,"skin n stuff
caressdowling@gmail.com",0,False,https://www.tiktok.com/@caressmd/video/7103181343323901190?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103181343323901190&source=h5_m,5369177,3199,13772,72,261554,7098770450246945541,7098770450246945541,72,7098770450246945541,original sound - heart4harry1,Mal,7.013742764379031e+18,Mal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098770467196046086.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f5e7b3b7ceaa05aabc679911b6ec00a2.json,False,False,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
1,US,7102242114695662891,1653619604,I just wanted some chips 😂🤦🏼‍♂️,6746417382892176389,KEEMOKAZI,"Keemokazi@collab.inc 
Follow me on IG for good luck 🍀 
New video out now 🔥⬇️",0,False,https://www.tiktok.com/@keemokazi/video/7102242114695662891?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102242114695662891&source=h5_m,4916647,1942,1050,2332,252123,6925104065584073474,6925104065584073474,72,6925104065584073474,Basbousa song (Contains music from: بسبوس عاشق بسة - المايسترو محمد الشيخ),"Contains music from: ""بسبوس عاشق بسة""",6.734999336381433e+18,المايسترو محمد الشيخ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6925103980582324994.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/515c71bbee601d8955f2c3ad34d64ba5.json,False,False,المايسترو محمد الشيخ,بسبوس عاشق بسة,Basbousa song (Contains music from: بسبوس عاشق بسة - المايسترو محمد الشيخ),"Contains music from: ""بسبوس عاشق بسة""",[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
2,US,7093505054665182510,1651585349,Can you believe this was our first take #ShowYourJOWO #dallas #dentalstudent #dentalschool #FORDfortheBuilders #dentistry #tamu,6926388871627146246,Clayton Cooper,"You might laugh but probably won’t learn anything here
⬇️DiagnosUs ⬇️",0,False,https://www.tiktok.com/@blaytonbooper/video/7093505054665182510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093505054665182510&source=h5_m,7293683,1975,4064,4297,680722,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,French Southern Territories,#ShowYourJOWO #dallas #dentalstudent #dentalschool #FORDfortheBuilders #dentistry #tamu,0,0,0,0,0,0,0,0,0,0
3,GB,7103234622695247109,1653850691, ,25035108,Miahcarter,"Your self love big sis 🦋
claudia@thebloggeragent.co.uk
miahhcarter@gmail.com",0,False,https://www.tiktok.com/@miahhcarter/video/7103234622695247109?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103234622695247109&source=h5_m,6107459,409,2678,4549,156634,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
4,ES,7092804504478928133,1651422240,this trend but i dont do drvgs,6591804007994933254,Jorge Juan Garay Dicenta,"he/any <3

biz: jeyjeygardi@bushidotalent.com",0,False,https://www.tiktok.com/@jeyjeygardi/video/7092804504478928133?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092804504478928133&source=h5_m,7590249,17157,7031,12987,1848789,6817665487665629186,6817665487665629186,10036,6817665487665629186,Chopin Nocturne No. 2 Piano Mono,moshimo sound design,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7776172bb19a49c89a9506853c72a930,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/048d06b24d194ba2997cd69ee708c1c7,False,True,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
5,US,7084668884153896197,1649528017,aww😂😂#funny #meow #kitten #kittensoftiktok #cat #catsoftiktok #fyp,7083774241104348165,funcats02,"Follow me and you will be lucky🌟💕
👇For your cat goodies goods👇",0,False,https://www.tiktok.com/@funcats02/video/7084668884153896197?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084668884153896197&source=h5_m,2329829,7232,7238,13001,397774,7077672747174415106,7077672747174415106,72,7077672747174415106,original sound - mnmnmnnmnmmn,Majed,6.677566951357351e+18,Majed,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7077672688998812418.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/96342b4f948e07904a29603922621cde.json,False,False,,,,,[],0,0,French Southern Territories,#funny #meow #kitten #kittensoftiktok #cat #catsoftiktok #fyp,0,0,0,1,0,1,0,0,0,0
6,CA,7070337305977834758,1646191188,always find comfort in these forests,6726527855369274373,Julia Thompson,"travel + adventure
vancouver, canada",0,False,https://www.tiktok.com/@juliiathompson/video/7070337305977834758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070337305977834758&source=h5_m,72613169,151103,304334,637750,14914339,6743467814641879814,6743467814641879814,72,6743467814641879814,original sound - aksin422 (Contains music from: Dawn On The River (Original Mix) - Spacewind & Spacewind),"Contains music from: ""Dawn On The River (Original Mix)""",6.725712099034777e+18,AKŞİN44,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646355782427670.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ab83eb9175a7b8acf067ae53c68d8f1d.json,False,False,Spacewind & Spacewind,Dawn On The River (Original Mix),original sound - aksin422 (Contains music from: Dawn On The River (Original Mix) - Spacewind & Spacewind),"Contains music from: ""Dawn On The River (Original Mix)""",[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
7,DE,7101327000257760517,1653406538,Pino hat jetzt Instagram können wir den Account etwas pushen ? 🥰😍 in der bio verlinkt 🙏🏼 wäre mega #pferd #horsetiktok #horse #pinochio #fy #viral,6944709069753271301,Lilly,"Lilly | 19
🐴Pinochio | 19
!neuer Insta Acoount! 
⬇️⬇️⬇️⬇️⬇️⬇️⬇️
Derpinochio",0,False,https://www.tiktok.com/@pinolinoo/video/7101327000257760517?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101327000257760517&source=h5_m,4704551,3864,8617,347,719607,6821168133676583685,6821168133676583685,72,6821168133676583685,original sound - diletta_cazzato,Diletta Cazzato,28904181.0,Diletta Cazzato,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/f876628e50f8d3b3481f6653ec771f73.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2ff123a432951772ee1ab4f986798820.json,False,False,,,,,[],0,0,French Southern Territories,#pferd #horsetiktok #horse #pinochio #fy #viral,0,0,0,0,1,0,0,0,0,1
0,DE,7085690923149036805,1649765980,#wallpaper #pixel #blue,7072572234955834374,WallPaper,"Uploaded in HD to my Discord
Instagram: tom_pal_02",0,False,https://www.tiktok.com/@wallpaperjesus4k/video/7085690923149036805?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085690923149036805&source=h5_m,16336584,5604,45720,1169,2046914,7075350253452512005,7075350253452512005,72,7075350253452512005,original sound - sp3ctat00r,𝙼𝚊𝚛𝚒𝚘,6.599230607301575e+18,𝙼𝚊𝚛𝚒𝚘,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7075350271030807301.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/56c21a8bcb0f401bb06f7efe253d6afc.json,False,False,,,,,[],0,0,French Southern Territories,#wallpaper #pixel #blue,0,0,0,0,0,0,0,0,0,0
1,US,7082908005263510826,1649118030,More like @altegomusic ‘s milkshake 🤣👏 #ceilingfanceo #altegomusic,6762895840026870790,Tugboat_spenny,"OG pandemic ceiling fan content
#ceilingfanceo @364M views!
Lizzo gave me a 👍🏾",0,False,https://www.tiktok.com/@ceilingfanceo/video/7082908005263510826?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082908005263510826&source=h5_m,39602372,22283,35886,115124,7246336,7074319007582522118,7074319007582522118,72,7074319007582522118,gimme more x milkshake by Altegomusic,ALTÉGO,6.925393143870342e+18,ALTÉGO,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7074319006287203077.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/37bd9fb0ab8c22dae0c663f9fbb5d043.json,False,False,,,,,[],0,0,French Southern Territories,#ceilingfanceo #altegomusic,0,0,0,0,0,0,0,0,0,0
2,BE,7102421401478434054,1653661349,#devinelapersonne #pourtoi #fyp #fy #botox,6720359645430727686,Ma,"Mariaaaaa
21 yo",0,False,https://www.tiktok.com/@mapchl/video/7102421401478434054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102421401478434054&source=h5_m,22810570,12360,15474,2483,1267584,7089911335798590213,7089911335798590213,72,7089911335798590213,original sound - little_flop,saulin_in,7.048233950531913e+18,saulin_in,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089911338912434949.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/66830d28215f1eb9051399a463a53763.json,False,False,,,,,[],0,0,French Southern Territories,#devinelapersonne #pourtoi #fyp #fy #botox,0,0,0,0,1,1,0,0,0,0
3,DE,7086422575655439622,1649936331, ,24515672,rahmatrahmeh,"🇺🇸 🇱🇧 🇩🇪  2.2 M ? 
📧: rahmatrahmeh@gmail.com 

rahmat@mega-social.com",0,False,https://www.tiktok.com/@rahmatrahmeh/video/7086422575655439622?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086422575655439622&source=h5_m,1152627,1565,863,26,111976,7053337740397660933,7053337740397660933,72,7053337740397660933,original sound - maxi.doerner,Der Max,6.947652828486747e+18,Der Max,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7053337734114577157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/063024bc9decc1b554c235856761732e.json,False,False,,,,,[],0,0,French Southern Territories,,0,0,0,0,0,0,0,0,0,0
