,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_jamaicatiktok,hash_love,hash_movie,hash_trending,hash_viral
0,US,7075322712092052782,1647351943,crazy lollll #fyp #iphone,6778518423108568069,Brooklyn,"Follow me on ig for mama info! 
19&22",0,False,https://www.tiktok.com/@brooklynandbobby/video/7075322712092052782?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075322712092052782&source=h5_m,24819958,14280,61920,39204,2062635,7075322647248194347,7075322647248194347,72,7075322647248194347,original sound - brooklynandbobby,Brooklyn,6.778518423108568e+18,Brooklyn,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7075322697097546539.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b31a2fe44b3ddf6153296932019e0be6.json,False,False,,,,,[],0,0,Antigua and Barbuda,#fyp #iphone,0,0,0,1,0,0,0,0,0,0
1,US,7079130347123789099,1648238476,THE DOG WHAT 😂😂 #newphonewhodis @whatdoyoumeme,7070396108132353070,NewPhoneWhoDis,"New Phone, Who Dis ?
Brought to you by @whatdoyoumeme
Get it below👇",2,False,https://www.tiktok.com/@newphonewhodis/video/7079130347123789099?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079130347123789099&source=h5_m,1767200,452,551,1534,293757,7079130521921489707,7079130521921489707,72,7079130521921489707,original sound - newphonewhodis,NewPhoneWhoDis,7.070396108132353e+18,NewPhoneWhoDis,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079130532768009006.mp3,,False,False,,,,,[],0,0,Antigua and Barbuda,#newphonewhodis,0,0,0,0,0,0,0,0,0,0
2,GB,7099462703038729477,1652972473,"Cheers, Big Ears 🍻👂#bigears #bigearscheck #bigears👂🏻 #avoidthis #menshairstyles #bigearsdontcare #fyphelp #hairhelp #menshairtips",6931784189235971077,thefeelgoodbarber,"It’s NOT just about the LOOK ✨
It’s about how the LOOK makes you FEEL 👑🔥

⬇️⬇️",0,False,https://www.tiktok.com/@thefeelgoodbarber/video/7099462703038729477?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099462703038729477&source=h5_m,2293420,2464,4102,5090,135123,6817475980706187265,6817475980706187265,10036,6817475980706187265,Luxury fashion (no vocals),TimTaj,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/5109ac887f9e431890d0eddf50577e97,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/919a5e4bb815429c8a1eace00cf1250c,False,True,,,,,[],0,0,Antigua and Barbuda,#bigears #bigearscheck #bigears👂🏻 #avoidthis #menshairstyles #bigearsdontcare #fyphelp #hairhelp #menshairtips,0,0,0,0,0,0,0,0,0,0
3,CA,7102120672582847750,1653591329,Love is gone #tutorial #pianotutorial #fyp,6804136897129022469,Beeza,you found me :) Join the Fam Instagram ❤️,0,False,https://www.tiktok.com/@beezamuzic/video/7102120672582847750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102120672582847750&source=h5_m,2968660,855,1808,10420,151672,7016025352825129733,7016025352825129733,72,7016025352825129733,original sound - pianonokanjii,Piano no kanji,6.895759461304092e+18,Piano no kanji,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7016025493975599878.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7db0452c669e2896f1f74912193a9402.json,False,False,,,,,[],0,0,Antigua and Barbuda,#tutorial #pianotutorial #fyp,0,0,0,1,0,0,0,0,0,0
4,KR,7101576116732775682,1653464540,베이컨 돌돌 치즈 가득 소시지빵 Sausage Cheese Bread 🥓 #소시지빵 #치즈빵 #베이컨말이 #틱톡푸드 #sausagebread #cheesefull #crispybacon #tiktokfood #fyp #viral,6832583269389779969,greenteasoylattee,👇 사이다 홍차 만드는 방법 How to Make Sprite Iced Tea,0,False,https://www.tiktok.com/@greenteasoylattee/video/7101576116732775682?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101576116732775682&source=h5_m,6819018,1136,5229,11757,578173,7099054352203107099,7099054352203107099,24,7099054352203107099,original sound - sambenwick,Sam Benwick 🇵🇭,6.810956516171302e+18,Sam Benwick 🇵🇭,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7099054381424724762.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/495bb65226f8f72334636843bb4c59ba.json,False,False,,,,,[],0,0,Antigua and Barbuda,#소시지빵 #치즈빵 #베이컨말이 #틱톡푸드 #sausagebread #cheesefull #crispybacon #tiktokfood #fyp #viral,0,0,0,1,0,0,0,0,0,1
5,US,7075793523957583146,1647461561,Probably FAWK 😵‍💫🤣,6615290839927324678,Mikeila J.,"Mikeila@Sunandskyentertainment.com

Stream TESI💓 👇🏽👇🏽👇🏽",0,False,https://www.tiktok.com/@mikeilaj/video/7075793523957583146?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075793523957583146&source=h5_m,234481,125,85,87,23442,7072533799778650922,7072533799778650922,72,7072533799778650922,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",6.716248483681207e+18,random videos,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072533820301478699.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/abdc0939ce8a51643e3a2f6a09c1f54a.json,False,False,Young Adon,My Favourite Curse Word,original sound - clint_stafford90 (Contains music from: My Favourite Curse Word - Young Adon),"Contains music from: ""My Favourite Curse Word""",[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
6,US,7100720258499120430,1653265269,late to this dance buttt tf dc #fypage #fyp #foryourpage #foryoupagee #fypシ,6704803881669149702,𝘔𝘪𝘴𝘴 𝘌𝘭𝘺𝘴𝘪𝘢𝘯🐝🌿🧿,"hi, i love you

ALL SOCIALS THUGBABYIMANI

I POST DAILY ON IG @THUGBABYIMANI",0,False,https://www.tiktok.com/@thugbabyimani/video/7100720258499120430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100720258499120430&source=h5_m,200867,84,38,511,43973,7093570218584279850,7093570218584279850,72,7093570218584279850,original sound - cartierr.jay_ (Contains music from: so silly ! - Koto.),"Contains music from: ""so silly !""",6.77710368034631e+18,Jay🥷🏽📲,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093570287521844014.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b9cb0dd22a1d579e5cf92753b8d360b1.json,False,False,Koto.,so silly !,original sound - cartierr.jay_ (Contains music from: so silly ! - Koto.),"Contains music from: ""so silly !""",[],0,0,Antigua and Barbuda,#fypage #fyp #foryourpage #foryoupagee #fypシ,0,0,0,1,1,0,0,0,0,0
7,US,7078377053267135790,1648063086,THANK YOU EVERYONE WHO HAS BEEN USING MY SOUND 😂,6788613585909695494,Lord Hec,"@thefuturekingz
YT : 400,000 SUBS
NEW VIDEO BELOW 👇",0,False,https://www.tiktok.com/@lordhec/video/7078377053267135790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078377053267135790&source=h5_m,370549,153,63,902,47775,7066432686939884334,7066432686939884334,72,7066432686939884334,Bong Bing (Dance Routine) (Contains music from: Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi - Megaheart),"Contains music from: ""Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi""",6.788613585909695e+18,Lord Hec,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7066432672196922158.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2fdd33d45ef85efe84a1809ad784514f.json,False,False,Megaheart,Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi,Bong Bing (Dance Routine) (Contains music from: Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi - Megaheart),"Contains music from: ""Two Sides Of My Story Abo Mvelo E Tanzania Amapiano Bacardi""",[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
0,US,7075252492476452142,1647335598, ,7049927474214339590,♡,🅿️,0,False,https://m.tiktok.com/v/7075252492476452142.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075252492476452142&source=h5_m,5955689,13291,68714,77860,572674,7064101038353238830,7064101038353238830,72,7064101038353238830,losin control,🫀,7.063882740307265e+18,🫀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7064101093814438703.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2f84d931b094f99e7dfffe21110c4d68.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
1,GB,7082352286231432454,1648988642,Don’t cheat just be single 🤷🏻‍♂️,6894601830488474630,AnxietyGangOfficial,,0,False,https://m.tiktok.com/v/7082352286231432454.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082352286231432454&source=h5_m,12678504,6089,49390,54353,1578459,7082352245345504006,7082352245345504006,72,7082352245345504006,original sound - anxietygangofficial,AnxietyGangOfficial,6.894601830488475e+18,AnxietyGangOfficial,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082352261086710533.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1980dfa4bd0b88a819bcbb2ae3b73418.json,False,False,,,,,[],0,0,Antigua and Barbuda,,0,0,0,0,0,0,0,0,0,0
