,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_oscarsathome,hash_polytiktok,hash_viral
0,US,7072126685096709418,1646607808,#21stbirthday #casinolife #reposting #showsomelove❤️ 1st time for everything,6646570394768769030,Sr.Patrick,"🤍 I AM 21🤍
😆I make myself laugh😆
Join my live 
^^ follow for more 💜💜💜",0,False,https://www.tiktok.com/@baddie.24_7/video/7072126685096709418?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072126685096709418&source=h5_m,7093752,3543,11530,252,1021151,7056911307873748994,7056911307873748994,10033,7056911307873748994,All I Do Is Win,DJ Khaled,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/02ffddd61ca44a49a10f9995b1a0c6bf,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5b1c92eafa804a99a170ec54578c8cb6,False,True,,,,,[],0,0,American Samoa,#21stbirthday #casinolife #reposting #showsomelove❤️,0,0,0,0,0,0,0,0,0,0
1,US,7102619614525345070,1653707497,sunsets in nyc. #nyc 💙🔥 🌇,6627534712183373830,Anthony,"🎥Creative filmmaker
🦇Find me in Gotham
Biz; aa@kidantcollabs.com",0,False,https://www.tiktok.com/@kidantvlogs/video/7102619614525345070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102619614525345070&source=h5_m,1599564,1469,7301,18773,360736,7002032963013626630,7002032963013626630,72,7002032963013626630,original sound - music___lyrics1,Lyrics,6.859972140406605e+18,Lyrics,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7002032816619932421.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8d6156e4c38086aa8e012fe35e873925.json,False,False,,,,,[],0,0,American Samoa,#nyc,0,0,0,0,0,0,0,0,0,0
2,US,7092955122237541674,1651457307,our new era @itspierreboo,6676450083707962373,Nicky Champa,,0,False,https://www.tiktok.com/@nickychampa/video/7092955122237541674?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092955122237541674&source=h5_m,4796773,502,307,1460,325615,6950455829438991109,6950455829438991109,72,6950455829438991109,Beatbox Freestyle (Contains music from: Beat Box (feat. Young M.A) [Freestyle] - SpotemGottem),"Contains music from: ""Beat Box (feat. Young M.A) [Freestyle]""",6238186.0,The Badde$t,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6950455992144481030.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d9d87b567516c84ea5a6a1f4353ccad0.json,False,False,SpotemGottem,Beat Box (feat. Young M.A) [Freestyle],Beatbox Freestyle (Contains music from: Beat Box (feat. Young M.A) [Freestyle] - SpotemGottem),"Contains music from: ""Beat Box (feat. Young M.A) [Freestyle]""",[],0,0,American Samoa,,0,0,0,0,0,0,0,0,0,0
3,US,7099623573358185771,1653009928,"As promised, BTS of #doctorstrangeinthemultiverseofmadness #americachavez",6815650290126275589,Xóchitl Gómez,"AMERICA CHAVEZ in Doctor Strange 2
DAWN on Babysitters Club s1
🇺🇸🇲🇽",0,False,https://www.tiktok.com/@_xochitl.gomez/video/7099623573358185771?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099623573358185771&source=h5_m,22727945,10,15225,633,3697242,6715195989356988418,6715195989356988418,10033,6715195989356988418,Thunderstruck,AC/DC,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/02f0fa00874d4392b6837d99b2e0d754,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2aa37476c6a04337ae0d29c572cdefd8,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '575998661', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,#doctorstrangeinthemultiverseofmadness #americachavez,0,0,0,0,0,0,0,0,0,0
4,GB,7100197811492359430,1653143629,Reply to @goat_303 #mk11 #subzeromk11 #mk11subzero #subzeromortalkombat #cassiecage #mk11cassiecage #cassiecagemk11 #mortalkombat #mortalkombat11 #mortalcombat #xyzbca #fyp #viral #blowthisup,7047665024974586885,noobgaming,"Gamer & Content Creator 🎮
Collabs/PR - nbg.enq@gmail.com 📧
UK 🌏
Playlists 👇",0,False,https://www.tiktok.com/@noobgaming2022/video/7100197811492359430?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100197811492359430&source=h5_m,191172,64,32,84,9186,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,#mk11 #subzeromk11 #mk11subzero #subzeromortalkombat #cassiecage #mk11cassiecage #cassiecagemk11 #mortalkombat #mortalkombat11 #mortalcombat #xyzbca #fyp #viral #blowthisup,0,0,0,0,1,0,0,0,0,1
5,AS,7081150682320915758,1648708874,who can relate😂😂😂 #GameTok #OscarsAtHome #samoancomedy #Samoan #viral,6575254887885553670,𝐧𝐞𝐞𝐞𝐞𝐞𝐞𝐤𝐨𝐨𝐨𝐨𝐨,刀ﾉᄃの ｲひｱひの刀の,0,False,https://www.tiktok.com/@nicodawidow/video/7081150682320915758?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081150682320915758&source=h5_m,11297,28,12,2,844,7055349276368587522,7055349276368587522,10036,7055349276368587522,Siren,Filip Lackovic,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/5e91719f026a4832a742d70152188b70,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a58ba4c500224b5bbb3abdf6640ca26f,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1447287481', 'external_song_key': 'apple_song_id'}]",0,0,American Samoa,#GameTok #OscarsAtHome #samoancomedy #Samoan #viral,0,0,0,0,0,0,0,1,0,1
6,AS,7080995835487604014,1648672819,… that one time my tire popped 😭🤣 he didn’t leave his number 🥺 #fyp,6578344353601126406,Kristina Vaeao-Toilolo,Just trying to be more famous than my husband 🤌🏼😂,0,False,https://www.tiktok.com/@kigaaa1/video/7080995835487604014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080995835487604014&source=h5_m,238507,682,410,824,26504,7080995802973653803,7080995802973653803,72,7080995802973653803,original sound - kigaaa1,Kristina Vaeao-Toilolo,6.578344353601126e+18,Kristina Vaeao-Toilolo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7080995827983878954.mp3,,False,False,,,,,[],0,0,American Samoa,#fyp,0,0,0,0,1,0,0,0,0,0
7,US,7076232671571004715,1647563808,"In honor of St. Patrick’s day, the video that started it all….that TikTok deleted at 12millon ☘️ #stpatricksday #irish #macysownyourstyle #AerieREAL",6794197860374037510,Carolinabarr,I’m here to post videos of my dad,0,False,https://www.tiktok.com/@carolinabarr/video/7076232671571004715?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076232671571004715&source=h5_m,7760625,6184,31551,16191,1615659,7076232653329976107,7076232653329976107,72,7076232653329976107,original sound - carolinabarr,Carolinabarr,6.794197860374038e+18,Carolinabarr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076232669994142510.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/f6524cc14f9198b4083480aa5344bd7b.json,False,False,,,,,[],0,0,American Samoa,#stpatricksday #irish #macysownyourstyle #AerieREAL,0,0,0,0,0,0,0,0,0,0
0,AS,7090345583579319598,1650849726,No cappp🤣 #foryoupage #ComeDanceWithMe #goodvibes,7022118416972022789,CC :/,🐉.,0,False,https://www.tiktok.com/@koelau09/video/7090345583579319598?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090345583579319598&source=h5_m,1270,5,0,0,133,7082972918765865730,7082972918765865730,72,7082972918765865730,Choose meee,Boombaclat,6.90529039154181e+18,Boombaclat,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7082972914479336194.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/77c9d3c82a0aa7e85dd125d87711b3b1.json,False,False,,,,,[],0,0,American Samoa,#foryoupage #ComeDanceWithMe #goodvibes,0,0,1,0,0,0,0,0,0,0
1,AS,7091857682633690411,1651201790,wit my QweenMama🤪🤣e lelei fo'i le siva ale lomiti🤣#justforfun #samoatiktokers🇦🇸🇼🇸,7068742946757231659,FauAtah27,Suki mai le Happy🤙,0,False,https://www.tiktok.com/@fauatah27/video/7091857682633690411?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091857682633690411&source=h5_m,150063,400,292,5,11094,7076993116972469019,7076993116972469019,24,7076993116972469019,original sound - b4ngwildan (Contains music from: Dj Salting (Slow Mix Viral) - Rendy Da Silva),"Contains music from: ""Dj Salting (Slow Mix Viral)""",6.851891531051206e+18,Wildan Irawasan,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7076993106876353306.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f00ca26fbf905f95c2c4a26d5df5a44.json,False,False,Rendy Da Silva,Dj Salting (Slow Mix Viral),original sound - b4ngwildan (Contains music from: Dj Salting (Slow Mix Viral) - Rendy Da Silva),"Contains music from: ""Dj Salting (Slow Mix Viral)""",[],0,0,American Samoa,#justforfun #samoatiktokers🇦🇸🇼🇸,0,0,0,0,0,0,0,0,0,0
