,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_johnnydepp,hash_pourtoi,hash_viral,hash_xyzbca
0,US,7086470787300887850,1649947556,#answer to @Alyssa behind the scenes,7053516005810570286,Danny Boy,THANK U FOR 300K 🥺,0,False,https://m.tiktok.com/v/7086470787300887850.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086470787300887850&source=h5_m,52070870,9050,6828,8632,7149118,7076104311893265157,7076104311893265157,72,7076104311893265157,What your favourite curse word remix (Contains music from: Curse Word - Slowed Paradise),"Contains music from: ""Curse Word""",6.619772988588163e+18,Duke & Jones,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076104316486044421.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fe2d6e0524c30f5e77a50513d9dc2a35.json,False,False,Slowed Paradise,Curse Word,What your favourite curse word remix (Contains music from: Curse Word - Slowed Paradise),"Contains music from: ""Curse Word""",[],0,0,Belgium,#answer,0,0,0,0,0,0,0,0,0,0
1,US,7092817946116115758,1651425368, ,6802034531514024965,Drea,Follow me on Instagram @drea 😁,0,False,https://m.tiktok.com/v/7092817946116115758.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092817946116115758&source=h5_m,17270354,6848,67438,39068,1008416,6865736631723232006,6865736631723232006,72,6865736631723232006,original sound - roro_2smoove,roro_2smoove,6.776431989937505e+18,roro_2smoove,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6865736562580261637.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2c67a4da248d56d960afe463ab4e7a19.json,False,False,,,,,[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
2,CO,7100272760395500806,1653161079, ,7012110537594291205,Ellen,"Ig: ellenpalacios_

Second account: @ellenp2022",0,False,https://m.tiktok.com/v/7100272760395500806.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100272760395500806&source=h5_m,2739761,1470,1861,61,230029,7072756285149563649,7072756285149563649,24,7072756285149563649,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",6.976755863927686e+18,aypiks,False,True,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7072756285778692866.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd8ee86f0ce6e10e634ac00f80c9e7de.json,False,False,Lil.Man,6 Legendary Spoons,original sound - willson_samp (Contains music from: 6 Legendary Spoons - Lil.Man),"Contains music from: ""6 Legendary Spoons""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
3,US,7103240651201989930,1653852094,“Why does everyone think we f….?” @MJ  #fyp #for #foryou #foryoupage  #longneck,6698239782269273093,Daddy Long Neck,CLICK THE LINK IF YOU WANT A PERSONAL SHOUT OUT FROM ME🙌🏼,0,False,https://m.tiktok.com/v/7103240651201989930.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103240651201989930&source=h5_m,1113123,920,785,958,66840,7072935706494077739,7072935706494077739,72,7072935706494077739,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",6210229.0,Mahj,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7072935724592466731.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/cd89bfd67ac86d1ebaf86c7d4c74511d.json,False,False,Wolfpinkie,WhenTheBeatdrop,Cause we did (Contains music from: WhenTheBeatdrop - Wolfpinkie),"Contains music from: ""WhenTheBeatdrop""",[],0,0,Belgium,#fyp #for #foryou #foryoupage #longneck,1,1,0,0,1,0,0,0,0,0
4,AU,7097358744522214658,1652482608,#fyp #milskieditz,7011710482836194305,❄️MilskiEditz❄️,"previous username [reslistedits]
2nd acc: milski.2 >>>",0,False,https://m.tiktok.com/v/7097358744522214658.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097358744522214658&source=h5_m,38372585,33419,84551,174824,5764914,7097358739442879234,7097358739442879234,72,7097358739442879234,original sound - milskieditz,❄️MilskiEditz❄️,7.011710482836194e+18,❄️MilskiEditz❄️,False,True,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097358602381396737.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1da66830e5cb75093d19ee39b10c863.json,False,False,,,,,[],0,0,Belgium,#fyp #milskieditz,0,0,0,0,1,0,0,0,0,0
5,BE,7087846589468904705,1650267886,💔 #TheBabyBachelorette #KIMMEL #lcyme,6577279222191685634,𝙇𝘾𝙔シ,"“Sadness flies away on the wings of time.”
𝑳𝑪𝒀 👼",0,False,https://m.tiktok.com/v/7087846589468904705.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087846589468904705&source=h5_m,29671056,20406,92539,312222,3584783,7087846585581079298,7087846585581079298,24,7087846585581079298,original sound - lcy.me (Contains music from: Move On - Ravneet Singh),"Contains music from: ""Move On""",6.577279222191686e+18,𝙇𝘾𝙔シ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7087846576093154050.mp3,https://sf77-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1dd8780e9e1c4ec6ab4156f75714d5bb.json,False,False,Ravneet Singh,Move On,original sound - lcy.me (Contains music from: Move On - Ravneet Singh),"Contains music from: ""Move On""",[],0,0,Belgium,#TheBabyBachelorette #KIMMEL #lcyme,0,0,0,0,0,0,0,0,0,0
6,BE,7089485233476668678,1650649412,Pre-game meal 🍝 #PastaKDB,6904915242397041665,Kevin De Bruyne,Football player for Man City and Belgian Red Devils,0,False,https://m.tiktok.com/v/7089485233476668678.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089485233476668678&source=h5_m,35944487,45761,75429,49843,4039178,6808362173224454146,6808362173224454146,10033,6808362173224454146,Tarantella siciliana,Mario leonardi,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/764d7bc8c60040d4a659ca7e734c4ce2,https://sf77-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/3b86856011694321b0e2c6c8b4e9dda1,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '507454592', 'external_song_key': 'apple_song_id'}]",0,0,Belgium,#PastaKDB,0,0,0,0,0,0,0,0,0,0
7,US,7103259774019587371,1653856546,Sorry @maverickmcneilly 😅,6654959668609581061,Jasmine Chiswell,"❤️This is my only account ❤️
Instagram: @ jasminechiswell
New YT:jasminechiswell",0,False,https://m.tiktok.com/v/7103259774019587371.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103259774019587371&source=h5_m,2514801,372,178,231,347858,7095478012946254597,7095478012946254597,72,7095478012946254597,original sound - x2_mgx (Contains music from: One Kiss (Jauz Remix) - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss (Jauz Remix)""",6.811977785365431e+18,👨🏽‍🏫,False,True,https://sf77-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095478020592470790.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4f6d9d54c5df6c8077435582490b850a.json,False,False,Calvin Harris & Dua Lipa,One Kiss (Jauz Remix),original sound - x2_mgx (Contains music from: One Kiss (Jauz Remix) - Calvin Harris & Dua Lipa),"Contains music from: ""One Kiss (Jauz Remix)""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
0,GB,7101225150925851910,1653382827,🤣💙,6954335211640570886,Jack Grealish,"Manchester City and England
Nike Athlete 
Info@jackgrealishofficial.com",0,False,https://m.tiktok.com/v/7101225150925851910.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101225150925851910&source=h5_m,11946335,12221,13946,18201,1669759,7086404597124434689,7086404597124434689,72,7086404597124434689,original sound - stunteditz (Contains music from: Legacy - Caribbean Snake),"Contains music from: ""Legacy""",6.962736552187856e+18,𝓢𝓽𝓾𝓷𝓽 𝓛𝔂𝓻𝓲𝓬𝓼 🕊,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7086404596565838594.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/48f603ab9227d8b681e98403a8ad1366.json,False,False,Caribbean Snake,Legacy,original sound - stunteditz (Contains music from: Legacy - Caribbean Snake),"Contains music from: ""Legacy""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
1,US,7101435721361165573,1653431853,this is why I was gone for so long,6728004630200484870,Katiana,"hi 🦋 :3
I’m an artist 🎙
₍˄·͈༝·͈˄₎◞ ̑̑ෆ⃛ love you 💕",0,False,https://m.tiktok.com/v/7101435721361165573.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101435721361165573&source=h5_m,5867154,8986,4019,5419,605513,7088173970469423899,7088173970469423899,24,7088173970469423899,kdm gg (Contains music from: Double Tech - Leiner),"Contains music from: ""Double Tech""",6.969149175583065e+18,Poum Pouy✨,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7088173975834037019.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2e9b2fbf928a38b2f4d8a8f65d7d5b90.json,False,False,Leiner,Double Tech,kdm gg (Contains music from: Double Tech - Leiner),"Contains music from: ""Double Tech""",[],0,0,Belgium,,0,0,0,0,0,0,0,0,0,0
