,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bulgaria,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_viral,hash_българия,hash_ергенът
0,BG,7084321866688548101,1649447221,Последвайте ме в Инстаграм Djuliana_gani #djulianagani  #foryou #age  #trending,7077660851994461190,Djuliana Gani,"Fashion Model💃
2xVip Brother Final 📸
Fitness Mom
Healthy Lifestyle",0,False,https://www.tiktok.com/@djuliana_gani_/video/7084321866688548101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084321866688548101&source=h5_m,613618,236,35,0,13470,7070167676089305861,7070167676089305861,72,7070167676089305861,original sound - victoriakapitonova,ПОЛЕЗЕН БЛОГЪР ✌️🥰,6.780065835191092e+18,ПОЛЕЗЕН БЛОГЪР ✌️🥰,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7070167696788572933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/26230db612add060c838c9ed385cda1a.json,False,False,,,,,[],0,0,Bulgaria,#djulianagani #foryou #age #trending,0,1,0,0,0,0,0,0,0,0
1,BG,7100092882471750918,1653119201,Reply to @.xxmultixz #foryoupage #foryoupage #foryoupage #viral #viral #viral #foryou #foryou #foryou #fypシ #fypシ #fypシ #bezheit #bezheit #bezheit,7055619048340177926,Addison Rae,"𝖽𝖺𝗂𝗅𝗒 #𝗺𝘂𝗹𝘁𝘂 𝖿𝖾𝖾𝖽
✎ᝰ you’re beautiful
❏ ::Love u
🌿STAY POSITIVE🌿",0,False,https://www.tiktok.com/@.xxmultixz/video/7100092882471750918?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100092882471750918&source=h5_m,22072,36,42,0,483,7100092848502164230,7100092848502164230,72,7100092848502164230,original sound - .xxmultixz (Contains music from: Funny Song - Cavendish Music),"Contains music from: ""Funny Song""",7.055619048340178e+18,Addison Rae,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100092848908864261.mp3,,False,False,Cavendish Music,Funny Song,original sound - .xxmultixz (Contains music from: Funny Song - Cavendish Music),"Contains music from: ""Funny Song""",[],0,0,Bulgaria,#foryoupage #foryoupage #foryoupage #viral #viral #viral #foryou #foryou #foryou #fypシ #fypシ #fypシ #bezheit #bezheit #bezheit,0,3,3,0,0,0,3,3,0,0
2,AE,7099718320974236930,1653031988,OMG 🤯 @carlrunefelt,6587964855256383494,ANAR DREAMS 💎,FOLLOW YOUR DREAMS ❤️,0,False,https://www.tiktok.com/@anardreams/video/7099718320974236930?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099718320974236930&source=h5_m,9384054,3004,551,3389,478560,6745161928949106690,6745161928949106690,10033,6745161928949106690,Roses (Imanbek Remix),SAINt JHN,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dddb5efb3d194c858e50f8a8af3bb9ca,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/67fc02149d6b450d8b0576e29a1bc88c,True,True,,,,,[],0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
3,GB,7101716571088784646,1653497242,Пак изглежда като дузпа на Кристи 🤣♥️@joannaociepka #leotv_69 #джолео,7027154314704405510,leoanddjoofficial5,Забава 💯,0,False,https://www.tiktok.com/@leoanddjoofficial5/video/7101716571088784646?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101716571088784646&source=h5_m,279574,61,24,47,16404,7101716571336231685,7101716571336231685,72,7101716571336231685,original sound - leoanddjoofficial5,leoanddjoofficial5,7.027154314704406e+18,leoanddjoofficial5,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101716576352701189.mp3,,False,False,,,,,[],0,0,Bulgaria,#leotv_69 #джолео,0,0,0,0,0,0,0,0,0,0
4,GB,7090145578088205574,1650803160,Винаги #тиктокбългария #България #bulgaria🇧🇬 #tiktokbulgari #tiktokbulgaria @milenkolev1,183302569597984768,MILEN KOLEV,"Follow my Instagram ➡️ milen_kolevv
За бизнес📧: milenkolevv@yahoo.com
YouTube⤵️",0,False,https://www.tiktok.com/@milenkolev1/video/7090145578088205574?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090145578088205574&source=h5_m,220785,288,283,293,19902,7090145567258594054,7090145567258594054,72,7090145567258594054,original sound - milenkolev1,MILEN KOLEV,1.8330256959798477e+17,MILEN KOLEV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090145580130798341.mp3,,False,False,,,,,[],0,0,Bulgaria,#тиктокбългария #България #bulgaria🇧🇬 #tiktokbulgari #tiktokbulgaria,1,0,0,0,0,0,0,0,1,0
5,BG,7072367127419735302,1646663792,😂 #fypシ #fyp,151797654195212288,Анелия Големанова,instagram: aniigolemanowa,0,False,https://www.tiktok.com/@aniigolemanowa/video/7072367127419735302?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072367127419735302&source=h5_m,528969,261,504,840,32724,6957145338469731074,6957145338469731074,24,6957145338469731074,original sound - jeandee_,je,6.894965494530442e+18,je,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6957145264612215553.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1c6315a3642d9e3b7eb4652f61d676b1.json,False,False,,,,,[],0,0,Bulgaria,#fypシ #fyp,0,0,0,0,0,1,1,0,0,0
6,BG,7082421371879574790,1649004728,THE CHEESE TUCH 🧀 #foryoupage #foryou #fyp #fy,176764200042692608,Crazy boy🇧🇬,"TEAM 69💪🏼
📩 tiktokarcheto@abv.bg
⬇️ AboveTheRest промо код: MITIO1 ⬇️",0,False,https://www.tiktok.com/@dimitarhristov69/video/7082421371879574790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082421371879574790&source=h5_m,170650,110,37,61,17855,7050975577356143406,7050975577356143406,72,7050975577356143406,original sound - lilzboy7,Tik Toker,7.002469011608028e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7050975603960990510.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/138d816a9eda6cbde66035f3d328379b.json,False,False,,,,,[],0,0,Bulgaria,#foryoupage #foryou #fyp #fy,0,1,1,0,1,1,0,0,0,0
7,US,7102127558220664070,1653592933,FOLLOW ME FOR PART 2 #foryoupagе #foryou #viral 🍓🍓🍓🍓,6847512906746774533,✨Kati✨,No bio yet….,0,False,https://www.tiktok.com/@kitty__k__/video/7102127558220664070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102127558220664070&source=h5_m,125671,44,2,11,8717,6729959230851254274,6729959230851254274,10033,6729959230851254274,Che La Luna,Louis Prima,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1de1f9fae2d74986b60bc778451b18c5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f2fd034403fe4bb09327e4657188b3fa,False,True,,,,,[],0,0,Bulgaria,#foryoupagе #foryou #viral,0,1,0,0,0,0,0,1,0,0
0,US,7100802437396860206,1653284404,OMG 🙈,7098516728795595819,user6833456179284,"millionaire by 25 💰
Now sharing all things money 👇",0,False,https://www.tiktok.com/@anartdrecams/video/7100802437396860206?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100802437396860206&source=h5_m,4016375,1171,683,2997,80065,6863214295757490950,6863214295757490950,10036,6863214295757490950,"The Banjo Beat, Pt. 1",Ricky Desktop,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/188c0c911ca645d09af50088b414fda9,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/dcc01a5fc4434987b0a77394c5000842,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1528785794', 'external_song_key': 'apple_song_id'}]",0,0,Bulgaria,,0,0,0,0,0,0,0,0,0,0
1,US,7102516579216166146,1653683508,im just tryna lifegaurd at target #fyp #fakebody,6724715071983354886,Natalie Reynolds,"Link in ig bio 💗🌶
18",0,False,https://www.tiktok.com/@nataliereynoldsx/video/7102516579216166146?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102516579216166146&source=h5_m,1075552,460,354,28,72879,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Bulgaria,#fyp #fakebody,0,0,0,0,0,1,0,0,0,0
