,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_bolivia,hash_comedia,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_tiktok,hash_viral
0,MX,7099167879198772526,1652903827,@jimmyfallon made me jiggle jiggle for TikTok #FallonTonight @fallontonight,168541398546182144,Shakira,Official account / perfil oficial,0,False,https://www.tiktok.com/@shakira/video/7099167879198772526?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099167879198772526&source=h5_m,44580973,18505,36936,7859,5213156,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,"Bolivia, Plurinational State of",#FallonTonight,0,0,0,0,0,0,0,0,0,0
1,AR,7076208494877216006,1647558180,"Quedan pocas asi, muchachos 😍",6595983163515846661,Natan Bianco,"Cuenta Oficial de Natan Bianco
Instagram:@natan.biancoo
🇦🇷",0,False,https://www.tiktok.com/@natanbianco/video/7076208494877216006?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076208494877216006&source=h5_m,33710334,27074,35752,97225,5260900,7076208493304417029,7076208493304417029,72,7076208493304417029,original sound - natanbianco,Natan Bianco,6.595983163515847e+18,Natan Bianco,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076208495380433669.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c5a96dd2694119b42dd4275c31c91fd8.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
2,KR,7094540470184922370,1651826426,#틱톡뷰티 #애니메이션 #케어 #asmr #soonent #care,6850011529531802626,Smile Bam,"Make up & care animation
contact : soonent@soon-ent.co.kr
스마일밤 YouTube 바로가기!!👇",0,False,https://www.tiktok.com/@smile_bam/video/7094540470184922370?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094540470184922370&source=h5_m,172429117,40228,59200,14262,6259885,7094540484311649026,7094540484311649026,24,7094540484311649026,original sound - smile_bam,Smile Bam,6.850011529531803e+18,Smile Bam,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094540473280252674.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3ca9d1d8559b8b10ffa9840f46f4864a.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#틱톡뷰티 #애니메이션 #케어 #asmr #soonent #care,0,0,0,0,0,0,0,0,0,0
3,CH,7103258296387243269,1653856203,Accesorios #foryou💘💞 #tik_tok,7021801711183397894,Invento030426,"EL QUE PERSEVERA TRIUNFA,CREADORA DE CONTENIDO,LA MISMÍSIMA MEZCLA 🇩🇴🧿🇨🇺🙏",0,False,https://www.tiktok.com/@inventos030426/video/7103258296387243269?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103258296387243269&source=h5_m,264510,66,355,50,5738,7103258293916666629,7103258293916666629,72,7103258293916666629,original sound - inventos030426,Invento030426,7.021801711183398e+18,Invento030426,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103258282269559558.mp3,,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",#foryou💘💞 #tik_tok,0,0,1,0,0,0,0,0,0,0
4,BO,7073440499910069510,1646913706,💔😭,98899992324591616,Ale Pinedo,Sígueme en mi página de Facebook fb.com/alepinedotv 🇧🇴😁,0,False,https://www.tiktok.com/@alepinedotv/video/7073440499910069510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073440499910069510&source=h5_m,15059891,23458,66027,137094,1137035,7073440461607684870,7073440461607684870,72,7073440461607684870,original sound - alepinedotv,Ale Pinedo,9.889999232459162e+16,Ale Pinedo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073440439658941190.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5be287bebd7e53bf1bb48a579eda2381.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
5,BO,7095904302455180550,1652143970,🦋,292561297353654272,✨ GRECIA 🍒,💋 sigueme en instagram 🔝😏🔥,0,False,https://www.tiktok.com/@chifladita_98/video/7095904302455180550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095904302455180550&source=h5_m,369667,121,244,37,31132,7045067241028750085,7045067241028750085,72,7045067241028750085,MUSIC SHOW DIFERENTE DAS DIFERENTES (Contains music from: Diferente das Diferentes - NATTAN & Japãozin),"Contains music from: ""Diferente das Diferentes""",6.809034610074174e+18,Music Show,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7045067262096902917.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd648f9119b1c917c3043309abe53c75.json,False,False,NATTAN & Japãozin,Diferente das Diferentes,MUSIC SHOW DIFERENTE DAS DIFERENTES (Contains music from: Diferente das Diferentes - NATTAN & Japãozin),"Contains music from: ""Diferente das Diferentes""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
6,CL,7102860777979186437,1653763648,THOR OH MY GOSH 🙈,7059946017311114245,Roberto Garcia6645,Videos De Spiderman,0,False,https://www.tiktok.com/@alejandroeditorhd/video/7102860777979186437?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102860777979186437&source=h5_m,6614283,1769,5911,19967,741541,7102860765228468997,7102860765228468997,72,7102860765228468997,original sound - alejandroeditorhd (Contains music from: OMG (feat. will.i.am) - Usher),"Contains music from: ""OMG (feat. will.i.am)""",7.059946017311114e+18,Roberto Garcia6645,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102860757485898502.mp3,,False,False,Usher,OMG (feat. will.i.am),original sound - alejandroeditorhd (Contains music from: OMG (feat. will.i.am) - Usher),"Contains music from: ""OMG (feat. will.i.am)""",[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
7,US,7102496948397133102,1653678937,"Catch me on a new episode of #iCarly, now streaming on @ParamountPlus! #mirandacosgrove @Laci Mosley",7813727,Hannah Stocking,FOLLOW MY IG: @hannahstocking 🧚,0,False,https://www.tiktok.com/@hannahstocking/video/7102496948397133102?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102496948397133102&source=h5_m,4085877,1093,899,858,360701,7032927546660440838,7032927546660440838,10036,7032927546660440838,Da Ya Think I'm Sexy?,Rod Stewart,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/27a560b7b06d4698b28025444677cd17,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/84056442a5854a16a99a24341479f9b1,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '295535860', 'external_song_key': 'apple_song_id'}]",0,0,"Bolivia, Plurinational State of","#iCarly, #mirandacosgrove",0,0,0,0,0,0,0,0,0,0
0,CO,7102085378235960582,1653583112,Mami no me regañes 😣🙏🏻,6818271099635680261,HaryR,"instagram: @ruedahary 
sigueme para ver mas de mi contenido😘",0,False,https://m.tiktok.com/v/7102085378235960582.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102085378235960582&source=h5_m,14023787,11173,38876,946,2185677,7083178067576752130,7083178067576752130,10033,7083178067576752130,Parra Sin Doncon,El Alfa,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/3ddaaffcd0014f2eada6ea5d6b2e289b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/19da2529dfad4d259867be56846f0a21,False,True,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
1,AU,7081052142731021570,1648685931, ,6677334642444223493,Niicholas,"🎶🎵Daily HD songs🎵 🎶
Movies n Vibes
CONTENT CREATOR",0,False,https://m.tiktok.com/v/7081052142731021570.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081052142731021570&source=h5_m,26701218,4126,2620,12057,1758721,7081052121029790466,7081052121029790466,24,7081052121029790466,original sound - niicholasss,Niicholas,6.677334642444223e+18,Niicholas,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7081051973587438338.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ee0f050513baa5ad275174009e3386b1.json,False,False,,,,,[],0,0,"Bolivia, Plurinational State of",,0,0,0,0,0,0,0,0,0,0
