,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_cotedivoire,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_tiktok,hash_trending,hash_viral
0,AO,7100626082377796869,1653243343,#tiktok #angola #portugal,129769128629952512,Dadiva Silva,Uma chance 🤎,0,False,https://www.tiktok.com/@dadivasilva/video/7100626082377796869?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100626082377796869&source=h5_m,1028659,1510,436,1586,159171,7084648620410227461,7084648620410227461,72,7084648620410227461,C dosé sped up,A💛,6.786231898425738e+18,A💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096628347282721541.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/00eab4b51b8f133a0be4aee31be87efb.json,False,False,[],0,0,,,,,Côte d'Ivoire,#tiktok #angola #portugal,0,0,0,0,0,0,0,1,0,0
1,CI,7103131075718778117,1653826583,J’ai fini de parler owww 😂😂😂ok,6836374022914638854,Gaelle Taglao,Ma chaîne YouTube 👇,0,False,https://www.tiktok.com/@gaelletaglao/video/7103131075718778117?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103131075718778117&source=h5_m,497469,589,523,2023,30855,7103131062419245830,7103131062419245830,72,7103131062419245830,original sound - gaelletaglao,Gaelle Taglao,6.836374022914639e+18,Gaelle Taglao,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103131062234057477.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
2,FR,7095858992248818950,1652133419,@meitemikan @misschocolatvanille @dydyfashion @marlaine24 @tatianalabelle8 #titilaprunellededieu,6813066943681577989,Titilaprunellededieu,"Un produit 💯% IVOIRIEN
Instagram patylarenoise 👈",0,False,https://www.tiktok.com/@titilaprunellededieu/video/7095858992248818950?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095858992248818950&source=h5_m,666155,405,1111,266,29640,7095858970400787206,7095858970400787206,72,7095858970400787206,original sound - titilaprunellededieu,Titilaprunellededieu,6.813066943681578e+18,Titilaprunellededieu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095858960317680389.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a6b73d742f4ede26c800b7e289313b61.json,False,False,[],0,0,,,,,Côte d'Ivoire,#titilaprunellededieu,0,0,0,0,0,0,0,0,0,0
3,CI,7090917206342601990,1650982820,Mon gar sûre 🥰🥰,7062677993231614982,Cyrilleotokoray,,0,False,https://www.tiktok.com/@cyrilleotokoray/video/7090917206342601990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090917206342601990&source=h5_m,1681430,1497,1520,6987,120232,7090917178895076102,7090917178895076102,72,7090917178895076102,original sound - cyrilleotokoray,Cyrilleotokoray,7.062677993231615e+18,Cyrilleotokoray,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090917185647889158.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
4,CI,7096264575691017477,1652227851,"Proverbe dès 😂😂😂, en tout cas nous on va bien mangé 🤤 #humour #cotedivoire🇨🇮225 #humourciv😂🇨🇮",6728078558532781062,I_am_DS,,0,False,https://www.tiktok.com/@ds_lou/video/7096264575691017477?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096264575691017477&source=h5_m,934071,622,4036,36008,54898,7096264548419685126,7096264548419685126,72,7096264548419685126,original sound - ds_lou,I_am_DS,6.728078558532781e+18,I_am_DS,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096264538743458565.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0c9654aaf85cb44657e366306ddc7d2e.json,False,False,[],0,0,,,,,Côte d'Ivoire,#humour #cotedivoire🇨🇮225 #humourciv😂🇨🇮,1,0,0,0,0,1,0,0,0,0
5,CI,7074509624010886405,1647162631, ,7018135842284815366,Dame skinny 🥺💋,Ces Dieu le plus fort 💪😪,0,False,https://www.tiktok.com/@dameskinny3/video/7074509624010886405?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074509624010886405&source=h5_m,526943,534,201,2447,24654,6996279960243555077,6996279960243555077,72,6996279960243555077,original sound - princesorcelle2,user1735463581638,6.935799788165531e+18,user1735463581638,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6996280076228676358.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/358451ba3b58ffdfc99aad31941794b7.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
6,CM,7101044605277261061,1653340788,La joie de vivre 😊,7046146902794142726,Rodo-One junior,,0,False,https://www.tiktok.com/@rodriguenanmadji/video/7101044605277261061?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101044605277261061&source=h5_m,161441,37,349,4783,7898,7101044584343440134,7101044584343440134,72,7101044584343440134,original sound - rodriguenanmadji,Rodo-One junior,7.046146902794143e+18,Rodo-One junior,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101044603595410181.mp3,,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
7,CI,7080174240682593541,1648481527, ,7016466554804536325,Milano civ,,0,False,https://www.tiktok.com/@milanociv1/video/7080174240682593541?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080174240682593541&source=h5_m,14620067,30729,32910,23856,665983,7079621665847577349,7079621665847577349,72,7079621665847577349,original sound - ulrichlionel00,Ulrich Lionel,6.975296076103058e+18,Ulrich Lionel,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7079619472843213574.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dbb8ea3718385ddec96713556186ec0f.json,False,False,[],0,0,,,,,Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
0,DE,7101365438914809094,1653415488,la la la laaa,6746572655757837317,isaacmik,"📍Berlin
📧 info@isaacmik.com",0,False,https://www.tiktok.com/@isaacmik/video/7101365438914809094?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101365438914809094&source=h5_m,1061399,440,431,53,111764,7091008875368844038,7091008875368844038,72,7091008875368844038,original sound - risma.951 (Contains music from: Tout doux - LZ),"Contains music from: ""Tout doux""",6.988617645990888e+18,R I S M A,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091008894478437125.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0b1875ac30cf012ea2347974bde4d5d7.json,False,False,[],0,0,LZ,Tout doux,original sound - risma.951 (Contains music from: Tout doux - LZ),"Contains music from: ""Tout doux""",Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
1,NG,7092096855701572870,1651257477,When you watch scary movies 😩😂            (Who can relate),6703590224659104773,Ayo of Africa,"Stories can make people smile 😅
I got deferent content on Instagram",0,False,https://www.tiktok.com/@ayofrica/video/7092096855701572870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092096855701572870&source=h5_m,1794589,2074,1238,18800,192195,7092096840987921157,7092096840987921157,72,7092096840987921157,original sound - ayofrica (Contains music from: Take It Slow - Wst'd Signal),"Contains music from: ""Take It Slow""",6.703590224659105e+18,Ayo of Africa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092096838148442885.mp3,,False,False,[],0,0,Wst'd Signal,Take It Slow,original sound - ayofrica (Contains music from: Take It Slow - Wst'd Signal),"Contains music from: ""Take It Slow""",Côte d'Ivoire,,0,0,0,0,0,0,0,0,0,0
