,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_cameroontiktok,hash_duet,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_voiceeffects
0,CM,7102167861418020101,1653602317,#nigeriantiktok #viralvideo #trending,6934755490664678405,user5577838391963,"Content creator , cruise , gossip sports 
Present goal 100k🇨🇲🇳🇬",0,False,https://www.tiktok.com/@mrbaldykayafa/video/7102167861418020101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102167861418020101&source=h5_m,3749375,2122,3304,29002,179768,7102167856095890181,7102167856095890181,72,7102167856095890181,original sound - mrbaldykayafa,user5577838391963,6.934755490664678e+18,user5577838391963,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102167837304720134.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6fea4ad027b6f6ed8361697b2cba6b5c.json,False,False,,,,,[],0,0,Cameroon,#nigeriantiktok #viralvideo #trending,0,0,0,0,0,0,0,1,0,0
1,CM,7088415968405310725,1650400454,#voiceeffects,6825635439157969926,Showtimeeho,be happy with yourself 😉,0,False,https://www.tiktok.com/@showtimeeho/video/7088415968405310725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088415968405310725&source=h5_m,253077,496,670,3438,12318,7088415954966711046,7088415954966711046,72,7088415954966711046,original sound - showtimeeho,Showtimeeho,6.82563543915797e+18,Showtimeeho,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088415954698357510.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e43f2bd391af847294c4c62179c69d8d.json,False,False,,,,,[],0,0,Cameroon,#voiceeffects,0,0,0,0,0,0,0,0,0,1
2,GH,7102812176796208390,1653752332,"He works in ways we cannot see yet, He’s making a way for us Halleluyah 🔥🔥 Thanks Guys for 10K followers 🥰🥰🥰 God Bless you all #selflove #loveyou #SelfCare #soccer",7048976730808353797,Gospel_Showbiz,I post soul (healing & refreshing) Latest and Popular Gospel songs. Pls Join ✝️,0,False,https://www.tiktok.com/@gospel_showbiz/video/7102812176796208390?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102812176796208390&source=h5_m,134017,160,5774,11290,4494,7102812170144172806,7102812170144172806,72,7102812170144172806,"original sound - gospel_showbiz (Contains music from: Top 100 Beautiful Worship Songs 2020 - 2 Hours Nonstop Christian Gospel Songs 2020 -I Need You, Lord - Worship Songs Of Don Moen)","Contains music from: ""Top 100 Beautiful Worship Songs 2020 - 2 Hours Nonstop Christian Gospel Songs 2020 -I Need You, Lord""",7.048976730808354e+18,Gospel_Showbiz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102812177928588037.mp3,,False,False,Worship Songs Of Don Moen,"Top 100 Beautiful Worship Songs 2020 - 2 Hours Nonstop Christian Gospel Songs 2020 -I Need You, Lord","original sound - gospel_showbiz (Contains music from: Top 100 Beautiful Worship Songs 2020 - 2 Hours Nonstop Christian Gospel Songs 2020 -I Need You, Lord - Worship Songs Of Don Moen)","Contains music from: ""Top 100 Beautiful Worship Songs 2020 - 2 Hours Nonstop Christian Gospel Songs 2020 -I Need You, Lord""",[],0,0,Cameroon,#selflove #loveyou #SelfCare #soccer,0,0,0,0,0,0,0,0,0,0
3,US,7082872723294129454,1649109815,Core memory? #greenscreenvideo #prom #promlook #promdress #promreaction #reaction #fyp @Kj W,6174541,Cookieeee💗🤸🏾‍♀️🧍🏽‍♀️,"😶‍🌫️
1 trillion?
🦋Spelman College🦋",0,False,https://www.tiktok.com/@auntiec00kie/video/7082872723294129454?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082872723294129454&source=h5_m,5104716,1709,3273,14641,714818,6957689058701183750,6957689058701183750,72,6957689058701183750,original sound - aesthetic.wallpaper92,FYP🖤🇲🇺,6.897884447039866e+18,FYP🖤🇲🇺,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6957689188518988549.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/edddf7cf5b95330fc6916086803aa983.json,False,False,,,,,[],0,0,Cameroon,#greenscreenvideo #prom #promlook #promdress #promreaction #reaction #fyp,0,0,0,0,1,0,0,0,0,0
4,US,7090585421280841002,1650905569,How much weight do you think this is? @gymshark 🦈,6801533648229483525,Francis Zavier Ngannou,"Dream chaser 🇨🇲🇨🇵
UFC Heavyweight Champion of the world 🌍",0,False,https://www.tiktok.com/@francis_ngannou/video/7090585421280841002?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090585421280841002&source=h5_m,1430548,1625,1896,5161,98180,7079496674678213381,7079496674678213381,10036,7079496674678213381,BOMBÓN,Daddy Yankee & El Alfa & Lil Jon,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a14555c53ea24acfbfe883fba4434a93,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e1f657b8483941b3b8cdf0e1b0234711,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1616751301', 'external_song_key': 'apple_song_id'}]",0,0,Cameroon,,0,0,0,0,0,0,0,0,0,0
5,US,7085137292699962666,1649637077,Always gotta keep ‘em guessing…. #fypシ,6807605867299603461,chrisbrownofficial,,0,False,https://www.tiktok.com/@chrisbrownofficial/video/7085137292699962666?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085137292699962666&source=h5_m,17023288,14176,13052,34854,1883762,6834322610956897030,6834322610956897030,72,6834322610956897030,original sound - w.harris28 (Contains music from: Pimpin Ain't Eazy - Kodak Black),"Contains music from: ""Pimpin Ain't Eazy""",6.721929917254911e+18,Warren🖤,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6834322530006829830.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0712b701731ff70273156192cb0b9d16.json,False,False,Kodak Black,Pimpin Ain't Eazy,original sound - w.harris28 (Contains music from: Pimpin Ain't Eazy - Kodak Black),"Contains music from: ""Pimpin Ain't Eazy""",[],0,0,Cameroon,#fypシ,0,0,0,0,0,1,0,0,0,0
6,DO,7101011120823045382,1653332992, ,6902925663704450053,Wilmer meralus,,0,False,https://www.tiktok.com/@user7264587099965/video/7101011120823045382?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101011120823045382&source=h5_m,1841197,7543,1517,6715,52369,6871236988729608961,6871236988729608961,72,6871236988729608961,original sound - micheliaiseme,Tik Toker,6.782975534696728e+18,Tik Toker,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6871236941094914817.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/730b06b615081bc792eb7d128a634cc8.json,False,False,,,,,[],0,0,Cameroon,,0,0,0,0,0,0,0,0,0,0
7,NG,7096975738850528517,1652393431,#answer to @Theophilus Fernandez #goodmother,6811138588660532230,Darasimi❤️❤️🌹,"March 19 bae ❤️😎
30k 🙏❤️✌🏾",0,False,https://www.tiktok.com/@aduke_6/video/7096975738850528517?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096975738850528517&source=h5_m,936290,1196,2584,10386,51426,6705101173034059777,6705101173034059777,10033,6705101173034059777,you are my sunshine,christina perri,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/884dddf5619b4380829bf4fea34101c4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/aa9978b6d21d49b696e94a5660355890,True,True,,,,,[],0,0,Cameroon,#answer #goodmother,0,0,0,0,0,0,0,0,0,0
0,CM,7094013524053167366,1651703737,Reply to @17.kaio  😗#trending #metgala #bts #blowthisup #xzybca #makeuptransformation #viral,6636243958207578117,CRA,❤️🔥Shop the blonde Bodywave wig ⬇️⬇️,0,False,https://www.tiktok.com/@cramakeup/video/7094013524053167366?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094013524053167366&source=h5_m,2059132,876,1934,4790,197553,7073709565941925889,7073709565941925889,10033,7073709565941925889,Snatched,Big Boss Vette,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/619cbe5f8f48417eb2fb4e8a610f6be1,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/113d83b5f26b4004b77e842630ba5834,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1614925186', 'external_song_key': 'apple_song_id'}]",0,0,Cameroon,#trending #metgala #bts #blowthisup #xzybca #makeuptransformation #viral,0,0,0,0,0,0,0,1,1,0
1,CM,7096621698409041157,1652310999,#fyp #viral #swimming #happy #niquel,6718317760395592710,Asi Niquel,I love u all🥰🥰,0,False,https://www.tiktok.com/@asiniquel24/video/7096621698409041157?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096621698409041157&source=h5_m,3920755,3213,1903,19332,166447,7093949567481285381,7093949567481285381,10036,7093949567481285381,Buga (Lo Lo Lo),Kizz Daniel & Tekno,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/1e5583a1ea154f6ba01499ffe3936b4a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53a160ccc5714d6c986cc822daeb6ddd,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1621384034', 'external_song_key': 'apple_song_id'}]",0,0,Cameroon,#fyp #viral #swimming #happy #niquel,0,0,0,0,1,0,0,0,1,0
