,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
0,GB,7096571173886037253,1652299236, ,6873849646385939457,Tommy,No bio,0,False,https://www.tiktok.com/@any_meme/video/7096571173886037253?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096571173886037253&source=h5_m,16780558,40218,215128,368,1733974,7096571158056798981,7096571158056798981,72,7096571158056798981,original sound - any_meme,Tommy,6.873849646385939e+18,Tommy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096571167397415685.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/49b448d6c0ae9371c1a4eac2d7aaa173.json,False,False,,,,,[],0,0,Christmas Island,,0,0,0,0,0,0,0,0,0,0
1,DE,7082051742673751301,1648918666,POV: we‘re stuck in the elevator @heidi klum #fyp#german#elevatorboys,6991985219025683462,elevatormansion,"Official Elevatorboys 📍Berlin 🇩🇪
YouTube: @elevatormansion
#elevatorboys",0,False,https://www.tiktok.com/@elevatormansion/video/7082051742673751301?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082051742673751301&source=h5_m,44458498,25394,14314,15172,4194985,7075534292511689498,7075534292511689498,72,7075534292511689498,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",6.768412728564254e+18,Kuya Magik,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075534269686369050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d652b7d2c3a023db6f701ec06bf98baa.json,False,False,Ginuwine,Pony,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",[],0,0,Christmas Island,#fyp#german#elevatorboys,0,0,0,0,0,1,0,0,0,0
2,GB,7092845479486049541,1651431780,She didn’t get it 😞,7050617080755799045,Fabio Jackson,No bio yet,0,False,https://www.tiktok.com/@theefabiojackson/video/7092845479486049541?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092845479486049541&source=h5_m,9998860,4519,1827,9476,715372,7074928136126892826,7074928136126892826,24,7074928136126892826,original sound - cathyhkh,CathyH,6.80905415916336e+18,CathyH,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7074928132834233115.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/611efbd4a2b3cc0b9a53d3474625729e.json,False,False,,,,,[],0,0,Christmas Island,,0,0,0,0,0,0,0,0,0,0
3,DE,7093142052203973894,1651500831,Original or remix? #foryoupage #fypシ #fyyyyyyyyyyyyyy #mymonneydontjigglejiggle #remix #original #makethisvideogoviral #mymonneydontdribbledribble,6803700902518014982,hele,"She|her
</3
^💕^",0,False,https://www.tiktok.com/@9.7e_y/video/7093142052203973894?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093142052203973894&source=h5_m,70876647,20032,35496,1243,8550657,7085826314925524993,7085826314925524993,10033,7085826314925524993,"My Money Don't Jiggle Jiggle, It Folds",MADAX,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/77afc5468f8945a492c11d98f486391c,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/1850e717d98d434abf44ab85ce2f9d99,False,True,,,,,[],0,0,Christmas Island,#foryoupage #fypシ #fyyyyyyyyyyyyyy #mymonneydontjigglejiggle #remix #original #makethisvideogoviral #mymonneydontdribbledribble,0,0,1,0,0,0,1,0,0,0
4,FR,7092478491618266373,1651346334,#art #fyp #streetphotography #photography #photographer,7073204963028288517,Jean Black,"Exclusive content 
on YouTube
🔽🔽🔽",0,False,https://www.tiktok.com/@jinnoir/video/7092478491618266373?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092478491618266373&source=h5_m,22934815,17024,7499,500,3815499,7092478498467564294,7092478498467564294,72,7092478498467564294,original sound - jinnoir,Jean Black,7.073204963028289e+18,Jean Black,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092478492788509445.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/30ecee66c8923ae424b86fd9388c1cc7.json,False,False,,,,,[],0,0,Christmas Island,#art #fyp #streetphotography #photography #photographer,0,0,0,0,0,1,0,0,0,0
5,KR,7102345072678538497,1653643576,엔진을 지키는 엔하방위대🌏 틱톡 골드어워드 감사합니다! #지구방위대챌린지 #ENHYPEN #TikTokAwards #틱톡어워즈,6854933796647846914,enhypen,"#ENHYPEN Official TikTok
#ENHYPEN 공식 틱톡",0,False,https://www.tiktok.com/@enhypen/video/7102345072678538497?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102345072678538497&source=h5_m,9152617,71508,40391,115896,2902198,6981732667649755906,6981732667649755906,10036,6981732667649755906,Earth Defense Force,Emetsound,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dd5417b94ab7451890e23bea1ce433c4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7d738524cf6d4e3a95b6b9c7f52a47c9,False,True,,,,,[],0,0,Christmas Island,#지구방위대챌린지 #ENHYPEN #TikTokAwards #틱톡어워즈,0,0,0,0,0,0,0,0,0,0
6,GB,7087586041846074630,1650207221,Daddy Gilbert 🤤 #gilbertblythe #anneshirleycuthbert #shirlbert,6860843432798782470,<33,“Cause a two can keep a secret…” - S,0,False,https://www.tiktok.com/@.hannasgal/video/7087586041846074630?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087586041846074630&source=h5_m,12005407,10377,7872,15436,1493998,7087586027736484614,7087586027736484614,72,7087586027736484614,original sound - .hannasgal,<33,6.860843432798782e+18,<33,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087586037010369285.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4b430086a7b965ae854dfa19c41e827a.json,False,False,,,,,[],0,0,Christmas Island,#gilbertblythe #anneshirleycuthbert #shirlbert,0,0,0,0,0,0,0,0,0,0
7,US,7091066738044996910,1651017634,🙄 #fyp,6854693553437606918,mo,"if u found my second account.. ur hot 💅💖✨
@barbiedollbabe",0,False,https://www.tiktok.com/@user32euqm6zed/video/7091066738044996910?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091066738044996910&source=h5_m,4065620,3717,4077,13921,577933,6826181954702985218,6826181954702985218,10033,6826181954702985218,Like a G6,Like a G6 Karaoke,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dee58dcadac74063bcdbe228d0e9d1d2,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/339cc685342848cdb133ff9d42e1079c,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1513267536', 'external_song_key': 'apple_song_id'}]",0,0,Christmas Island,#fyp,0,0,0,0,0,1,0,0,0,0
0,GB,7078691074117504262,1648136200,💧 💧 💧 #sleepy #asmrist #asmr,6967438926836139013,Monica’s asmr,"ASMR✨💕🧚🏻
🤍Come and chill out with us🤍
🦋livestreams&videos🦋
⬇️Socials⬇️",0,False,https://www.tiktok.com/@monicasasmr/video/7078691074117504262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078691074117504262&source=h5_m,114430585,85392,70581,254732,12084244,7078691055536720645,7078691055536720645,72,7078691055536720645,original sound - monicasasmr,Monica’s asmr,6.967438926836139e+18,Monica’s asmr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078691045654956805.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ab8086d5492ab54ca6bcb014aa390db4.json,False,False,,,,,[],0,0,Christmas Island,#sleepy #asmrist #asmr,1,0,0,0,0,0,0,0,0,0
1,US,7084971258877660459,1649598420,#foryou #toy #fyp,7053075538475598894,day4oof,,0,False,https://www.tiktok.com/@day4oof/video/7084971258877660459?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084971258877660459&source=h5_m,42140549,48041,198514,289516,2201655,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Christmas Island,#foryou #toy #fyp,0,1,0,0,0,1,0,0,0,0
