,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_comedia,hash_ecuador,hash_foryou,hash_fyp,hash_fypシ,hash_humor,hash_parati,hash_paratii,hash_tiktok,hash_viral
0,EC,7102542590687382789,1653689565, ,7102539221693023238,Lite,HE®E 😏⬇️,0,False,https://m.tiktok.com/v/7102542590687382789.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102542590687382789&source=h5_m,866233,57,451,249,16372,7102509701216209669,7102509701216209669,72,7102509701216209669,FŮĊĶ МŶ PŪŠŠý în bîõ,Malina,7.073733998388397e+18,Malina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102509735039273733.mp3,,False,False,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
1,EC,7088820036269378822,1650494534,#viral #parati #viral #parati #viral #parati,6987078522816840710,Pelada H tu mujer,abran el link para entrar a whats,0,False,https://m.tiktok.com/v/7088820036269378822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088820036269378822&source=h5_m,1544410,379,429,3606,158400,7088820020242909957,7088820020242909957,72,7088820020242909957,original sound - peladahtumujer,Pelada H tu mujer,6.987078522816841e+18,Pelada H tu mujer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088820002316585734.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d8ee687ac408e3571dbfd7bb025fa8bb.json,False,False,[],0,0,,,,,Ecuador,#viral #parati #viral #parati #viral #parati,0,0,0,0,0,0,3,0,0,3
2,DE,7103564137669659909,1653927413,WHO IS DIS GUY??? TAG HIM IN THE COMMENTS!! 😤😤,6602305457589895174,KOOLKIDNELLY⚡️,"📍BERLIN
📧 nellzusmik@gmail.com",0,False,https://m.tiktok.com/v/7103564137669659909.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103564137669659909&source=h5_m,460385,190,64,56,54102,6990766058684664581,6990766058684664581,10036,6990766058684664581,Armadilha,Guélcio Smith,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/35440ce1dd0a4ab4a203a68152c5fe9d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/81545c4a0de84d91b3886b25cdf4aa2b,False,True,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
3,EC,7103595267982757125,1653934661,"EL CREE QUE NO SE LLEGARÁ!!! 😡 Demostrémosle que siiii podemos, compartan el videooooo para tener más vistas… que se haga el primer tatuaje😱😱 #fyp #views #xyzbca",21930030,Elizabeth Cader,IG: @elizabethcader,0,False,https://m.tiktok.com/v/7103595267982757125.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103595267982757125&source=h5_m,191170,192,121,44,35295,7103595268377021190,7103595268377021190,72,7103595268377021190,original sound - elizabethcader,Elizabeth Cader,21930030.0,Elizabeth Cader,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103595271422397190.mp3,,False,False,[],0,0,,,,,Ecuador,#fyp #views #xyzbca,0,0,0,1,0,0,0,0,0,0
4,EC,7091335446537538822,1651080199,Amo a mi papi JAJAJA🫶🏼 #broma#fyp #parati #perrofeo,2959218,Valeria Polit,"♎️ 
🦋",0,False,https://m.tiktok.com/v/7091335446537538822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091335446537538822&source=h5_m,642751,1350,4237,5164,48499,7091335434952870662,7091335434952870662,72,7091335434952870662,original sound - valeepolit,Valeria Polit,2959218.0,Valeria Polit,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091335435896605446.mp3,,False,False,[],0,0,,,,,Ecuador,#broma#fyp #parati #perrofeo,0,0,0,1,0,0,1,0,0,0
5,EC,7085149862861229317,1649640004,Troleando😩 #viral #ParaTi #comedia,113106059040370688,DJ CHIKI ON THE MIX,"Sígueme En Instagram ☝🏻
🇪🇨",0,False,https://m.tiktok.com/v/7085149862861229317.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085149862861229317&source=h5_m,15217450,15618,29352,47930,1056720,7085149811283954437,7085149811283954437,72,7085149811283954437,original sound - djchikionthemix,DJ CHIKI ON THE MIX,1.1310605904037069e+17,DJ CHIKI ON THE MIX,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085149824538004229.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a6b336c62ddd1f8b27d34efa82532d75.json,False,False,[],0,0,,,,,Ecuador,#viral #ParaTi #comedia,1,0,0,0,0,0,1,0,0,1
6,EC,7078329349191060741,1648051979,Choclos con Salsa de Queso (4 porciones)4 Choclos Agua Sal Salsa de Queso:3 Huevos 1 Taza de Aceite 2 Cucharadas de #Reyqueso Crema Sal - Pimienta 2 Tazas de #Reyqueso Mozzarella Rallado,6821571414564340742,KWA,La recetas llegaron a Tik Tok #KWAEC,0,False,https://m.tiktok.com/v/7078329349191060741.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078329349191060741&source=h5_m,5967364,3138,52259,119104,535843,7078329356715657990,7078329356715657990,72,7078329356715657990,original sound - kwa.ec,KWA,6.821571414564341e+18,KWA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7078329362575002374.mp3,,False,False,[],0,0,,,,,Ecuador,#Reyqueso #Reyqueso,0,0,0,0,0,0,0,0,0,0
7,EC,7096600993957219589,1652306179,#fyp 🕴,6827118786841183238,….,….,0,False,https://m.tiktok.com/v/7096600993957219589.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096600993957219589&source=h5_m,1027362,1193,2943,11423,181730,7096600967005244165,7096600967005244165,72,7096600967005244165,original sound - patas_con_crema2,….,6.827118786841183e+18,….,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096600993790118661.mp3,,False,False,[],0,0,,,,,Ecuador,#fyp,0,0,0,1,0,0,0,0,0,0
0,EC,7093672005035134213,1651624222,Yo lleve la cebolla que dijo pero mi mamá se hinojo conmigo #enchufetv #comedia #diadelasmadres #mamá,6628786065359110150,enchufetv,"Queríamos hacer nopor, pero nuestras mamás no nos dejaron",0,False,https://www.tiktok.com/@enchufetv/video/7093672005035134213?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093672005035134213&source=h5_m,9922153,1169,3883,15111,782558,7093671970675477254,7093671970675477254,72,7093671970675477254,original sound - enchufetv,enchufetv,6.62878606535911e+18,enchufetv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7093671972755868421.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f08213245d5d05747b1e46cb95d58c1f.json,False,False,[],0,0,,,,,Ecuador,#enchufetv #comedia #diadelasmadres #mamá,1,0,0,0,0,0,0,0,0,0
1,EC,7086551036063714566,1649966240,#pegar un video de @midgettman #1 #fyp  #foryou #parati #ruffokpmusic #entretenimiento,6937506035373917190,RuffoKPmusicTV,"Creador de Mi última carta
saludale a tu ñaña
frontman en @RuffoKPmusic",0,False,https://www.tiktok.com/@ruffokpmusic_tv/video/7086551036063714566?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086551036063714566&source=h5_m,1072365,693,3429,8155,96310,7086551018451913477,7086551018451913477,72,7086551018451913477,original sound - ruffokpmusic_tv,RuffoKPmusicTV,6.937506035373917e+18,RuffoKPmusicTV,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086551023656979206.mp3,,False,False,[],0,0,,,,,Ecuador,#pegar #1 #fyp #foryou #parati #ruffokpmusic #entretenimiento,0,0,1,1,0,0,1,0,0,0
2,US,7099511711899651334,1652983884,Responder a @moises_abrahan.98,7054369727197004806,Anderson Rodrígu1222,hispano en usa  🇻🇪🇺🇲  todo es posible 🙏,0,False,https://www.tiktok.com/@nderson274/video/7099511711899651334?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099511711899651334&source=h5_m,584089,344,514,1800,14873,7015361401724078081,7015361401724078081,10033,7015361401724078081,Ilegal,Grupo Recluta,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/d594b252c2c14414b739ccef93630a97,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/20bce3120f424126ae04401f83408940,False,True,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
3,US,7099286838401076523,1652931525,#parati #viral #anuelaa,6833576735347442694,Enriiquetv,No bio yet,0,False,https://www.tiktok.com/@enriitv_/video/7099286838401076523?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099286838401076523&source=h5_m,6956444,698,117,1980,111912,7099286771309120302,7099286771309120302,72,7099286771309120302,original sound - enriitv_,Enriiquetv,6.833576735347443e+18,Enriiquetv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7099286828091591466.mp3,,False,False,[],0,0,,,,,Ecuador,#parati #viral #anuelaa,0,0,0,0,0,0,1,0,0,1
4,EC,7085786548809043205,1649788244,Toda una dama !,6806473851284407301,SHEZNARDA,Video completo de la llamada 👇🏻este es el link,0,False,https://www.tiktok.com/@simplementesheznarda/video/7085786548809043205?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085786548809043205&source=h5_m,25985307,20661,42562,78931,1130724,7085786621115239174,7085786621115239174,72,7085786621115239174,original sound - simplementesheznarda,SHEZNARDA,6.806473851284407e+18,SHEZNARDA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085786621152774918.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/77f0ccfa2765c3a70255607b3846e256.json,False,False,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
5,EC,7088693130417016070,1650464986, ,6575948842382049285,Haydita Veloz,"GRACIAS POR TODO EL APOYO
SÍGUEME EN MI PÁGINA DE FACEBOOK 🇪🇨",0,False,https://www.tiktok.com/@haydita_veloz/video/7088693130417016070?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088693130417016070&source=h5_m,20887160,8440,31150,175246,1754586,7040119996575927046,7040119996575927046,10036,7040119996575927046,Only Love Can Hurt Like This (Slowed Down Version),Paloma Faith,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/9ddfb4c3721e46c68914ff0806c95890,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/6d0490fc10bf4a86b8589541edaabddc,False,True,[],0,0,,,,,Ecuador,,0,0,0,0,0,0,0,0,0,0
