,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_duet,hash_ethiopia,hash_ethiopian_tik_tok,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_habesha,hash_habeshatiktok,hash_viral
0,ET,7103071679299063046,1653812755,#ethiopian_tik_tok🇪🇹🇪🇹🇪🇹🇪🇹 #viral #fyp #foryou #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹,6823365299103548422,Dani_the_1st😎,"በዛሬ ውስጥ ነገን  እያየሁት ነው እንጂ እኮ ዛሬ አይነፋም😔😥 
የነገ ስንቅ ዛሬ ባይሆን ኖሮ ዛሬን ባስቀየምኩት 👊👊🤕",0,False,https://www.tiktok.com/@dan_the_2nd/video/7103071679299063046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103071679299063046&source=h5_m,97754,144,244,496,5902,7103071662567852806,7103071662567852806,72,7103071662567852806,original sound - dan_the_2nd,Dani_the_1st😎,6.823365299103548e+18,Dani_the_1st😎,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103071678430808837.mp3,,False,False,[],0,0,,,,,Ethiopia,#ethiopian_tik_tok🇪🇹🇪🇹🇪🇹🇪🇹 #viral #fyp #foryou #ኢትዮጵያ_ለዘለዓለም_ትኑር🇪🇹🇪🇹🇪🇹,0,0,1,1,0,1,0,0,0,1
1,ET,7101956348937587973,1653553073,#viral #fyp#fypシ#foryou #ethiopian_tik_tok #ቫይራል#dute#tiktok@comedianeshetu0@eyobalemu @anan4jc @anan4jc,6980344504113513478,Jesus is Lord👑,"ቃልህን እወደዋለሁ 🙏
   20k🏃‍♂️🏃‍♂️
plz follow",0,False,https://www.tiktok.com/@anan4jc/video/7101956348937587973?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101956348937587973&source=h5_m,211391,157,509,5255,20574,7101956317253782278,7101956317253782278,72,7101956317253782278,original sound - anan4jc,Jesus is Lord👑,6.980344504113513e+18,Jesus is Lord👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101956308493241094.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/96538873c1b45770386e97a8f74077e4.json,False,False,[],0,0,,,,,Ethiopia,#viral #fyp#fypシ#foryou #ethiopian_tik_tok #ቫይራል#dute#tiktok@comedianeshetu0@eyobalemu,0,0,1,1,0,1,1,0,0,1
2,ET,7102884324688563461,1653769131,#maryam #orthodox #protestant  #sofonias #Gospel,6856988899043230725,Nazarene_Christian,God always be with US!,0,False,https://www.tiktok.com/@worship_zone1/video/7102884324688563461?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102884324688563461&source=h5_m,125827,984,334,2519,4986,7102884396377639685,7102884396377639685,72,7102884396377639685,original sound - worship_zone1,Nazarene_Christian,6.856988899043231e+18,Nazarene_Christian,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102884376052091654.mp3,,False,False,[],0,0,,,,,Ethiopia,#maryam #orthodox #protestant #sofonias #Gospel,0,0,0,0,0,0,0,0,0,0
3,ET,7102872911538572550,1653766473,#duet with @mintesinot16 #saronayelign #ኦርቶዶክቤተክርስቲያንፅንታለዘአለምትኑር,6771362200936514565,Saron Ayelign ❣️,Actress and model and ceo of /shiro/ ሺሮ😂🥰 self confident queen 👸 💙🧿No ዘረኝነት,0,False,https://www.tiktok.com/@saronayelign2/video/7102872911538572550?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102872911538572550&source=h5_m,255604,0,480,122,20826,7102059742097722117,7102059742097722117,24,7102059742097722117,original sound - mintesinot16,Mintesinot Mintesino,6.791444647061423e+18,Mintesinot Mintesino,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102059758189873925.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e99ab35809a3a6deb73e7bcf0d02a55d.json,False,False,[],0,0,,,,,Ethiopia,#duet #saronayelign #ኦርቶዶክቤተክርስቲያንፅንታለዘአለምትኑር,1,0,0,0,0,0,0,0,0,0
4,ET,7103439920689171717,1653898497,Leza Award shame on u @endalk zenebe my man,6811927682168439814,Rach,"CEO of giiriigiiirii hin umiin 
oromummaan bar midhagummaa dha
lets go For 100k",0,False,https://www.tiktok.com/@rachetesfaye/video/7103439920689171717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103439920689171717&source=h5_m,207680,1143,638,2650,17941,7103439904905890566,7103439904905890566,72,7103439904905890566,original sound - rachetesfaye,Rach,6.81192768216844e+18,Rach,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103439905790905094.mp3,,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
5,ET,7102531851104816389,1653687064,#mikabu12 #ethiopian #foryourpage,7079805418755425286,mikabu,"EHFAR
follow and like 🙏🙏🙏❤❤❤",0,False,https://www.tiktok.com/@mikabu12/video/7102531851104816389?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102531851104816389&source=h5_m,375156,149,37,645,13052,7102531835233897221,7102531835233897221,72,7102531835233897221,original sound - mikabu12,mikabu,7.079805418755425e+18,mikabu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102531823149927174.mp3,,False,False,[],0,0,,,,,Ethiopia,#mikabu12 #ethiopian #foryourpage,0,0,0,0,0,0,0,0,0,0
6,FI,7084882934326398214,1649577856,😂,6816641213090661381,Tomas,TORPA,0,False,https://www.tiktok.com/@torpamatos/video/7084882934326398214?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084882934326398214&source=h5_m,2650949,569,1424,22236,108175,7082807007984093958,7082807007984093958,72,7082807007984093958,original sound - davaaa.born.again,Davide,6.596210585632784e+18,Davide,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082806998923791109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c1730d1b4efb02bba3917c49c792c8ca.json,False,False,[],0,0,,,,,Ethiopia,,0,0,0,0,0,0,0,0,0,0
7,ET,7102819320052468998,1653753996,#viral #fyp,6818149363665568774,MODEL RODAS MIZAN,"♦️NEW ACCOUNT ♦️
ፀባይካ ናይ ክብርካ ጠበቃ እዩ✌️",0,False,https://www.tiktok.com/@rodimizan2/video/7102819320052468998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102819320052468998&source=h5_m,452075,167,91,1476,25242,7096442704837675782,7096442704837675782,72,7096442704837675782,original sound - semarina3,semehal hailu,6.883133459109758e+18,semehal hailu,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096442686919559942.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f04846e380df6df899acda6531e6ae0.json,False,False,[],0,0,,,,,Ethiopia,#viral #fyp,0,0,0,0,0,1,0,0,0,1
0,ET,7098222701382208773,1652683766,#bole #fly #flypシ #finfine #lencho #oromo #oromotiktok❤️💚❤️ #lencho,7008492102716523526,netjtube,,0,False,https://www.tiktok.com/@netjtube/video/7098222701382208773?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098222701382208773&source=h5_m,485225,550,453,3562,34240,7098222641593142021,7098222641593142021,72,7098222641593142021,original sound - netjtube,netjtube,7.008492102716524e+18,netjtube,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098222659451816710.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/efe7ea22fd10c2040373c701d5b37edd.json,False,False,[],0,0,,,,,Ethiopia,#bole #fly #flypシ #finfine #lencho #oromo #oromotiktok❤️💚❤️ #lencho,0,0,0,0,0,0,0,0,0,0
1,ET,7097215520482594054,1652449260,Nails by @Sophus ManiPedi  #Mahider #mahider_k #የእናንተገፅ,6816302649844712454,mahi keb,"CEO of ምንአስ👅በህ ነው
I am that ቅመም 🥵🌶you need in your life ❤️",0,False,https://www.tiktok.com/@mahider_k/video/7097215520482594054?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097215520482594054&source=h5_m,511146,697,278,1276,35327,7097215503667612421,7097215503667612421,72,7097215503667612421,original sound - mahider_k,mahi keb,6.816302649844712e+18,mahi keb,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097215492414393094.mp3,,False,False,[],0,0,,,,,Ethiopia,#Mahider #mahider_k #የእናንተገፅ,0,0,0,0,0,0,0,0,0,0
