,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_love,hash_relatable,hash_trending,hash_viral
0,ZA,7073521587953159426,1646932586,😤 #calmdown #ladywiththebendyface,15502758,Crystal Greeff-Katsini,"-TheLadyWithTheBendyFace-
#sunbeams☀️
Top 🎁 @positivequotestiktok - Thank you!",0,False,https://www.tiktok.com/@crystal.g.katsini/video/7073521587953159426?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073521587953159426&source=h5_m,13016240,4908,72626,46927,1240946,6674586526275390213,6674586526275390213,72,6674586526275390213,Maaaan Guess What I Want Food Rap (Contains music from: Son Goku - Miracle),"Contains music from: ""Son Goku""",5058536.0,TyG 🤣✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1629620180436997.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/c0162e388ca9dcea96194943ccce0aad.json,False,False,Miracle,Son Goku,Maaaan Guess What I Want Food Rap (Contains music from: Son Goku - Miracle),"Contains music from: ""Son Goku""",[],0,0,Falkland Islands (Malvinas),#calmdown #ladywiththebendyface,0,0,0,0,0,0,0,0,0,0
1,CA,7084009401887116549,1649374470,#answer to @jxizmx,6872531270557402117,Connor diamond,I love cgi marking efforts,0,False,https://www.tiktok.com/@connordiamond2/video/7084009401887116549?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084009401887116549&source=h5_m,15967860,38475,298502,37050,1864612,7084009365987920646,7084009365987920646,72,7084009365987920646,original sound - connordiamond2,Connor diamond,6.872531270557402e+18,Connor diamond,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7084009376020761349.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/374d2f7376f5e61576e312ef7bc7e909.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#answer,0,0,0,0,0,0,0,0,0,0
2,US,7102890439430212906,1653770553,Drawing mental illnesses: Dyslexia #drawingmentalillnesses #mentalillnesses #drawing #drawingdyslexia #dyslexia #dyslexiaawareness #spreadingawareness #art #penart #pen #artist #tiktokartist #penartist,6948910608356836357,Lin Lin,"Hi hi hi!!
I’m Lin Lin :3
I draw 
My ocs, anime, emotional stuff
Now FOLLOW 😀🔪",0,False,https://www.tiktok.com/@lin_draws__/video/7102890439430212906?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102890439430212906&source=h5_m,1091455,2452,928,2975,171138,7086570526134651654,7086570526134651654,72,7086570526134651654,Love,🇹🇷 <3,7.045380863403787e+18,🇹🇷 <3,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086570531364801286.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b1ce01d78afa360796980c8c5c9415b.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#drawingmentalillnesses #mentalillnesses #drawing #drawingdyslexia #dyslexia #dyslexiaawareness #spreadingawareness #art #penart #pen #artist #tiktokartist #penartist,0,0,0,0,0,0,0,0,0,0
3,GB,7091294023050185990,1651070554,Peppa pig #ashleykeno17 #peppapig,6703070584270013446,keno,"God first❤️

Prulo@thecultureclub.us",0,False,https://www.tiktok.com/@ashleykeno17/video/7091294023050185990?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091294023050185990&source=h5_m,3198041,7527,4920,11446,549823,6746626931065637637,6746626931065637637,72,6746626931065637637,Zenyen96_Pookie by Aya Nakamura (Contains music from: Pookie - Aya Nakamura),"Contains music from: ""Pookie""",6.741971971976414e+18,ZenYen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1647129300295702.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/66976bad70549b58e4bf9f4ad4b8d2be.json,False,False,Aya Nakamura,Pookie,Zenyen96_Pookie by Aya Nakamura (Contains music from: Pookie - Aya Nakamura),"Contains music from: ""Pookie""",[],0,0,Falkland Islands (Malvinas),#ashleykeno17 #peppapig,0,0,0,0,0,0,0,0,0,0
4,GB,7102872747365223685,1653766436,What’s a conspiracy theory you actually believe… 💀🤯,6836010152346665990,matt welland,"Writer / storyteller: my book- ‘the DAKU’ 
📩Matt@waves.yt 
CHECK IT⬇️💕",0,False,https://www.tiktok.com/@itsmattw_01/video/7102872747365223685?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102872747365223685&source=h5_m,6541346,7813,4657,5434,994254,7102872758997338886,7102872758997338886,72,7102872758997338886,original sound - itsmattw_01,matt welland,6.836010152346666e+18,matt welland,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102872765581019909.mp3,,False,False,,,,,[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
5,FR,7088953826975239429,1650525687,😳,7085746822031623173,My Monkee,"💯👑 MONKEE CLUB 👑💯
🐵 Free Worldwide Shipping 🐵
⬇️ YOUR MONKEE HERE ⬇️",0,False,https://www.tiktok.com/@.mymonkee/video/7088953826975239429?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088953826975239429&source=h5_m,22147766,33668,55715,10652,2644555,6993080813474547713,6993080813474547713,10033,6993080813474547713,Monki (Doesn't Wear Any Pants),Sposato,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/dd6b4575507144eebc5b51a2086bfc90,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/8e744ae13fe34f389c217c2bebced09a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1494592152', 'external_song_key': 'apple_song_id'}]",0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
6,US,7085438429307391278,1649707191,Yall all be tens baby,97614653324771328,Selena Gomez,REVELACIÓN is out now: http://smarturl.it/REVELACIONSG,0,False,https://www.tiktok.com/@selenagomez/video/7085438429307391278?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085438429307391278&source=h5_m,24896998,13752,231841,5220,2547967,6958450048980060933,6958450048980060933,72,6958450048980060933,original sound - custom_motion,Custom Motion,6.745584704458458e+18,Custom Motion,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6958450156568054534.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a2c61a2d0299ce3296c95c2501101d9f.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
7,GB,7103416768344935685,1653893107,#foryou #fy #fyp #urmother #cheese  #britain,7102463525801296902,🇬🇧🇬🇧,Following everyone back,0,False,https://www.tiktok.com/@iconicbritishclips_/video/7103416768344935685?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103416768344935685&source=h5_m,998690,1268,2599,4787,84553,6782725012676675586,6782725012676675586,10036,6782725012676675586,Dance Therapy,Fortnite,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a57e61ab930249218a05cb47becf0603,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c1e3453e9afb4a93b250e9454121e886,False,True,,,,,[],0,0,Falkland Islands (Malvinas),#foryou #fy #fyp #urmother #cheese #britain,0,1,0,0,1,0,0,0,0,0
0,US,7077240048541797675,1647798356,🥲 #couplestiktok #couplescomedy #SeeHerGreatness #couplegoals #maskmandate #turnaround #funny,6941498276986520581,Amariz Karina,"Millennial parents raising Gen Alpha’s.
NEW VIDEO IS UP NOW👇🏼",0,False,https://www.tiktok.com/@thelearyfam/video/7077240048541797675?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077240048541797675&source=h5_m,10235665,4313,90728,18561,684059,6576679429496376070,6576679429496376070,72,6576679429496376070,original sound - ourfire,OurFire,3792541.0,OurFire,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1605634626274310.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9ad2186d9333d5aaee2b7f4694150d8e.json,False,False,,,,,[],0,0,Falkland Islands (Malvinas),#couplestiktok #couplescomedy #SeeHerGreatness #couplegoals #maskmandate #turnaround #funny,0,0,0,1,0,0,0,0,0,0
1,GB,7078753067784572166,1648150634,IT’S SHOWTIME! 💚 Beetlejuice makeup! Who should I create next?!,127290296282984448,Holly Murray Makeup,"IG: hollymurraymakeup 
MAKEUP 🖤
📧 elisha@connectmgt.com",0,False,https://www.tiktok.com/@hollymurraymakeup/video/7078753067784572166?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078753067784572166&source=h5_m,21915634,4297,7801,4803,1778593,6700579847896435461,6700579847896435461,72,6700579847896435461,"marielle loves betelgeuse (Contains music from: The Whole ""Being Dead"" Thing, Pt. 2 - Alex Brightman & Kerry Butler & Rob McClure & Beetlejuice Original Broadway Cast Recording Ensemble)","Contains music from: ""The Whole ""Being Dead"" Thing, Pt. 2""",1.2873447222052864e+17,marielle 🧃,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1635884735996965.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/d7e34378f372216f2813d4fefc0628c2.json,False,False,Alex Brightman & Kerry Butler & Rob McClure & Beetlejuice Original Broadway Cast Recording Ensemble,"The Whole ""Being Dead"" Thing, Pt. 2","marielle loves betelgeuse (Contains music from: The Whole ""Being Dead"" Thing, Pt. 2 - Alex Brightman & Kerry Butler & Rob McClure & Beetlejuice Original Broadway Cast Recording Ensemble)","Contains music from: ""The Whole ""Being Dead"" Thing, Pt. 2""",[],0,0,Falkland Islands (Malvinas),,0,0,0,0,0,0,0,0,0,0
