,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_duet,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_jamaica,hash_trending,hash_viral,hash_xyzbca
0,GD,7092505267686083846,1651352568,Reply to @th_hussle I also use resistance bands & kettlebell but not conventional weights #calisthenics #calisthenicsworkout #calisthenicsmotivation #calisthenicstraining #bodyweightworkout #bodyweighttraining #bodyweightexercises #bodyweightfitness #weightedpullups #weightedcalisthenics,7002052194234369029,KayElevate,"Fitness Coach 💪🏾
Spirituality 🌅 ☥
Motivation 🧠
Vegan/PB 🌱
Grenada 🇬🇩📍",0,False,https://www.tiktok.com/@kayelevate/video/7092505267686083846?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092505267686083846&source=h5_m,513115,542,280,2023,43162,7087676291180219141,7087676291180219141,72,7087676291180219141,original sound - f3n1x.sg,I'm Resetzk,6.874595790612055e+18,I'm Resetzk,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087676302374816518.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2fc3e69d8ad2bf3fb64e7c6a7642f403.json,False,False,,,,,[],0,0,Grenada,#calisthenics #calisthenicsworkout #calisthenicsmotivation #calisthenicstraining #bodyweightworkout #bodyweighttraining #bodyweightexercises #bodyweightfitness #weightedpullups #weightedcalisthenics,0,0,0,0,0,0,0,0,0,0
1,GD,7089163717752982790,1650574553, ,7077722010910147590,janique Felix,,0,False,https://www.tiktok.com/@janiquefelix123/video/7089163717752982790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089163717752982790&source=h5_m,60596,43,79,41,1482,7089163731707464453,7089163731707464453,72,7089163731707464453,original sound - janiquefelix123,janique Felix,7.077722010910148e+18,janique Felix,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089163728100936453.mp3,,False,False,,,,,[],0,0,Grenada,,0,0,0,0,0,0,0,0,0,0
2,US,7085968700863499563,1649830656,I love that song,6576281784202772486,$avannah Hannah,"It’s a JAN-RAH
Instagram @malibuhannah 💚
My music is here 👇🏾",0,False,https://www.tiktok.com/@savannahhannah_/video/7085968700863499563?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085968700863499563&source=h5_m,8709450,3998,3566,13627,1873059,7085968555535026986,7085968555535026986,72,7085968555535026986,original sound - savannahhannah_,$avannah Hannah,6.576281784202772e+18,$avannah Hannah,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7085968672132549419.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/fa540f14541ef68bb3dd519aa0af0331.json,False,False,,,,,[],0,0,Grenada,,0,0,0,0,0,0,0,0,0,0
3,GB,7097382882854980869,1652488228,𝑹𝒐𝒍𝒆𝒙 𝑷𝒐𝒏 𝑴𝒊 𝑾𝒓𝒊𝒔𝒕 🐐🔥 #fyp #fypシ #viral #fire #edit #jamaican #freestyle #goat #hiphop #rap #og,7067316116351599622,𝕽𝖆𝖕 𝕰𝖉𝖎𝖙𝖘,𝙏𝙝𝙚 𝙗𝙚𝙨𝙩 𝙧𝙖𝙥 𝙚𝙙𝙞𝙩𝙨 𝙛𝙤𝙧 𝙮𝙤𝙪 🔥,0,False,https://www.tiktok.com/@rap.edits.__/video/7097382882854980869?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097382882854980869&source=h5_m,1892388,1104,3843,26004,264228,7097382873912642309,7097382873912642309,72,7097382873912642309,original sound - rap.edits.__ (Contains music from: Bella - Funz),"Contains music from: ""Bella""",7.0673161163516e+18,𝕽𝖆𝖕 𝕰𝖉𝖎𝖙𝖘,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097382879629478661.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/af69c28496a8013e58b3ede9c47ead3c.json,False,False,Funz,Bella,original sound - rap.edits.__ (Contains music from: Bella - Funz),"Contains music from: ""Bella""",[],0,0,Grenada,#fyp #fypシ #viral #fire #edit #jamaican #freestyle #goat #hiphop #rap #og,0,0,0,0,1,1,0,0,1,0
4,US,7103573094526324014,1653929497,You light me up 🎟#virginislands,7058799028960822319,Wav3zz🌴,"Saint Thomas usvi 🌴
dm on Insta to book me🚀
⬇️Make 💰 playing with me ⬇️",0,False,https://www.tiktok.com/@wav3zz7x/video/7103573094526324014?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103573094526324014&source=h5_m,95204,62,58,105,15307,7073526922914974470,7073526922914974470,72,7073526922914974470,original sound - bbyshl5,🧝🏾‍♀️,6.805131795233113e+18,🧝🏾‍♀️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7073526919379176198.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1586f53f59b95061640f32286f30d611.json,False,False,,,,,[],0,0,Grenada,#virginislands,0,0,0,0,0,0,0,0,0,0
5,GB,7077688677761142022,1647902812,😂😂😂😂 🇯🇲🇬🇧🌈 #mixedbaby #blackandwhite #jamaica #uk #family #blendedfamily #babymommy #babydaddy #newborn,6658628784821911557,TheMcGawFamily,"👑
Mama to Kaizah, Ky & Shemari💙
Between 🇬🇧🇯🇲",0,False,https://www.tiktok.com/@themcgawfamily/video/7077688677761142022?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077688677761142022&source=h5_m,817276,210,102,57,23289,7056091126973352750,7056091126973352750,72,7056091126973352750,original sound - haybaby20,Haley Starr,6.598720366503199e+18,Haley Starr,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7056091144408697647.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/283802e65bdcd35d2c572148ddc76dc2.json,False,False,,,,,[],0,0,Grenada,#mixedbaby #blackandwhite #jamaica #uk #family #blendedfamily #babymommy #babydaddy #newborn,0,0,0,0,0,0,1,0,0,0
6,US,7079524121733893419,1648330159,I like squidward 🥰 #jayxkayla #foryou #funny #couples #fyp #relationship #viral #foryoupage,7007203872511853574,Jay & Kayla,"300k? 👀❤️
Subscribe to our Youtube 🥰⬇️
Follow us on Instagram 📸
HTX",0,False,https://www.tiktok.com/@jayxkaylaa/video/7079524121733893419?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079524121733893419&source=h5_m,548729,112,1345,1700,49464,6933389434725452549,6933389434725452549,72,6933389434725452549,original sound - nocontext_spongebob (Contains music from: car drifting music for car drifting i guess - Hetzy Beats),"Contains music from: ""car drifting music for car drifting i guess""",6.785690120847771e+18,No context Spongebob,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6933389537099975429.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/612170b21fb0cf7ab374e55986884454.json,False,False,Hetzy Beats,car drifting music for car drifting i guess,original sound - nocontext_spongebob (Contains music from: car drifting music for car drifting i guess - Hetzy Beats),"Contains music from: ""car drifting music for car drifting i guess""",[],0,0,Grenada,#jayxkayla #foryou #funny #couples #fyp #relationship #viral #foryoupage,0,1,1,1,1,0,0,0,1,0
7,NG,7100210642149330182,1653146616,Reposting #waistwhinning,6863360535951836166,Abby Klaire,"Hips don’t lie🍑🦋
20k please 🙏💃🏽
I TEACH
Don’t like more than 4 videos❌",0,False,https://www.tiktok.com/@abbyklaire0/video/7100210642149330182?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100210642149330182&source=h5_m,60146,19,13,459,4515,7063109333492140806,7063109333492140806,72,7063109333492140806,Iskaba,Yahooze😕,7.043863493116265e+18,Yahooze😕,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7063109367993780997.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d8280708a0ddcc3b9fbd3409d2d663bc.json,False,False,,,,,[],0,0,Grenada,#waistwhinning,0,0,0,0,0,0,0,0,0,0
0,GD,7085506381947653381,1649723013,#funnyvideos #caribbeantiktokeurs #grenadatiktok🇬🇩🇬🇩🇬🇩🇬🇩🇬🇩,6857565768571405318,🌹Ez Ron🍃,"we just toocrazy out here😂👻
The mad house open😈☠🤣😂",0,False,https://m.tiktok.com/v/7085506381947653381.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085506381947653381&source=h5_m,62691,175,963,3238,6128,7085506359302671109,7085506359302671109,72,7085506359302671109,original sound - toocrazy438,🌹Ez Ron🍃,6.857565768571405e+18,🌹Ez Ron🍃,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085506342655511302.mp3,,False,False,,,,,[],0,0,Grenada,#funnyvideos #caribbeantiktokeurs #grenadatiktok🇬🇩🇬🇩🇬🇩🇬🇩🇬🇩,0,0,0,0,0,0,0,0,0,0
1,GD,7102181881763974405,1653605582,HOW COME 😭,7101345907979469829,HexX,"🇬🇩
20+
OG: @_unmotivated
i post random shit cuz i be bored n shit
ye check?",0,False,https://m.tiktok.com/v/7102181881763974405.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102181881763974405&source=h5_m,303882,321,2214,8826,62428,7102181856262540037,7102181856262540037,72,7102181856262540037,original sound - still_unmotivated,HexX,7.10134590797947e+18,HexX,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102181863112264454.mp3,,False,False,,,,,[],0,0,Grenada,,0,0,0,0,0,0,0,0,0,0
