,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_duet,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_ghanatiktok,hash_tiktok,hash_tiktokghana,hash_trending,hash_viral
0,GH,7100166587474365701,1653136360,Is the attitude for meeee😂😂😂😂😂😂😂😂😂#realolisa #fyp @SERWAA AMIHERE miss u mommy ❤️💕😘🔌,6986902896118793222,RealOlisa,,0,False,https://www.tiktok.com/@realolisa/video/7100166587474365701?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100166587474365701&source=h5_m,801907,1407,433,2783,63410,7095264131733555973,7095264131733555973,72,7095264131733555973,original sound - blackishstylish4,Blackish stylish,6.877129845634811e+18,Blackish stylish,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095264123927251718.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e29c59806c5b3772cba0d296c68a171a.json,False,False,,,,,[],0,0,Ghana,#realolisa #fyp,0,0,0,1,0,0,0,0,0,0
1,GH,7096556096680152325,1652295725,Be minding your business 😂😂😂 @emmaifeanyi,6816226357635564550,FellaMakafui,"Actress,BUSINESS MOGUL !!",0,False,https://www.tiktok.com/@fella_makafui/video/7096556096680152325?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096556096680152325&source=h5_m,7340286,6501,21432,120685,401537,7096556103365872390,7096556103365872390,72,7096556103365872390,original sound - fella_makafui (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",6.816226357635565e+18,FellaMakafui,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096556112568126214.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7285d7e62b529e586da9186e3ec0af78.json,False,False,Kizz Daniel & Tekno,Buga (Lo Lo Lo),original sound - fella_makafui (Contains music from: Buga (Lo Lo Lo) - Kizz Daniel & Tekno),"Contains music from: ""Buga (Lo Lo Lo)""",[],0,0,Ghana,,0,0,0,0,0,0,0,0,0,0
2,GH,7103556279527935237,1653925583,Give and Take…😂😂😂❤️#verifydemandandsupply1,6814765482471080966,demandandsupply,Two funny boys.🤣😀🥰..feel free to chat.,0,False,https://www.tiktok.com/@demandandsupplyd_s/video/7103556279527935237?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103556279527935237&source=h5_m,182590,1708,494,2115,20585,7103556304588802822,7103556304588802822,72,7103556304588802822,original sound - demandandsupplyd_s,demandandsupply,6.814765482471081e+18,demandandsupply,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103556305562323717.mp3,,False,False,,,,,[],0,0,Ghana,#verifydemandandsupply1,0,0,0,0,0,0,0,0,0,0
3,NG,7100978723565866246,1653325449,@Camidoh performs #sugarcaneremix on Glitchafrica & it’s litt🤩🥳🔥… #fyp #fypシ #sugarcanechallenge #viral #trending #mayorkun #tiktoknigeria #ghana #ghanatiktok,6993829809470587909,glitchafrica,"For the love of Music, Arts, Podcasts and more",0,False,https://www.tiktok.com/@glitchafrica/video/7100978723565866246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100978723565866246&source=h5_m,2026985,2566,12854,98072,254500,7100978733745474309,7100978733745474309,72,7100978733745474309,original sound - glitchafrica,glitchafrica,6.993829809470588e+18,glitchafrica,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100978730507471622.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/932f65c08ad222fa019002bc5fad82fb.json,False,False,,,,,[],0,0,Ghana,#sugarcaneremix #fyp #fypシ #sugarcanechallenge #viral #trending #mayorkun #tiktoknigeria #ghana #ghanatiktok,0,0,0,1,1,1,0,0,1,1
4,GH,7073488923200277766,1646924979,😏 #emmaifeanyi,6890732833414775814,Emma Ifeanyi,"Welcome to my page🥰
WE ALMOST THERE GUYS😩❤️
A follow 4rm U will make it work🙏",0,False,https://www.tiktok.com/@emmaifeanyi/video/7073488923200277766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073488923200277766&source=h5_m,2803439,4139,5095,31955,291406,6895446692632562433,6895446692632562433,72,6895446692632562433,Another Number,mum,6.718678335486117e+18,mum,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6895446621065415426.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9039a06f078a5b077dcdee7f624e6fc9.json,False,False,,,,,[],0,0,Ghana,#emmaifeanyi,0,0,0,0,0,0,0,0,0,0
5,US,7101685257547599105,1653489951,#fyp #fypシ #fakebody⚠️,6705993644383405062,Sky,"your favorite latina 💕
SP!CY L!NK on my insta 🌶🔗 @shantskyxo",0,False,https://www.tiktok.com/@skyshantal/video/7101685257547599105?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101685257547599105&source=h5_m,1070895,623,701,2166,44185,6811968697339579141,6811968697339579141,72,6811968697339579141,original sound - hizqueen_100,HizQueen💯,6.601044405204779e+18,HizQueen💯,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1663078503873590.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/05e6ff0faf6ea31abb4839a05347fe16.json,False,False,,,,,[],0,0,Ghana,#fyp #fypシ #fakebody⚠️,0,0,0,1,1,0,0,0,0,0
6,GH,7099481274305334534,1652976797,Can’t wait to get there 😮‍💨 #erkuahofficial #carrymedeygo #fyp #viral,6679886495132910597,erkuahofficial 🤪,"This is my only account!!!
I’m here to make you smile ☺️
Thank you for 2.7M 🎉",0,False,https://www.tiktok.com/@erkuahofficial/video/7099481274305334534?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099481274305334534&source=h5_m,2391226,3867,3784,26286,254498,7098293211214465835,7098293211214465835,72,7098293211214465835,Carry Me Dey Go (Contains music from: Carry Me Dey Go My Husband House - O'tion),"Contains music from: ""Carry Me Dey Go My Husband House""",7.017152403180307e+18,Naijadove.tv,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098293326113229614.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6eb535c39c53250468348d3144cf6162.json,False,False,O'tion,Carry Me Dey Go My Husband House,Carry Me Dey Go (Contains music from: Carry Me Dey Go My Husband House - O'tion),"Contains music from: ""Carry Me Dey Go My Husband House""",[],0,0,Ghana,#erkuahofficial #carrymedeygo #fyp #viral,0,0,0,1,0,0,0,0,0,1
7,CM,7102167861418020101,1653602317,#nigeriantiktok #viralvideo #trending,6934755490664678405,user5577838391963,"Content creator , cruise , gossip sports 
Present goal 100k🇨🇲🇳🇬",0,False,https://www.tiktok.com/@mrbaldykayafa/video/7102167861418020101?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102167861418020101&source=h5_m,4287192,2343,3685,33494,203929,7102167856095890181,7102167856095890181,72,7102167856095890181,original sound - mrbaldykayafa,user5577838391963,6.934755490664678e+18,user5577838391963,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102167837304720134.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6fea4ad027b6f6ed8361697b2cba6b5c.json,False,False,,,,,[],0,0,Ghana,#nigeriantiktok #viralvideo #trending,0,0,0,0,0,0,0,0,1,0
0,GH,7102057921638419717,1653576719,Boss Lawyer 😂😂😂 @kejetiavsmakola #trending #viral #fyp #silimarket,7041166342103729157,Kejetia Vs Makola,Live Before You die ♥🎁,0,False,https://www.tiktok.com/@kejetiavsmakola/video/7102057921638419717?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102057921638419717&source=h5_m,106448,41,166,1350,6078,7102057927053363974,7102057927053363974,72,7102057927053363974,original sound - kejetiavsmakola,Kejetia Vs Makola,7.041166342103729e+18,Kejetia Vs Makola,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102057919188880134.mp3,,False,False,,,,,[],0,0,Ghana,#trending #viral #fyp #silimarket,0,0,0,1,0,0,0,0,1,1
1,GH,7100901137892543750,1653307385,School is scam😂😂🤣🤣#fyp #viral #morelikes,6920892778705175557,Caron❤️✨,Just dm for your advertisement ❤️💔,0,False,https://www.tiktok.com/@caron_zoe/video/7100901137892543750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100901137892543750&source=h5_m,759012,571,244,4050,70969,7100901094410291973,7100901094410291973,72,7100901094410291973,original sound - caron_zoe,Caron❤️✨,6.920892778705176e+18,Caron❤️✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100901123220884230.mp3,,False,False,,,,,[],0,0,Ghana,#fyp #viral #morelikes,0,0,0,1,0,0,0,0,0,1
