,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_971,hash_972,hash_973,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_viral
0,GP,7101351503083916549,1653412243,#coupleblack3,6814957866027779078,Couplegoals,Thank you for the 70k❤️,0,False,https://www.tiktok.com/@coupleblack3/video/7101351503083916549?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101351503083916549&source=h5_m,4584257,2511,5620,34850,650993,6742610234524567554,6742610234524567554,10033,6742610234524567554,Girls Need Love - Remix,Summer Walker & Drake,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b912d4d9cfc844a28f052651386e2244,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a04680a40a8342a1a89c6ced73ac58c9,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1481897988', 'external_song_key': 'apple_song_id'}]",0,0,Guadeloupe,#coupleblack3,0,0,0,0,0,0,0,0,0,0
1,GP,7095437892369026310,1652035372,A votre avis elle doit ce dire quoi ? 😂 #🇬🇫 #fypシ #pourtoi #973 #972 #971 #antillesguyane,7066810089349268486,Nounours,"Dans une équipe de bougs sympas 🇬🇫🇭🇹
Donc ps d’inquiétude tu peut t’abonner✨",0,False,https://www.tiktok.com/@nounours.973/video/7095437892369026310?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095437892369026310&source=h5_m,212917,128,355,804,19354,7095437871096285957,7095437871096285957,72,7095437871096285957,original sound - nounours.973,Nounours,7.066810089349268e+18,Nounours,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7095437896345225989.mp3,,False,False,,,,,[],0,0,Guadeloupe,#🇬🇫 #fypシ #pourtoi #973 #972 #971 #antillesguyane,1,1,1,0,0,0,1,0,1,0
2,FR,7099853898415983878,1653063555,#duo avec @deborahyowa love You DÉBORAH ❤️#fenmguadeloupe #nationantillais #humour #nobullyingzone🚫 #asmrghetto,6981223968670991366,Sugar_baa,"I’m back pou fouté bordèll🔥
🏳️‍🌈🇩🇲",0,False,https://www.tiktok.com/@beybeeeeeeeeeee/video/7099853898415983878?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099853898415983878&source=h5_m,147807,293,364,0,20292,7099394437616356101,7099394437616356101,72,7099394437616356101,original sound - deborahyowa,Deborah yowa,6.81603295737748e+18,Deborah yowa,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099394450752817926.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/84c7b189867deba8df393dbdef677fc6.json,False,False,,,,,[],0,0,Guadeloupe,#duo #fenmguadeloupe #nationantillais #humour #nobullyingzone🚫 #asmrghetto,0,0,0,0,0,0,0,1,0,0
3,GB,7086211737308990725,1649887241,#rihanna #family #cousin #dance #smile #happy #singer #singing #music #reggae #carribean #bajan #dancehall #goodvibes #fy #fyp #fypシ #4u #viral #trending #trend #tiktok #xyzbca #meme #memes #celebrity #foryou #foryoupage,7003390682828293126,giggles2909,,0,False,https://www.tiktok.com/@giggles2909/video/7086211737308990725?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086211737308990725&source=h5_m,286524,101,574,1550,28801,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Guadeloupe,#rihanna #family #cousin #dance #smile #happy #singer #singing #music #reggae #carribean #bajan #dancehall #goodvibes #fy #fyp #fypシ #4u #viral #trending #trend #tiktok #xyzbca #meme #memes #celebrity #foryou #foryoupage,0,0,0,1,1,1,1,0,0,1
4,GP,7092102685280701702,1651258834,Scène de ménage 😂,6769735947761665030,JACHOA,"• SUIVEZ-MOI SUR INSTAGRAM : JACHOA 
• GUADELOUPE 📍",0,False,https://www.tiktok.com/@jachoa.fr/video/7092102685280701702?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092102685280701702&source=h5_m,546714,689,3774,4435,84811,7092102723104951045,7092102723104951045,72,7092102723104951045,original sound - jachoa.fr,JACHOA,6.769735947761665e+18,JACHOA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092102731682417413.mp3,,False,False,,,,,[],0,0,Guadeloupe,,0,0,0,0,0,0,0,0,0,0
5,CA,7072816771484372230,1646768482,Encore you know 🤣😍😍,6905943009935229957,tai_tl,,0,False,https://www.tiktok.com/@tai.tl2/video/7072816771484372230?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072816771484372230&source=h5_m,69651,15,28,64,4433,7020518387336170245,7020518387336170245,72,7020518387336170245,original sound - blanchedebitam,joli dalina,6.824816867040691e+18,joli dalina,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7020518466792852229.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ff5381098b79a4f0a789dd2e1b9378bb.json,False,False,,,,,[],0,0,Guadeloupe,,0,0,0,0,0,0,0,0,0,0
6,GP,7096356917018201350,1652249356,You have a wrist band? 😂🖕🏾12 👮‍♀️ #kervodolo #foryoupage #funny,7070904069712446469,Trill Mike,"🥷Trill Mike 🥷
‼️‼️Ig: trillotonice ‼️‼️",0,False,https://www.tiktok.com/@trillotonice/video/7096356917018201350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096356917018201350&source=h5_m,126174,22,50,153,3512,7063993078247492399,7063993078247492399,72,7063993078247492399,original sound - kervo.dolo (Contains music from: Here I Am Verse - Volpe),"Contains music from: ""Here I Am Verse""",6.750005724712044e+18,Kervo.dolo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7063993080902601518.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/6cccf7b68fbb3675f3f4e9f80b543a1e.json,False,False,Volpe,Here I Am Verse,original sound - kervo.dolo (Contains music from: Here I Am Verse - Volpe),"Contains music from: ""Here I Am Verse""",[],0,0,Guadeloupe,#kervodolo #foryoupage #funny,0,0,0,0,1,0,0,0,0,0
7,GP,7102776293996973318,1653743979,@vortex1.0 mon visage n’est pas marré j’ai toujours été comme sa🫠,7064384947927237637,Ellah_pj,"Mes priorités mon fils et mon mari👶🏽❤️
Et le reste c’est que du délire👩🏼",0,False,https://www.tiktok.com/@ellah_pj/video/7102776293996973318?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102776293996973318&source=h5_m,97533,49,18,25,9324,7102776273206610693,7102776273206610693,72,7102776273206610693,original sound - ellah_pj,Ellah_pj,7.064384947927238e+18,Ellah_pj,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102776283305757445.mp3,,False,False,,,,,[],0,0,Guadeloupe,,0,0,0,0,0,0,0,0,0,0
0,GP,7103304623095647493,1653866991,Love you mommy ❤️💯💋#foryou #fypシ #UnleashYourGods #foryoupage #pourtoi,6800745110189900806,🌬❄️ICE☃️MAN❄️,"Facebook: savage ice 🧊
Instagram :@sxm_savage😈",0,False,https://www.tiktok.com/@savageice/video/7103304623095647493?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103304623095647493&source=h5_m,3233,4,0,0,239,6915394473871329281,6915394473871329281,10033,6915394473871329281,Planet Uzumaki,Tyshon Uzumaki,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/09e7e41a1167458e882566eddc620f22,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/96313e40a9564e888991d7f627e16d83,False,True,,,,,[],0,0,Guadeloupe,#foryou #fypシ #UnleashYourGods #foryoupage #pourtoi,0,0,0,1,1,0,1,0,1,0
1,GP,7073652430289800453,1646963050,Ça date 💀 #trend,6801269556524925957,clemence.pn,"make up et good vibes à 100000% sont ma devise 🌿
Thanks for the 25k guys 💐",0,False,https://www.tiktok.com/@clemence.pn1/video/7073652430289800453?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073652430289800453&source=h5_m,367201,379,1484,1343,12821,7045718128701721349,7045718128701721349,72,7045718128701721349,dc gaby e juu (Contains music from: Formosa - Brega Funk Remix - Kaio Viana & MC CJ),"Contains music from: ""Formosa - Brega Funk Remix""",6.787635936156976e+18,Gaby Lopes,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7045718158757350149.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ba0084a57e6d069b626cfe41daafa738.json,False,False,Kaio Viana & MC CJ,Formosa - Brega Funk Remix,dc gaby e juu (Contains music from: Formosa - Brega Funk Remix - Kaio Viana & MC CJ),"Contains music from: ""Formosa - Brega Funk Remix""",[],0,0,Guadeloupe,#trend,0,0,0,0,0,0,0,0,0,0
