,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_goviral,hash_tiktok,hash_trending,hash_viral
0,GQ,7099172665503649029,1652904943, ,6809320229257266182,Teddy Nguema,,0,False,https://www.tiktok.com/@teonguema/video/7099172665503649029?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099172665503649029&source=h5_m,59451,216,401,1381,3496,6966912594208622593,6966912594208622593,10036,6966912594208622593,UEFA Champions League Anthem,UEFA,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/733fa316d3414f8ebb0e251ccf51ad79,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/9ab03f40f52d41e4be75c44bcf5789c7,True,True,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
1,GQ,7085336217444715781,1649683393,Chica mala para todo parte 2 😂,6982190224500409349,marilynezemeob,,0,False,https://www.tiktok.com/@marilynezemeob/video/7085336217444715781?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085336217444715781&source=h5_m,84095,186,81,379,3836,6841501181462989574,6841501181462989574,72,6841501181462989574,original sound - princesakorokoro,ugerodriguez,6.634891903915721e+18,ugerodriguez,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6841501159078103813.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/65b5e16140528403649e6c43dce9883b.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
2,US,7092074337842269482,1651252234,“We don’t lie unless we want to scam you” -@burnaboyofficial #DailyShow #BurnaBoy #fyp #foryoupage,6671042256710057990,The Daily Show,The Daily Show with Trevor Noah - Weeknights 11/10c on Comedy Central,2,False,https://www.tiktok.com/@thedailyshow/video/7092074337842269482?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092074337842269482&source=h5_m,7616107,6003,19131,3522,794599,7092074288345254702,7092074288345254702,72,7092074288345254702,original sound - thedailyshow,The Daily Show,6.671042256710058e+18,The Daily Show,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7092074336550636334.mp3,,False,False,,,,,[],0,0,Equatorial Guinea,#DailyShow #BurnaBoy #fyp #foryoupage,0,1,0,0,1,0,0,0,0,0
3,CM,7103544229946723589,1653922777,Le challenge ci nor 😅😅😅😅😅,6808562069890417669,Tik_dengue,No bio yet,0,False,https://www.tiktok.com/@tikdengue/video/7103544229946723589?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103544229946723589&source=h5_m,155251,171,180,927,10652,7100277560503831302,7100277560503831302,72,7100277560503831302,original sound - pureartcomedy,pure art comedy,6.86521999174317e+18,pure art comedy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100277587808717574.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/84f20242db835cff92dedb377a1b3a7c.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
4,CA,7100572938746776838,1653230969,I know some of y’all singles be praying like this.. 😏🤣 credit: @Hillary Phillips #fyp #christian,6752266346220340230,Ariel Fitz,"heyy sugarr, welcome to the gang 🤪💕
📧 : ariel.fitz@lstagency.com
🇻🇨🇹🇹🇨🇦",0,False,https://www.tiktok.com/@ariel.fitz/video/7100572938746776838?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100572938746776838&source=h5_m,807346,1908,5601,13917,130220,7100572933323574022,7100572933323574022,72,7100572933323574022,original sound - ariel.fitz (Contains music from: الزمن زمني - محمد رزق),"Contains music from: ""الزمن زمني""",6.75226634622034e+18,Ariel Fitz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100572926835034885.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c05c71c585120527a73f0d56580ce470.json,False,False,محمد رزق,الزمن زمني,original sound - ariel.fitz (Contains music from: الزمن زمني - محمد رزق),"Contains music from: ""الزمن زمني""",[],0,0,Equatorial Guinea,#fyp #christian,0,0,0,0,1,0,0,0,0,0
5,CM,7102903109457906949,1653773505, ,6829773256066122758,Floxybae30,"Beach body❤️
Pretty girl vibes❤️
Ig floxy-bae30-❤️
Let’s grow together 😌",0,False,https://www.tiktok.com/@floxybae30/video/7102903109457906949?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102903109457906949&source=h5_m,204148,365,650,2846,20057,7099719332732750598,7099719332732750598,72,7099719332732750598,Dj Yk carry me Dey go (Contains music from: Gentility Virus - Dj Yk Beats),"Contains music from: ""Gentility Virus""",6.66387204374025e+18,Dj Yk Beats,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099719338357279493.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cf11ff99a5634f8dbd991723143fb179.json,False,False,Dj Yk Beats,Gentility Virus,Dj Yk carry me Dey go (Contains music from: Gentility Virus - Dj Yk Beats),"Contains music from: ""Gentility Virus""",[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
6,GQ,7085433307277610246,1649705998,el pereito no es fácil eh 😂😂😂😂,7027716394196648966,NzambiMirey,💙 Amour a moi 💙,0,False,https://www.tiktok.com/@nzambimirey/video/7085433307277610246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085433307277610246&source=h5_m,113011,56,52,446,2603,7028498814554130433,7028498814554130433,10033,7028498814554130433,Envolver,Anitta,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b9da595ac92742758a78fa7efd992747,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/64d77a1ed52b41a39d8a5009811e2209,True,True,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
7,CA,7084283205691378949,1649438219, ,6722546287470822406,LoveK&R,"🤍🤍  
INSTAGRAM: @Kristenvp | @Mr._anderson18
💌partnerships@equationsales.com",0,False,https://www.tiktok.com/@kristenandreafe/video/7084283205691378949?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084283205691378949&source=h5_m,305257,171,286,824,25323,7081205964560501510,7081205964560501510,10036,7081205964560501510,Kwaku the Traveller,Black Sherif,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/0a5dd74d2a6b484fa2bc480d6312f92d,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/c59526bb39c941fab5656a50a2f49593,False,True,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
0,GQ,7087247859304647942,1650128482,#humor #humor,6748805340979299330,vanila,Instagram: bombonsita_123.😊,0,False,https://www.tiktok.com/@201vanila/video/7087247859304647942?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087247859304647942&source=h5_m,399253,109,225,847,41193,7069089941535525637,7069089941535525637,72,7069089941535525637,Dj Madmaxx bong bing remix (Contains music from: Jump - RDX),"Contains music from: ""Jump""",6.803412724216497e+18,Dj MadMaXx,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7069089934572817158.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/651b978e4e2bd1c42d7ce9d73fa4b2b8.json,False,False,RDX,Jump,Dj Madmaxx bong bing remix (Contains music from: Jump - RDX),"Contains music from: ""Jump""",[],0,0,Equatorial Guinea,#humor #humor,0,0,0,0,0,0,0,0,0,0
1,GQ,7076350093401591046,1647591150,Una imajen vle mask mil plbras ❤️ el tanto hera real👌❤️😍,6814912079000421377,user9118918777913,,0,False,https://www.tiktok.com/@mimi_miko89.12/video/7076350093401591046?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076350093401591046&source=h5_m,299922,120,184,960,6459,7068444356427959046,7068444356427959046,72,7068444356427959046,original sound - p.demetria,Princesa Demetria,6.813134544821126e+18,Princesa Demetria,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7068444338724408070.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/504215b2b9400cc61f5487a33039938f.json,False,False,,,,,[],0,0,Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0
