,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_comedy,hash_foryou,hash_foryoupage,hash_funny,hash_fyp,hash_fypシ,hash_movie,hash_tiktok,hash_viral
0,MX,7097770411286367493,1652578457,Omg 😆😆❌,6836726299010483205,Jade Lavoie,"#humor #actress
Mexico / Canada
Follow for more 🐒❤️",0,False,https://m.tiktok.com/v/7097770411286367493.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097770411286367493&source=h5_m,6817922,1550,762,3085,441150,7083655456534842158,7083655456534842158,72,7083655456534842158,original sound - djprecise,DJ Precise,6.780923368507868e+18,DJ Precise,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7083655483805977386.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/55e867230ec0554fc77c07d516e8ff11.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,,0,0,0,0,0,0,0,0,0,0
1,GB,7088716288301878533,1650470378,I think he’s happy😍🥺#funny #dog #fyp #foryoupage,6981433692657517574,Animals of TikTok,"Follow for daily content!
Sub to my YouTube so I can create videos
DM 4 promos",0,False,https://m.tiktok.com/v/7088716288301878533.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088716288301878533&source=h5_m,21530762,9267,189994,27325,1026135,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Heard Island and McDonald Islands,#funny #dog #fyp #foryoupage,0,0,0,1,1,1,0,0,0,0
2,US,7102046634510519554,1653574091,#fup @anastasyiaqueen,6969825068642747397,maxim_zhevagin,"Actor, showman, official double of Captain Jack Sparrow's film persona in Russia",0,False,https://m.tiktok.com/v/7102046634510519554.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102046634510519554&source=h5_m,68686,68,28,34,5896,6843947035826211589,6843947035826211589,72,6843947035826211589,original sound - jazminvzavala (Contains music from: Marry Me (feat. Toya Wright) - Rasheeda),"Contains music from: ""Marry Me (feat. Toya Wright)""",6.695049905893213e+18,Jazmin,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6843947019816569606.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/acb3e41fb99b4e8daea2906f0d013d13.json,False,False,Rasheeda,Marry Me (feat. Toya Wright),original sound - jazminvzavala (Contains music from: Marry Me (feat. Toya Wright) - Rasheeda),"Contains music from: ""Marry Me (feat. Toya Wright)""",[],0,0,Heard Island and McDonald Islands,#fup,0,0,0,0,0,0,0,0,0,0
3,DE,7095768610500644101,1652112374,"Mensch ist Mensch🙏😘, wo soll ich als Nächstes kommen? #dfaguimba @f.dabo",6862427203654370310,dfaguimba,"Follow me🙏😘
Folg mir🙏😘
2.3M😘🙏",0,False,https://m.tiktok.com/v/7095768610500644101.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095768610500644101&source=h5_m,9169341,11176,3657,818,644164,6822352061254863622,6822352061254863622,10036,6822352061254863622,Jerusalema (feat. Nomcebo Zikode) [Edit],Master KG,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/943802d68d824978a368a93eded6ddfd,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bbc34a399fe246eda493353d9ca5c465,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1522736829', 'external_song_key': 'apple_song_id'}]",0,0,Heard Island and McDonald Islands,#dfaguimba,0,0,0,0,0,0,0,0,0,0
4,OM,7094087797665008897,1651721030,#stop_fairy_hunting 🧚‍♀️#fairy #fairy_account,7094083092356760578,A ✨Fairy✨,"I am a fairy 🧚‍♀️🫶🏻
Follow me for more fairy content 🤍
600 fairy’s ❤️‍🔥🥹",0,False,https://m.tiktok.com/v/7094087797665008897.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094087797665008897&source=h5_m,34799,2,8,13,2154,7054944247296019206,7054944247296019206,72,7054944247296019206,original sound - reacxy,reacxy,7.048315661152404e+18,reacxy,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7054944255462198022.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/df5cd888ed08cbeac5e9d85877eb311d.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,#stop_fairy_hunting #fairy #fairy_account,0,0,0,0,0,0,0,0,0,0
5,MY,7101983627029875995,1653559419,she's so beautiful:)#fyp,7021895694602241030,?,?,0,False,https://m.tiktok.com/v/7101983627029875995.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101983627029875995&source=h5_m,1046873,3849,9163,15433,243151,7097709384285555462,7097709384285555462,72,7097709384285555462,someone i know,nicols,6.82033097985052e+18,nicols,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097709401271700230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/48df7b38bdb56d6eaad3c940f56a66f2.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,#fyp,0,0,0,0,0,1,0,0,0,0
6,US,7098486812179696942,1652745254,#pain #paintikok #sadtiktok #sadstory #paintok #lonely #painhub #fyp #fypシ #famous #foryou #viral,7003780964905436165,Chads_feels05,"Love all 11.7k of you❤️

12k?😁😌",0,False,https://m.tiktok.com/v/7098486812179696942.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098486812179696942&source=h5_m,3141745,13681,30826,16801,612244,7098486809218304811,7098486809218304811,72,7098486809218304811,original sound - chads_feels05,Chads_feels05,7.003780964905436e+18,Chads_feels05,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7098486840914660142.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/9d086e4409d822c74f3cb36368353245.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,#pain #paintikok #sadtiktok #sadstory #paintok #lonely #painhub #fyp #fypシ #famous #foryou #viral,0,0,1,0,0,1,1,0,0,1
7,US,7100650057325874478,1653248924,I’m the luckiest guy ever 🥰 #FollowMeForMoreCringe #TopGunMode #FrunktheBeat #ForYou #katespadenycabana #FYP #Funny #Comedy #Coscto,6825138634552329222,Angel Hernandez,"Just because its fake doesnt mean its not real-HNH
CEO of #FollowMeForMoreCringe",0,False,https://m.tiktok.com/v/7100650057325874478.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100650057325874478&source=h5_m,4616140,2078,5185,4894,556820,6919542084085091078,6919542084085091078,72,6919542084085091078,When I wuz ur man remix,Paul Russell,6.852818216541603e+18,Paul Russell,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6919542093656525574.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/b1fb293efcbb98c840d94489d2d5e4ec.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,#FollowMeForMoreCringe #TopGunMode #FrunktheBeat #ForYou #katespadenycabana #FYP #Funny #Comedy #Coscto,0,1,1,0,1,1,0,0,0,0
0,PH,7075657723005766939,1647429942,Trapped stray cat 😢 #rescuecat #catsoftiktok #adoptdontshop #fyp,6946413435358741505,paaaw11,"IG @bakedmunchph 🧁
@paaaw 🌸",0,False,https://www.tiktok.com/@paaaw11/video/7075657723005766939?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075657723005766939&source=h5_m,40943292,41683,32269,1053,3878123,7075657772423023386,7075657772423023386,24,7075657772423023386,original sound - paaaw11,paaaw11,6.946413435358742e+18,paaaw11,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075657768019266331.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/18b9c51ac6eaf70f0a88b373fb1ec71c.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,#rescuecat #catsoftiktok #adoptdontshop #fyp,0,0,0,0,0,1,0,0,0,0
1,US,7076523453272182062,1647631511,Reply to @bgsamiga12 dont be rude on my birthday please,6764114344529069061,grandma_droniak,hello i’m a celebrity and a 92 year old grandma,0,False,https://www.tiktok.com/@grandma_droniak/video/7076523453272182062?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076523453272182062&source=h5_m,24428927,109115,72237,60944,5186864,7076523428257205035,7076523428257205035,72,7076523428257205035,original sound - grandma_droniak,grandma_droniak,6.764114344529069e+18,grandma_droniak,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076523436813683499.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/28b6d8c8f3d49e076992077b46243a24.json,False,False,,,,,[],0,0,Heard Island and McDonald Islands,,0,0,0,0,0,0,0,0,0,0
