,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_movie,hash_tiktok,hash_viral,hash_xyzbca
0,ID,7102725615241022747,1653732177,SAYAAAAANG KUCINGGG LEMOT GEMEY  CLINGY INI,6723550128982901762,CRYBOT2003,"18 she/her 
IG @curledkid + @khay.2003",0,False,https://t.tiktok.com/i18n/share/video/7102725615241022747/?region=US&mid=7073036425435843354&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102725615241022747&source=h5_t,1047461,1800,1775,14,182353,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Kwixou,I Love You,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
1,ID,7103212121248369946,1653845451,SELAMAT HARI SENIN☺️,6832074353292461058,Ahlam Nauval I Chemistry🇰🇷,"IG: @ahlamnauval I Doain 2022 Ahlam ke Korea🇰🇷
Your Favorite Chemist⚛️",0,False,https://t.tiktok.com/i18n/share/video/7103212121248369946/?region=US&mid=7095178968248109851&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103212121248369946&source=h5_t,350948,400,1001,1782,48623,7095178968248109851,7095178968248109851,24,7095178968248109851,original sound - faisalhky (Contains music from: correspondancer - Kristeen Daniell),"Contains music from: ""correspondancer""",6.915213215975966e+18,faisalhky,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7095178968554343194.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0677fe04a95be61a2d6ec2155e3050a0.json,False,False,Kristeen Daniell,correspondancer,original sound - faisalhky (Contains music from: correspondancer - Kristeen Daniell),"Contains music from: ""correspondancer""",[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
2,GR,7073423941594828037,1646909851,#fyp,102479295897341952,Alexandros🔥,IG:alexandros_dmtr,0,False,https://t.tiktok.com/i18n/share/video/7073423941594828037/?region=US&mid=7011467355561659137&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073423941594828037&source=h5_t,57046718,64822,124701,146055,7993812,7011467355561659137,7011467355561659137,24,7011467355561659137,original sound - Maytree 메이트리,Maytree 메이트리,6.59905037005534e+18,Maytree 메이트리,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7011467236548365057.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d1d9830c74dcfb094b8ea343967fcf67.json,False,False,,,,,[],0,0,Indonesia,#fyp,0,0,0,0,1,0,0,0,0,0
3,MX,7080994558716300586,1648672521, ,7079969500168455214,???,,0,False,https://t.tiktok.com/i18n/share/video/7080994558716300586/?region=US&mid=6971965411147533062&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080994558716300586&source=h5_t,9035533,14882,9887,24696,1619108,6971965411147533062,6971965411147533062,72,6971965411147533062,leo andres messi (Contains music from: Swing Lynn - Harmless),"Contains music from: ""Swing Lynn""",6.899317789686253e+18,Neymar🔥👽,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6971965518072843013.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/645c35eb10b2208203d803ec4d9a7d04.json,False,False,Harmless,Swing Lynn,leo andres messi (Contains music from: Swing Lynn - Harmless),"Contains music from: ""Swing Lynn""",[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
4,ID,7101980666748783899,1653558730,Ngengg #SwayChallenge,6529511480202231810,Sintya Marisca,Fine as hell,0,False,https://t.tiktok.com/i18n/share/video/7101980666748783899/?region=US&mid=7038982678271544069&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101980666748783899&source=h5_t,5591620,6421,7014,8423,863324,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,"[{'h5_url': 'https://s1.ipstatp.com/resso/campaign/tiktok/resso/index.html?id=7096032137534507010&channel=tt&&play_source=dailymix&tiktok_tid=7038982678271544069&hide_nav_bar=1&should_full_screen=1&status_bar_style_type=1&disableBounces=1&callback=snssdk1233://', 'partner_name': 'resso', 'partner_song_id': '7096032137534507010', 'external_song_key': 'resso_song_id'}]",0,0,Indonesia,#SwayChallenge,0,0,0,0,0,0,0,0,0,0
5,ID,7076782384011562267,1647691798,Mwhehehe,155069111960510464,Lang,Instagram : lang2.4,0,False,https://t.tiktok.com/i18n/share/video/7076782384011562267/?region=US&mid=7076782397223602971&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076782384011562267&source=h5_t,8544536,18014,40771,409,1108601,7076782397223602971,7076782397223602971,24,7076782397223602971,original sound - Lang,Lang,1.5506911196051046e+17,Lang,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7076782390164622107.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2bc6f19d9954647d11b338e9ce8ee63b.json,False,False,,,,,[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
6,ID,7103097061242932507,1653818661,dilakukan setress ga dilakukan juga setress 😀🙏🏻  #fyp #tiktokindonesia,6722649259617846278,Mella Carli,"tinggal & besar di belanda pls jgn tanya lgi😭
endorse⬇️ CP(Dhiyara)",0,False,https://t.tiktok.com/i18n/share/video/7103097061242932507/?region=US&mid=7103097063335873307&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103097061242932507&source=h5_t,1752903,1765,13002,29219,323346,7103097063335873307,7103097063335873307,72,7103097063335873307,original sound - Mella Carli,Mella Carli,6.722649259617846e+18,Mella Carli,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7103097072307850010.mp3,,False,False,,,,,[],0,0,Indonesia,#fyp #tiktokindonesia,0,0,0,0,1,0,0,0,0,0
7,ID,7103544901677206810,1653922932,apasiii😭 @yudiibebe_,6558181811544096769,jorrr🥀,MUTUALAN IG LAH KAWAND☝,0,False,https://t.tiktok.com/i18n/share/video/7103544901677206810/?region=US&mid=7101597409872022299&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103544901677206810&source=h5_t,153366,163,107,231,23494,7101597409872022299,7101597409872022299,24,7101597409872022299,original sound - Rinaldy Alexander,Rinaldy Alexander,7314767.0,Rinaldy Alexander,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7101597427710380827.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4279592f7449245c1d14d467d8060b48.json,False,False,,,,,[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
0,ID,7102252511809096987,1653622024,🤭,6903595505902224386,livy renata,"i wasn’t insane, i was divine 🧠🤩",0,False,https://t.tiktok.com/i18n/share/video/7102252511809096987/?region=US&mid=7073036425435843354&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102252511809096987&source=h5_t,1684128,422,1289,13,142942,7073036425435843354,7073036425435843354,24,7073036425435843354,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",7.060505385828124e+18,amber ✘,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7073036415197793050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e274011ed7003c4e9c00460babdda416.json,False,False,Kwixou,I Love You,taehyun is so bf (Contains music from: I Love You - Kwixou),"Contains music from: ""I Love You""",[],0,0,Indonesia,,0,0,0,0,0,0,0,0,0,0
1,ID,7103214485036354843,1653846001,Kecuali virtual🤭#pphitampenuhinkomentar #yangpentingpede #sadboy #lordrahmat,6989250234421822466,muhammadridwan_58,"Makassar-gowa🔥
Ig:@ridw4n_23",0,False,https://t.tiktok.com/i18n/share/video/7103214485036354843/?region=US&mid=7086733145722145563&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103214485036354843&source=h5_t,454366,995,751,489,23748,7086733145722145563,7086733145722145563,24,7086733145722145563,original sound - arvanss,arvanss,6.964996735953995e+18,arvanss,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7086733168656665370.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/760dc043668a46d5c4a4c116b93b9876.json,False,False,,,,,[],0,0,Indonesia,#pphitampenuhinkomentar #yangpentingpede #sadboy #lordrahmat,0,0,0,0,0,0,0,0,0,0
