,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_foryou,hash_foryoupage,hash_funny,hash_fy,hash_fyp,hash_fypシ,hash_satisfying,hash_tiktok,hash_viral
0,DE,7086159216800566533,1649875012,Just a little different 🤌😍 #fy#joke#fürdich#fyp,6765594575445754885,Fabientietjen,"Insta📸 : Fabientietjen

📩 Fabien@thepeopleagency.net",0,False,https://www.tiktok.com/@fabien.tietjen/video/7086159216800566533?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086159216800566533&source=h5_m,10321288,5264,13847,198,757185,6767836526366755590,6767836526366755590,72,6767836526366755590,original sound - mikajr97,Mika ♪,6.700635756916213e+18,Mika ♪,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1652304315943974.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/2671aafb94e2deb66a47adfd520d4d58.json,False,False,,,,,[],0,0,British Indian Ocean Territory,#fy#joke#fürdich#fyp,0,0,0,0,1,1,0,0,0,0
1,FR,7102316439993945350,1653636915,🤍,7001517803523015686,Soso&Alex,"La distance n'arrête pas l'amour.
𝓛𝓸𝓿𝓮. 15/08/2020
Sc👻 : sna_couple",0,False,https://www.tiktok.com/@sna_couple/video/7102316439993945350?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102316439993945350&source=h5_m,1470260,593,9066,784,44653,7044379602562681646,7044379602562681646,72,7044379602562681646,original sound - bbnv.anna (Contains music from: Where's My Love (Alternate Version) - SYML),"Contains music from: ""Where's My Love (Alternate Version)""",7.021552161139181e+18,bbnv.anna,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7044379637836827438.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2abd0646412950e915e3f4ae6738e2ac.json,False,False,SYML,Where's My Love (Alternate Version),original sound - bbnv.anna (Contains music from: Where's My Love (Alternate Version) - SYML),"Contains music from: ""Where's My Love (Alternate Version)""",[],0,0,British Indian Ocean Territory,,0,0,0,0,0,0,0,0,0,0
2,GB,7090928203350527238,1650985379,Culture day fashion show #cultureday #fashionshow,6962967061824373765,isma,,0,False,https://www.tiktok.com/@bigman_tlng/video/7090928203350527238?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090928203350527238&source=h5_m,14250273,33420,8139,20561,1946224,7031143048507557889,7031143048507557889,10033,7031143048507557889,Habibi (Albanian Remix),Ricky Rich & Dardan,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ede1964670f047688b2d52df377a6f34,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/fb408983e18f4ab7a57588c4543f1eb8,True,True,,,,,[],0,0,British Indian Ocean Territory,#cultureday #fashionshow,0,0,0,0,0,0,0,0,0,0
3,GB,7085380895653285126,1649693796, ,6600040317650747397,lucy,hey,0,False,https://www.tiktok.com/@lucymcneillx/video/7085380895653285126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085380895653285126&source=h5_m,46169479,9188,9517,7790,2636522,7067047232037702426,7067047232037702426,24,7067047232037702426,original sound - nianaguerrero (Contains music from: Wait A Minute (Tik Tok Edit) - Remix - Verdun Remix),"Contains music from: ""Wait A Minute (Tik Tok Edit) - Remix""",10542006.0,Niana Guerrero,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7067052920260348698.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/64217ffb019396fed1d7e93272e5fc95.json,False,False,Verdun Remix,Wait A Minute (Tik Tok Edit) - Remix,original sound - nianaguerrero (Contains music from: Wait A Minute (Tik Tok Edit) - Remix - Verdun Remix),"Contains music from: ""Wait A Minute (Tik Tok Edit) - Remix""",[],0,0,British Indian Ocean Territory,,0,0,0,0,0,0,0,0,0,0
4,GB,7099090172410612998,1652885736,Odette teaches the twins Fwench #Odette #PeachandPoppy,6848143395749348358,Tatiana Bellator,"Comedy Skits, New Home🏠 Cuisine,
and lots of humour🇬🇧
Links & Contact👇🏼",0,False,https://www.tiktok.com/@tatianabellator/video/7099090172410612998?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099090172410612998&source=h5_m,7381793,7638,24530,47819,1197157,7099090142400498437,7099090142400498437,72,7099090142400498437,original sound - tatianabellator,Tatiana Bellator,6.848143395749348e+18,Tatiana Bellator,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099090156292033285.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7e8160d85783a5f11fdf59b1a96cf951.json,False,False,,,,,[],0,0,British Indian Ocean Territory,#Odette #PeachandPoppy,0,0,0,0,0,0,0,0,0,0
5,IT,7074384548359900422,1647133509,O mio dio canta nel cuore della notte ..,6527017203445797888,Madtrinity,"Info e collab: ad@otbsrl.it
        COMEDY 
Il nostro obbiettivo farvi ridere🤡",0,False,https://www.tiktok.com/@madtrinity/video/7074384548359900422?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074384548359900422&source=h5_m,35246964,2879,4200,31322,1416002,7034461623180200706,7034461623180200706,24,7034461623180200706,original sound - dkawn.me (Contains music from: Laka Da Mar - Kashif Swabi),"Contains music from: ""Laka Da Mar""",6.925754997703624e+18,𝘿𝙆𝙖𝙬𝙣ッ,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7034461585712155393.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c0c2e8dde4c4fbaa437358763ec991a2.json,False,False,Kashif Swabi,Laka Da Mar,original sound - dkawn.me (Contains music from: Laka Da Mar - Kashif Swabi),"Contains music from: ""Laka Da Mar""",[],0,0,British Indian Ocean Territory,,0,0,0,0,0,0,0,0,0,0
6,US,7093321452874747179,1651542600,I’m gonna need a mega pint after this.😳#johnnydepp #amberheard #couplelove,92253275852242944,Jaron & Maggie,"Enjoy life, have a 😂 with us!",0,False,https://www.tiktok.com/@theblondebrewer/video/7093321452874747179?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093321452874747179&source=h5_m,7840015,3025,10484,2688,216572,7093321437347466027,7093321437347466027,72,7093321437347466027,original sound - theblondebrewer,Jaron & Maggie,9.225327585224294e+16,Jaron & Maggie,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093321459657083694.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/a3d11ead8739b1365d2f2c211ad79feb.json,False,False,,,,,[],0,0,British Indian Ocean Territory,#johnnydepp #amberheard #couplelove,0,0,0,0,0,0,0,0,0,0
7,US,7078328362418359598,1648051750,Thank you for 8M views #viral #overnightoats @bysarv #oats #overnightoatsrecipe #healthyliving #healthyrecipes #viralvideo #viraltiktok #tiktokusa #over30 #over30tiktok #fyp #foryou,6934162273230898182,By Sarv,"Sarv
Fashion, Beauty, lifestyle, YouTube
⬇️✨💫YouTube Channel 💫✨⬇️",0,False,https://www.tiktok.com/@bysarv/video/7078328362418359598?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7078328362418359598&source=h5_m,9557721,1223,6609,18022,281101,7019862529954351878,7019862529954351878,72,7019862529954351878,DJ Rony Remix (Contains music from: Sindhi Dialog (352) - Sajjad Ali Chandio),"Contains music from: ""Sindhi Dialog (352)""",6.780132320621708e+18,Rony,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7019862561542015749.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ba36682c23304b8c00f0bf1d6875a946.json,False,False,Sajjad Ali Chandio,Sindhi Dialog (352),DJ Rony Remix (Contains music from: Sindhi Dialog (352) - Sajjad Ali Chandio),"Contains music from: ""Sindhi Dialog (352)""",[],0,0,British Indian Ocean Territory,#viral #overnightoats #oats #overnightoatsrecipe #healthyliving #healthyrecipes #viralvideo #viraltiktok #tiktokusa #over30 #over30tiktok #fyp #foryou,0,1,0,0,0,1,0,0,0,1
0,US,7086465204858490154,1649946256,Soooo Not Halal Mode 😡 #baderalsafar #Ramadan #ramadankareem #RamadanMubarak #islam #muslim #halal #sohalalmode #fasting #foryou #fyp #foryoupage #supreme #hypebeast,6752632772340335621,Bader Al Safar,So Halal Mode,0,False,https://www.tiktok.com/@baderalsafar/video/7086465204858490154?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086465204858490154&source=h5_m,3398077,2287,1800,91,177134,7086465143311305514,7086465143311305514,72,7086465143311305514,original sound - baderalsafar,Bader Al Safar,6.752632772340336e+18,Bader Al Safar,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7086465199602944814.mp3,,False,False,,,,,[],0,0,British Indian Ocean Territory,#baderalsafar #Ramadan #ramadankareem #RamadanMubarak #islam #muslim #halal #sohalalmode #fasting #foryou #fyp #foryoupage #supreme #hypebeast,0,1,1,0,0,1,0,0,0,0
1,SA,7097622166744698114,1652543939,الرد على @moody1500 حصل خير حصل خير تصير في اكبر العائلات 😂💔 #جدة #جده #اكسبلورexplore #foryou #fyp #ثروباك #عيد #ثروناو #fypシ,6730971111405896709,RaedALzhrani,"ENG👷🏻‍♂️⚡️ 
JEDDAH

👻👇🏻",0,False,https://www.tiktok.com/@iraedii/video/7097622166744698114?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097622166744698114&source=h5_m,21962154,29723,66014,101575,531455,7097622166577187585,7097622166577187585,72,7097622166577187585,original sound - iraedii,RaedALzhrani,6.730971111405897e+18,RaedALzhrani,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097622124105435905.mp3,,False,False,,,,,[],0,0,British Indian Ocean Territory,#جدة #جده #اكسبلورexplore #foryou #fyp #ثروباك #عيد #ثروناو #fypシ,0,1,0,0,0,1,1,0,0,0
