,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_explore,hash_foryou,hash_foryoupage,hash_fy,hash_fyp,hash_fypシ,hash_tiktok,hash_trending,hash_viral,hash_اكسبلور
0,GB,7088010121418247430,1650305960,The worst timing 😂😭 #trend #couplecomedy #fyp #foryou,6567008836996874245,Matthew & Ryan 🌈,"FUN and LOVE ALWAYS 
📧 heyguysitsmatthewandryan@gmail.com
⬇️ YOUTUBE ⬇️",0,False,https://m.tiktok.com/v/7088010121418247430.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088010121418247430&source=h5_m,3789959,317,289,1115,52559,7079848233727527723,7079848233727527723,72,7079848233727527723,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",6.41086141261865e+16,Hope Schwing,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7079848259551824686.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/bdbf6f7891913266ce1589afae9f9f0c.json,False,False,Jungleboy,Perfect,original sound - hope_schwing (Contains music from: Perfect - Jungleboy),"Contains music from: ""Perfect""",[],0,0,Iraq,#trend #couplecomedy #fyp #foryou,0,1,0,0,1,0,0,0,0,0
1,TR,7080580096318262530,1648576023,Nerede oturuyorsunuz?,6595530774136487942,GÖZDE AKGÜN,ŞARKIMIZ İÇİN TIKLA İZLE,0,False,https://m.tiktok.com/v/7080580096318262530.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080580096318262530&source=h5_m,13099034,4367,3519,12257,479567,7080580098486700802,7080580098486700802,72,7080580098486700802,original sound - akgunnice,GÖZDE AKGÜN,6.595530774136488e+18,GÖZDE AKGÜN,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7080580048146811649.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e317249bf1a216852bcd453504c123ff.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
2,AR,7102162956405804293,1653601175, ,7102161291054105606,wecceiwo,Only for you😋⤵️,0,False,https://m.tiktok.com/v/7102162956405804293.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102162956405804293&source=h5_m,5207945,690,1270,3963,100179,7100895077437901610,7100895077437901610,72,7100895077437901610,Mý. pÖŘŇÖ._VîÍĎ.Ë0 ón ĺink in._BÍö,Tik Toker,6.987289724285306e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7100895145717058350.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7e1e3d3e3081cd12fe322c7bce8449f0.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
3,IQ,7099707543433301250,1653029479,#esomusic,6983661395024741378,𝑬𝑺𝑶_𝑴𝑼𝑺𝑰𝑪,هەرچی داواکاریەکتان هەبوو لە سناپ ئاگادارم بکەنەوە ئەوەش سناپم👇,0,False,https://m.tiktok.com/v/7099707543433301250.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099707543433301250&source=h5_m,1413349,1053,2058,12806,110654,7099707532180720386,7099707532180720386,72,7099707532180720386,original sound - eso_music,𝑬𝑺𝑶_𝑴𝑼𝑺𝑰𝑪,6.983661395024741e+18,𝑬𝑺𝑶_𝑴𝑼𝑺𝑰𝑪,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099707526576376578.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e09254d7501fa01508a301e904d0fe9a.json,False,False,,,,,[],0,0,Iraq,#esomusic,0,0,0,0,0,0,0,0,0,0
4,IQ,7093116738673364226,1651494937,Happy Eid to all Muslim friends✨ YouTube (pares.azad) instagram (pares_azad_offecial) Snapchat (Ppares.2001) #paresazad @pawan.azad,6567008808374222854,pares.azad,"YouTube👉🏻pares.azad
Instagram👉🏻pares_azad_offecial
Snapchat 👉🏻Ppares.2001",0,False,https://m.tiktok.com/v/7093116738673364226.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093116738673364226&source=h5_m,1680347,430,253,1517,64313,7038982678271544069,7038982678271544069,10036,7038982678271544069,Sway (Sped Up Version),Michael Bublé,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8d38123e3caf473081c33fe9eb11d06b,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/f97f2b3227bb4a0eb8dd03c8e1e5c693,False,True,,,,,[],0,0,Iraq,#paresazad,0,0,0,0,0,0,0,0,0,0
5,IQ,7092780687874428161,1651416694,حلالكم بدون حقوق اجر لي ولكم + اكتب شيء تؤجر عليه عبد الباسط عبد الصمد #قران #quran #القران_الكريم,6912141396045775873,ALI | عـلي,"""﴿ لَا تَحۡزَنۡ إِنَّ ٱللَّهَ مَعَنَاۖ ﴾ ""
كُن بَسيطا تكُن أجمل.",0,False,https://m.tiktok.com/v/7092780687874428161.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092780687874428161&source=h5_m,2820844,4935,9295,30376,254599,6728562975734515713,6728562975734515713,10036,6728562975734515713,Love You So,The King Khan & BBQ Show,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6a790bec1bf640c185753440ca131a7e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e9e77e939b244f8094dfea801e7683b0,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '297284611', 'external_song_key': 'apple_song_id'}]",0,0,Iraq,#قران #quran #القران_الكريم,0,0,0,0,0,0,0,0,0,0
6,IQ,7096507349451492609,1652284379,#ئەکتیڤم_سفرە #foryou,7066487969482097665,1$1,✅✅✅,0,False,https://m.tiktok.com/v/7096507349451492609.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096507349451492609&source=h5_m,2975098,439,454,2612,79324,7096507360395397889,7096507360395397889,72,7096507360395397889,original sound - officaill1,1$1,7.066487969482098e+18,1$1,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096507337694808833.mp3,,False,False,,,,,[],0,0,Iraq,#ئەکتیڤم_سفرە #foryou,0,1,0,0,0,0,0,0,0,0
7,IT,7094281230782352646,1651766067, ,6816995522239693830,🔆,🇮🇹🍕,0,False,https://m.tiktok.com/v/7094281230782352646.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094281230782352646&source=h5_m,47221615,19798,40416,10669,955132,7094281226827156229,7094281226827156229,72,7094281226827156229,original sound - licclisa,🔆,6.816995522239694e+18,🔆,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094281212528823045.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b1489670fbca04ffa09c621edf7f73e0.json,False,False,,,,,[],0,0,Iraq,,0,0,0,0,0,0,0,0,0,0
0,GB,7094304167862324485,1651771408,Summer vibes are kicking off 🕺🏻🕺🏻🕺🏻 #foryou #poutoi #afrobeats #drogba #joanna #tiktokers #tiktokafrica #tiktoknigeria #tiktokghana #tiktokkenya #zimtiktok #tiktoksouthafrica #jamaicatiktok,6800589363514082310,birovr,"Happy soul: I dance a lot🕺🏻and smile more 😁
🎶So allow me make I enjoy life🎶",0,False,https://www.tiktok.com/@birovr/video/7094304167862324485?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094304167862324485&source=h5_m,16679839,37565,58038,38518,2452013,6750903814657689601,6750903814657689601,10033,6750903814657689601,Drogba (Joanna),Afro B,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/534d9a15107d45eebdb08c97b5daa854,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/e5d280901fdd42a2838bebd9bbf75bc4,True,True,,,,,[],0,0,Iraq,#foryou #poutoi #afrobeats #drogba #joanna #tiktokers #tiktokafrica #tiktoknigeria #tiktokghana #tiktokkenya #zimtiktok #tiktoksouthafrica #jamaicatiktok,0,1,0,0,0,0,0,0,0,0
1,IQ,7074966139981319425,1647268921,تیکتوک 😱 .#hewler #semel #kalar #kurdm #kerkuk #music #dhok #explore #kurdistan #duhok #zaxo #kurd #kurdish #hawler #slemani #akre #amedi #karkuk #kurdi #erbil #iraq #soran #trending #fyp #foryou #tiktok #اكسبلور,6928700394915103746,Rayan Abdullah,"Website Maker |Web Developer
👻 Snapchat: Rayko-z
Instagram: Rayko.z",0,False,https://www.tiktok.com/@rayko.z/video/7074966139981319425?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074966139981319425&source=h5_m,1412663,434,141988,10671,44969,7074966124194007810,7074966124194007810,72,7074966124194007810,original sound - rayko.z,Rayan Abdullah,6.928700394915104e+18,Rayan Abdullah,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7074966106493963010.mp3,,False,False,,,,,[],0,0,Iraq,#hewler #semel #kalar #kurdm #kerkuk #music #dhok #explore #kurdistan #duhok #zaxo #kurd #kurdish #hawler #slemani #akre #amedi #karkuk #kurdi #erbil #iraq #soran #trending #fyp #foryou #tiktok #اكسبلور,1,1,0,0,1,0,1,1,0,1
