,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_ai,hash_foryou,hash_fyp,hash_fypシ,hash_imparacontiktok,hash_italy,hash_neiperte,hash_parati,hash_perte,hash_viral
0,IT,7103480028234566918,1653907831,Nuovo servizio!!!!’ ASSURDO!,7098781883357709317,IenaWhite🤍,"Mettetevi comodi 🍿🎥
Servizi LE IENE 😎 
Film 🎥
Video divertenti 😛",0,False,https://m.tiktok.com/v/7103480028234566918.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103480028234566918&source=h5_m,6325433,3024,11822,10,473262,7103480048623127301,7103480048623127301,72,7103480048623127301,original sound - ienawhite11,IenaWhite🤍,7.098781883357709e+18,IenaWhite🤍,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103480010903702278.mp3,,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
1,CO,7092167296294112518,1651273878,Hey daddy…! #fyp #usa_tiktok #tiktokusa #usa,7089109022200529925,Emily Abby,"Instagram☝🏻
i want to know you more 🥰
i got something for U on IG
Twitter👇🏻",0,False,https://m.tiktok.com/v/7092167296294112518.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092167296294112518&source=h5_m,4565984,2325,3122,4349,150385,7016217834732735237,7016217834732735237,72,7016217834732735237,original sound - theboirayyy_,RAYMOND MK,6.628768370567807e+18,RAYMOND MK,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7016532217346198278.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2b7adf760871e9498496e476f65e537d.json,False,False,[],0,0,,,,,Italy,#fyp #usa_tiktok #tiktokusa #usa,0,0,1,0,0,0,0,0,0,0
2,IT,7097191128293756166,1652443582,VOLUME BASSO? NESSUN PROBLEMA! #trucchiiphone #iphonetricks #iphone,6982263168794493953,NeilHal,su insta trovate l’extra <3 ↗️,0,False,https://m.tiktok.com/v/7097191128293756166.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097191128293756166&source=h5_m,4420147,2405,16306,29559,415334,7097191093846035205,7097191093846035205,72,7097191093846035205,original sound - neilhalofficial,NeilHal,6.982263168794494e+18,NeilHal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097191100233911046.mp3,,False,False,[],0,0,,,,,Italy,#trucchiiphone #iphonetricks #iphone,0,0,0,0,0,0,0,0,0,0
3,IT,7103096676704931077,1653818574,Si è stoppato il video sul più bello😂,6661698806512861190,CallMeBucci,Seguimi anche su instagram perchè si,0,False,https://m.tiktok.com/v/7103096676704931077.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103096676704931077&source=h5_m,1414011,447,1140,636,157196,7103096646866569989,7103096646866569989,72,7103096646866569989,original sound - callmebucci,CallMeBucci,6.661698806512861e+18,CallMeBucci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103096652709677829.mp3,,False,False,[],0,0,,,,,Italy,,0,0,0,0,0,0,0,0,0,0
4,IT,7103520863399562502,1653917337,LIKE PER PARTE 2 #perte #foryou,6615030960562126854,Ayoubelbub,Per collaborazioni scrivimi amo,0,False,https://m.tiktok.com/v/7103520863399562502.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103520863399562502&source=h5_m,1062652,487,136,381,131926,7103520879581121286,7103520879581121286,72,7103520879581121286,original sound - ayoubelbub,Ayoubelbub,6.615030960562127e+18,Ayoubelbub,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103520890167708421.mp3,,False,False,[],0,0,,,,,Italy,#perte #foryou,0,1,0,0,0,0,0,0,1,0
5,IT,7102470350079823109,1653672745,Epica !!! #dualipa #milano #concerto,7039600879351923717,DavideLuci7,"Forza Inter 🖤💙
Travel ✈️🌏 
Concert Life 🤟🏻",0,False,https://m.tiktok.com/v/7102470350079823109.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102470350079823109&source=h5_m,911501,320,1024,6,71141,7102470327413902086,7102470327413902086,72,7102470327413902086,original sound - davideluci10,DavideLuci7,7.039600879351924e+18,DavideLuci7,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102470343490636550.mp3,,False,False,[],0,0,,,,,Italy,#dualipa #milano #concerto,0,0,0,0,0,0,0,0,0,0
6,IT,7102477349005921541,1653674374,#stitch con @stramiaoo #stitch con @stramiaoo,6723591176535131141,Cristian Massarucci,Terni,0,False,https://m.tiktok.com/v/7102477349005921541.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102477349005921541&source=h5_m,1487597,1089,2562,1035,201734,7102477345031097093,7102477345031097093,72,7102477345031097093,original sound - cristianmassarucci,Cristian Massarucci,6.723591176535131e+18,Cristian Massarucci,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102477338319145733.mp3,,False,False,[],0,0,,,,,Italy,#stitch #stitch,0,0,0,0,0,0,0,0,0,0
7,IT,7097217271675833605,1652449668,Quale parola devo fargli dire? C0mmenta @davvvvvv69 #foryou,6549463709612785670,fabiobonzani,"PRANK 🤟🏻 KATRINA !
Faccio scherzi 🐍
seguimi
collab: management@redpvt.com",0,False,https://m.tiktok.com/v/7097217271675833605.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097217271675833605&source=h5_m,2583431,487,473,558,231030,7097217250244250373,7097217250244250373,72,7097217250244250373,original sound - fabiobonzanii,fabiobonzani,6.549463709612786e+18,fabiobonzani,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097217242881985285.mp3,,False,False,[],0,0,,,,,Italy,#foryou,0,1,0,0,0,0,0,0,0,0
0,CL,7102038654700260613,1653572233, ,7100163282606654469,user1650413801946,💋💋👇👇👇💋💋,0,False,https://www.tiktok.com/@dushadiaozl75/video/7102038654700260613?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102038654700260613&source=h5_m,4291454,573,5971,5000,95835,7097113465415863045,7097113465415863045,72,7097113465415863045,Original sound (Contains music from: You Like My Bro - Bob tik),"Contains music from: ""You Like My Bro""",7.092402277512594e+18,Tik Toker,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097113491865144070.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a2db32a2426b8563e8bf73f96beed6ad.json,False,False,[],0,0,Bob tik,You Like My Bro,Original sound (Contains music from: You Like My Bro - Bob tik),"Contains music from: ""You Like My Bro""",Italy,,0,0,0,0,0,0,0,0,0,0
1,IT,7098764768541986053,1652809972,ciao non so ballare so solo giocare a pallavolo -forse neanche quello-,6648584780962463749,dina,"18
🇲🇦",0,False,https://www.tiktok.com/@pia.dina_/video/7098764768541986053?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098764768541986053&source=h5_m,1994866,913,1250,9,252774,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",6.92775759039221e+18,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,[],0,0,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",Italy,,0,0,0,0,0,0,0,0,0,0
