,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_crushhousekg,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_viral,hash_дуэт,hash_кыргызстан,hash_рек,hash_рекомендации
0,GE,7102682081527958789,1653722047,asdor love story😍#hercaiismyyy❤️❤️❤️ #kardeşlerim,6904649513518482437,❣️H/K❤️,დიდი მადლობა 10k ფოლოვერისᲗᲕᲘს (ყველა ვიდეო არ დამილაიქოᲗ ᲑᲐᲜᲘ ᲓᲐᲛᲔᲓᲔᲑᲐ❤️❤️),0,False,https://www.tiktok.com/@tdiziiediits/video/7102682081527958789?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102682081527958789&source=h5_m,74125,25,160,899,5548,7102682035889654533,7102682035889654533,72,7102682035889654533,original sound - tdiziiediits,❣️H/K❤️,6.904649513518482e+18,❣️H/K❤️,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102682045121465093.mp3,,False,False,,,,,[],0,0,Kyrgyzstan,#hercaiismyyy❤️❤️❤️ #kardeşlerim,0,0,0,0,0,0,0,0,0,0
1,KG,7102429644007165186,1653663266,#cadh,6868668461289374721,Crush House,"На 5🍋  сделаем ФАН встречу😍 
 Inst:Crushhouse_",0,False,https://www.tiktok.com/@crushhouse_/video/7102429644007165186?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102429644007165186&source=h5_m,1771537,1952,313,1481,144616,6746993352891189249,6746993352891189249,10033,6746993352891189249,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,,,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ea8ca7768b2142be9cafe3284d9b97fa,https://sf58-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bd04654513374431956fb38fa9f8db1b,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1581990211', 'external_song_key': 'apple_song_id'}]",0,0,Kyrgyzstan,#cadh,0,0,0,0,0,0,0,0,0,0
2,KZ,7097591076998941953,1652536700,🇰🇬 or 🇰🇿? @kagiristwins,7070852421391746050,4girls.team,"Goal 2million 🍋
🇰🇬Bishkek/Kyrgyzstan🇰🇬
(единственный аккаунт)",0,False,https://www.tiktok.com/@4girls.team/video/7097591076998941953?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097591076998941953&source=h5_m,3304203,4345,479,3050,262488,7072479175814187782,7072479175814187782,72,7072479175814187782,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",6.831674564565763e+18,Iconicfatma,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7072479167769873157.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d203808dc93f54480af65167e04b08e8.json,False,False,Myriam Fares,Goumi - Sped Up Version,Gomy Gomy Gomy (Contains music from: Goumi - Sped Up Version - Myriam Fares),"Contains music from: ""Goumi - Sped Up Version""",[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
3,KZ,7089021723374390529,1650541493,❤️❤️❤️,6830732632230315014,S H A I H Y  M A G A 🇰🇿,,0,False,https://www.tiktok.com/@magashaihy/video/7089021723374390529?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7089021723374390529&source=h5_m,20767167,12164,16584,43918,1647236,7089021717745634049,7089021717745634049,72,7089021717745634049,original sound - magashaihy (Contains music from: User16122021Wsl - Bytes),"Contains music from: ""User16122021Wsl""",6.830732632230315e+18,S H A I H Y  M A G A 🇰🇿,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7089021713161177857.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec802179a08c9c213c2c77d38ef95dfd.json,False,False,Bytes,User16122021Wsl,original sound - magashaihy (Contains music from: User16122021Wsl - Bytes),"Contains music from: ""User16122021Wsl""",[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
4,KG,7101435758157827329,1653431861,#fypシon #приро #лош #кыргызтан #казакстан,7039556599925736453,taalaibekovi4__,,0,False,https://www.tiktok.com/@taalaibekovi4__/video/7101435758157827329?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101435758157827329&source=h5_m,1153082,341,8693,25195,104152,7101435721768766210,7101435721768766210,72,7101435721768766210,original sound - taalaibekovi4__,taalaibekovi4__,7.039556599925736e+18,taalaibekovi4__,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7101435644890712834.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4aa993f708972a1df781fde0ec5a70c4.json,False,False,,,,,[],0,0,Kyrgyzstan,#fypシon #приро #лош #кыргызтан #казакстан,0,0,0,0,0,0,0,0,0,0
5,KZ,7103095078276566273,1653818200,🕊,6996234035831964673,𝙳𝙴𝙴𝙰𝙿𝙴𝚁,"Всё видео, цитаты, не про меня** 
Все треки тут🔽",0,False,https://www.tiktok.com/@deeaper.n/video/7103095078276566273?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103095078276566273&source=h5_m,1681606,631,17207,40029,300830,7103095074522712833,7103095074522712833,72,7103095074522712833,original sound - deeaper.n,𝙳𝙴𝙴𝙰𝙿𝙴𝚁,6.996234035831965e+18,𝙳𝙴𝙴𝙰𝙿𝙴𝚁,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7103095058727045890.mp3,,False,False,,,,,[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
6,KG,7100190214932532482,1653141859,Как в сказке🫶🏻,6719472909057999878,po prikolu,memory album💓,0,False,https://www.tiktok.com/@777aaai/video/7100190214932532482?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100190214932532482&source=h5_m,6681113,3986,12903,21760,848241,7099164781953354497,7099164781953354497,24,7099164781953354497,original sound - havimood (Contains music from: Middle Of The Night (Violin) - Joel Sunny),"Contains music from: ""Middle Of The Night (Violin)""",7.640215842997453e+16,havimood,False,True,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099164780564417281.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/cbf8560bf9f63aa33941601f73df88ea.json,False,False,Joel Sunny,Middle Of The Night (Violin),original sound - havimood (Contains music from: Middle Of The Night (Violin) - Joel Sunny),"Contains music from: ""Middle Of The Night (Violin)""",[],0,0,Kyrgyzstan,,0,0,0,0,0,0,0,0,0,0
7,TR,7103554059331718401,1653925065,Allooo😅🤍 #afghanistan #ozbekiston,25087770,Aydas,"عايدة 
İnstagram/aaydasss
Snapchat/aiiidasd
📍Dubai",0,False,https://www.tiktok.com/@aydas/video/7103554059331718401?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103554059331718401&source=h5_m,475412,1246,185,893,50304,6800314718356572934,6800314718356572934,72,6800314718356572934,original sound - __tanha_18,Tofan,1.7643596268250317e+17,Tofan,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1660234190592037.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dca5c90599a5423dac7c41c8ebf06ed9.json,False,False,,,,,[],0,0,Kyrgyzstan,#afghanistan #ozbekiston,0,0,0,0,0,0,0,0,0,0
0,DE,7088353302747876613,1650385863,The edit looked better in my mind 🤔| #muhtesemyuzyil #muhteşemyüzyıl #turkishseries #dizi #firstlook #viral #goviral,6922343236511106050,𝕩𝕥𝕦𝕣𝕜𝕚𝕤𝕙𝕤𝕖𝕣𝕚𝕖𝕤🦋,"ᴛᴜʀᴋɪꜱʜ ꜱᴇʀɪᴇꜱ ᴇᴅɪᴛꜱ 🎬
  𝕋𝕪 𝕗𝕠𝕣 𝟛,𝟙𝕄! 🤍
𝕤𝕙𝕖/𝕙𝕖𝕣",0,False,https://www.tiktok.com/@xturkishseries/video/7088353302747876613?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088353302747876613&source=h5_m,6668439,2873,5456,748,695623,7088353479630965509,7088353479630965509,72,7088353479630965509,original sound - xturkishseries (Contains music from: Love Story Speed up - CruFly),"Contains music from: ""Love Story Speed up""",6.922343236511106e+18,𝕩𝕥𝕦𝕣𝕜𝕚𝕤𝕙𝕤𝕖𝕣𝕚𝕖𝕤🦋,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088353464014949126.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2f5774f86328d2495bedc9140fd418c5.json,False,False,CruFly,Love Story Speed up,original sound - xturkishseries (Contains music from: Love Story Speed up - CruFly),"Contains music from: ""Love Story Speed up""",[],0,0,Kyrgyzstan,#muhtesemyuzyil #muhteşemyüzyıl #turkishseries #dizi #firstlook #viral #goviral,0,0,0,0,0,1,0,0,0,0
1,US,7092381464116874501,1651323744,Have anyone dilened?#egirl #fypシ #sexy #foryou 👄,7081425653036368902,Talyor Aisha,Love life,0,False,https://www.tiktok.com/@talyoraisha/video/7092381464116874501?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7092381464116874501&source=h5_m,10860756,4055,13488,2083,1125576,7092381439882316549,7092381439882316549,72,7092381439882316549,original sound - talyoraisha (Contains music from: Lucifer - 郭晨阳),"Contains music from: ""Lucifer""",7.081425653036369e+18,Talyor Aisha,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7092381446861507333.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9be65818d6100371bf15c9e78edd590f.json,False,False,郭晨阳,Lucifer,original sound - talyoraisha (Contains music from: Lucifer - 郭晨阳),"Contains music from: ""Lucifer""",[],0,0,Kyrgyzstan,#egirl #fypシ #sexy #foryou,0,1,0,0,1,0,0,0,0,0
2,KZ,7103163613157821698,1653834157,Пацаны койсандарш 😂 #рек #fyp,13479262,Baha Puper,"Instagram: @baha_puper
Follow me ✅",0,False,https://www.tiktok.com/@baha_puper/video/7103163613157821698?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103163613157821698&source=h5_m,1212453,901,5232,6175,65359,7062635585013304069,7062635585013304069,72,7062635585013304069,original sound - alexandra__gmn,Alexandra_ Gmn_🥰,6.764380215848502e+18,Alexandra_ Gmn_🥰,False,True,https://sf58-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7062635625983298309.mp3,https://sf58-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8d943ea63db556629ecd225a09d4f69b.json,False,False,,,,,[],0,0,Kyrgyzstan,#рек #fyp,0,0,0,1,0,0,0,0,1,0
