,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_korean,hash_movie,hash_viral,hash_xyzbca,hash_이어찍기,hash_추천
0,GB,7103564204048715013,1653927428,Amazing #movie #film #tiktoker #fyp #foryou #foryoupage,7066403764081411077,movie housekeeper,"If you like watching the movies,please pay attention to me!",0,False,https://www.tiktok.com/@moviehousekeeper/video/7103564204048715013?_r=1&u_code=0&region=US&mid=7030869625311086594&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103564204048715013&source=h5_t,96500,22,33,122,4923,7030869625311086594,7030869625311086594,10033,7030869625311086594,Sunroof,Nicky Youre & dazy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/986dfec9a96747239819231f7dc93931,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a118c1899d5b40d1a5c6c65c307b0e2d,True,True,,,,,[],0,0,"Korea, Republic of",#movie #film #tiktoker #fyp #foryou #foryoupage,1,1,1,0,0,1,0,0,0,0
1,KR,7073397559045164290,1646903707,Well ?! #viral #fyp #foryou #추천 #틱톡순삭,6566555540682637313,B,"Hi stranger 
Follow my Instagram ♥️♥️
🏷 Instagram : @xxashleyb_xx",0,False,https://www.tiktok.com/@b575/video/7073397559045164290?_r=1&u_code=0&region=US&mid=6984998304203410177&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073397559045164290&source=h5_t,499726,308,945,4793,30852,6984998304203410177,6984998304203410177,24,6984998304203410177,original sound - 썸재이 somejei (Contains music from: The Magic Bomb - 抖音完整版 - DJ多多),"Contains music from: ""The Magic Bomb - 抖音完整版""",1.8446616712472986e+17,썸재이 somejei,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6984998123131194113.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f3c1a1b54c86c540889592e1721bf467.json,False,False,DJ多多,The Magic Bomb - 抖音完整版,original sound - 썸재이 somejei (Contains music from: The Magic Bomb - 抖音完整版 - DJ多多),"Contains music from: ""The Magic Bomb - 抖音完整版""",[],0,0,"Korea, Republic of",#viral #fyp #foryou #추천 #틱톡순삭,1,0,1,0,0,0,1,0,0,1
2,GB,7096864972017372422,1652367642,"Jiggle jiggle, out tomorrow 👀 #mymoneydontjiggle #autotune #remix #newmusic #fyp #jigglejiggle",6619772988588163077,Duke & Jones,"Manager: Jacob.m.gitt@gmail.com
🇬🇧music producers🇬🇧
Jiggle jiggle out now!",0,False,https://www.tiktok.com/@dukeandjones/video/7096864972017372422?_r=1&u_code=0&region=US&mid=7075729123557100294&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096864972017372422&source=h5_t,32317248,13670,24302,10717,4037727,7075729123557100294,7075729123557100294,10036,7075729123557100294,Jiggle Jiggle,Duke & Jones & Louis Theroux,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/84fc699b425e4f8f8468af75e7906d7f,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/53d5df68e49f406d83b5031f70853539,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1623742151', 'external_song_key': 'apple_song_id'}]",0,0,"Korea, Republic of",#mymoneydontjiggle #autotune #remix #newmusic #fyp #jigglejiggle,0,0,1,0,0,0,0,0,0,0
3,KR,7095731721341111554,1652103785,#요정 놀이 🧚🏻‍♀️ #시아튜토리얼 #tutorial,6666286224317808642,시아지우 sia_jiwoo,"♥︎ instagram : sia_jiwoo ♥︎
🇰🇷 soonent",0,False,https://www.tiktok.com/@sia_jiwoo/video/7095731721341111554?_r=1&u_code=0&region=US&mid=7082391746126154498&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095731721341111554&source=h5_t,39623437,14837,6855,20527,4184786,7082391746126154498,7082391746126154498,24,7082391746126154498,i scream (Contains music from: Wind - DAVI),"Contains music from: ""Wind""",7.033293459751093e+18,sped up audios <3,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7082391698369809153.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8dbf6f9c40f7eadfb311612290358635.json,False,False,DAVI,Wind,i scream (Contains music from: Wind - DAVI),"Contains music from: ""Wind""",[],0,0,"Korea, Republic of",#요정 #시아튜토리얼 #tutorial,0,0,0,0,0,0,0,0,0,0
4,KR,7087037033935375618,1650079397,Marry me again 💍 @davidsiwonchoi,7074822840465425410,PSY,PSYchologist,0,False,https://www.tiktok.com/@42psy42/video/7087037033935375618?_r=1&u_code=0&region=US&mid=6833972887548971781&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087037033935375618&source=h5_t,45012042,28398,179617,63918,5830203,6833972887548971781,6833972887548971781,10036,6833972887548971781,Marry Me (feat. Toya Wright),Rasheeda,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/6451d37d7406466694e79d004d0fd20e,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d318fd9f56e84133a521c965d9628b59,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '536632335', 'external_song_key': 'apple_song_id'}]",0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
5,KR,7082337153786629378,1648985119,솔직히 많이 안 떠서 그렇지 요즘 여캠 bj 중 탑3에 드는 듯 #bj김시원#김시원#여캠#여캠bj#직캠,6993255635614893058,s루루루,,0,False,https://www.tiktok.com/@minimo_mono/video/7082337153786629378?_r=1&u_code=0&region=US&mid=6699403716660824833&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082337153786629378&source=h5_t,998575,452,1269,4611,36120,6699403716660824833,6699403716660824833,25,6699403716660824833,SEXY GIRL,MATI,6.619510555772371e+18,,True,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/5fd9c7cdd9074c0eb88e9e1ef54ab344,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/2278399653d04ba39589b3e606c838b0,True,True,,,,,[],0,0,"Korea, Republic of",#bj김시원#김시원#여캠#여캠bj#직캠,0,0,0,0,0,0,0,0,0,0
6,AU,7093206240075074817,1651515776,🐗 #fy #anime #cosplay #inosuke,6915554386076828673,Mowgli,follow my instagram ☝️,0,False,https://www.tiktok.com/@mowgli.j/video/7093206240075074817?_r=1&u_code=0&region=US&mid=6742199989981678342&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093206240075074817&source=h5_t,2829618,2422,4111,3979,338214,6742199989981678342,6742199989981678342,72,6742199989981678342,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",2381819.0,molly 💛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1646046236596230.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/300aaff96976f5891d3ce79259304b7f.json,False,False,Andre Swilley & Cookie Cutters,Pistol,whyisthisaudiofamous (Contains music from: Pistol - Andre Swilley & Cookie Cutters),"Contains music from: ""Pistol""",[],0,0,"Korea, Republic of",#fy #anime #cosplay #inosuke,0,0,0,0,0,0,0,0,0,0
7,KR,7102754733194054913,1653738958,95&🐯,6756484434957009921,SEVENTEEN,"#SEVENTEEN Official TikTok
#세븐틴 공식 틱톡",0,False,https://www.tiktok.com/@seventeen17_official/video/7102754733194054913?_r=1&u_code=0&region=US&mid=6717101152405555202&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102754733194054913&source=h5_t,8245751,45957,55515,115435,2242524,6717101152405555202,6717101152405555202,10033,6717101152405555202,Go Girl,Pitbull,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7143805dd1464f1ea0dc01d46adee52a,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/464f578436a84a2e91b9f80bc33c3966,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '524775550', 'external_song_key': 'apple_song_id'}]",0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
0,US,7084615418173869358,1649515569,they say it like I don’t hear them behind me 😭,6598624539117912069,Asian Rapunzel,"18
🇨🇳小雪莲🇨🇳 
Insta:hty.04
📍AL📍
irenewong.business@gmail.com",0,False,https://t.tiktok.com/i18n/share/video/7084615418173869358/?region=US&mid=7070377129959426858&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084615418173869358&source=h5_t,6993284,4983,1890,6460,1640287,7070377129959426858,7070377129959426858,72,7070377129959426858,aot n shi,tay🪱,6.795352784574727e+18,tay🪱,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7070377165786778411.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/4bfea6506c3966f7b50b7387d89fc161.json,False,False,,,,,[],0,0,"Korea, Republic of",,0,0,0,0,0,0,0,0,0,0
1,GB,7103260014172769542,1653856603,this was so much funnier in my head #strangerthings #maxmayfield #edit #viral #fyp,6988270779168441349,flash,"ae 2021
⚡️
discord",0,False,https://t.tiktok.com/i18n/share/video/7103260014172769542/?region=US&mid=7103260016840444677&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103260014172769542&source=h5_t,1976547,6003,5077,8295,381446,7103260016840444677,7103260016840444677,72,7103260016840444677,original sound - flash,flash,6.988270779168441e+18,flash,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103260020092177157.mp3,,False,False,,,,,[],0,0,"Korea, Republic of",#strangerthings #maxmayfield #edit #viral #fyp,0,0,1,0,0,0,1,0,0,0
