,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.external_song_info,music.binded_challenge_id,bodydance_score,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,loc,test,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_gaming,hash_minecraft,hash_minecraftbuilding,hash_pourtoi,hash_trend,hash_viral
0,GB,7080170125286051077,1648480568,It is a toxic relationship if you are responsible for someone else’s happiness. #steveharvey #relationshipadvice #putyourselffirst #toxicrealtionships,6738376001737458694,Goalcast,✨Daily Inspiration From The 🌎‘s Most Beautiful People!,0,False,https://www.tiktok.com/@goal.cast/video/7080170125286051077?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7080170125286051077&source=h5_m,7563927,4157,89605,178186,892297,7080170106520652549,7080170106520652549,72,7080170106520652549,original sound - goal.cast,Goalcast,6.738376001737459e+18,Goalcast,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7080170115446229765.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a02622b1847783f0b677af2a8731f5a5.json,False,False,[],0,0,,,,,Madagascar,#steveharvey #relationshipadvice #putyourselffirst #toxicrealtionships,0,0,0,0,0,0,0,0,0,0
1,US,7073595105357204778,1646949702,here’s a recreation of my most viral video 🥺 #foryou #foryoupage #singing,6651700187301806086,Sami Rose,"18 
.
i sing sad songs 
.
ENOUGH REMIX OUT NOW 🤍🎶",0,False,https://www.tiktok.com/@samii.rosee/video/7073595105357204778?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073595105357204778&source=h5_m,20733334,14796,33720,239248,3347027,7073595068007238443,7073595068007238443,72,7073595068007238443,original sound - samii.rosee,Sami Rose,6.651700187301806e+18,Sami Rose,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7073595109291510574.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/7ce6f354bdc473773b6040014cd2151a.json,False,False,[],0,0,,,,,Madagascar,#foryou #foryoupage #singing,1,1,0,0,0,0,0,0,0,0
2,US,7076154120733855018,1647545519,This is now embedded in our brains 🤌🏽😂🔥 @katttrod (dc: @pearlywhirl ),10140734,Analisseworld,"🇳🇮🇩🇴
✊🏻✊🏼✊🏽✊🏾✊🏿
IG: Analisseworld & meettherodz ✨",0,False,https://www.tiktok.com/@analisseworld/video/7076154120733855018?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076154120733855018&source=h5_m,12872719,4436,12009,87650,1551346,7050925335956769537,7050925335956769537,72,7050925335956769537,I was down but whatever,Tik Toker,7.047094151775962e+18,Tik Toker,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7058264288368069377.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3c3fb8d928c814d8cfcbf004af6b5524.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
3,FR,7073810931838405890,1646999953,replay🔁✨ #cover #fypシ,6853096625868096517,Eden Elf,check out my spotify!!!<3,0,False,https://www.tiktok.com/@edenelfs/video/7073810931838405890?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7073810931838405890&source=h5_m,916168,1016,2608,1304,148360,7073810936787782402,7073810936787782402,72,7073810936787782402,original sound - edenelfs,Eden Elf,6.853096625868097e+18,Eden Elf,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7073810909273017089.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dd9ffe3f00f49146a3325f8c50d38a12.json,False,False,[],0,0,,,,,Madagascar,#cover #fypシ,0,0,0,1,0,0,0,0,0,0
4,US,7084610523454721326,1649514429,Fire Snoop Dogg Edit 🔥🔥 #fyp #fire #editz #whoareyou #snoopdogg #thegoat,7066537542453691439,👑CXSHOUT👑,"👆🏽BEST EDITS👇🏽
  God is good👑
     Thank you for 60k! 🐐
  Let’s hit 70k 🎯",0,False,https://www.tiktok.com/@cxshout.editz/video/7084610523454721326?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7084610523454721326&source=h5_m,7588458,3210,13814,55153,868795,7084610479624096554,7084610479624096554,72,7084610479624096554,original sound - cxshout.editz,👑CXSHOUT👑,7.066537542453691e+18,👑CXSHOUT👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7084610515669994283.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/8d3370ad2c1affcb9f5f0afb75b30d57.json,False,False,[],0,0,,,,,Madagascar,#fyp #fire #editz #whoareyou #snoopdogg #thegoat,0,0,1,0,0,0,0,0,0,0
5,MG,7098762639530085638,1652809476,#drole #pourtoi #khabylame #fypシ゚viral #humour #foryou #Tiktokvideo #drolevideo #rire #LearnOnTikTok #videoviral #fyp,7048322004794360838,Pamphilou,"🔔 Follow Me And Subscribe 🔔
 Je Publie Des Vidéos Drôles & Étonnantes
Go 10K ?",0,False,https://www.tiktok.com/@pamphilouu/video/7098762639530085638?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098762639530085638&source=h5_m,307079,288,3871,8588,12426,7098762627534408453,7098762627534408453,72,7098762627534408453,original sound - pamphilouu,Pamphilou,7.048322004794361e+18,Pamphilou,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098762620013955845.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b73a30e2d3eec625160b573a17754fc0.json,False,False,[],0,0,,,,,Madagascar,#drole #pourtoi #khabylame #fypシ゚viral #humour #foryou #Tiktokvideo #drolevideo #rire #LearnOnTikTok #videoviral #fyp,1,0,1,1,0,0,0,1,0,1
6,MG,7088220410528959750,1650354924,@camilacabello 🫶🏽 #camilacabello #havana #tuesday,7075006361516557318,Lix and Faci ✨,love is everything,0,False,https://www.tiktok.com/@ilitsm/video/7088220410528959750?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088220410528959750&source=h5_m,3231286,498,216,749,387778,6515308584451246862,6515308584451246862,22,6515308584451246862,Havana,Camilla Cabello,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f7d1416c64094b1aa9f2a92d21d76281,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/52cfffed47724dfc9098f7f1b04bcbe9,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1321217032', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#camilacabello #havana #tuesday,0,0,0,0,0,0,0,0,0,0
7,MG,7096860320563514629,1652366559,😩😩,7096448987847279622,Bébé149,"Mes amours 🥰
Abonnez vous 😘
iG: cadriahbrunella",0,False,https://www.tiktok.com/@cadriah1/video/7096860320563514629?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096860320563514629&source=h5_m,162493,35,39,33,8468,7096860308706183941,7096860308706183941,72,7096860308706183941,Cadriah1,Bébé149,7.09644898784728e+18,Bébé149,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096860318680337157.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/2d7b0ea657e23029eac1ec01d69fd305.json,False,False,[],0,0,,,,,Madagascar,,0,0,0,0,0,0,0,0,0,0
0,TH,7103453979861994779,1653901763,ฉันจะทำทุกอย่างตามที่คุณสั่ง ❤️,6716956890888897538,Natty🌙,ครีมสระผม เครื่องสำอาง แอดไลน์👇🏻,0,False,https://www.tiktok.com/@nicha.natty/video/7103453979861994779?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103453979861994779&source=h5_m,1481742,378,385,688,155922,6859447951941831430,6859447951941831430,72,6859447951941831430,"cook clean plot twist tyananana (Contains music from: Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Extended] - David Guetta)","Contains music from: ""Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Extended]""",6.627263811551265e+18,tyana,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6922159119919024901.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c04cdd5ac3fe2cb4f1e6713629fb09ac.json,False,False,[],0,0,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Extended]","cook clean plot twist tyananana (Contains music from: Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Extended] - David Guetta)","Contains music from: ""Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Extended]""",Madagascar,,0,0,0,0,0,0,0,0,0,0
1,MG,7100836607892245766,1653292365,Madagascar 2022 🇲🇬🌞🌴 #travel #voyage #fyp,6805216793147671557,Marion Vincent,,0,False,https://www.tiktok.com/@marionvincent0/video/7100836607892245766?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100836607892245766&source=h5_m,214299,95,408,223,26789,7065361590693939973,7065361590693939973,72,7065361590693939973,Rover (Contains music from: ROVER - Mattinthecut),"Contains music from: ""ROVER""",7.008565845694727e+18,™️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7065361598096886534.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/6c573635d51670e7038d7f5b83e4781a.json,False,False,[],0,0,Mattinthecut,ROVER,Rover (Contains music from: ROVER - Mattinthecut),"Contains music from: ""ROVER""",Madagascar,#travel #voyage #fyp,0,0,1,0,0,0,0,0,0,0
2,FR,7081327470636453126,1648750034,"I tried, it worked 👟",6752451240984511494,Saafiir,"Surprise on my Instagram 
🇩🇿🇪🇬
Saafiirmanagement@gmail.com",0,False,https://www.tiktok.com/@saafiir_/video/7081327470636453126?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081327470636453126&source=h5_m,139899729,84557,112425,7260,12867356,6543230635689907200,6543230635689907200,72,6543230635689907200,original sound - taytay6737 (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",6.542247767287272e+18,Tay,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6882509005680331526.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/7f7f01c450dafeb25cfa8df0a6b8751e.json,False,False,[],0,0,Justin Bieber,Baby,original sound - taytay6737 (Contains music from: Baby - Justin Bieber),"Contains music from: ""Baby""",Madagascar,,0,0,0,0,0,0,0,0,0,0
3,FR,7079506185006714118,1648325982,Si seulement 🥺,6783996125499327493,Soukaïna,Hey u ;),0,False,https://www.tiktok.com/@soukikiii/video/7079506185006714118?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7079506185006714118&source=h5_m,11483867,11975,39066,769,1660722,7073261234879286017,7073261234879286017,72,7073261234879286017,original sound - kamxxeer (Contains music from: Baby Slowed - Remix - Eduardo XD & RH Music & Matt Lasong),"Contains music from: ""Baby Slowed - Remix""",6.769919540429899e+18,Dine,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7073261172492978945.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ad681c7baba3d4cb9b81939f87acd9fe.json,False,False,[],0,0,Eduardo XD & RH Music & Matt Lasong,Baby Slowed - Remix,original sound - kamxxeer (Contains music from: Baby Slowed - Remix - Eduardo XD & RH Music & Matt Lasong),"Contains music from: ""Baby Slowed - Remix""",Madagascar,,0,0,0,0,0,0,0,0,0,0
4,FR,7091693930617507078,1651163664,Ca C’est de la tactique 😂 #humour #football,6803412341467268101,Mehdi Donk 🐵,"Les voix dans ma tête 🔈
Contact: mehdidonk@atyr.fr",0,False,https://www.tiktok.com/@mehdidonk/video/7091693930617507078?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091693930617507078&source=h5_m,1084264,678,2473,145,168509,6746993352891189249,6746993352891189249,10033,6746993352891189249,Monkeys Spinning Monkeys,Kevin MacLeod & Kevin The Monkey,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/ea8ca7768b2142be9cafe3284d9b97fa,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bd04654513374431956fb38fa9f8db1b,True,True,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1581990211', 'external_song_key': 'apple_song_id'}]",0,0,,,,,Madagascar,#humour #football,0,0,0,0,0,0,0,0,0,0
