,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score,loc,test,hash_asmr,hash_food,hash_foryou,hash_foryoupage,hash_fyp,hash_fypシ,hash_humour,hash_pourtoi,hash_tahiti,hash_viral
0,PF,7096941269632552193,1652385405,"""les marquises un archipel de la polysémie francais où l'on consomme énormément d'alcool..."" l'origine de la voix !😆 #fyp #perchoir",6874809890310243333,Pokessi DKS,"📲 Facebook: Pokessi NKH
🎵Soundcloud: Pokessi
📧 poehaufnh@gmail.com
#DKS🎧",0,False,https://www.tiktok.com/@pokessi/video/7096941269632552193?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096941269632552193&source=h5_m,153175,254,451,2253,17505,7096941262019791617,7096941262019791617,72,7096941262019791617,original sound - pokessi,Pokessi DKS,6.874809890310243e+18,Pokessi DKS,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7096941241870420737.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/5145ed992055396a63fe66fa4f10cd7b.json,False,False,,,,,[],0,0,French Polynesia,#fyp #perchoir,0,0,0,0,1,0,0,0,0,0
1,PF,7097018729971617026,1652403442,le pire cst quand il dit: tu paye ? 😭 #pourtoi,263237379660963840,Faith Roiro,lart le plus noble est de rendre heureux les autres,0,False,https://www.tiktok.com/@faith_roiro/video/7097018729971617026?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7097018729971617026&source=h5_m,98258,122,93,420,8970,7097018670023183105,7097018670023183105,72,7097018670023183105,original sound - faith_roiro,Faith Roiro,2.6323737966096384e+17,Faith Roiro,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097018560484018946.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/522c24aa9d19c07252dec6a3c2f3cf61.json,False,False,,,,,[],0,0,French Polynesia,#pourtoi,0,0,0,0,0,0,0,1,0,0
2,FR,7102819226251054337,1653753973,Content de vous avoir vues les frr🤩🔥@𝕭𝖞𝖗𝖔𝖓 𝕾𝖆𝖆𝖍 😈🇵🇫 @ARII YLEE❤️👑 @Ton Ton Ken @Taiho Ysf faitoito pour la suite🤟🏻💪🏽#tukim_375,6786464506656572422,🔥*AH KÏMÏ*🔥,"Firmin Timau👨‍👩‍👦
Christine Hikutini👨‍👩‍👦",0,False,https://www.tiktok.com/@ahkim.timau3.7.5/video/7102819226251054337?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102819226251054337&source=h5_m,96254,71,36,1,11791,7091652816099560198,7091652816099560198,72,7091652816099560198,original sound - freeze.raze (Contains music from: Why Don't U Dance With Me - HRRTZ),"Contains music from: ""Why Don't U Dance With Me""",7.017737846543304e+18,Freeze,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7091652815990442757.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/b849b63800f9b996828f94826f10180f.json,False,False,HRRTZ,Why Don't U Dance With Me,original sound - freeze.raze (Contains music from: Why Don't U Dance With Me - HRRTZ),"Contains music from: ""Why Don't U Dance With Me""",[],0,0,French Polynesia,#tukim_375,0,0,0,0,0,0,0,0,0,0
3,JP,7094088869561371906,1651721280,ミートスパイクの練習！#長崎jpic#jpic  #バレーボール #バレー#volleyball#ハイキュー#volleyballplayer#スパイク#spike#volleyballworld #おすすめ #いいね #フォロー#よろしくお願いします,7059366743446668290,ジェイピー君,"長崎JPICのﾏｽｺｯﾄであるジェイピー君の公式アカウントです。｢JPICの日常を載せるｯﾋﾟ🦅｣
フォローよろしくお願いします。
#長崎JPICバレーボール",0,False,https://www.tiktok.com/@jpic_mascot/video/7094088869561371906?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094088869561371906&source=h5_m,1381845,245,375,734,59410,7094088830017440513,7094088830017440513,24,7094088830017440513,original sound - jpic_mascot,ジェイピー君,7.059366743446668e+18,ジェイピー君,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7094088656100641537.mp3,,False,False,,,,,[],0,0,French Polynesia,#長崎jpic#jpic #バレーボール #バレー#volleyball#ハイキュー#volleyballplayer#スパイク#spike#volleyballworld #おすすめ #いいね #フォロー#よろしくお願いします,0,0,0,0,0,0,0,0,0,0
4,KR,7093861395078434049,1651668315,"#behind #tutorial You're curious, right? #hellohouse",7076655704233657346,𝗛𝗲𝗹𝗹𝗼 𝗛𝗼𝘂𝘀𝗲,"ʜᴇʟʟᴏ🙋🏼‍♀️
📧 contact : soonent@soon-ent.co.kr",0,False,https://www.tiktok.com/@hellohouse_official/video/7093861395078434049?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093861395078434049&source=h5_m,37773999,14148,6718,22403,3019746,7041921629911304962,7041921629911304962,10036,7041921629911304962,Say It Right - Sped Up Remix,Nelly Furtado & Speed Radio,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/5e01190004ee45df92edbc4935bec747,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/0c167e45ed64462ba4294a53ca608b24,False,True,,,,,[],0,0,French Polynesia,#behind #tutorial #hellohouse,0,0,0,0,0,0,0,0,0,0
5,FR,7096547559820365062,1652293738,Ah ben !!! Ça a l’air juste !!! @nicolasfleury_,6812688073411904517,Vaimalama,,0,False,https://www.tiktok.com/@vaimalamachaves/video/7096547559820365062?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096547559820365062&source=h5_m,53778,27,3,1,4022,6993230285484361729,6993230285484361729,10033,6993230285484361729,"I'm A Believer (From ""Shrek"")",LA Band,,,False,False,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/343a9ede063a417fbd4e0f95456fdcf5,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/98c2d2d9b6144ccbacbb496b2a611f19,False,True,,,,,[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
6,PH,7103204690585783579,1653843721,Crowded teeth solution = braces! 🦷 #LearnOnTikTok #fyp #dentistontiktok #orthobraces #dentistsoftiktok,7097058146258715650,thedentaldaily,"Dr. Julimar Capao-Aguilar
Dentist 👩🏻‍⚕️🦷🪥
Dental Education videos for you 🙂",0,False,https://www.tiktok.com/@thedentaldaily/video/7103204690585783579?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103204690585783579&source=h5_m,140540,76,23,40,3615,6878786048311282437,6878786048311282437,72,6878786048311282437,original sound - nadiazuniga (Contains music from: Blank Space - Taylor Swift),"Contains music from: ""Blank Space""",6659663.0,Babi,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6878785910369012486.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/5b38bb03ab7451286d1e36f2bdbedbf6.json,False,False,Taylor Swift,Blank Space,original sound - nadiazuniga (Contains music from: Blank Space - Taylor Swift),"Contains music from: ""Blank Space""",[],0,0,French Polynesia,#LearnOnTikTok #fyp #dentistontiktok #orthobraces #dentistsoftiktok,0,0,0,0,1,0,0,0,0,0
7,GB,7103263096814226693,1653857321,#duet with @akamztwenty20 I think that fire was scared too 😂,7050617080755799045,Fabio Jackson,No bio yet,0,False,https://www.tiktok.com/@theefabiojackson/video/7103263096814226693?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103263096814226693&source=h5_m,2298093,2013,1046,6302,251609,7101717929498102534,7101717929498102534,72,7101717929498102534,original sound - akamztwenty20,Akamz,7.963910428337766e+16,Akamz,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101717927988251397.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/bd5db39a37ecf55411aa39134b486b48.json,False,False,,,,,[],0,0,French Polynesia,#duet,0,0,0,0,0,0,0,0,0,0
0,PF,7100683786639166721,1653256783,Les chauffeurs svp vos musiques à 5h du matin là 😭 #tahiti #987 #fyp #humour,7008247213390595073,Mahana☀️,"17y
❤️",0,False,https://www.tiktok.com/@hanax.tmh/video/7100683786639166721?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100683786639166721&source=h5_m,53903,201,191,1,7243,7100683794314726145,7100683794314726145,72,7100683794314726145,original sound - hanax.tmh,Mahana☀️,7.008247213390595e+18,Mahana☀️,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7100683735360228097.mp3,,False,False,,,,,[],0,0,French Polynesia,#tahiti #987 #fyp #humour,0,0,0,0,1,0,1,0,1,0
1,PF,7076544912203795714,1647636508,🥴🙈🤣,188280891004051456,J A D E 🍓,"Insta: Nails by J
Proud to be a mom ❤️
Family first, Laugh and Dance after..
#18",0,False,https://www.tiktok.com/@teriitetoofa/video/7076544912203795714?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076544912203795714&source=h5_m,108864,82,80,256,8673,6836017447234046725,6836017447234046725,72,6836017447234046725,original sound - queen_bym,Queen Bym,6.811965693862266e+18,Queen Bym,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6836017402812058374.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ceef5fadf72fd508d67f69db9dee335d.json,False,False,,,,,[],0,0,French Polynesia,,0,0,0,0,0,0,0,0,0,0
