,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,CD,7096108510856957189,1652191515,Il est le Dieu de la récupération. #pourtoi #pourtoii #nzambe_yaba_genoux #adoration_rdc_congo #Nzambe #chretienslife #Jésus #tiktokchretien #pasteurjoellekabasele #worship #adoration,6904376940170773509,Christelle Mutombo,"C'est Jésus la stars, le Roi des rois",,0,False,https://www.tiktok.com/@chris_kabs/video/7096108510856957189?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096108510856957189&source=h5_m,116726,963,1675,6450,8838,7096108499821660933,7096108499821660933,72,7096108499821660933,original sound - chris_kabs,Christelle Mutombo,6904376940170773509,Christelle Mutombo,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7096108495484799750.mp3,,False,False,,,,,[],0,0
1,CD,7103430157842566406,1653896219,,6832027987165676549,Timothée M. Kabasele,"Prédicateur passionné de l'évangile, écrivain, conférencier, businessman ,Marié.",,0,False,https://www.tiktok.com/@pasteurtimotheekabasele/video/7103430157842566406?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103430157842566406&source=h5_m,68916,122,1152,4180,5008,7103430085084039942,7103430085084039942,72,7103430085084039942,original sound - pasteurtimotheekabasele,Timothée M. Kabasele,6832027987165676549,Timothée M. Kabasele,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103430088879868678.mp3,,False,False,,,,,[],0,0
2,NG,7095704247836216582,1652097390,What you asked for 🤷🏾‍♀️. #fyp,6765628801705231366,Alex...Unusual,"Vibes on a different level
Let’s have fun",Verified account,0,False,https://www.tiktok.com/@alex_unusual/video/7095704247836216582?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095704247836216582&source=h5_m,1385689,2169,9259,9197,167688,7082776673581550341,7082776673581550341,72,7082776673581550341,original sound - uc_royal,Uc Royal,6810370215240434694,Uc Royal,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082776682054159109.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/598a916e4d44657186be68d87ead1880.json,False,False,,,,,[],0,0
3,FR,7099836016713796870,1653059391,,6942517031280149510,Angela,Instagram Coiffeuse affro cambrai 🇫🇷🇫🇷🇫🇷🇨🇩🇨🇩🇨🇩,,0,False,https://www.tiktok.com/@kunachou/video/7099836016713796870?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099836016713796870&source=h5_m,3204563,2682,7395,1958,300175,7097132068441754374,7097132068441754374,72,7097132068441754374,original sound - dadju.community,Dadju,7002767654504039430,Dadju,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097132081435724549.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/600304e499393ca976a5bdae752e7720.json,False,False,Dadju,Ambassadeur - Animateur: Brigade,original sound - dadju.community (Contains music from: Ambassadeur - Animateur: Brigade - Dadju),"Contains music from: ""Ambassadeur - Animateur: Brigade""",[],0,0
4,BE,7100573047517678853,1653230995,Pour celles qui ont compris : ce n’est rien de grave tant que c’est pris en charge! 🤣🐟 #humour #womenissues,6807117143130588166,𝐀𝐍𝐀𝐘𝐒𝐒𝐄  🕊,"Salut! 
Je cherche des solutions aux problèmes d’acné et d’ hyperpigmentation.",,0,False,https://www.tiktok.com/@anaxssse/video/7100573047517678853?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100573047517678853&source=h5_m,2862495,1489,629,3132,167538,7076503496719223557,7076503496719223557,72,7076503496719223557,original sound - speedupsxxgs,speedupsxxgs,7063923745190085638,speedupsxxgs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076503511764060933.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d6c291236fc94166ae67e545e3449046.json,False,False,,,,,[],0,0
5,FR,7077610676981746949,1647884650,Efficace🤣,6779545410270675973,charlotte ♌️,"Bdx
Ig: charlotte_moeyaert",,0,False,https://www.tiktok.com/@cha_moeyaertt/video/7077610676981746949?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077610676981746949&source=h5_m,545542,878,384,64,37614,7067561003264854789,7067561003264854789,72,7067561003264854789,original sound - rehanne9220,Rhn🫀,6871849697347699718,Rhn🫀,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7067561008491612934.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9f39d1c43e14c1d356a5d65dcb5b6b74.json,False,False,,,,,[],0,0
6,CG,7098691463516540166,1652792905,,6981798168230167558,ibrahimm973,"Si tu es sympa, cool, pas trop correct mais gentille, ça passe nous sommes ami😂",,0,False,https://www.tiktok.com/@ibrahimm973/video/7098691463516540166?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098691463516540166&source=h5_m,360397,697,915,11067,23799,7098691429459806982,7098691429459806982,72,7098691429459806982,original sound - ibrahimm973,ibrahimm973,6981798168230167558,ibrahimm973,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098691446634547973.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d68a750e6aa7c2b23a7780466dbbd60d.json,False,False,,,,,[],0,0
7,US,7101064063576231173,1653345319,,6855972947623166982,Madara Dusal,Instagram: @Madara Dusal,,0,False,https://www.tiktok.com/@real_madara_dusal/video/7101064063576231173?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101064063576231173&source=h5_m,2302362,2156,1319,12213,271292,7098831239666256646,7098831239666256646,72,7098831239666256646,original sound - berlineekaya,Berline01,6910546373071700997,Berline01,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098831238516968197.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/42c7dec1418b91671dd529547272a498.json,False,False,,,,,[],0,0
0,CG,7102563116134714629,1653694344,"Tu peux rien faire sans lui, laisse lui prendre le control de tout🙇🏽‍♂️✝️ #tiktokchretien #chretienslife #jeuneenchrist #jesusiscoming #🙇🏽‍♂️ #viral #💔",7063077955962586118,NatureDeDieu,"Que Tout Ce Qui Respire🌬 Loue L’Eternel🔥
LE CHEMIN🛤 | LA VÉRITÉ🧐 | LA VIE✝️",,0,False,https://www.tiktok.com/@naturededieu/video/7102563116134714629?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102563116134714629&source=h5_m,89099,87,716,7328,8633,7086485430812216069,7086485430812216069,72,7086485430812216069,original sound - pst.louischarlesb,LCB. Ministries,6926985157862556674,LCB. Ministries,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086485434301156102.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f299af0f9db01e59be930f2d68a85ff1.json,False,False,,,,,[],0,0
1,FR,7101753670768938246,1653505880,Un ptit brouillon🤣 @fally_ipupa01  #pourtoi #fypシ #fyp #marcosinsipupa #fallyipupa,6924092461028197381,MARCOSINS IPUPA🍎,"Insta : marcosins_ipupa_officiel
Collab 📥 : marcosinsipupa01@yahoo.com
Paris📍",,0,False,https://www.tiktok.com/@marcosins_ipupa_officiel/video/7101753670768938246?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101753670768938246&source=h5_m,933776,645,634,384,71284,6780767152975743749,6780767152975743749,10036,6780767152975743749,Control,Fally Ipupa,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/b05830485b7b46e79e4733a56b37b6e3,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a9edef11ea7d4c02b5c9960e34732a5f,False,True,,,,,[],0,0
