,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,JO,7096588484831399170,1652303266,كيف الحال💁🏻‍♂️,6991977203560268802,محمدنور,"انا محمد وعمري 20 سنة 
🤵🏻‍♂️❤️",,0,False,https://m.tiktok.com/v/7096588484831399170.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7096588484831399170&source=h5_m,2874543,12352,9537,8671,237102,6817463783229753345,6817463783229753345,10036,6817463783229753345,Cartoon-like rhythmic jazz,Kohrogi,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/f04e8bab89214d698d9a539722b87199,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/7d572f9a1c2d4d1caffb4e5674492b91,False,True,,,,,[],0,0
1,JO,7095867254906113281,1652135342,#standwithkashmir #weeb #viral #gg #jungkook #هاشتاق,6952938306872181762,",ِمرهق,ِ","9100k__________🚣___10k
فلسفة👍",,0,False,https://m.tiktok.com/v/7095867254906113281.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7095867254906113281&source=h5_m,1188442,3821,4875,459,142285,7095867237726259969,7095867237726259969,72,7095867237726259969,original sound - .rcep,",ِمرهق,ِ",6952938306872181762,",ِمرهق,ِ",False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7095867228276476673.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f745151f3091b7dbae54a95e91de382f.json,False,False,,,,,[],0,0
2,JO,7099569381541170434,1652997310,,6957099108026139653,R💎Al_maani,اللهم إني أسألك التوفيق❤️,,0,False,https://m.tiktok.com/v/7099569381541170434.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7099569381541170434&source=h5_m,558298,196,126,16,28006,7099569377196542721,7099569377196542721,72,7099569377196542721,original sound - renadalmaani,R💎Al_maani,6957099108026139653,R💎Al_maani,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099569342827809537.mp3,,False,False,,,,,[],0,0
3,JO,7099029614781091073,1652871636,#fyp #foryou #fy #jordan #arabtiktok #amman,6615644946803638277,Abdullah,"100K?!

Follow me on IG: abdullah_abukhalaf",,0,False,https://m.tiktok.com/v/7099029614781091073.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7099029614781091073&source=h5_m,654720,609,627,1462,48573,7099029622146206465,7099029622146206465,72,7099029622146206465,original sound - abdullah_abukhalaf,Abdullah,6615644946803638277,Abdullah,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7099029601309002497.mp3,,False,False,,,,,[],0,0
4,JO,7099068610974469378,1652880715,- حتى يݪي ڪان يخاف عَݪينا مِن اݪجروح ، جَرحنا .!🖤.,6660641167061352454,Majd 🖤✨,"Majd💔🖤
من تواضع لله رفعه❤️🖤

Snap👻: majd_mhmoud",,0,False,https://m.tiktok.com/v/7099068610974469378.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7099068610974469378&source=h5_m,437801,456,3109,9251,36938,7097513740316297990,7097513740316297990,72,7097513740316297990,original sound - a_t_x12,Alwerfally | الساعدي الورفلي,7001221858305967109,Alwerfally | الساعدي الورفلي,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097513738428828422.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c1240cdfc218731d84a0fa186af020a7.json,False,False,,,,,[],0,0
5,JO,7097739782792416513,1652571324,#تزاوج_القطط #قطة_كيوت #كيتن #cat #catsoftiktok #catlover #تزاوج #قطة_الترند #الرفق_بالحيوان 😂😂😂😂,7018303450849068034,Love story 🐈 🐱,My lovely cats 🐈 🐱🥺💖,,0,False,https://m.tiktok.com/v/7097739782792416513.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7097739782792416513&source=h5_m,4269648,1808,1772,3002,57424,7097739725225724673,7097739725225724673,72,7097739725225724673,original sound - flad52cats,Love story 🐈 🐱,7018303450849068034,Love story 🐈 🐱,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097739587937749762.mp3,,False,False,,,,,[],0,0
6,JO,7097271347000265986,1652462257,اكبر افعى 🐍🐍🐍كوبرا,7089140730514392066,😱😨😰😱,yes😵😵,,0,False,https://m.tiktok.com/v/7097271347000265986.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7097271347000265986&source=h5_m,7027784,906,829,3058,86952,7097271333091904258,7097271333091904258,72,7097271333091904258,original sound - lion...sy,😱😨😰😱,7089140730514392066,😱😨😰😱,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097271313659726594.mp3,,False,False,,,,,[],0,0
7,JO,7099546959458897153,1652992090,انتظر الرد😂❤️#جده #الرياض #السعوديه #fyp #explore #ساره_مهند_😩🦾,6753778548832535557,أدهم العنزي,"وماتوفيقيي الا بالله
حيياكم سنابي👇🏻🍃
30K",,0,False,https://m.tiktok.com/v/7099546959458897153.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7099546959458897153&source=h5_m,1663046,533,125,953,51534,7082799079750765314,7082799079750765314,72,7082799079750765314,original sound - 3sfe,أدهم العنزي,6753778548832535557,أدهم العنزي,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7082799048452868866.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/dc124657f19750c66293951bec41ab50.json,False,False,Ghinwa,Erhamly Qalby Alwalhan,original sound - 3sfe (Contains music from: Erhamly Qalby Alwalhan - Ghinwa),"Contains music from: ""Erhamly Qalby Alwalhan""",[],0,0
8,JO,7100217681298689282,1653148254,سكرنا الترند هيك!؟😂🔥#اكسبلور #اكسبلور #مقاطع_مضحكة #ابو_فلتر,6623803070432952326,👻& أبہو فہلتہر&🤡,"لايف يومي عال(11:00م📺)
👇{الواتساب للتواصل والشخصي والأعلانات💼 } 👇",,0,False,https://m.tiktok.com/v/7100217681298689282.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7100217681298689282&source=h5_m,950970,424,493,1679,61492,7062771411609275138,7062771411609275138,72,7062771411609275138,original sound - 7assanezz,7asan ezz,6693150616623383557,7asan ezz,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7062771408769698562.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec3cc4866e1103dcbcc06816a6e138a8.json,False,False,,,,,[],0,0
9,JO,7097999738406014209,1652631849,"بقيتي ولا مشيتي 🎧🖤 """,6840077010939036677,"🖤🥀"". 𝚠𝚛𝚒𝚝𝚎𝚛 .""🥀🖤",".★""صہلَيہ عہلَى رسہؤُلَ آلَلَهہ""★. 
✦"". 𝚚𝚗𝚍𝚡 .""✦
"" فيديوهات في تيلجرام ""👇🏻",,0,False,https://m.tiktok.com/v/7097999738406014209.html?u_code=0&preview_pb=0&language=&_d=0&share_item_id=7097999738406014209&source=h5_m,579969,152,1249,9156,44359,7097999726141852417,7097999726141852417,72,7097999726141852417,original sound - qndx...3,"🖤🥀"". 𝚠𝚛𝚒𝚝𝚎𝚛 .""🥀🖤",6840077010939036677,"🖤🥀"". 𝚠𝚛𝚒𝚝𝚎𝚛 .""🥀🖤",False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7097999719586122498.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4b5db1a070574bab6eff5a57ed92c496.json,False,False,,,,,[],0,0
