,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,GY,7103370182344609029,1653882257,"😭🤣🤣😭🤣🤣😭ah joke , the man nuh run is the security gran him off the stage . Y’all leave him alone ❤️🔥.                                                              #fyp #viral #trending #🇬🇾🇧🇸🇦🇬🇹🇹🇱🇨🇨🇼🇯🇲🇸🇷🇦🇩🇧🇧🇻🇨🇬🇩 #comedy #viral #baddest #guyanaisnotarealplace",7072170612613923845,🇬🇾Guyanese brat🇬🇾,"Comedian,Dancer,Model,impersonator
Account got banned @ 86k
20k?
ig: iam_annada",,0,False,https://www.tiktok.com/@annadaanthon01/video/7103370182344609029?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103370182344609029&source=h5_m,441401,1110,1286,3281,37267,7103370136601545477,7103370136601545477,72,7103370136601545477,original sound - annadaanthon01,🇬🇾Guyanese brat🇬🇾,7072170612613923845,🇬🇾Guyanese brat🇬🇾,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103370149448682246.mp3,,False,False,,,,,[],0,0
1,GY,7102828686000393478,1653756177,Skeng Live In Guyana #protocol  #shots,6839704993743586309,OfficialDjLeon,"Dj Leon, the ladies favorite DJ.
Owner of Optimal Solutions.",,0,False,https://www.tiktok.com/@officialdjleon/video/7102828686000393478?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102828686000393478&source=h5_m,496926,507,1209,3748,28332,7102828667994229510,7102828667994229510,72,7102828667994229510,original sound - officialdjleon,OfficialDjLeon,6839704993743586309,OfficialDjLeon,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102828684989565701.mp3,,False,False,,,,,[],0,0
2,JM,7086264757799374085,1649899586,Dutty money wash it for my parents 😱🔥🔥 wait for it nuh❗❗ @prince_guava #oshanemotionz #kemarmotionz #freestyle #jamaicanpublicfreesytle #otpcontrol,6893700174443906050,OTP Control,"Donate $1 dollar to my PayPal 
to see more lit content 🔥‼️",,0,False,https://www.tiktok.com/@otp_control/video/7086264757799374085?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086264757799374085&source=h5_m,4811273,8513,23182,89624,582811,7086264752310684421,7086264752310684421,72,7086264752310684421,original sound - otp_control,OTP Control,6893700174443906050,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0
3,TT,7100579366811356422,1653232467,#foryoupage #fy #rockstarlife #viralvideos,6932169568728171525,The_Prince❤️‼️,"Prince Of Energy‼️💕


Cashapp $yungbredda",,0,False,https://www.tiktok.com/@yungbredda_/video/7100579366811356422?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100579366811356422&source=h5_m,752569,1482,3384,13791,139437,7100579350680668934,7100579350680668934,72,7100579350680668934,original sound - yungbredda_,The_Prince❤️‼️,6932169568728171525,The_Prince❤️‼️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100579369365572358.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/eb209984f579fc2a46a8223c575bf155.json,False,False,,,,,[],0,0
4,JM,7083471506923179269,1649249232,"Skillibeng interacting with his fans while performing his number hit ""Crocodile teeth"" 🔥🔥🔥 #vybzkartelmusic #alkalinemusic #Skillibeng #vybzkeem",6972228497070670853,DANCEHALLBLOCKJA,"DANCEHALLBLOCKJA ❌ WEST PALMZ ENT
SUBSCRIBE TO OUR YOUTUBE CHANNEL
    👇👇",,0,False,https://www.tiktok.com/@dancehallblockja/video/7083471506923179269?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083471506923179269&source=h5_m,1075460,602,1182,4270,88996,7083471446072232709,7083471446072232709,72,7083471446072232709,original sound - dancehallblockja,DANCEHALLBLOCKJA,6972228497070670853,DANCEHALLBLOCKJA,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083471476023921413.mp3,,False,False,,,,,[],0,0
5,TT,7101952542606773510,1653552187,,6806833232936518662,Trish🌻,🇹🇹👩🏼‍🚒,,0,False,https://www.tiktok.com/@triciaalyssaa/video/7101952542606773510?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101952542606773510&source=h5_m,386679,1041,504,18,50241,7083141902194789125,7083141902194789125,72,7083141902194789125,original sound - radeena_angel,RadeenaB,6673601185783628806,RadeenaB,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7083141914513378053.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c2a7066f9b4a31b6f92460134670f53b.json,False,False,,,,,[],0,0
6,US,7101851559926959365,1653528672,#duet with @edysilva114oficial,6787027154368005125,🧿Nelly Iggy Isaacs,I’m a motivator🏳️‍🌈 🇬🇾🇺🇸🇯🇲🇹🇹 dream 🛌 big.,,0,False,https://www.tiktok.com/@nellyiggyisaacs/video/7101851559926959365?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101851559926959365&source=h5_m,193937,206,100,366,10750,7099844420324903686,7099844420324903686,72,7099844420324903686,original sound - edysilva114oficial,✨ Edenilson_Edy  ✨,6674286332188066821,✨ Edenilson_Edy  ✨,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7099844431255210758.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8e6c89f4e8dd332b4bc916d2d93825d6.json,False,False,,,,,[],0,0
7,GY,7102702798902545670,1653726870,The gun shot at skeng was crazy👺🙏🏼 #guyana #fyp #guyanese #rattygang,6837501961782002693,Luvkertan,"16😁
Buck man🤟🏼😎
RATTY GANG
🇬🇾",,0,False,https://www.tiktok.com/@luv_kertan/video/7102702798902545670?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102702798902545670&source=h5_m,551658,593,895,2708,47316,7102702759765461765,7102702759765461765,72,7102702759765461765,original sound - luv_kertan,Luvkertan,6837501961782002693,Luvkertan,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102702801402219270.mp3,,False,False,,,,,[],0,0
0,GY,7091780808335232262,1651183893,#breezybreeze #fyp,6947336068044522501,B.M.B records 🔐🎵🎤,we set standards not boundaries 🌍🚀🧩,,0,False,https://www.tiktok.com/@breezybreezed/video/7091780808335232262?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091780808335232262&source=h5_m,1561376,173,154,1239,25490,7029787307725080578,7029787307725080578,10033,7029787307725080578,Protocol,Skeng & Tommy Lee Sparta,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8e7506d327834c64973609c4b521b703,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/bc7f0a5ae5304f14939da68121e2db00,False,True,,,,,[],0,0
1,GY,7096144557619956997,1652199907,Had to try this with a different song enjoy #fyp #foryou #foryoupage #viral,6847815244396381189,Gilbert Solomon Lewis 👯‍♂️,"Guyanese 🇬🇾
Instagram : Kushmf_bo 👆🏼
Bandana , Bonnet & Head Scarf Lover 🥰",,0,False,https://www.tiktok.com/@bo.lewis2/video/7096144557619956997?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7096144557619956997&source=h5_m,346490,411,279,1114,25591,6831835268547348481,6831835268547348481,10033,6831835268547348481,Unfaithful Games,Teejay,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a9e8aa68d0b04c10a08a5a76b1484a14,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/d99363a55ddc4552a67fb9b5364f38c1,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1503271775', 'external_song_key': 'apple_song_id'}]",0,0
