,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,CA,7074958721339739397,1647267195,,6532026959633842178,🫐BlueBerry🫐,"BlueBerry the Dancing Dog
Two Moms🏳️‍🌈Three furry siblings",,0,False,https://www.tiktok.com/@all.about.blueberry/video/7074958721339739397?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7074958721339739397&source=h5_m,4853793,4134,57751,11270,349679,7016739745057295109,7016739745057295109,72,7016739745057295109,original sound - jackie9225,JackieMoon.28,6577757437804462085,JackieMoon.28,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7016739786333489925.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/e2e56f5bbee04492faabdbe64a0c1af2.json,False,False,Legacy Hits,The Legend of Zeld,original sound - jackie9225 (Contains music from: The Legend of Zeld - Legacy Hits),"Contains music from: ""The Legend of Zeld""",[],0,0
1,DK,7100319657860680965,1653171999,I wonder what she said 😏 #foryoupage #fyp #foryou,7074384795401126918,Omer Majid,"I reply to messages on instagram :)



Email 📧 omermajid1236@gmail.com",,0,False,https://www.tiktok.com/@omermajidshorts/video/7100319657860680965?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100319657860680965&source=h5_m,1258054,6565,477,622,78906,7100322075650378501,7100322075650378501,72,7100322075650378501,original sound - omermajidshorts,Omer Majid,7074384795401126918,Omer Majid,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100322082424130310.mp3,,False,False,,,,,[],0,0
2,ES,7086142732548246790,1649871174,#duet with @rasmusdanskeklips hvorfor stoppede ingen mig,6836160328817984517,FIE LAURSEN,"Gravid 💙👶🏽 IG @ fiececilias
Bestil englekort reading i bio",Verified account,0,False,https://www.tiktok.com/@fielaursenofficiall/video/7086142732548246790?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7086142732548246790&source=h5_m,397244,242,66,69,25465,7081983017748564742,7081983017748564742,72,7081983017748564742,original sound - rasmusdanskeklips,Ralle-Mor,6729075810152039430,Ralle-Mor,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081983010928708357.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/87b26b267f4866bd97d9c164cab4b4d0.json,False,False,,,,,[],0,0
3,DK,7090164236172741894,1650807505,Tom’s diner☕️ #tomsdiner #qxnbanger #onlygoats,6739036400702440454,𝖖𝖝𝖓𝖇𝖆𝖓𝖌𝖊𝖗❤️‍🔥,"#onlygoats🐐
can we somehow hit 62k follows🐐
Ig qxnbanger🤞🏽💯💖",,0,False,https://www.tiktok.com/@qxnbanger/video/7090164236172741894?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7090164236172741894&source=h5_m,63743,35,32,149,4179,7090164218204277509,7090164218204277509,72,7090164218204277509,original sound - qxnbanger,𝖖𝖝𝖓𝖇𝖆𝖓𝖌𝖊𝖗❤️‍🔥,6739036400702440454,𝖖𝖝𝖓𝖇𝖆𝖓𝖌𝖊𝖗❤️‍🔥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090164217013144325.mp3,,False,False,AnnenMayKantereit & Giant Rooks,Tom's Diner,original sound - qxnbanger (Contains music from: Tom's Diner - AnnenMayKantereit & Giant Rooks),"Contains music from: ""Tom's Diner""",[],0,0
4,DK,7101232940138433798,1653384641,,197819174453309440,Morten Münster,Hello bad english im speaking,Popular creator,0,False,https://www.tiktok.com/@mortenmonster/video/7101232940138433798?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101232940138433798&source=h5_m,347887,1420,872,960,32189,7101232900967893766,7101232900967893766,72,7101232900967893766,original sound - mortenmonster,Morten Münster,197819174453309440,Morten Münster,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101232902100290309.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1668d0e36bd7191f1f427d520746f092.json,False,False,,,,,[],0,0
5,DK,7098623107979676934,1652776992,DELANEY!!! 😍#fodbold #football #goal #herrelandsholdet #delaney #mål #tiktok #fyp,6784426337668989957,Herrelandsholdet,Herrelandsholdets officielle profil 🇩🇰,,0,False,https://www.tiktok.com/@herrelandsholdet/video/7098623107979676934?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098623107979676934&source=h5_m,100887,64,14,28,7756,7089772551055985414,7089772551055985414,72,7089772551055985414,original sound - norwayrob,norwayrob,6728075063339631621,norwayrob,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7089772561080355589.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ab3de0d4b81a708df49d27e0f052407a.json,False,False,,,,,[],0,0
6,US,7102976218928123178,1653790526,"It was a dare, I swear.",6749309515509154821,Collin,"Youtube - Cameo - IG - Merch - Podcast

Weight Loss Updates

⬇️⬇️",,0,False,https://www.tiktok.com/@collinthomaseverett/video/7102976218928123178?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102976218928123178&source=h5_m,2691629,2698,8179,1150,237499,7093590991537507118,7093590991537507118,72,7093590991537507118,About Damn Time CLEAN,Clean Sounds,6928701139370640390,Clean Sounds,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7093591019261922094.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/a678ffe8ecc19fd28e3700b0a5470947.json,False,False,Lizzo,About Damn Time,About Damn Time CLEAN (Contains music from: About Damn Time - Lizzo),"Contains music from: ""About Damn Time""",[],0,0
7,DK,7102120045643451650,1653591183,Reply to @kaspertobiasen0 🥺nej nej,6780711435834246145,Laila Faris Latif,Har ik’ snap☹️😡 Køb min hudpleje  10 % går til forældreløse børn,,0,False,https://www.tiktok.com/@lailacopenhagen/video/7102120045643451650?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102120045643451650&source=h5_m,145683,742,533,439,3402,7102120042921282306,7102120042921282306,72,7102120042921282306,original sound - lailacopenhagen,Laila Faris Latif,6780711435834246145,Laila Faris Latif,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7102120026634734337.mp3,,False,False,,,,,[],0,0
0,DK,7085400740314959109,1649698416,SMOODY! #fyp #ketchup #smoothie,6880990731629069317,RiriGello,Komedi,,0,False,https://m.tiktok.com/v/7085400740314959109.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085400740314959109&source=h5_m,615199,2929,321232,3122,51786,7085400720278670085,7085400720278670085,72,7085400720278670085,Tomat er en smoothie,RiriGello,6880990731629069317,RiriGello,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085400720857467653.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/991652bfc04146ba8397bac7d7f17bdf.json,False,False,,,,,[],0,0
1,US,7083529072168717614,1649262635,yayy prom #foryoupage #foryou #fypシ,104149881367183360,✨morgan✨,LA,,0,False,https://m.tiktok.com/v/7083529072168717614.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7083529072168717614&source=h5_m,15960480,16750,11549,4,725558,7068378338439760686,7068378338439760686,72,7068378338439760686,original sound - user2618282828288282,.,6932014545558029317,.,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7068378427430193966.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/e32fff9b3dd657b7a28ad9a6184c9264.json,False,False,Lil Baby,Close Friends,original sound - user2618282828288282 (Contains music from: Close Friends - Lil Baby),"Contains music from: ""Close Friends""",[],0,0
2,ZA,7076864142388317446,1647710834,Well played you’ve played yourself #xyzbca #viral #ometv #fyp,256900885409210368,jeandre,"🇿🇦
Business:
xxjeandrexx@gmail.com
Check out my YouTube channel !!",,0,False,https://m.tiktok.com/v/7076864142388317446.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7076864142388317446&source=h5_m,1298547,1209,318,698,130332,7076864123828554501,7076864123828554501,72,7076864123828554501,original sound - jeandre.jvr,jeandre,256900885409210368,jeandre,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7076864131726461701.mp3,,False,False,,,,,[],0,0
3,GB,7099482412912069894,1652977061,#foryoupage #foryou #fypシ #fyp #celebrity #celebs #famous #sad #abuse #xyzbca #xbyzca #trending #masongreenwood #football,7002153882643465222,Celeb Fact Finder,"Celeb Facts 
Road to 70k
Remember to like and follow 
👆🏾👆🏾👆🏾👆🏾",,0,False,https://m.tiktok.com/v/7099482412912069894.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099482412912069894&source=h5_m,8336209,6599,1049,2393,895879,6818516297286945542,6818516297286945542,72,6818516297286945542,Stand up,Zeda,6774343402500621317,Zeda,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/db318b51c076d04e32571892abc66f01.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8f89eeee762375ce64823237a32ffd7b.json,False,False,Cynthia Erivo,Stand Up (From Harriet),Stand up (Contains music from: Stand Up (From Harriet) - Cynthia Erivo),"Contains music from: ""Stand Up (From Harriet)""",[],0,0
4,DK,7075809316145515777,1647465239,Im american 😂 #funny #fyp #foryoupage,6960637411546219526,barehumour,"Making you laugh :)
barehumour@gmail.com",,0,False,https://m.tiktok.com/v/7075809316145515777.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7075809316145515777&source=h5_m,30385745,32415,128791,84517,5098882,7075809286815927042,7075809286815927042,72,7075809286815927042,original sound - barehumour,barehumour,6960637411546219526,barehumour,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7075809296344189698.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/83a9c9ebb4a036ec7b814142e9882d2a.json,False,False,,,,,[],0,0
5,DK,7098329944538795270,1652708731,,6923138913935180806,Kuno Zabell,My daughters are my life ❤️,,0,False,https://m.tiktok.com/v/7098329944538795270.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098329944538795270&source=h5_m,262939,2079,1024,978,12406,7098329915547880197,7098329915547880197,72,7098329915547880197,original sound - kunozab,Kuno Zabell,6923138913935180806,Kuno Zabell,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7098329925140138758.mp3,,False,False,,,,,[],0,0
6,DK,7103227979068738822,1653849144,Her er pigen jeg fik idéen fra @spar.op_med_mig0 tak. Har flere penge hjemme ved min mor så der kommer lige en par to af dine penge#sparopmedmig❤️💵☺️ #fyp#forypu,7103222555317978117,spar_op_med_mig_,Hej jeg er en pige som spare op til et iPhone 12 mini📱📱Facerevel når jeg for📱,,0,False,https://m.tiktok.com/v/7103227979068738822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103227979068738822&source=h5_m,57556,24,17,11,1336,7090452608678136581,7090452608678136581,72,7090452608678136581,original sound - 60secxspeedsounds,;)) <33,6762414250679026693,;)) <33,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7090452600558078725.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/8445934382bb4504271cfc10c0bcccab.json,False,False,,,,,[],0,0
7,GB,7085684188854193414,1649764412,Oh come on Ann well whos coming Hell I got tickets 😂😂😂😂😂😂😂😂😂😂 #lol #bashtheentertainer #comedy,3536030,BashTheEntertainer,CEO of Happiness & Smiles 😃I love my Daughter ♥️🇨🇩🇬🇧,Verified account,0,False,https://m.tiktok.com/v/7085684188854193414.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7085684188854193414&source=h5_m,20883176,32250,119470,144659,4342606,7085684145506061062,7085684145506061062,72,7085684145506061062,original sound - bashtheentertainer,BashTheEntertainer,3536030,BashTheEntertainer,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7085684154901351174.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d53352ba3cc495bdf46c753934eacc7b.json,False,False,,,,,[],0,0
0,SE,7087153977594285318,1650106625,#fypシ #memes,7071335540277134342,Memelord,Memes,,0,False,https://m.tiktok.com/v/7087153977594285318.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7087153977594285318&source=h5_m,7345090,6129,28623,29312,528243,6926732577592051713,6926732577592051713,10033,6926732577592051713,Boombastic - Sting Remix,Shaggy,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/2adf0d96d09e4225aa666faaeb049030,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/69746234edcb47198fa3aeb67a7b876a,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '724654292', 'external_song_key': 'apple_song_id'}]",0,0
1,DK,7101010158536494341,1653332768,#fyp @klaraviola7 ❤️bedsteveninden,6790748111562294278,Silke Amélie,"insta- silkeamelie
snap- silkeaamelie",,0,False,https://m.tiktok.com/v/7101010158536494341.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7101010158536494341&source=h5_m,254587,576,127,177,20670,7097377810016144134,7097377810016144134,72,7097377810016144134,original sound - speedsongswaallaa,Danishspeedsongs,7091283418025100294,Danishspeedsongs,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7097377768412941062.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/c3934e8c93ae5c7f4e1e7e5c89bea26b.json,False,False,,,,,[],0,0
2,AT,7071708090239929605,1646510347,#Twintowers #history #2001 #2000 #wtc #september11footage #worldtradecenter #nyc #newyork #2000s,6916275567713616901,September11footage,,,0,False,https://m.tiktok.com/v/7071708090239929605.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7071708090239929605&source=h5_m,77047714,32640,22413,53204,13153931,7071708066810923782,7071708066810923782,72,7071708066810923782,original sound - september11footage,September11footage,6916275567713616901,September11footage,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7071708076470012677.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/9fb4ada30270463ef22a8ad9de6e88b8.json,False,False,,,,,[],0,0
3,DK,7103484136408583430,1653908788,,6864592925629088774,𝑃𝑙𝑎𝑦𝑏𝑜𝑦🐰,🇱🇹,,0,False,https://m.tiktok.com/v/7103484136408583430.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103484136408583430&source=h5_m,55619,77,48,59,3980,6837835112978090758,6837835112978090758,72,6837835112978090758,original sound - millennial32,Millennial32,6811486243077129222,Millennial32,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6837835054090128134.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d7042fd932e4723de61064bd485d149e.json,False,False,M.O.S.,Feelings,original sound - millennial32 (Contains music from: Feelings - M.O.S.),"Contains music from: ""Feelings""",[],0,0
