,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
0,BR,7103035100169768197,1653804241,As Vozes Mais Potentes e Lindas do The Voice Internacional e Nacional #asvozesmaispotentes,6995996217733972998,💥 As Vozes Mais Potentes 💥,As Vozes Mais Potentes e Lindas do The Voice Internacional e Nacional,,0,False,https://m.tiktok.com/v/7103035100169768197.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7103035100169768197&source=h5_m,106981,23,24,124,8300,7103035032943577861,7103035032943577861,72,7103035032943577861,original sound - asvozesmaispotentes,💥 As Vozes Mais Potentes 💥,6995996217733972998,💥 As Vozes Mais Potentes 💥,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7103035110202542854.mp3,,False,False,,,,,[],0,0
1,BR,7091664046453181701,1651156706,"saweetie, loui; talkin' bout #fy #saweetie #talkinbout #tauccilly #musicalegendada #tipografia #tradução #aesthetic",6823021186646049797,imhererightnow,"traduções 🇧🇷☁️
+100K, muito obrigada!!! 💗",,0,False,https://m.tiktok.com/v/7091664046453181701.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7091664046453181701&source=h5_m,141937,28,182,2209,18448,6951840661985397509,6951840661985397509,10036,6951840661985397509,Talkin' Bout (feat. Saweetie),Loui,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8eb1ec2ec65d4099b5b517fa5051ea52,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/61875b6be4b74d52b9cd5bb0a6c56a3f,False,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '1562981267', 'external_song_key': 'apple_song_id'}]",0,0
2,US,7070490794813082922,1646226924,,7064414434376221743,bellapoarbranoc,"🌏Worldwide shipping 🌍
Click to shop
👇👇👇",,0,False,https://m.tiktok.com/v/7070490794813082922.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070490794813082922&source=h5_m,9164613,5909,33913,38592,280604,6954858508768594694,6954858508768594694,72,6954858508768594694,original sound - kyle_hume,kyle hume,6730240472243487750,kyle hume,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6954858605623397125.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/0703e934854b74fca7ccbed61ee6d56e.json,False,False,,,,,[],0,0
3,CV,7100290596769713413,1653165232,Vibe dessa musica 😂😮‍💨#fyyy #tiktokerscaboverde🇨🇻❤🥰,6758914293687190533,Marly Andrade,"follow me on instagram:  ___marliceandrade___🦋🥰
     40K🚀",,0,False,https://m.tiktok.com/v/7100290596769713413.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7100290596769713413&source=h5_m,40776,47,7,191,4812,7087113235861719813,7087113235861719813,72,7087113235861719813,original sound - stirflex,Stirflex,6927757590392210437,Stirflex,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7087113283337063173.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1ff08a299e2db4c70d7a2a994177212b.json,False,False,El Alfa & Chael Produciendo,Gogo Dance,original sound - stirflex (Contains music from: Gogo Dance - El Alfa & Chael Produciendo),"Contains music from: ""Gogo Dance""",[],0,0
4,US,7099865854254402822,1653066339,,6808726265681708038,INOKI,"💫De tudo um pouco💫
Twitter: Inoki_thomas
Meta: 5M",,0,False,https://m.tiktok.com/v/7099865854254402822.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7099865854254402822&source=h5_m,152331,129,41,306,28262,7076492436792642350,7076492436792642350,72,7076492436792642350,Soundgasm Sped up,Christian😛,6704476993319158789,Christian😛,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7076492454786026286.mp3,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/pattern/780ddf0aa2a13f0beeffd2fdf363322e.json,False,False,Rema,Soundgasm,Soundgasm Sped up (Contains music from: Soundgasm - Rema),"Contains music from: ""Soundgasm""",[],0,0
5,CV,7072808737806765317,1646766612,#foryou #fördig #capeverde,6739213722407732229,Esterbengtsson,Hej hej,,0,False,https://m.tiktok.com/v/7072808737806765317.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7072808737806765317&source=h5_m,44568,63,60,94,4380,7059437838890486574,7059437838890486574,72,7059437838890486574,original sound - austinpedersen__,Austin Pedersen,6785719034458719238,Austin Pedersen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7059437893994941231.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/4adbb60070acab6f9a04d188161f5047.json,False,False,,,,,[],0,0
6,US,7102919661011963142,1653777359,dc: @KOOLKIDNELLY⚡️,146424459590213632,Matheus Albino,just smile :),,0,False,https://m.tiktok.com/v/7102919661011963142.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102919661011963142&source=h5_m,66251,58,4,46,13350,7059815348236798725,7059815348236798725,72,7059815348236798725,no wahala,k,6691678111505646597,k,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7059815377739549445.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/370c0efb2131ace1627cef17feb9c377.json,False,False,Muzammal,Go in All,no wahala (Contains music from: Go in All - Muzammal),"Contains music from: ""Go in All""",[],0,0
7,CV,7098390445486656774,1652722818,#dueto com @teezeloco,6857623880372192261,Jacky Fabricio,,,0,False,https://m.tiktok.com/v/7098390445486656774.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098390445486656774&source=h5_m,47248,71,47,251,1671,7094305511797312262,7094305511797312262,72,7094305511797312262,original sound - teezeloco,Tracey Ann Dawkins,6807151294857004037,Tracey Ann Dawkins,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7094305519082474246.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/3d4d4deafcfc07015418fce25bc1374d.json,False,False,,,,,[],0,0
0,SA,7094278202482330885,1651765362,💔,318648646072168449,Panseri Yusuf,Let me think..,Popular creator,0,False,https://www.tiktok.com/@panseriyusuf/video/7094278202482330885?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7094278202482330885&source=h5_m,4922805,2169,1007,9931,468884,7084242536273103618,7084242536273103618,72,7084242536273103618,Leoauf,𝑳𝑬𝑶𝑨𝑼𝑭,6765520916803945478,𝑳𝑬𝑶𝑨𝑼𝑭,False,True,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7084242464118606593.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/f416540eb48884ce22770de2926b425d.json,False,False,S1mba,Rover (feat. DTG),Leoauf (Contains music from: Rover (feat. DTG) - S1mba),"Contains music from: ""Rover (feat. DTG)""",[],0,0
1,US,7088482071064235270,1650415845,,68225399943548928,😂😂😂😂😂😂😂😂😂,😂😂😂😂😂😂😂😂😂,,0,False,https://www.tiktok.com/@epari2/video/7088482071064235270?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7088482071064235270&source=h5_m,108245,79,314,16,3959,7088482044199602949,7088482044199602949,72,7088482044199602949,original sound - epari2,😂😂😂😂😂😂😂😂😂,68225399943548928,😂😂😂😂😂😂😂😂😂,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7088482031532903173.mp3,,False,False,,,,,[],0,0
